,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
CORIPATA,estado nutricional,talla normal,2010-01-01,49,30,21,29,24,21,94,80,174
CORO CORO,estado nutricional,talla normal,2010-01-01,45,38,29,21,12,16,86,75,161
COROICO,estado nutricional,talla normal,2010-01-01,99,78,34,49,48,35,181,162,343
CORQUE,estado nutricional,talla normal,2010-01-01,35,34,40,34,36,20,111,88,199
COTAGAITA,estado nutricional,talla normal,2010-01-01,56,51,52,51,37,36,145,138,283
COTOCA,estado nutricional,talla normal,2010-01-01,365,314,194,226,220,187,779,727,1506
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla normal,2010-01-01,5,9,8,6,10,10,23,25,48
CUEVO,estado nutricional,talla normal,2010-01-01,21,25,28,15,21,30,70,70,140
CULPINA,estado nutricional,talla normal,2010-01-01,132,106,80,91,105,104,317,301,618
CURAHUARA DE CARANGAS,estado nutricional,talla normal,2010-01-01,65,56,46,34,37,41,148,131,279
CURVA,estado nutricional,talla normal,2010-01-01,16,10,7,5,6,5,29,20,49
DESAGUADERO,estado nutricional,talla normal,2010-01-01,16,21,6,10,11,5,33,36,69
EL ALTO,estado nutricional,talla normal,2010-01-01,4849,4633,2611,2431,1119,1154,8579,8218,16797
EL CHORO,estado nutricional,talla normal,2010-01-01,34,39,16,29,30,17,80,85,165
EL PUENTE(STC),estado nutricional,talla normal,2010-01-01,104,85,83,78,88,86,275,249,524
EL PUENTE(TJA),estado nutricional,talla normal,2010-01-01,96,99,71,88,77,89,244,276,520
EL TORNO,estado nutricional,talla normal,2010-01-01,352,273,178,208,176,194,706,675,1381
EL VILLAR,estado nutricional,talla normal,2010-01-01,32,29,23,23,55,60,110,112,222
ENTRE RIOS TRJ,estado nutricional,talla normal,2010-01-01,183,138,155,131,104,118,442,387,829
ENTRE RIOS CBBA,estado nutricional,talla normal,2010-01-01,205,167,129,91,119,118,453,376,829
ESCARA,estado nutricional,talla normal,2010-01-01,2,0,1,1,0,1,3,2,5
ESCOMA,estado nutricional,talla normal,2010-01-01,28,23,13,19,42,17,83,59,142
ESMERALDA,estado nutricional,talla normal,2010-01-01,2,1,0,0,1,1,3,2,5
EUCALIPTUS,estado nutricional,talla normal,2010-01-01,59,70,45,45,32,33,136,148,284
EUREKA (SANTOS MERCADO),estado nutricional,talla normal,2010-01-01,3,6,2,4,3,6,8,16,24
EXALTACION,estado nutricional,talla normal,2010-01-01,4,3,9,7,7,4,20,14,34
FERNANDEZ ALONSO,estado nutricional,talla normal,2010-01-01,100,84,67,69,111,104,278,257,535
FILADELFIA,estado nutricional,talla normal,2010-01-01,38,26,16,8,17,18,71,52,123
GENERAL SAAVEDRA,estado nutricional,talla normal,2010-01-01,92,92,89,84,103,110,284,286,570
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla normal,2010-01-01,62,59,24,24,17,17,103,100,203
GUANAY,estado nutricional,talla normal,2010-01-01,86,100,46,68,58,71,190,239,429
GUAQUI,estado nutricional,talla normal,2010-01-01,36,39,23,12,9,20,68,71,139
GUAYARAMERIN,estado nutricional,talla normal,2010-01-01,299,274,159,141,97,112,555,527,1082
GUTIERREZ,estado nutricional,talla normal,2010-01-01,136,122,139,145,267,295,542,562,1104
HUACARETA,estado nutricional,talla normal,2010-01-01,61,59,43,44,64,67,168,170,338
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla normal,2010-01-01,18,10,12,13,39,52,69,75,144
HUACHACALLA,estado nutricional,talla normal,2010-01-01,14,15,7,5,11,12,32,32,64
HUANUNI,estado nutricional,talla normal,2010-01-01,172,192,77,90,65,49,314,331,645
HUARACAJE,estado nutricional,talla normal,2010-01-01,28,32,21,10,16,22,65,64,129
HUARINA,estado nutricional,talla normal,2010-01-01,27,22,16,23,19,15,62,60,122
HUAYLLAMARCA,estado nutricional,talla normal,2010-01-01,22,33,18,23,32,24,72,80,152
HUMANATA,estado nutricional,talla normal,2010-01-01,20,25,19,19,6,11,45,55,100
ICHOCA,estado nutricional,talla normal,2010-01-01,6,5,1,4,5,5,12,14,26
ICLA,estado nutricional,talla normal,2010-01-01,48,56,54,44,122,135,224,235,459
INCAHUASI,estado nutricional,talla normal,2010-01-01,72,77,35,43,54,73,161,193,354
INGAVI (HUMAITA),estado nutricional,talla normal,2010-01-01,14,10,12,9,18,13,44,32,76
INQUISIVI,estado nutricional,talla normal,2010-01-01,43,38,22,30,40,40,105,108,213
IRUPANA (VILLA DE LANZA),estado nutricional,talla normal,2010-01-01,102,81,60,61,71,84,233,226,459
IXIAMAS,estado nutricional,talla normal,2010-01-01,71,71,34,41,39,23,144,135,279
JESUS DE MACHACA,estado nutricional,talla normal,2010-01-01,73,70,55,51,41,53,169,174,343
LA ASUNTA,estado nutricional,talla normal,2010-01-01,171,149,59,57,15,10,245,216,461
LA GUARDIA,estado nutricional,talla normal,2010-01-01,475,421,205,178,200,219,880,818,1698
LA PAZ,estado nutricional,talla normal,2010-01-01,3674,3357,2048,1724,1474,1435,7196,6516,13712
LA RIVERA,estado nutricional,talla normal,2010-01-01,1,0,1,1,0,0,2,1,3
LAGUNILLAS,estado nutricional,talla normal,2010-01-01,60,51,46,51,124,108,230,210,440
LAJA,estado nutricional,talla normal,2010-01-01,75,82,42,44,25,44,142,170,312
LAS CARRERAS,estado nutricional,talla normal,2010-01-01,22,18,24,13,50,46,96,77,173
LICOMA PAMPA,estado nutricional,talla normal,2010-01-01,22,23,15,15,24,17,61,55,116
LLALLAGUA,estado nutricional,talla normal,2010-01-01,250,211,110,125,39,63,399,399,798
LLICA,estado nutricional,talla normal,2010-01-01,30,31,24,16,16,14,70,61,131
LURIBAY,estado nutricional,talla normal,2010-01-01,64,62,46,53,42,68,152,183,335
MACHACAMARCA,estado nutricional,talla normal,2010-01-01,45,39,24,42,18,30,87,111,198
MACHARETI,estado nutricional,talla normal,2010-01-01,43,31,41,31,88,85,172,147,319
MAGDALENA,estado nutricional,talla normal,2010-01-01,65,50,33,24,48,28,146,102,248
MAIRANA,estado nutricional,talla normal,2010-01-01,69,70,42,45,35,56,146,171,317
MALLA,estado nutricional,talla normal,2010-01-01,18,21,8,11,18,13,44,45,89
MAPIRI,estado nutricional,talla normal,2010-01-01,93,81,36,53,39,35,168,169,337
MECAPACA,estado nutricional,talla normal,2010-01-01,60,51,37,34,22,14,119,99,218
MINEROS,estado nutricional,talla normal,2010-01-01,142,149,139,116,123,101,404,366,770
MIZQUE,estado nutricional,talla normal,2010-01-01,162,146,84,85,116,104,362,335,697
MOCOMOCO,estado nutricional,talla normal,2010-01-01,73,68,33,45,47,52,153,165,318
MOJINETE,estado nutricional,talla normal,2010-01-01,2,4,0,2,3,4,5,10,15
MOJOCOYA,estado nutricional,talla normal,2010-01-01,48,48,37,39,97,94,182,181,363
MONTEAGUDO,estado nutricional,talla normal,2010-01-01,214,228,170,171,305,255,689,654,1343
MONTERO,estado nutricional,talla normal,2010-01-01,838,846,500,507,495,486,1833,1839,3672
MORO MORO,estado nutricional,talla normal,2010-01-01,14,21,15,9,16,12,45,42,87
MOROCHATA,estado nutricional,talla normal,2010-01-01,69,68,38,43,27,15,134,126,260
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-01-01,12,10,5,8,4,2,21,20,41
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-01-01,3,3,2,2,1,2,6,7,13
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-01-01,10,13,19,10,12,14,41,37,78
OCURI,estado nutricional,talla normal,2010-01-01,132,112,64,91,63,54,259,257,516
OKINAWA,estado nutricional,talla normal,2010-01-01,85,90,88,87,88,94,261,271,532
OMEREQUE,estado nutricional,talla normal,2010-01-01,17,31,21,14,16,18,54,63,117
ORURO,estado nutricional,talla normal,2010-01-01,1625,1664,994,1003,616,611,3235,3278,6513
PADCAYA,estado nutricional,talla normal,2010-01-01,197,150,155,148,175,141,527,439,966
PADILLA,estado nutricional,talla normal,2010-01-01,80,69,63,63,149,166,292,298,590
PAILON,estado nutricional,talla normal,2010-01-01,127,101,75,58,100,100,302,259,561
PALCA,estado nutricional,talla normal,2010-01-01,87,79,30,48,32,33,149,160,309
PALOS BLANCOS,estado nutricional,talla normal,2010-01-01,168,159,124,122,138,109,430,390,820
PAMPA AULLAGAS,estado nutricional,talla normal,2010-01-01,18,22,10,20,8,9,36,51,87
PAMPA GRANDE,estado nutricional,talla normal,2010-01-01,63,41,21,27,28,28,112,96,208
PAPEL PAMPA,estado nutricional,talla normal,2010-01-01,26,28,15,21,9,7,50,56,106
PASORAPA,estado nutricional,talla normal,2010-01-01,17,10,19,11,25,30,61,51,112
PATACAMAYA,estado nutricional,talla normal,2010-01-01,161,121,80,101,39,30,280,252,532
PAZÑA,estado nutricional,talla normal,2010-01-01,31,38,38,41,28,29,97,108,205
PELECHUCO,estado nutricional,talla normal,2010-01-01,33,34,26,23,32,19,91,76,167
POCOATA,estado nutricional,talla normal,2010-01-01,128,151,104,118,97,100,329,369,698
POCONA,estado nutricional,talla normal,2010-01-01,56,70,55,40,52,35,163,145,308
POJO (CBBA),estado nutricional,talla normal,2010-01-01,88,84,51,47,58,48,197,179,376
POOPO,estado nutricional,talla normal,2010-01-01,40,31,21,26,14,17,75,74,149
PORCO,estado nutricional,talla normal,2010-01-01,83,65,27,32,25,32,135,129,264
POROMA,estado nutricional,talla normal,2010-01-01,102,102,59,62,75,71,236,235,471
PORONGO,estado nutricional,talla normal,2010-01-01,65,54,33,42,45,39,143,135,278
PORTACHUELO,estado nutricional,talla normal,2010-01-01,71,89,53,54,66,77,190,220,410
PORVENIR,estado nutricional,talla normal,2010-01-01,14,6,8,10,18,19,40,35,75
POSTRER VALLE,estado nutricional,talla normal,2010-01-01,13,8,6,7,11,10,30,25,55
POTOSI,estado nutricional,talla normal,2010-01-01,566,445,280,253,140,185,986,883,1869
PRESTO,estado nutricional,talla normal,2010-01-01,73,70,51,50,65,86,189,206,395
PUCARA,estado nutricional,talla normal,2010-01-01,6,12,4,5,6,13,16,30,46
PUCARANI,estado nutricional,talla normal,2010-01-01,229,204,117,165,64,72,410,441,851
PUERTO ACOSTA,estado nutricional,talla normal,2010-01-01,39,34,39,38,8,24,86,96,182
PUERTO CARABUCO,estado nutricional,talla normal,2010-01-01,74,58,38,50,51,33,163,141,304
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-01-01,38,37,31,28,25,31,94,96,190
PUERTO PEREZ,estado nutricional,talla normal,2010-01-01,43,35,20,26,53,31,116,92,208
PUERTO RICO,estado nutricional,talla normal,2010-01-01,34,47,26,28,16,19,76,94,170
PUERTO SILES,estado nutricional,talla normal,2010-01-01,1,5,3,3,5,4,9,12,21
PUERTO VILLARROEL,estado nutricional,talla normal,2010-01-01,404,395,266,193,288,210,958,798,1756
PUNATA,estado nutricional,talla normal,2010-01-01,256,237,162,109,96,69,514,415,929
QUIABAYA,estado nutricional,talla normal,2010-01-01,11,8,9,9,8,10,28,27,55
QUILLACOLLO,estado nutricional,talla normal,2010-01-01,239,246,134,106,101,68,474,420,894
QUIME,estado nutricional,talla normal,2010-01-01,72,64,40,46,38,48,150,158,308
QUIRUSILLAS,estado nutricional,talla normal,2010-01-01,10,8,14,11,16,14,40,33,73
RAVELO,estado nutricional,talla normal,2010-01-01,69,73,42,54,70,48,181,175,356
REYES,estado nutricional,talla normal,2010-01-01,70,87,42,45,40,45,152,177,329
RIBERALTA,estado nutricional,talla normal,2010-01-01,978,874,568,514,398,466,1944,1854,3798
ROBORE,estado nutricional,talla normal,2010-01-01,52,45,50,41,31,29,133,115,248
RURRENABAQUE,estado nutricional,talla normal,2010-01-01,99,100,73,55,42,35,214,190,404
SABAYA,estado nutricional,talla normal,2010-01-01,16,14,10,11,12,4,38,29,67
SACABA,estado nutricional,talla normal,2010-01-01,652,538,365,348,224,245,1241,1131,2372
SACABAMBA,estado nutricional,talla normal,2010-01-01,27,34,19,20,13,13,59,67,126
SACACA,estado nutricional,talla normal,2010-01-01,74,87,64,64,46,68,184,219,403
SAIPINA,estado nutricional,talla normal,2010-01-01,49,46,19,35,15,22,83,103,186
SALINAS DE GARCI MENDOZA,estado nutricional,talla normal,2010-01-01,70,61,71,67,94,80,235,208,443
SAMAIPATA,estado nutricional,talla normal,2010-01-01,46,48,38,28,31,23,115,99,214
SAN AGUSTIN,estado nutricional,talla normal,2010-01-01,8,12,8,9,7,13,23,34,57
SAN ANDRES,estado nutricional,talla normal,2010-01-01,12,6,2,4,6,7,20,17,37
SAN ANDRES DE MACHACA,estado nutricional,talla normal,2010-01-01,19,21,8,13,13,11,40,45,85
SAN ANTONIO DE ESMORUCO,estado nutricional,talla normal,2010-01-01,8,8,4,9,3,4,15,21,36
SAN BENITO,estado nutricional,talla normal,2010-01-01,107,85,82,67,40,46,229,198,427
SAN BORJA,estado nutricional,talla normal,2010-01-01,302,328,137,156,151,169,590,653,1243
SAN BUENA VENTURA,estado nutricional,talla normal,2010-01-01,88,64,37,36,49,38,174,138,312
SAN CARLOS,estado nutricional,talla normal,2010-01-01,75,96,35,61,76,81,186,238,424
SAN IGNACIO,estado nutricional,talla normal,2010-01-01,50,31,35,28,44,45,129,104,233
SAN IGNACIO DE VELASCO,estado nutricional,talla normal,2010-01-01,511,466,283,309,426,374,1220,1149,2369
SAN JAVIER(BNI),estado nutricional,talla normal,2010-01-01,10,10,12,3,20,11,42,24,66
SAN JAVIER(STC),estado nutricional,talla normal,2010-01-01,104,90,50,42,58,48,212,180,392
SAN JOAQUIN,estado nutricional,talla normal,2010-01-01,31,34,12,32,16,23,59,89,148
SAN JOSE DE CHIQUITOS,estado nutricional,talla normal,2010-01-01,86,96,66,54,86,92,238,242,480
SAN JUAN DE YAPACANI,estado nutricional,talla normal,2010-01-01,55,59,47,29,65,54,167,142,309
SAN LORENZO(PND),estado nutricional,talla normal,2010-01-01,45,13,16,21,18,20,79,54,133
SAN LORENZO(TJA),estado nutricional,talla normal,2010-01-01,144,117,115,97,107,99,366,313,679
SAN LUCAS,estado nutricional,talla normal,2010-01-01,224,276,200,149,304,331,728,756,1484
SAN MIGUEL DE VELASCO,estado nutricional,talla normal,2010-01-01,63,49,33,40,27,16,123,105,228
SAN PABLO DE LIPEZ,estado nutricional,talla normal,2010-01-01,22,14,11,11,8,6,41,31,72
SAN PEDRO,estado nutricional,talla normal,2010-01-01,64,63,62,61,85,77,211,201,412
SAN PEDRO DE BUENA VISTA,estado nutricional,talla normal,2010-01-01,97,107,71,78,51,54,219,239,458
SAN PEDRO DE CURAHUARA,estado nutricional,talla normal,2010-01-01,26,19,26,22,17,9,69,50,119
SAN PEDRO DE QUEMES,estado nutricional,talla normal,2010-01-01,1,2,0,2,1,2,2,6,8
SAN PEDRO DE TIQUINA,estado nutricional,talla normal,2010-01-01,22,23,23,15,36,49,81,87,168
SAN PEDRO(PND),estado nutricional,talla normal,2010-01-01,2,3,4,1,8,3,14,7,21
SAN RAFAEL,estado nutricional,talla normal,2010-01-01,46,60,31,30,38,39,115,129,244
SAN RAMON BENI,estado nutricional,talla normal,2010-01-01,27,35,17,22,25,16,69,73,142
SANTA ANA,estado nutricional,talla normal,2010-01-01,159,173,117,86,56,49,332,308,640
SANTA CRUZ DE LA SIERRA,estado nutricional,talla normal,2010-01-01,3195,3012,1577,1443,1202,1146,5974,5601,11575
SANTA ROSA,estado nutricional,talla normal,2010-01-01,66,58,40,40,42,24,148,122,270
SANTA ROSA DEL SARA,estado nutricional,talla normal,2010-01-01,75,95,52,36,62,70,189,201,390
SANTIAGO DE CALLAPA,estado nutricional,talla normal,2010-01-01,15,27,18,30,6,3,39,60,99
SANTIAGO DE HUARI,estado nutricional,talla normal,2010-01-01,40,56,49,37,38,38,127,131,258
SANTIAGO DE HUATA,estado nutricional,talla normal,2010-01-01,22,16,17,14,9,15,48,45,93
SANTIAGO DE MACHACA,estado nutricional,talla normal,2010-01-01,26,22,11,23,13,12,50,57,107
SANTIVAÑES,estado nutricional,talla normal,2010-01-01,11,8,10,8,10,7,31,23,54
SANTUARIO DE QUILLACAS,estado nutricional,talla normal,2010-01-01,26,17,14,13,21,21,61,51,112
SAPAHAQUI,estado nutricional,talla normal,2010-01-01,51,45,28,38,24,30,103,113,216
SENA,estado nutricional,talla normal,2010-01-01,31,36,24,14,8,15,63,65,128
SHINAOTA,estado nutricional,talla normal,2010-01-01,317,254,187,142,176,172,680,568,1248
SICA SICA (VILLA AROMA),estado nutricional,talla normal,2010-01-01,130,551,88,89,104,109,322,749,1071
SICAYA,estado nutricional,talla normal,2010-01-01,33,24,17,15,9,15,59,54,113
SIPE SIPE,estado nutricional,talla normal,2010-01-01,252,218,138,101,82,77,472,396,868
SOPACHUY,estado nutricional,talla normal,2010-01-01,48,55,53,56,70,65,171,176,347
SORACACHI,estado nutricional,talla normal,2010-01-01,75,87,66,62,66,78,207,227,434
SORATA,estado nutricional,talla normal,2010-01-01,136,105,68,66,85,70,289,241,530
SUCRE,estado nutricional,talla normal,2010-01-01,1052,1077,585,519,466,452,2103,2048,4151
TACACHI,estado nutricional,talla normal,2010-01-01,5,2,2,4,1,1,8,7,15
TACACOMA,estado nutricional,talla normal,2010-01-01,28,23,24,15,28,26,80,64,144
TACOBAMBA,estado nutricional,talla normal,2010-01-01,54,39,37,25,6,9,97,73,170
TACOPAYA,estado nutricional,talla normal,2010-01-01,72,53,41,53,42,55,155,161,316
TAHUA,estado nutricional,talla normal,2010-01-01,1,5,3,2,0,2,4,9,13
TAPACARI,estado nutricional,talla normal,2010-01-01,141,127,88,99,46,58,275,284,559
TARABUCO,estado nutricional,talla normal,2010-01-01,140,121,96,88,205,227,441,436,877
TARACO,estado nutricional,talla normal,2010-01-01,29,17,25,12,18,13,72,42,114
TARATA,estado nutricional,talla normal,2010-01-01,79,84,53,55,27,36,159,175,334
TARIJA,estado nutricional,talla normal,2010-01-01,1232,1139,846,765,496,429,2574,2333,4907
TARVITA,estado nutricional,talla normal,2010-01-01,128,99,87,89,170,154,385,342,727
TEOPONTE,estado nutricional,talla normal,2010-01-01,84,56,42,41,41,49,167,146,313
TIAWANACU,estado nutricional,talla normal,2010-01-01,109,66,47,69,27,25,183,160,343
TINGUIPAYA,estado nutricional,talla normal,2010-01-01,27,42,13,15,14,16,54,73,127
TIPUANI,estado nutricional,talla normal,2010-01-01,76,67,43,37,53,52,172,156,328
TIQUIPAYA,estado nutricional,talla normal,2010-01-01,404,393,249,204,201,194,854,791,1645
TIRAQUE (CBBA),estado nutricional,talla normal,2010-01-01,137,132,95,114,77,83,309,329,638
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla normal,2010-01-01,2,3,3,5,8,10,13,18,31
TOCO,estado nutricional,talla normal,2010-01-01,33,35,27,29,23,12,83,76,159
TOLATA,estado nutricional,talla normal,2010-01-01,33,24,17,15,1,1,51,40,91
TOLEDO,estado nutricional,talla normal,2010-01-01,27,31,20,20,14,15,61,66,127
TOMAVE,estado nutricional,talla normal,2010-01-01,62,73,37,49,23,29,122,151,273
TOMINA,estado nutricional,talla normal,2010-01-01,75,69,54,68,143,143,272,280,552
TORO TORO,estado nutricional,talla normal,2010-01-01,32,40,25,23,21,19,78,82,160
TOTORA(CBBA),estado nutricional,talla normal,2010-01-01,81,84,56,71,34,35,171,190,361
TOTORA(ORR),estado nutricional,talla normal,2010-01-01,34,40,22,17,13,18,69,75,144
TRIGAL,estado nutricional,talla normal,2010-01-01,11,16,22,9,14,8,47,33,80
TRINIDAD,estado nutricional,talla normal,2010-01-01,148,164,96,109,91,102,335,375,710
