,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,2,0,0,0,0,1,1,1,0,0,0,0,0,5
COLQUECHACA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,21,26,6,8,3,20,1,5,0,0,0,0,90
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
HUACARETA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,1,2,1,0,0,1,2,0,0,0,0,0,0,7
MOJINETE,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,15,23,0,0,0,0,0,2,1,5,0,0,0,0,46
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,1,3,5,5,0,5,2,11,0,0,0,0,0,0,32
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,5,2,0,0,0,0,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,7,6,14,14,5,1,7,14,6,0,0,0,0,0,74
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,3,2,3,0,1,2,3,0,0,0,0,0,0,14
TACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,2,2,1,2,0,4,1,13,1,0,0,0,0,0,26
VITICHI,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4
BOLPEBRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,5,5,5,10,5,3,3,0,0,0,0,36
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,2,0,0,0,1,1,0,0,0,0,0,4
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,1,0,3,2,0,1,0,0,0,0,0,0,0,0,7
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,2,2,2,4,1,4,5,11,1,4,0,0,0,0,36
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,1,3,1,4,0,0,0,0,0,0,0,0,9
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,3,3,3,0,0,2,0,0,0,0,0,0,11
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,1,1,16,7,2,5,0,4,0,1,0,0,0,0,37
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,1,2,3,7,0,2,5,10,0,0,0,0,0,0,30
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,0,4,1,1,0,0,0,0,6
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,1,9,4,11,14,2,0,0,0,0,0,41
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,4,2,0,1,5,0,4,0,0,0,0,0,16
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,9,2,0,1,0,0,0,0,0,0,0,0,0,0,12
PUERTO RICO,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,3,3,4,6,0,0,0,0,16
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,1,1,0,0,0,4,0,0,0,0,0,6
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,4,12,5,4,3,4,0,9,20,2,0,0,0,0,63
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,3,0,0,0,1,4,0,0,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,2,6,5,3,0,0,6,9,5,0,0,0,0,0,36
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,6,1,10,2,0,7,4,14,1,0,0,0,0,0,45
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,1,0,0,4,0,1,0,10,1,2,0,0,0,0,19
TOMINA,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,19,13,25,47,11,15,33,67,3,5,0,0,0,0,238
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial menor,2017-02-01,0,0,0,0,0,0,3,3,1,0,0,0,0,0,7
BOYUIBE,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,4,5,3,0,0,0,0,0,12
CAIROMA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,1,1,4,3,0,0,0,0,0,0,9
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,5,2,12,14,1,4,5,15,2,4,0,0,0,0,64
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,3,0,3,13,1,1,4,4,0,3,0,0,0,0,32
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,2,1,1,1,0,0,0,0,0,0,0,5
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,2,3,0,0,0,0,0,2,1,0,0,0,0,0,8
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,5,0,0,0,5,0,2,6,2,0,0,0,0,20
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,1,0,0,1,2,0,0,2,0,0,0,0,6
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,2,4,4,3,0,0,2,4,0,1,0,0,0,0,20
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4
PUERTO ACOSTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,2,2,1,1,0,0,0,0,6
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,2,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,1,1,3,1,2,0,0,0,0,8
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN LORENZO(PND),atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
SAN LORENZO(TJA),atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN PABLO DE LIPEZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,7,1,13,14,2,4,13,22,10,5,0,0,0,0,91
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,5,9,10,20,0,1,3,14,3,2,0,0,0,0,67
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,1,0,0,3,1,0,0,1,0,1,0,0,0,0,7
YUNGUYO DE LITORAL,atencion odontologica,cirugia bucomaxilofacial menor,2017-03-01,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,1,0,1,0,3,0,1,1,0,0,0,0,0,7
"CAIZA ""D""",atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,1,2,6,1,8,0,0,0,0,18
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,3,5,6,12,4,2,10,41,65,26,0,0,0,0,174
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,2,0,0,0,1,2,3,0,0,0,0,0,0,8
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,6,3,1,0,0,0,0,0,10
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,1,0,0,0,0,0,5,0,4,0,0,0,0,0,10
"COLCHA ""K""",atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,3,0,7,0,0,0,0,0,0,0,10
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CRUZ DE MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,1,8,5,0,4,0,2,1,0,0,0,0,0,21
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,6,2,4,5,3,2,5,3,3,2,0,0,0,0,35
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HUANUNI,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,4,3,5,6,1,3,12,13,3,2,0,0,0,0,52
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,1,0,4,2,1,0,8,3,4,0,0,0,0,0,23
POCONA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,2,3,4,0,0,0,0,9
PORVENIR,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,1,2,1,2,0,1,4,6,1,1,0,0,0,0,19
SACABA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,1,1,1,0,0,1,0,0,0,0,0,0,4
SAN AGUSTIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN PABLO DE LIPEZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,1,2,0,0,0,0,0,3,2,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,4,0,15,7,2,7,9,10,0,1,0,0,0,0,55
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,2,0,0,0,0,0,2,1,0,0,0,0,5
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,1,0,0,0,2,0,1,0,0,0,0,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,1,0,0,0,6,0,0,0,0,0,0,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,0,1,0,1,1,1,0,1,0,0,0,0,5
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2017-04-01,0,0,2,3,1,1,4,6,1,2,0,0,0,0,20
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,1,0,5,2,0,2,2,3,7,0,0,0,0,0,22
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,12,5,0,0,0,0,0,0,0,0,0,0,17
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,3,1,9,8,0,1,8,9,40,20,0,0,0,0,99
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,1,0,1,5,9,0,0,0,0,0,0,16
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,4,2,4,1,0,0,0,2,0,0,0,0,0,0,13
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,7,8,2,4,1,3,2,0,0,0,0,0,27
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,2,6,4,4,0,1,14,17,7,4,0,0,0,0,59
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,1,0,0,5,7,1,1,0,0,0,0,15
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,1,1,0,0,2,3,0,2,0,0,0,0,9
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,29,31,16,5,3,5,5,25,0,0,0,0,0,0,119
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,13,9,2,2,1,5,4,4,0,0,0,0,40
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,2,2,0,0,2,0,0,0,0,0,0,0,0,0,6
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,2,1,1,2,5,6,2,1,0,0,0,0,20
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
SAN LORENZO(PND),atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
SAN LUCAS,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,1,1,3,0,0,0,2,15,2,7,0,0,0,0,31
SAN PABLO DE LIPEZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,1,2,0,0,3,0,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,2,2,1,2,1,2,1,11,0,0,0,0,0,0,22
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,1,1,5,2,0,0,0,0,0,0,9
VINTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4
YOTALA,atencion odontologica,cirugia bucomaxilofacial menor,2017-05-01,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
CAIROMA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,1,0,13,0,0,0,0,0,0,0,0,0,0,0,14
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,5,1,7,15,0,6,2,13,10,13,0,0,0,0,72
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,1,1,1,3,6,4,0,0,0,0,0,16
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
COMARAPA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,2,0,1,0,0,2,3,3,0,0,0,0,0,11
COTOCA,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,4,7,0,4,0,5,3,3,0,0,0,0,26
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,1,0,0,0,0,1,2,2,0,0,0,0,0,0,6
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,1,2,0,0,5,0,0,0,0,0,0,8
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2017-06-01,6,0,1,2,1,5,17,33,2,2,0,0,0,0,69
