,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
ARBIETO,atencion odontologica,restauraciones,2017-01-01,29,59,15,11,1,28,1,99,13,13,0,0,0,0,269
ARQUE,atencion odontologica,restauraciones,2017-01-01,3,4,0,0,0,4,0,6,0,0,0,0,0,0,17
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2017-01-01,12,6,1,3,0,13,1,46,0,0,0,0,0,0,82
ATOCHA,atencion odontologica,restauraciones,2017-01-01,10,10,23,37,23,22,82,44,5,1,0,0,0,0,257
AUCAPATA,atencion odontologica,restauraciones,2017-01-01,3,3,0,2,0,9,2,10,0,0,0,0,0,0,29
AYATA,atencion odontologica,restauraciones,2017-01-01,7,4,0,0,1,5,1,9,3,0,0,0,0,0,30
AYO AYO,atencion odontologica,restauraciones,2017-01-01,2,6,1,1,0,8,5,9,1,1,0,0,0,0,34
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2017-01-01,25,30,31,18,21,56,38,86,5,1,0,0,0,0,311
AZURDUY,atencion odontologica,restauraciones,2017-01-01,2,2,5,0,11,6,7,21,0,0,0,0,0,0,54
BATALLAS,atencion odontologica,restauraciones,2017-01-01,15,16,0,0,1,2,1,22,3,0,0,0,0,0,60
BAURES,atencion odontologica,restauraciones,2017-01-01,0,0,1,2,1,4,3,8,2,2,0,0,0,0,23
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2017-01-01,4,1,0,0,0,0,1,4,0,7,0,0,0,0,17
BELEN DE URMIRI,atencion odontologica,restauraciones,2017-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
BELLA FLOR,atencion odontologica,restauraciones,2017-01-01,2,0,0,4,0,0,4,3,0,0,0,0,0,0,13
BERMEJO,atencion odontologica,restauraciones,2017-01-01,3,3,38,65,39,100,56,141,15,9,0,0,0,0,469
BETANZOS,atencion odontologica,restauraciones,2017-01-01,11,11,10,16,13,27,22,40,1,6,0,0,0,0,157
BOLIVAR,atencion odontologica,restauraciones,2017-01-01,5,0,0,3,2,2,2,16,0,1,0,0,0,0,31
BOYUIBE,atencion odontologica,restauraciones,2017-01-01,0,4,5,2,1,3,1,9,2,0,0,0,0,0,27
BUENA VISTA,atencion odontologica,restauraciones,2017-01-01,27,46,7,10,3,18,7,24,4,2,0,0,0,0,148
CABEZAS,atencion odontologica,restauraciones,2017-01-01,7,6,7,4,3,12,12,15,0,2,0,0,0,0,68
CAIROMA,atencion odontologica,restauraciones,2017-01-01,2,3,0,1,3,4,9,1,0,0,0,0,0,0,23
"CAIZA ""D""",atencion odontologica,restauraciones,2017-01-01,7,3,0,0,1,3,4,15,0,0,0,0,0,0,33
CAJUATA,atencion odontologica,restauraciones,2017-01-01,5,13,0,6,4,14,1,27,0,0,0,0,0,0,70
CALACOTO,atencion odontologica,restauraciones,2017-01-01,10,4,0,3,0,2,2,2,1,1,0,0,0,0,25
CALAMARCA,atencion odontologica,restauraciones,2017-01-01,14,15,2,9,4,29,2,35,2,1,0,0,0,0,113
CAMARGO,atencion odontologica,restauraciones,2017-01-01,21,22,3,6,3,5,6,22,0,5,0,0,0,0,93
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2017-01-01,0,0,0,2,2,4,12,18,0,0,0,0,0,0,38
CAMIRI,atencion odontologica,restauraciones,2017-01-01,34,35,14,2,8,5,16,46,16,11,0,0,0,0,187
CAPINOTA,atencion odontologica,restauraciones,2017-01-01,81,70,68,92,24,12,30,80,11,5,0,0,0,0,473
CAQUIAVIRI,atencion odontologica,restauraciones,2017-01-01,9,3,8,5,8,6,5,16,1,0,0,0,0,0,61
CARACOLLO,atencion odontologica,restauraciones,2017-01-01,26,29,56,61,7,67,25,74,1,2,0,0,0,0,348
CARANAVI,atencion odontologica,restauraciones,2017-01-01,51,47,6,12,3,21,5,123,12,10,0,0,0,0,290
CARAPARI,atencion odontologica,restauraciones,2017-01-01,7,7,37,54,47,108,51,102,0,1,0,0,0,0,414
CARIPUYO,atencion odontologica,restauraciones,2017-01-01,2,7,3,3,3,3,2,9,1,3,0,0,0,0,36
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2017-01-01,5,5,0,0,0,0,5,15,1,1,0,0,0,0,32
CATACORA,atencion odontologica,restauraciones,2017-01-01,0,0,2,1,0,0,2,7,0,0,0,0,0,0,12
CHACARILLA,atencion odontologica,restauraciones,2017-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
CHALLAPATA,atencion odontologica,restauraciones,2017-01-01,48,98,59,63,3,55,10,133,10,31,0,0,0,0,510
CHAQUI,atencion odontologica,restauraciones,2017-01-01,2,8,1,2,2,6,2,33,3,1,0,0,0,0,60
CHARAGUA,atencion odontologica,restauraciones,2017-01-01,11,10,3,9,6,17,7,23,2,0,0,0,0,0,88
CHARAÑA,atencion odontologica,restauraciones,2017-01-01,0,0,2,2,1,0,1,1,0,0,0,0,0,0,7
CHAYANTA,atencion odontologica,restauraciones,2017-01-01,12,24,13,14,16,11,6,32,1,1,0,0,0,0,130
CHIMORE,atencion odontologica,restauraciones,2017-01-01,54,66,16,13,6,47,6,40,19,8,0,0,0,0,275
CHIPAYA,atencion odontologica,restauraciones,2017-01-01,1,0,2,0,0,6,1,16,0,0,0,0,0,0,26
CHOQUE COTA,atencion odontologica,restauraciones,2017-01-01,0,0,0,3,0,5,1,4,3,0,0,0,0,0,16
CHUA COCANI,atencion odontologica,restauraciones,2017-01-01,4,1,0,0,0,2,2,10,3,6,0,0,0,0,28
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2017-01-01,29,35,13,8,0,5,10,32,0,5,0,0,0,0,137
CHUMA,atencion odontologica,restauraciones,2017-01-01,11,19,2,9,17,29,39,49,14,13,0,0,0,0,202
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2017-01-01,17,9,0,2,0,2,1,35,0,2,0,0,0,0,68
CKOCHAS,atencion odontologica,restauraciones,2017-01-01,5,6,2,2,3,7,3,11,3,2,0,0,0,0,44
CLIZA,atencion odontologica,restauraciones,2017-01-01,57,56,34,52,2,14,19,48,17,15,0,0,0,0,314
COBIJA,atencion odontologica,restauraciones,2017-01-01,58,39,32,19,33,40,47,61,4,3,0,0,0,0,336
COCAPATA,atencion odontologica,restauraciones,2017-01-01,34,31,8,3,6,64,14,63,1,2,0,0,0,0,226
COCHABAMBA,atencion odontologica,restauraciones,2017-01-01,962,975,858,926,507,762,1155,2657,433,266,0,0,0,0,9501
COIPASA,atencion odontologica,restauraciones,2017-01-01,2,0,3,0,0,3,3,4,7,0,0,0,0,0,22
COLCAPIRHUA,atencion odontologica,restauraciones,2017-01-01,187,186,7,15,3,18,4,258,57,71,0,0,0,0,806
"COLCHA ""K""",atencion odontologica,restauraciones,2017-01-01,15,16,1,4,0,12,1,22,4,1,0,0,0,0,76
COLLANA,atencion odontologica,restauraciones,2017-01-01,0,0,1,5,4,1,5,4,0,0,0,0,0,0,20
COLOMI,atencion odontologica,restauraciones,2017-01-01,31,42,4,13,0,28,0,44,3,2,0,0,0,0,167
COLQUECHACA,atencion odontologica,restauraciones,2017-01-01,22,10,22,29,4,19,15,51,5,5,0,0,0,0,182
COLQUENCHA,atencion odontologica,restauraciones,2017-01-01,19,14,17,19,15,22,6,27,2,0,0,0,0,0,141
COLQUIRI,atencion odontologica,restauraciones,2017-01-01,46,21,11,8,6,8,4,19,8,6,0,0,0,0,137
COMARAPA,atencion odontologica,restauraciones,2017-01-01,32,50,10,13,7,21,18,42,2,1,0,0,0,0,196
COMBAYA,atencion odontologica,restauraciones,2017-01-01,0,0,0,1,0,1,1,3,2,0,0,0,0,0,8
CONCEPCION,atencion odontologica,restauraciones,2017-01-01,1,3,14,6,9,4,11,22,1,1,0,0,0,0,72
COPACABANA,atencion odontologica,restauraciones,2017-01-01,23,4,9,5,0,8,2,6,1,1,0,0,0,0,59
CORIPATA,atencion odontologica,restauraciones,2017-01-01,9,9,5,6,1,5,2,9,2,1,0,0,0,0,49
CORO CORO,atencion odontologica,restauraciones,2017-01-01,11,4,20,32,5,9,18,9,1,1,0,0,0,0,110
COROICO,atencion odontologica,restauraciones,2017-01-01,13,10,19,27,15,15,12,46,5,4,0,0,0,0,166
CORQUE,atencion odontologica,restauraciones,2017-01-01,4,8,0,2,2,7,2,9,8,5,0,0,0,0,47
COTAGAITA,atencion odontologica,restauraciones,2017-01-01,39,33,44,74,16,113,60,134,5,11,0,0,0,0,529
COTOCA,atencion odontologica,restauraciones,2017-01-01,50,37,3,4,11,0,0,60,2,2,0,0,0,0,169
CUATRO CAÑADAS,atencion odontologica,restauraciones,2017-01-01,45,48,2,7,10,12,9,59,7,10,0,0,0,0,209
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2017-01-01,9,5,0,7,8,16,10,63,0,0,0,0,0,0,118
CUEVO,atencion odontologica,restauraciones,2017-01-01,0,0,4,10,4,13,13,9,2,0,0,0,0,0,55
CULPINA,atencion odontologica,restauraciones,2017-01-01,4,4,0,9,1,3,8,21,2,4,0,0,0,0,56
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2017-01-01,10,8,0,4,0,3,7,17,4,5,0,0,0,0,58
CURVA,atencion odontologica,restauraciones,2017-01-01,4,9,1,0,1,3,0,2,0,0,0,0,0,0,20
DESAGUADERO,atencion odontologica,restauraciones,2017-01-01,7,5,3,1,1,2,3,7,4,0,0,0,0,0,33
EL ALTO,atencion odontologica,restauraciones,2017-01-01,1015,1079,2268,2646,1042,1609,590,1212,126,114,0,0,0,0,11701
EL CHORO,atencion odontologica,restauraciones,2017-01-01,7,12,2,0,1,2,4,3,0,0,0,0,0,0,31
EL PUENTE(STC),atencion odontologica,restauraciones,2017-01-01,5,15,0,0,0,3,1,12,1,2,0,0,0,0,39
EL PUENTE(TJA),atencion odontologica,restauraciones,2017-01-01,7,0,8,13,12,15,11,53,0,2,0,0,0,0,121
EL TORNO,atencion odontologica,restauraciones,2017-01-01,143,158,39,70,18,66,26,168,9,10,0,0,0,0,707
EL VILLAR,atencion odontologica,restauraciones,2017-01-01,0,5,4,3,2,9,0,21,0,0,0,0,0,0,44
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2017-01-01,5,6,13,21,16,45,20,59,1,1,0,0,0,0,187
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2017-01-01,32,52,4,13,11,18,1,47,2,3,0,0,0,0,183
ESCARA,atencion odontologica,restauraciones,2017-01-01,3,5,0,0,0,0,0,0,0,3,0,0,0,0,11
ESCOMA,atencion odontologica,restauraciones,2017-01-01,2,0,1,1,2,3,6,5,3,0,0,0,0,0,23
EUCALIPTUS,atencion odontologica,restauraciones,2017-01-01,0,1,8,4,0,6,2,16,0,2,0,0,0,0,39
EXALTACION,atencion odontologica,restauraciones,2017-01-01,8,0,0,1,1,3,0,9,0,0,0,0,0,0,22
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2017-01-01,19,11,4,3,5,10,4,31,10,1,0,0,0,0,98
FILADELFIA,atencion odontologica,restauraciones,2017-01-01,0,0,0,0,0,3,9,8,0,0,0,0,0,0,20
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2017-01-01,7,0,2,0,0,3,0,12,1,1,0,0,0,0,26
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2017-01-01,7,7,9,1,0,7,17,48,1,3,0,0,0,0,100
GUANAY,atencion odontologica,restauraciones,2017-01-01,2,2,1,0,1,2,1,7,3,0,0,0,0,0,19
GUAQUI,atencion odontologica,restauraciones,2017-01-01,9,8,1,2,5,10,2,36,9,4,0,0,0,0,86
GUAYARAMERIN,atencion odontologica,restauraciones,2017-01-01,72,55,144,170,149,159,112,363,41,7,0,0,0,0,1272
GUTIERREZ,atencion odontologica,restauraciones,2017-01-01,2,2,3,7,4,3,16,21,7,4,0,0,0,0,69
HUACARETA,atencion odontologica,restauraciones,2017-01-01,13,9,0,3,1,7,3,6,0,2,0,0,0,0,44
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2017-01-01,0,1,0,3,2,2,3,1,0,0,0,0,0,0,12
HUACHACALLA,atencion odontologica,restauraciones,2017-01-01,2,0,1,7,0,12,5,23,5,0,0,0,0,0,55
HUANUNI,atencion odontologica,restauraciones,2017-01-01,49,47,55,111,58,100,44,60,9,5,0,0,0,0,538
HUARACAJE,atencion odontologica,restauraciones,2017-01-01,3,1,1,2,2,15,3,18,6,0,0,0,0,0,51
HUARINA,atencion odontologica,restauraciones,2017-01-01,3,0,1,4,1,1,1,3,0,1,0,0,0,0,15
HUATAJATA,atencion odontologica,restauraciones,2017-01-01,5,13,0,12,1,6,0,8,0,1,0,0,0,0,46
HUAYLLAMARCA,atencion odontologica,restauraciones,2017-01-01,4,6,3,3,7,6,11,8,5,5,0,0,0,0,58
HUMANATA,atencion odontologica,restauraciones,2017-01-01,2,0,0,2,2,1,1,3,10,14,0,0,0,0,35
ICHOCA,atencion odontologica,restauraciones,2017-01-01,9,2,1,2,0,7,5,7,3,3,0,0,0,0,39
ICLA,atencion odontologica,restauraciones,2017-01-01,2,7,7,14,2,14,18,32,1,3,0,0,0,0,100
INCAHUASI,atencion odontologica,restauraciones,2017-01-01,0,0,6,5,2,6,9,12,0,0,0,0,0,0,40
INGAVI (HUMAITA),atencion odontologica,restauraciones,2017-01-01,4,11,2,2,0,4,0,3,0,0,0,0,0,0,26
INQUISIVI,atencion odontologica,restauraciones,2017-01-01,5,2,1,4,2,14,3,8,2,1,0,0,0,0,42
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2017-01-01,53,51,8,12,2,15,14,50,13,8,0,0,0,0,226
IXIAMAS,atencion odontologica,restauraciones,2017-01-01,0,3,16,12,2,0,7,9,3,0,0,0,0,0,52
JESUS DE MACHACA,atencion odontologica,restauraciones,2017-01-01,13,13,6,1,10,24,3,25,8,4,0,0,0,0,107
LA ASUNTA,atencion odontologica,restauraciones,2017-01-01,38,63,38,36,15,41,46,110,2,0,0,0,0,0,389
LA GUARDIA,atencion odontologica,restauraciones,2017-01-01,90,169,2,22,7,29,19,83,16,16,0,0,0,0,453
LA PAZ,atencion odontologica,restauraciones,2017-01-01,1397,1425,1531,1504,663,1081,1387,2812,479,388,0,0,0,0,12667
LA RIVERA,atencion odontologica,restauraciones,2017-01-01,6,2,9,1,0,9,0,13,0,6,0,0,0,0,46
LAGUNILLAS,atencion odontologica,restauraciones,2017-01-01,0,0,1,6,6,8,22,32,0,1,0,0,0,0,76
LAJA,atencion odontologica,restauraciones,2017-01-01,26,23,9,4,6,17,4,50,6,4,0,0,0,0,149
LAS CARRERAS,atencion odontologica,restauraciones,2017-01-01,5,1,8,4,3,21,19,38,2,0,0,0,0,0,101
LICOMA PAMPA,atencion odontologica,restauraciones,2017-01-01,3,7,0,1,0,0,0,2,0,1,0,0,0,0,14
LLALLAGUA,atencion odontologica,restauraciones,2017-01-01,95,101,5,13,5,20,7,73,2,4,0,0,0,0,325
LORETO,atencion odontologica,restauraciones,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LURIBAY,atencion odontologica,restauraciones,2017-01-01,2,2,2,3,0,5,2,10,3,0,0,0,0,0,29
MACHACAMARCA,atencion odontologica,restauraciones,2017-01-01,16,6,70,116,21,66,27,100,2,10,0,0,0,0,434
MACHARETI,atencion odontologica,restauraciones,2017-01-01,6,0,15,6,5,10,0,20,2,1,0,0,0,0,65
MAGDALENA,atencion odontologica,restauraciones,2017-01-01,5,16,8,10,5,21,16,21,0,5,0,0,0,0,107
MAIRANA,atencion odontologica,restauraciones,2017-01-01,30,19,19,0,2,6,7,37,3,1,0,0,0,0,124
MALLA,atencion odontologica,restauraciones,2017-01-01,1,2,0,0,0,4,0,11,9,2,0,0,0,0,29
MAPIRI,atencion odontologica,restauraciones,2017-01-01,0,5,7,0,2,1,3,10,1,0,0,0,0,0,29
MECAPACA,atencion odontologica,restauraciones,2017-01-01,21,11,0,2,1,2,3,7,3,0,0,0,0,0,50
MINEROS,atencion odontologica,restauraciones,2017-01-01,5,10,0,0,0,30,0,40,0,0,0,0,0,0,85
MIZQUE,atencion odontologica,restauraciones,2017-01-01,22,26,12,43,23,19,30,45,16,20,0,0,0,0,256
MOCOMOCO,atencion odontologica,restauraciones,2017-01-01,0,1,3,2,4,5,6,19,0,0,0,0,0,0,40
MOJINETE,atencion odontologica,restauraciones,2017-01-01,0,0,0,2,0,2,0,2,0,0,0,0,0,0,6
MOJOCOYA,atencion odontologica,restauraciones,2017-01-01,4,1,6,12,46,16,26,29,0,0,0,0,0,0,140
MONTEAGUDO,atencion odontologica,restauraciones,2017-01-01,61,57,43,49,13,54,35,155,4,2,0,0,0,0,473
MONTERO,atencion odontologica,restauraciones,2017-01-01,85,90,120,179,85,145,130,358,23,11,0,0,0,0,1226
MORO MORO,atencion odontologica,restauraciones,2017-01-01,2,0,6,2,0,3,0,1,0,0,0,0,0,0,14
MOROCHATA,atencion odontologica,restauraciones,2017-01-01,6,9,3,9,1,14,16,31,10,9,0,0,0,0,108
NAZACARA DE PACAJES,atencion odontologica,restauraciones,2017-01-01,2,0,0,4,2,2,0,5,0,0,0,0,0,0,15
OCURI,atencion odontologica,restauraciones,2017-01-01,4,2,0,2,1,12,1,17,8,10,0,0,0,0,57
OKINAWA,atencion odontologica,restauraciones,2017-01-01,8,5,1,1,0,0,0,2,5,1,0,0,0,0,23
ORURO,atencion odontologica,restauraciones,2017-01-01,493,547,488,522,304,556,657,1055,194,75,0,0,0,0,4891
PADCAYA,atencion odontologica,restauraciones,2017-01-01,0,0,10,14,25,51,22,25,0,0,0,0,0,0,147
PADILLA,atencion odontologica,restauraciones,2017-01-01,31,36,27,30,20,22,36,67,2,1,0,0,0,0,272
PAILON,atencion odontologica,restauraciones,2017-01-01,28,30,10,11,8,12,1,55,1,2,0,0,0,0,158
PALCA,atencion odontologica,restauraciones,2017-01-01,27,39,2,3,0,13,1,11,2,0,0,0,0,0,98
PALOS BLANCOS,atencion odontologica,restauraciones,2017-01-01,32,51,27,12,11,28,17,55,8,7,0,0,0,0,248
PAMPA AULLAGAS,atencion odontologica,restauraciones,2017-01-01,1,1,0,1,0,0,2,3,0,0,0,0,0,0,8
PAMPA GRANDE,atencion odontologica,restauraciones,2017-01-01,10,2,0,0,0,0,0,12,0,1,0,0,0,0,25
PAPEL PAMPA,atencion odontologica,restauraciones,2017-01-01,4,6,0,4,0,1,1,4,1,1,0,0,0,0,22
PASORAPA,atencion odontologica,restauraciones,2017-01-01,0,1,0,4,7,2,3,4,2,0,0,0,0,0,23
PATACAMAYA,atencion odontologica,restauraciones,2017-01-01,92,64,13,20,4,19,2,52,4,2,0,0,0,0,272
PAZÑA,atencion odontologica,restauraciones,2017-01-01,4,15,17,23,7,5,20,36,8,15,0,0,0,0,150
PELECHUCO,atencion odontologica,restauraciones,2017-01-01,37,21,1,0,0,2,2,9,0,0,0,0,0,0,72
POCOATA,atencion odontologica,restauraciones,2017-01-01,6,28,0,0,1,1,1,28,4,3,0,0,0,0,72
POCONA,atencion odontologica,restauraciones,2017-01-01,3,2,3,8,5,15,3,9,0,0,0,0,0,0,48
POJO (CBBA),atencion odontologica,restauraciones,2017-01-01,19,27,13,16,4,42,25,43,1,3,0,0,0,0,193
POOPO,atencion odontologica,restauraciones,2017-01-01,15,11,45,54,6,28,28,52,5,5,0,0,0,0,249
PORCO,atencion odontologica,restauraciones,2017-01-01,5,4,1,0,0,1,0,13,0,0,0,0,0,0,24
POROMA,atencion odontologica,restauraciones,2017-01-01,4,6,1,1,0,5,15,17,5,0,0,0,0,0,54
PORONGO,atencion odontologica,restauraciones,2017-01-01,1,2,0,0,0,2,2,5,1,1,0,0,0,0,14
PORTACHUELO,atencion odontologica,restauraciones,2017-01-01,0,2,47,27,24,22,7,38,0,0,0,0,0,0,167
PORVENIR,atencion odontologica,restauraciones,2017-01-01,8,11,15,14,5,5,4,15,1,1,0,0,0,0,79
POTOSI,atencion odontologica,restauraciones,2017-01-01,331,238,201,245,171,275,248,584,87,54,0,0,0,0,2434
PRESTO,atencion odontologica,restauraciones,2017-01-01,0,0,1,0,0,0,3,5,0,0,0,0,0,0,9
PUCARA,atencion odontologica,restauraciones,2017-01-01,3,1,0,2,1,6,5,16,0,0,0,0,0,0,34
PUCARANI,atencion odontologica,restauraciones,2017-01-01,32,31,9,10,4,23,6,40,1,1,0,0,0,0,157
PUERTO ACOSTA,atencion odontologica,restauraciones,2017-01-01,10,1,9,2,7,3,6,7,7,1,0,0,0,0,53
PUERTO CARABUCO,atencion odontologica,restauraciones,2017-01-01,9,1,6,9,5,6,8,24,0,1,0,0,0,0,69
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2017-01-01,10,13,4,12,0,8,5,40,0,0,0,0,0,0,92
PUERTO QUIJARRO,atencion odontologica,restauraciones,2017-01-01,2,0,0,0,4,0,0,1,0,0,0,0,0,0,7
PUERTO RICO,atencion odontologica,restauraciones,2017-01-01,2,4,2,0,4,9,10,8,0,0,0,0,0,0,39
PUERTO SUAREZ,atencion odontologica,restauraciones,2017-01-01,4,7,1,0,0,1,4,11,0,6,0,0,0,0,34
PUERTO VILLARROEL,atencion odontologica,restauraciones,2017-01-01,102,78,25,23,10,53,18,164,13,6,0,0,0,0,492
PUNA,atencion odontologica,restauraciones,2017-01-01,4,16,10,11,7,9,15,41,6,1,0,0,0,0,120
PUNATA,atencion odontologica,restauraciones,2017-01-01,48,57,66,26,16,27,31,96,7,13,0,0,0,0,387
QUIABAYA,atencion odontologica,restauraciones,2017-01-01,5,10,1,5,1,13,1,4,2,0,0,0,0,0,42
QUILLACOLLO,atencion odontologica,restauraciones,2017-01-01,266,368,287,329,140,262,276,578,81,83,0,0,0,0,2670
QUIME,atencion odontologica,restauraciones,2017-01-01,49,49,8,16,6,22,27,40,11,11,0,0,0,0,239
QUIRUSILLAS,atencion odontologica,restauraciones,2017-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
RAVELO,atencion odontologica,restauraciones,2017-01-01,7,9,0,0,1,9,5,15,1,0,0,0,0,0,47
REYES,atencion odontologica,restauraciones,2017-01-01,3,4,6,21,0,5,17,18,2,4,0,0,0,0,80
RIBERALTA,atencion odontologica,restauraciones,2017-01-01,7,11,21,26,13,27,8,42,7,3,0,0,0,0,165
ROBORE,atencion odontologica,restauraciones,2017-01-01,0,3,6,5,6,11,18,21,0,1,0,0,0,0,71
RURRENABAQUE,atencion odontologica,restauraciones,2017-01-01,54,44,55,59,58,64,58,71,24,19,0,0,0,0,506
SABAYA,atencion odontologica,restauraciones,2017-01-01,2,5,5,12,0,5,9,11,23,2,0,0,0,0,74
SACABA,atencion odontologica,restauraciones,2017-01-01,340,297,559,588,144,389,99,338,47,62,0,0,0,0,2863
SACABAMBA,atencion odontologica,restauraciones,2017-01-01,0,4,5,6,1,1,6,6,3,1,0,0,0,0,33
SACACA,atencion odontologica,restauraciones,2017-01-01,5,0,2,0,0,5,2,7,0,0,0,0,0,0,21
SAIPINA,atencion odontologica,restauraciones,2017-01-01,6,16,13,11,9,8,8,45,7,1,0,0,0,0,124
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2017-01-01,26,30,29,15,16,29,35,45,28,18,0,0,0,0,271
SAMAIPATA,atencion odontologica,restauraciones,2017-01-01,5,0,2,7,1,2,1,6,7,0,0,0,0,0,31
SAN AGUSTIN,atencion odontologica,restauraciones,2017-01-01,3,0,0,0,0,2,0,2,0,0,0,0,0,0,7
SAN ANDRES,atencion odontologica,restauraciones,2017-01-01,6,1,4,4,0,6,2,13,0,0,0,0,0,0,36
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2017-01-01,9,6,0,0,0,3,4,11,9,3,0,0,0,0,45
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2017-01-01,2,2,0,0,3,3,3,4,0,0,0,0,0,0,17
SAN BENITO,atencion odontologica,restauraciones,2017-01-01,6,21,11,2,0,12,0,24,4,1,0,0,0,0,81
SAN BORJA,atencion odontologica,restauraciones,2017-01-01,26,35,23,32,14,77,30,143,38,28,0,0,0,0,446
SAN BUENA VENTURA,atencion odontologica,restauraciones,2017-01-01,5,7,0,6,0,6,4,10,0,0,0,0,0,0,38
SAN CARLOS,atencion odontologica,restauraciones,2017-01-01,12,13,35,36,10,15,18,26,4,3,0,0,0,0,172
SAN IGNACIO,atencion odontologica,restauraciones,2017-01-01,16,33,72,120,29,39,56,107,5,6,0,0,0,0,483
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2017-01-01,24,12,32,13,9,18,22,49,8,3,0,0,0,0,190
