,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
ATOCHA,atencion odontologica,aplicacion de fluor,2017-01-01,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4
AUCAPATA,atencion odontologica,aplicacion de fluor,2017-01-01,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6
AYATA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,aplicacion de fluor,2017-01-01,4,3,0,2,0,3,3,2,0,1,0,0,0,0,18
AZURDUY,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BATALLAS,atencion odontologica,aplicacion de fluor,2017-01-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5
BELLA FLOR,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,aplicacion de fluor,2017-01-01,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10
BOLIVAR,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
BOYUIBE,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BUENA VISTA,atencion odontologica,aplicacion de fluor,2017-01-01,2,9,2,0,0,5,1,1,0,0,0,0,0,0,20
CABEZAS,atencion odontologica,aplicacion de fluor,2017-01-01,58,75,3,1,3,2,2,4,0,0,0,0,0,0,148
CAIROMA,atencion odontologica,aplicacion de fluor,2017-01-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5
CAJUATA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CALAMARCA,atencion odontologica,aplicacion de fluor,2017-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
CAMARGO,atencion odontologica,aplicacion de fluor,2017-01-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,aplicacion de fluor,2017-01-01,44,64,12,16,4,7,1,9,1,3,0,0,0,0,161
CAPINOTA,atencion odontologica,aplicacion de fluor,2017-01-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4
CAQUIAVIRI,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
CARACOLLO,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,3,4,1,1,0,6,1,0,0,0,0,0,19
CARANAVI,atencion odontologica,aplicacion de fluor,2017-01-01,59,59,17,21,5,4,1,11,1,0,0,0,0,0,178
CARAPARI,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
CARIPUYO,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
CARMEN RIVERO TORREZ,atencion odontologica,aplicacion de fluor,2017-01-01,14,14,0,0,0,0,0,0,0,0,0,0,0,0,28
CHALLAPATA,atencion odontologica,aplicacion de fluor,2017-01-01,6,4,9,9,0,4,1,9,0,3,0,0,0,0,45
CHAQUI,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,0,0,0,1,0,2,0,1,0,0,0,0,7
CHARAGUA,atencion odontologica,aplicacion de fluor,2017-01-01,34,29,0,3,4,0,1,1,0,0,0,0,0,0,72
CHARAÑA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
CHAYANTA,atencion odontologica,aplicacion de fluor,2017-01-01,3,0,1,1,0,0,0,0,0,0,0,0,0,0,5
CHUA COCANI,atencion odontologica,aplicacion de fluor,2017-01-01,7,5,0,0,0,1,0,0,0,0,0,0,0,0,13
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,aplicacion de fluor,2017-01-01,8,8,1,1,0,0,0,0,0,0,0,0,0,0,18
CHUMA,atencion odontologica,aplicacion de fluor,2017-01-01,2,2,1,0,1,0,0,2,0,0,0,0,0,0,8
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5
CKOCHAS,atencion odontologica,aplicacion de fluor,2017-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
CLIZA,atencion odontologica,aplicacion de fluor,2017-01-01,4,2,2,1,0,2,0,0,0,4,0,0,0,0,15
COBIJA,atencion odontologica,aplicacion de fluor,2017-01-01,69,84,2,0,1,7,0,6,0,0,0,0,0,0,169
COCAPATA,atencion odontologica,aplicacion de fluor,2017-01-01,28,18,0,0,0,1,1,3,0,0,0,0,0,0,51
COCHABAMBA,atencion odontologica,aplicacion de fluor,2017-01-01,197,193,119,111,52,72,51,135,17,6,0,0,0,0,953
COIPASA,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
COLCAPIRHUA,atencion odontologica,aplicacion de fluor,2017-01-01,18,13,0,0,0,2,0,19,5,7,0,0,0,0,64
"COLCHA ""K""",atencion odontologica,aplicacion de fluor,2017-01-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,4
COLLANA,atencion odontologica,aplicacion de fluor,2017-01-01,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3
COLOMI,atencion odontologica,aplicacion de fluor,2017-01-01,3,6,0,0,0,0,0,1,0,0,0,0,0,0,10
COLPA BELGICA,atencion odontologica,aplicacion de fluor,2017-01-01,18,21,74,78,0,2,0,3,0,0,0,0,0,0,196
COLQUECHACA,atencion odontologica,aplicacion de fluor,2017-01-01,3,4,0,0,0,0,0,0,0,1,0,0,0,0,8
COLQUENCHA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
COLQUIRI,atencion odontologica,aplicacion de fluor,2017-01-01,4,2,0,0,0,1,0,0,0,0,0,0,0,0,7
COMARAPA,atencion odontologica,aplicacion de fluor,2017-01-01,7,7,0,0,0,1,0,5,0,0,0,0,0,0,20
COMBAYA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CONCEPCION,atencion odontologica,aplicacion de fluor,2017-01-01,3,13,1,0,2,0,1,1,0,0,0,0,0,0,21
COPACABANA,atencion odontologica,aplicacion de fluor,2017-01-01,11,8,1,1,0,0,0,0,0,0,0,0,0,0,21
CORIPATA,atencion odontologica,aplicacion de fluor,2017-01-01,15,10,1,2,0,1,0,2,0,0,0,0,0,0,31
COROICO,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COTAGAITA,atencion odontologica,aplicacion de fluor,2017-01-01,8,4,4,3,3,0,1,11,0,0,0,0,0,0,34
COTOCA,atencion odontologica,aplicacion de fluor,2017-01-01,77,80,0,0,0,4,0,14,1,0,0,0,0,0,176
CUATRO CAÑADAS,atencion odontologica,aplicacion de fluor,2017-01-01,45,48,0,0,0,2,0,0,0,1,0,0,0,0,96
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,aplicacion de fluor,2017-01-01,2,0,0,0,0,1,0,2,0,0,0,0,0,0,5
CUEVO,atencion odontologica,aplicacion de fluor,2017-01-01,10,5,1,2,0,1,0,10,0,0,0,0,0,0,29
CULPINA,atencion odontologica,aplicacion de fluor,2017-01-01,9,6,0,0,0,0,0,0,0,0,0,0,0,0,15
CURAHUARA DE CARANGAS,atencion odontologica,aplicacion de fluor,2017-01-01,4,3,0,0,0,0,0,1,0,0,0,0,0,0,8
CURVA,atencion odontologica,aplicacion de fluor,2017-01-01,12,13,0,0,0,0,0,0,0,0,0,0,0,0,25
DESAGUADERO,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,aplicacion de fluor,2017-01-01,194,217,201,247,72,98,6,40,0,0,0,0,0,0,1075
EL CHORO,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,0,0,0,1,0,2,0,0,0,0,0,0,6
EL PUENTE(STC),atencion odontologica,aplicacion de fluor,2017-01-01,31,33,0,0,0,4,0,24,0,0,0,0,0,0,92
EL PUENTE(TJA),atencion odontologica,aplicacion de fluor,2017-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
EL TORNO,atencion odontologica,aplicacion de fluor,2017-01-01,177,157,35,34,3,10,9,37,3,1,0,0,0,0,466
ENTRE RIOS TRJ,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,2,2,0,1,0,0,0,0,0,0,0,0,5
ENTRE RIOS CBBA,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,0,1,1,0,0,1,0,0,0,0,0,0,6
FILADELFIA,atencion odontologica,aplicacion de fluor,2017-01-01,5,4,6,9,0,0,0,0,0,0,0,0,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,aplicacion de fluor,2017-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
GUANAY,atencion odontologica,aplicacion de fluor,2017-01-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,11
GUAQUI,atencion odontologica,aplicacion de fluor,2017-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6
GUAYARAMERIN,atencion odontologica,aplicacion de fluor,2017-01-01,4,6,2,14,2,2,0,1,0,0,0,0,0,0,31
GUTIERREZ,atencion odontologica,aplicacion de fluor,2017-01-01,19,15,0,0,0,0,0,0,0,0,0,0,0,0,34
HUACARETA,atencion odontologica,aplicacion de fluor,2017-01-01,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3
HUACHACALLA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,0,0,3,2,2,0,0,0,0,7
HUANUNI,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,1,1,1,2,1,0,0,0,0,0,0,0,9
HUARACAJE,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,1,3,1,3,0,0,0,0,0,0,8
HUARINA,atencion odontologica,aplicacion de fluor,2017-01-01,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9
HUATAJATA,atencion odontologica,aplicacion de fluor,2017-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
HUAYLLAMARCA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
HUMANATA,atencion odontologica,aplicacion de fluor,2017-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
ICHOCA,atencion odontologica,aplicacion de fluor,2017-01-01,17,20,0,0,0,0,0,0,0,0,0,0,0,0,37
ICLA,atencion odontologica,aplicacion de fluor,2017-01-01,35,26,1,1,1,5,4,3,1,0,0,0,0,0,77
INGAVI (HUMAITA),atencion odontologica,aplicacion de fluor,2017-01-01,9,7,0,0,0,0,0,0,0,0,0,0,0,0,16
INQUISIVI,atencion odontologica,aplicacion de fluor,2017-01-01,5,2,1,0,0,0,0,1,0,0,0,0,0,0,9
IRUPANA (VILLA DE LANZA),atencion odontologica,aplicacion de fluor,2017-01-01,25,27,2,3,0,0,0,1,0,0,0,0,0,0,58
IXIAMAS,atencion odontologica,aplicacion de fluor,2017-01-01,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4
JESUS DE MACHACA,atencion odontologica,aplicacion de fluor,2017-01-01,6,10,0,0,0,1,0,0,0,0,0,0,0,0,17
LA ASUNTA,atencion odontologica,aplicacion de fluor,2017-01-01,31,24,1,0,0,1,0,1,0,0,0,0,0,0,58
LA GUARDIA,atencion odontologica,aplicacion de fluor,2017-01-01,58,81,0,0,0,2,1,1,1,2,0,0,0,0,146
LA PAZ,atencion odontologica,aplicacion de fluor,2017-01-01,302,287,306,299,86,119,75,107,35,14,0,0,0,0,1630
LAJA,atencion odontologica,aplicacion de fluor,2017-01-01,7,8,0,0,0,1,0,0,0,1,0,0,0,0,17
LICOMA PAMPA,atencion odontologica,aplicacion de fluor,2017-01-01,3,1,0,0,0,0,0,1,0,1,0,0,0,0,6
LLALLAGUA,atencion odontologica,aplicacion de fluor,2017-01-01,3,7,1,0,0,1,0,0,0,0,0,0,0,0,12
LORETO,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4
LURIBAY,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,5
MACHACAMARCA,atencion odontologica,aplicacion de fluor,2017-01-01,1,0,1,2,1,0,0,1,0,0,0,0,0,0,6
MACHARETI,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MAGDALENA,atencion odontologica,aplicacion de fluor,2017-01-01,2,0,3,5,0,0,0,0,0,0,0,0,0,0,10
MAIRANA,atencion odontologica,aplicacion de fluor,2017-01-01,39,28,3,6,1,2,0,13,0,0,0,0,0,0,92
MALLA,atencion odontologica,aplicacion de fluor,2017-01-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,16
MAPIRI,atencion odontologica,aplicacion de fluor,2017-01-01,5,4,0,0,0,15,0,25,0,0,0,0,0,0,49
MECAPACA,atencion odontologica,aplicacion de fluor,2017-01-01,2,13,1,0,0,0,0,0,0,0,0,0,0,0,16
MIZQUE,atencion odontologica,aplicacion de fluor,2017-01-01,21,20,0,0,0,0,0,0,0,0,0,0,0,0,41
MOCOMOCO,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
MOJOCOYA,atencion odontologica,aplicacion de fluor,2017-01-01,4,6,0,2,3,0,2,1,0,0,0,0,0,0,18
MONTEAGUDO,atencion odontologica,aplicacion de fluor,2017-01-01,4,6,0,4,0,1,1,2,0,0,0,0,0,0,18
MONTERO,atencion odontologica,aplicacion de fluor,2017-01-01,119,140,38,43,10,28,12,72,33,33,0,0,0,0,528
MORO MORO,atencion odontologica,aplicacion de fluor,2017-01-01,15,10,0,0,0,0,0,0,0,0,0,0,0,0,25
MOROCHATA,atencion odontologica,aplicacion de fluor,2017-01-01,14,17,0,0,0,1,0,0,0,0,0,0,0,0,32
OCURI,atencion odontologica,aplicacion de fluor,2017-01-01,3,6,1,0,0,0,0,2,0,0,0,0,0,0,12
OKINAWA,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,aplicacion de fluor,2017-01-01,28,29,10,15,5,11,44,30,1,0,0,0,0,0,173
PADCAYA,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
PADILLA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,3,2,0,0,0,0,0,0,0,0,0,0,7
PAILON,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4
PALCA,atencion odontologica,aplicacion de fluor,2017-01-01,7,8,4,3,0,0,0,0,0,0,0,0,0,0,22
PALOS BLANCOS,atencion odontologica,aplicacion de fluor,2017-01-01,34,32,22,14,1,1,3,5,0,1,0,0,0,0,113
PAMPA GRANDE,atencion odontologica,aplicacion de fluor,2017-01-01,16,19,1,2,0,0,0,4,0,0,0,0,0,0,42
PAPEL PAMPA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,1,3,0,0,0,0,0,0,0,0,0,0,6
PATACAMAYA,atencion odontologica,aplicacion de fluor,2017-01-01,6,4,2,2,0,0,3,2,0,0,0,0,0,0,19
PAZÑA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
PELECHUCO,atencion odontologica,aplicacion de fluor,2017-01-01,10,10,0,1,0,0,0,0,0,0,0,0,0,0,21
POCOATA,atencion odontologica,aplicacion de fluor,2017-01-01,4,8,0,0,0,0,0,0,0,0,0,0,0,0,12
POCONA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4
POJO (CBBA),atencion odontologica,aplicacion de fluor,2017-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
POOPO,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,5,2,1,2,1,1,0,0,0,0,0,14
POROMA,atencion odontologica,aplicacion de fluor,2017-01-01,10,9,0,0,0,0,0,0,0,0,0,0,0,0,19
PORONGO,atencion odontologica,aplicacion de fluor,2017-01-01,1,4,0,1,0,1,0,0,0,0,0,0,0,0,7
PORVENIR,atencion odontologica,aplicacion de fluor,2017-01-01,12,14,0,3,0,1,0,0,0,0,0,0,0,0,30
POTOSI,atencion odontologica,aplicacion de fluor,2017-01-01,44,49,12,14,8,13,21,33,3,4,0,0,0,0,201
PRESTO,atencion odontologica,aplicacion de fluor,2017-01-01,9,4,0,0,0,0,0,0,0,0,0,0,0,0,13
PUCARA,atencion odontologica,aplicacion de fluor,2017-01-01,11,7,1,0,0,0,0,0,0,1,0,0,0,0,20
PUCARANI,atencion odontologica,aplicacion de fluor,2017-01-01,15,22,0,2,0,2,0,21,0,0,0,0,0,0,62
PUERTO ACOSTA,atencion odontologica,aplicacion de fluor,2017-01-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
PUERTO GONZALO MORENO,atencion odontologica,aplicacion de fluor,2017-01-01,22,26,4,8,2,8,1,19,2,1,0,0,0,0,93
PUERTO QUIJARRO,atencion odontologica,aplicacion de fluor,2017-01-01,15,9,0,0,0,0,0,0,0,0,0,0,0,0,24
PUERTO RICO,atencion odontologica,aplicacion de fluor,2017-01-01,14,15,10,19,0,1,0,0,0,0,0,0,0,0,59
PUERTO SUAREZ,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10
PUERTO VILLARROEL,atencion odontologica,aplicacion de fluor,2017-01-01,11,13,0,0,0,0,0,1,0,0,0,0,0,0,25
PUNA,atencion odontologica,aplicacion de fluor,2017-01-01,5,6,0,0,0,0,0,0,0,0,0,0,0,0,11
PUNATA,atencion odontologica,aplicacion de fluor,2017-01-01,4,6,1,1,2,3,2,2,0,2,0,0,0,0,23
QUIABAYA,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,aplicacion de fluor,2017-01-01,63,65,45,52,28,44,39,54,28,22,0,0,0,0,440
QUIME,atencion odontologica,aplicacion de fluor,2017-01-01,8,6,3,0,0,0,0,0,0,0,0,0,0,0,17
RAVELO,atencion odontologica,aplicacion de fluor,2017-01-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,16
REYES,atencion odontologica,aplicacion de fluor,2017-01-01,1,1,1,5,1,2,0,6,0,0,0,0,0,0,17
RIBERALTA,atencion odontologica,aplicacion de fluor,2017-01-01,11,15,9,11,19,23,0,21,12,24,0,0,0,0,145
ROBORE,atencion odontologica,aplicacion de fluor,2017-01-01,14,18,10,11,0,0,0,0,0,0,0,0,0,0,53
RURRENABAQUE,atencion odontologica,aplicacion de fluor,2017-01-01,36,33,42,45,29,33,30,29,4,6,0,0,0,0,287
SABAYA,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SACABA,atencion odontologica,aplicacion de fluor,2017-01-01,20,14,28,21,7,18,2,9,5,3,0,0,0,0,127
SACACA,atencion odontologica,aplicacion de fluor,2017-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6
SAIPINA,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
SALINAS DE GARCI MENDOZA,atencion odontologica,aplicacion de fluor,2017-01-01,20,15,4,3,2,3,0,6,18,16,0,0,0,0,87
SAMAIPATA,atencion odontologica,aplicacion de fluor,2017-01-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,11
SAN ANDRES,atencion odontologica,aplicacion de fluor,2017-01-01,13,3,4,4,0,0,0,0,0,0,0,0,0,0,24
SAN ANDRES DE MACHACA,atencion odontologica,aplicacion de fluor,2017-01-01,10,2,1,1,0,0,0,0,0,0,0,0,0,0,14
SAN ANTONIO DE LOMERIO,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,aplicacion de fluor,2017-01-01,2,1,1,0,0,0,0,1,0,0,0,0,0,0,5
SAN BORJA,atencion odontologica,aplicacion de fluor,2017-01-01,4,10,2,3,0,1,0,0,0,0,0,0,0,0,20
SAN BUENA VENTURA,atencion odontologica,aplicacion de fluor,2017-01-01,2,3,0,3,0,3,0,0,0,0,0,0,0,0,11
SAN IGNACIO,atencion odontologica,aplicacion de fluor,2017-01-01,3,2,27,24,7,10,3,4,0,0,0,0,0,0,80
SAN IGNACIO DE VELASCO,atencion odontologica,aplicacion de fluor,2017-01-01,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3
SAN JAVIER(STC),atencion odontologica,aplicacion de fluor,2017-01-01,13,18,2,2,1,1,4,3,0,0,0,0,0,0,44
SAN JOAQUIN,atencion odontologica,aplicacion de fluor,2017-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
SAN JOSE DE CHIQUITOS,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN JUAN DE YAPACANI,atencion odontologica,aplicacion de fluor,2017-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
SAN JULIAN,atencion odontologica,aplicacion de fluor,2017-01-01,163,159,28,16,0,5,0,20,1,3,0,0,0,0,395
SAN LORENZO(PND),atencion odontologica,aplicacion de fluor,2017-01-01,9,10,2,2,0,2,0,0,0,0,0,0,0,0,25
SAN LORENZO(TJA),atencion odontologica,aplicacion de fluor,2017-01-01,4,4,3,0,1,0,0,1,0,0,0,0,0,0,13
SAN LUCAS,atencion odontologica,aplicacion de fluor,2017-01-01,26,19,0,1,0,0,0,2,0,0,0,0,0,0,48
SAN MATIAS,atencion odontologica,aplicacion de fluor,2017-01-01,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5
SAN PABLO DE LIPEZ,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SAN PEDRO DE CURAHUARA,atencion odontologica,aplicacion de fluor,2017-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE TIQUINA,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN RAFAEL,atencion odontologica,aplicacion de fluor,2017-01-01,11,8,0,0,0,1,0,2,0,0,0,0,0,0,22
SAN RAMON SCZ,atencion odontologica,aplicacion de fluor,2017-01-01,35,46,0,0,0,0,0,0,0,0,0,0,0,0,81
SANTA ANA,atencion odontologica,aplicacion de fluor,2017-01-01,9,11,12,12,1,6,1,14,0,0,0,0,0,0,66
SANTA CRUZ DE LA SIERRA,atencion odontologica,aplicacion de fluor,2017-01-01,959,1048,437,414,98,189,156,501,71,69,0,0,0,0,3942
SANTA ROSA,atencion odontologica,aplicacion de fluor,2017-01-01,1,2,2,1,0,0,0,0,0,0,0,0,0,0,6
SANTA ROSA DEL SARA,atencion odontologica,aplicacion de fluor,2017-01-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,8
SANTIAGO DE CALLAPA,atencion odontologica,aplicacion de fluor,2017-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SANTIAGO DE HUARI,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,1,7,2,1,0,2,1,2,0,0,0,0,17
SANTIAGO DE HUATA,atencion odontologica,aplicacion de fluor,2017-01-01,5,3,1,0,0,1,0,1,0,0,0,0,0,0,11
SAPAHAQUI,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SENA,atencion odontologica,aplicacion de fluor,2017-01-01,5,3,2,3,0,0,0,0,0,0,0,0,0,0,13
SICA SICA (VILLA AROMA),atencion odontologica,aplicacion de fluor,2017-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
