,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2017-01-01,8,25,12,45,23,33,11,39,0,5,0,12,0,4,217
ARBIETO,atencion odontologica,consulta nueva,2017-01-01,116,145,44,27,4,51,7,170,29,47,0,68,0,68,776
ARQUE,atencion odontologica,consulta nueva,2017-01-01,11,6,0,2,0,8,3,11,2,6,0,5,0,12,66
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2017-01-01,59,24,12,10,0,4,2,16,17,6,0,65,0,17,232
ATOCHA,atencion odontologica,consulta nueva,2017-01-01,27,45,48,70,35,59,128,132,20,10,0,14,0,8,596
AUCAPATA,atencion odontologica,consulta nueva,2017-01-01,17,14,10,9,0,32,9,74,10,0,0,23,0,0,198
AYATA,atencion odontologica,consulta nueva,2017-01-01,14,6,8,11,4,8,12,27,8,5,0,3,0,6,112
AYO AYO,atencion odontologica,consulta nueva,2017-01-01,4,7,14,15,5,11,10,34,5,11,0,4,0,13,133
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2017-01-01,35,50,66,62,38,83,79,174,15,18,0,30,0,66,716
AZURDUY,atencion odontologica,consulta nueva,2017-01-01,11,9,12,2,14,17,17,37,2,0,0,1,0,18,140
BATALLAS,atencion odontologica,consulta nueva,2017-01-01,34,36,18,17,11,19,13,67,21,13,0,9,0,12,270
BAURES,atencion odontologica,consulta nueva,2017-01-01,1,0,2,8,1,21,9,18,2,3,0,1,0,1,67
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2017-01-01,4,3,1,0,1,3,1,13,2,15,0,1,0,3,47
BELEN DE URMIRI,atencion odontologica,consulta nueva,2017-01-01,1,2,0,1,0,1,1,1,0,0,0,0,0,0,7
BELLA FLOR,atencion odontologica,consulta nueva,2017-01-01,3,1,2,10,1,3,5,12,7,3,0,5,0,0,52
BERMEJO,atencion odontologica,consulta nueva,2017-01-01,14,12,102,102,73,120,118,225,15,17,0,39,0,28,865
BETANZOS,atencion odontologica,consulta nueva,2017-01-01,28,32,14,12,9,27,29,56,8,12,0,12,0,9,248
BOLIVAR,atencion odontologica,consulta nueva,2017-01-01,5,2,6,8,5,10,12,21,1,6,0,16,0,5,97
BOYUIBE,atencion odontologica,consulta nueva,2017-01-01,1,7,7,4,1,4,2,11,4,0,0,0,0,0,41
BUENA VISTA,atencion odontologica,consulta nueva,2017-01-01,46,79,23,28,3,26,15,33,17,12,0,0,0,8,290
CABEZAS,atencion odontologica,consulta nueva,2017-01-01,122,121,18,28,18,33,42,70,7,18,0,43,0,39,559
CAIROMA,atencion odontologica,consulta nueva,2017-01-01,5,10,2,4,7,9,18,24,3,1,0,0,0,1,84
"CAIZA ""D""",atencion odontologica,consulta nueva,2017-01-01,41,15,13,14,3,11,10,40,3,8,0,10,0,7,175
CAJUATA,atencion odontologica,consulta nueva,2017-01-01,46,53,14,13,9,38,11,93,10,0,0,22,0,43,352
CALACOTO,atencion odontologica,consulta nueva,2017-01-01,15,11,0,5,5,6,3,6,5,4,0,1,0,2,63
CALAMARCA,atencion odontologica,consulta nueva,2017-01-01,22,24,38,46,15,67,16,95,12,14,0,15,0,32,396
CAMARGO,atencion odontologica,consulta nueva,2017-01-01,79,84,15,32,11,32,15,96,5,17,0,31,0,46,463
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2017-01-01,4,4,3,22,5,14,15,26,5,9,0,5,0,0,112
CAMIRI,atencion odontologica,consulta nueva,2017-01-01,129,192,26,42,30,46,68,140,57,37,0,68,0,30,865
CAPINOTA,atencion odontologica,consulta nueva,2017-01-01,108,106,90,106,26,20,35,96,29,31,0,1,0,7,655
CAQUIAVIRI,atencion odontologica,consulta nueva,2017-01-01,22,9,25,15,12,13,10,37,9,4,0,2,0,6,164
CARACOLLO,atencion odontologica,consulta nueva,2017-01-01,38,45,47,80,11,60,44,110,9,13,0,25,0,13,495
CARANAVI,atencion odontologica,consulta nueva,2017-01-01,121,122,59,60,15,42,25,205,65,24,0,55,0,144,937
CARAPARI,atencion odontologica,consulta nueva,2017-01-01,16,23,85,134,104,180,95,226,14,5,0,6,0,0,888
CARIPUYO,atencion odontologica,consulta nueva,2017-01-01,17,19,8,7,5,6,12,31,6,8,0,9,0,9,137
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2017-01-01,50,40,0,0,0,0,58,70,14,9,0,77,0,30,348
CATACORA,atencion odontologica,consulta nueva,2017-01-01,0,0,2,1,7,3,3,10,2,0,0,0,0,2,30
CHACARILLA,atencion odontologica,consulta nueva,2017-01-01,14,1,2,0,0,1,2,6,18,13,0,0,0,0,57
CHALLAPATA,atencion odontologica,consulta nueva,2017-01-01,173,228,237,256,21,127,73,381,37,63,0,76,0,86,1758
CHAQUI,atencion odontologica,consulta nueva,2017-01-01,10,25,9,10,11,14,6,60,22,28,0,16,0,18,229
CHARAGUA,atencion odontologica,consulta nueva,2017-01-01,47,35,19,12,18,18,38,51,6,6,0,22,0,5,277
CHARAÑA,atencion odontologica,consulta nueva,2017-01-01,3,9,6,3,1,1,3,4,1,0,0,3,0,0,34
CHAYANTA,atencion odontologica,consulta nueva,2017-01-01,59,82,21,22,8,18,13,78,7,19,0,19,0,13,359
CHIMORE,atencion odontologica,consulta nueva,2017-01-01,111,153,34,35,10,55,8,142,23,16,0,54,0,63,704
CHIPAYA,atencion odontologica,consulta nueva,2017-01-01,4,0,8,0,5,0,7,17,3,4,0,18,0,0,66
CHOQUE COTA,atencion odontologica,consulta nueva,2017-01-01,2,0,6,10,0,14,5,21,12,4,0,2,0,2,78
CHUA COCANI,atencion odontologica,consulta nueva,2017-01-01,23,14,3,9,4,20,9,30,19,34,0,5,0,4,174
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2017-01-01,83,71,31,28,4,9,18,44,1,6,0,7,0,12,314
CHUMA,atencion odontologica,consulta nueva,2017-01-01,28,50,21,28,26,54,109,129,60,61,0,35,0,21,622
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2017-01-01,26,7,3,13,1,19,1,79,1,4,0,36,0,47,237
CKOCHAS,atencion odontologica,consulta nueva,2017-01-01,8,7,4,6,4,13,9,35,10,12,0,9,0,12,129
CLIZA,atencion odontologica,consulta nueva,2017-01-01,100,121,94,107,18,82,39,89,69,70,0,52,0,29,870
COBIJA,atencion odontologica,consulta nueva,2017-01-01,197,214,74,70,36,77,100,153,25,4,0,79,0,27,1056
COCAPATA,atencion odontologica,consulta nueva,2017-01-01,210,182,19,16,21,138,29,111,92,70,0,37,0,114,1039
COCHABAMBA,atencion odontologica,consulta nueva,2017-01-01,2151,2262,1020,1017,513,933,1309,3240,629,528,0,675,0,895,15172
COIPASA,atencion odontologica,consulta nueva,2017-01-01,9,4,8,3,0,5,6,10,8,0,0,2,0,1,56
COLCAPIRHUA,atencion odontologica,consulta nueva,2017-01-01,484,426,51,51,15,51,22,454,122,139,0,117,0,249,2181
"COLCHA ""K""",atencion odontologica,consulta nueva,2017-01-01,96,77,8,16,6,16,24,85,31,32,0,10,0,34,435
COLLANA,atencion odontologica,consulta nueva,2017-01-01,13,9,8,13,10,6,12,17,4,7,0,2,0,1,102
COLOMI,atencion odontologica,consulta nueva,2017-01-01,156,152,31,24,12,57,2,97,23,34,0,59,0,69,716
COLPA BELGICA,atencion odontologica,consulta nueva,2017-01-01,11,11,4,3,0,0,0,4,0,0,0,0,0,0,33
COLQUECHACA,atencion odontologica,consulta nueva,2017-01-01,63,43,23,29,18,62,31,181,86,101,0,55,0,51,743
COLQUENCHA,atencion odontologica,consulta nueva,2017-01-01,35,29,75,70,41,82,21,104,18,15,0,8,0,1,499
COLQUIRI,atencion odontologica,consulta nueva,2017-01-01,102,67,18,30,12,15,26,66,29,16,0,15,0,19,415
COMARAPA,atencion odontologica,consulta nueva,2017-01-01,62,68,11,19,8,17,31,86,9,5,0,3,0,0,319
COMBAYA,atencion odontologica,consulta nueva,2017-01-01,0,0,2,2,0,1,4,7,4,0,0,0,0,0,20
CONCEPCION,atencion odontologica,consulta nueva,2017-01-01,1,2,3,1,4,1,1,2,0,0,0,1,0,0,16
COPACABANA,atencion odontologica,consulta nueva,2017-01-01,33,31,22,11,4,30,9,32,16,12,0,20,0,2,222
CORIPATA,atencion odontologica,consulta nueva,2017-01-01,31,27,18,16,10,16,20,38,6,1,0,3,0,2,188
CORO CORO,atencion odontologica,consulta nueva,2017-01-01,11,10,19,41,11,27,27,25,6,10,0,2,0,1,190
COROICO,atencion odontologica,consulta nueva,2017-01-01,13,6,5,23,9,10,13,26,4,5,0,1,0,0,115
CORQUE,atencion odontologica,consulta nueva,2017-01-01,6,13,1,5,8,11,8,23,19,24,0,10,0,3,131
COTAGAITA,atencion odontologica,consulta nueva,2017-01-01,79,83,82,126,34,133,105,215,37,66,0,7,0,15,982
COTOCA,atencion odontologica,consulta nueva,2017-01-01,356,287,29,38,6,34,5,155,27,8,0,21,0,3,969
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2017-01-01,160,196,9,18,3,26,8,114,25,37,0,49,0,44,689
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2017-01-01,13,6,3,13,8,24,17,89,4,10,0,13,0,24,224
CUEVO,atencion odontologica,consulta nueva,2017-01-01,14,7,15,25,10,27,27,51,3,2,0,10,0,0,191
CULPINA,atencion odontologica,consulta nueva,2017-01-01,78,42,28,45,7,32,40,112,12,13,0,26,0,39,474
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2017-01-01,27,25,12,12,4,5,7,33,10,15,0,1,0,17,168
CURVA,atencion odontologica,consulta nueva,2017-01-01,33,46,3,3,2,6,4,12,3,4,0,3,0,4,123
DESAGUADERO,atencion odontologica,consulta nueva,2017-01-01,27,15,9,6,1,7,10,14,19,11,0,0,0,0,119
EL ALTO,atencion odontologica,consulta nueva,2017-01-01,1740,1648,3600,4275,1211,3082,689,1629,185,142,0,300,0,257,18758
EL CHORO,atencion odontologica,consulta nueva,2017-01-01,47,40,14,7,4,5,10,14,4,6,0,3,0,4,158
EL PUENTE(STC),atencion odontologica,consulta nueva,2017-01-01,45,57,0,1,1,8,4,5,3,4,0,25,0,18,171
EL PUENTE(TJA),atencion odontologica,consulta nueva,2017-01-01,12,3,35,44,30,44,27,112,6,9,0,2,0,0,324
EL TORNO,atencion odontologica,consulta nueva,2017-01-01,481,538,172,202,34,124,87,395,43,45,0,146,0,110,2377
EL VILLAR,atencion odontologica,consulta nueva,2017-01-01,7,14,5,5,5,13,5,37,0,3,0,7,0,1,102
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2017-01-01,34,32,51,80,58,99,58,143,22,15,0,12,0,5,609
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2017-01-01,91,98,9,36,21,43,5,86,4,11,0,30,0,70,504
ESCARA,atencion odontologica,consulta nueva,2017-01-01,6,8,1,0,0,0,0,1,12,12,0,0,0,0,40
ESCOMA,atencion odontologica,consulta nueva,2017-01-01,7,3,10,8,10,14,26,32,21,13,0,0,0,0,144
EUCALIPTUS,atencion odontologica,consulta nueva,2017-01-01,2,16,30,14,4,8,16,54,5,8,0,3,0,12,172
EXALTACION,atencion odontologica,consulta nueva,2017-01-01,8,1,0,6,4,5,2,16,1,1,0,1,0,3,48
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2017-01-01,29,26,8,8,5,18,5,40,13,4,0,17,0,3,176
FILADELFIA,atencion odontologica,consulta nueva,2017-01-01,15,15,27,31,3,5,14,30,9,0,0,6,0,0,155
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2017-01-01,9,2,2,3,0,7,3,26,1,9,0,6,0,4,72
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2017-01-01,23,22,19,17,6,20,50,98,23,34,0,21,0,14,347
GUANAY,atencion odontologica,consulta nueva,2017-01-01,54,33,3,1,2,8,4,26,13,4,0,13,0,3,164
GUAQUI,atencion odontologica,consulta nueva,2017-01-01,26,20,9,10,17,32,19,94,38,47,0,19,0,36,367
GUAYARAMERIN,atencion odontologica,consulta nueva,2017-01-01,66,44,116,145,93,109,71,308,27,11,0,140,0,20,1150
GUTIERREZ,atencion odontologica,consulta nueva,2017-01-01,35,45,12,26,5,12,15,35,16,12,0,8,0,6,227
HUACARETA,atencion odontologica,consulta nueva,2017-01-01,25,11,3,2,1,8,3,9,1,3,0,3,0,6,75
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2017-01-01,14,14,2,6,2,2,4,5,0,0,0,1,0,0,50
HUACHACALLA,atencion odontologica,consulta nueva,2017-01-01,8,23,17,17,11,25,17,53,22,18,0,10,0,8,229
HUANUNI,atencion odontologica,consulta nueva,2017-01-01,91,91,129,168,81,140,44,98,9,10,0,10,0,13,884
HUARACAJE,atencion odontologica,consulta nueva,2017-01-01,1,0,19,3,7,24,18,45,8,3,0,4,0,0,132
HUARINA,atencion odontologica,consulta nueva,2017-01-01,12,27,5,12,7,12,2,24,2,7,0,2,0,7,119
HUATAJATA,atencion odontologica,consulta nueva,2017-01-01,24,37,12,30,10,27,7,60,12,22,0,15,0,11,267
HUAYLLAMARCA,atencion odontologica,consulta nueva,2017-01-01,10,15,20,22,11,17,17,34,15,13,0,3,0,3,180
HUMANATA,atencion odontologica,consulta nueva,2017-01-01,4,1,2,1,1,1,3,6,21,37,0,3,0,6,86
ICHOCA,atencion odontologica,consulta nueva,2017-01-01,62,65,8,14,0,10,17,40,94,65,0,12,0,0,387
ICLA,atencion odontologica,consulta nueva,2017-01-01,90,85,36,30,8,34,41,81,4,7,0,10,0,8,434
INCAHUASI,atencion odontologica,consulta nueva,2017-01-01,14,16,24,9,7,16,24,54,4,8,0,25,0,3,204
INGAVI (HUMAITA),atencion odontologica,consulta nueva,2017-01-01,21,33,2,2,1,5,6,9,0,0,0,0,0,1,80
INQUISIVI,atencion odontologica,consulta nueva,2017-01-01,64,41,13,16,12,33,19,53,28,31,0,21,0,18,349
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2017-01-01,122,132,22,34,8,36,37,100,53,30,0,9,0,21,604
IXIAMAS,atencion odontologica,consulta nueva,2017-01-01,8,19,40,43,13,13,43,47,11,6,0,2,0,7,252
JESUS DE MACHACA,atencion odontologica,consulta nueva,2017-01-01,51,70,16,17,29,52,20,60,26,16,0,6,0,26,389
LA ASUNTA,atencion odontologica,consulta nueva,2017-01-01,116,126,106,83,36,91,97,237,19,12,0,45,0,67,1035
LA GUARDIA,atencion odontologica,consulta nueva,2017-01-01,236,331,23,37,21,46,41,132,51,60,0,53,0,46,1077
LA PAZ,atencion odontologica,consulta nueva,2017-01-01,2611,2434,1993,2066,863,1320,1769,3398,569,578,0,587,0,328,18516
LA RIVERA,atencion odontologica,consulta nueva,2017-01-01,11,12,15,3,3,17,0,22,0,10,0,10,0,0,103
LAGUNILLAS,atencion odontologica,consulta nueva,2017-01-01,0,0,8,4,6,12,9,37,2,1,0,0,0,0,79
LAJA,atencion odontologica,consulta nueva,2017-01-01,72,73,55,44,19,64,18,151,30,48,0,27,0,50,651
LAS CARRERAS,atencion odontologica,consulta nueva,2017-01-01,9,2,19,17,5,33,27,69,11,9,0,11,0,13,225
LICOMA PAMPA,atencion odontologica,consulta nueva,2017-01-01,20,20,2,7,0,3,1,19,20,17,0,1,0,7,117
LLALLAGUA,atencion odontologica,consulta nueva,2017-01-01,249,263,35,42,18,40,25,155,14,19,0,64,0,46,970
LORETO,atencion odontologica,consulta nueva,2017-01-01,3,4,13,13,0,1,12,10,1,0,0,0,0,0,57
LURIBAY,atencion odontologica,consulta nueva,2017-01-01,8,8,7,10,3,11,9,38,11,11,0,2,0,3,121
MACHACAMARCA,atencion odontologica,consulta nueva,2017-01-01,26,14,91,108,22,64,29,111,13,24,0,17,0,16,535
MACHARETI,atencion odontologica,consulta nueva,2017-01-01,14,4,25,7,7,17,21,53,4,5,0,0,0,0,157
MAGDALENA,atencion odontologica,consulta nueva,2017-01-01,20,21,31,35,12,34,28,68,1,4,0,3,0,0,257
MAIRANA,atencion odontologica,consulta nueva,2017-01-01,87,63,25,58,11,13,13,67,8,1,0,37,0,42,425
MALLA,atencion odontologica,consulta nueva,2017-01-01,16,19,3,1,0,4,4,27,23,10,0,9,0,6,122
MAPIRI,atencion odontologica,consulta nueva,2017-01-01,19,18,12,5,6,22,15,86,6,2,0,51,0,27,269
MECAPACA,atencion odontologica,consulta nueva,2017-01-01,77,87,10,15,5,10,8,40,7,3,0,12,0,0,274
MINEROS,atencion odontologica,consulta nueva,2017-01-01,35,42,11,5,5,50,3,61,16,13,0,0,0,0,241
MIZQUE,atencion odontologica,consulta nueva,2017-01-01,107,103,47,97,40,45,25,104,37,87,0,20,0,57,769
MOCOMOCO,atencion odontologica,consulta nueva,2017-01-01,2,3,13,17,17,10,23,50,7,13,0,4,0,14,173
MOJINETE,atencion odontologica,consulta nueva,2017-01-01,0,0,0,14,0,3,2,9,1,0,0,0,0,5,34
MOJOCOYA,atencion odontologica,consulta nueva,2017-01-01,19,25,19,29,70,36,56,106,6,4,0,11,0,5,386
MONTEAGUDO,atencion odontologica,consulta nueva,2017-01-01,168,150,50,70,17,79,60,226,11,3,0,54,0,78,966
MONTERO,atencion odontologica,consulta nueva,2017-01-01,320,369,319,430,135,264,179,649,94,68,0,132,0,35,2994
MORO MORO,atencion odontologica,consulta nueva,2017-01-01,20,10,10,9,2,5,11,26,2,3,0,4,0,5,107
MOROCHATA,atencion odontologica,consulta nueva,2017-01-01,46,59,10,22,16,41,36,91,54,26,0,21,0,28,450
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2017-01-01,0,0,0,0,2,1,1,3,0,0,0,1,0,1,9
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2017-01-01,2,0,1,4,2,2,1,8,3,2,0,0,0,6,31
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2017-01-01,6,0,0,0,0,1,1,0,0,0,0,1,0,0,9
OCURI,atencion odontologica,consulta nueva,2017-01-01,45,51,10,9,6,21,19,75,48,59,0,18,0,32,393
OKINAWA,atencion odontologica,consulta nueva,2017-01-01,17,17,2,4,0,3,0,11,9,4,0,0,0,5,72
ORURO,atencion odontologica,consulta nueva,2017-01-01,1124,1178,764,965,335,569,866,1755,259,205,0,503,0,277,8800
PADCAYA,atencion odontologica,consulta nueva,2017-01-01,3,14,46,52,40,83,55,69,12,7,0,11,0,0,392
PADILLA,atencion odontologica,consulta nueva,2017-01-01,55,62,56,75,32,29,67,154,32,14,0,17,0,15,608
PAILON,atencion odontologica,consulta nueva,2017-01-01,22,29,12,13,14,20,5,78,3,2,0,28,0,30,256
PALCA,atencion odontologica,consulta nueva,2017-01-01,141,145,19,31,9,35,36,67,15,13,0,12,0,15,538
PALOS BLANCOS,atencion odontologica,consulta nueva,2017-01-01,75,105,51,45,22,70,42,136,33,18,0,22,0,84,703
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2017-01-01,1,1,7,1,0,0,2,3,0,0,0,0,0,0,15
PAMPA GRANDE,atencion odontologica,consulta nueva,2017-01-01,42,43,3,5,0,1,1,38,12,2,0,9,0,27,183
PAPEL PAMPA,atencion odontologica,consulta nueva,2017-01-01,23,14,2,11,0,3,9,26,22,8,0,4,0,6,128
PASORAPA,atencion odontologica,consulta nueva,2017-01-01,15,14,13,13,15,8,27,29,14,8,0,0,0,0,156
PATACAMAYA,atencion odontologica,consulta nueva,2017-01-01,122,114,15,21,11,18,13,53,9,9,0,6,0,23,414
PAZÑA,atencion odontologica,consulta nueva,2017-01-01,18,25,38,51,5,10,19,57,10,17,0,2,0,13,265
PELECHUCO,atencion odontologica,consulta nueva,2017-01-01,62,44,3,3,2,11,17,34,4,1,0,10,0,16,207
POCOATA,atencion odontologica,consulta nueva,2017-01-01,77,114,2,4,4,7,14,51,24,40,0,24,0,23,384
POCONA,atencion odontologica,consulta nueva,2017-01-01,11,9,6,11,8,20,9,12,0,0,0,0,0,4,90
POJO (CBBA),atencion odontologica,consulta nueva,2017-01-01,26,36,30,39,9,40,47,73,3,11,0,9,0,38,361
POOPO,atencion odontologica,consulta nueva,2017-01-01,33,28,33,34,5,20,30,86,5,7,0,16,0,19,316
PORCO,atencion odontologica,consulta nueva,2017-01-01,27,23,13,21,2,12,6,43,2,0,0,13,0,12,174
POROMA,atencion odontologica,consulta nueva,2017-01-01,30,31,4,6,0,7,21,37,3,0,0,4,0,0,143
PORONGO,atencion odontologica,consulta nueva,2017-01-01,32,28,2,5,2,6,15,17,27,52,0,10,0,10,206
PORTACHUELO,atencion odontologica,consulta nueva,2017-01-01,1,5,53,36,27,23,9,38,3,11,0,3,0,8,217
PORVENIR,atencion odontologica,consulta nueva,2017-01-01,27,36,21,28,7,14,15,26,3,3,0,14,0,10,204
POTOSI,atencion odontologica,consulta nueva,2017-01-01,801,649,333,427,223,450,466,1144,81,74,0,186,0,226,5060
PRESTO,atencion odontologica,consulta nueva,2017-01-01,20,8,5,0,3,1,9,18,3,0,0,5,0,2,74
PUCARA,atencion odontologica,consulta nueva,2017-01-01,4,0,4,1,0,5,4,16,2,0,0,7,0,0,43
PUCARANI,atencion odontologica,consulta nueva,2017-01-01,73,94,50,71,27,80,57,168,54,34,0,33,0,42,783
PUERTO ACOSTA,atencion odontologica,consulta nueva,2017-01-01,16,4,12,12,6,7,24,19,11,10,0,5,0,3,129
PUERTO CARABUCO,atencion odontologica,consulta nueva,2017-01-01,12,3,28,17,19,26,18,67,13,9,0,4,0,5,221
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2017-01-01,64,65,25,49,6,17,13,59,2,2,0,33,0,50,385
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2017-01-01,36,19,0,0,18,0,0,4,2,0,0,2,0,0,81
PUERTO RICO,atencion odontologica,consulta nueva,2017-01-01,34,38,26,30,10,16,24,38,16,6,0,14,0,20,272
PUERTO SUAREZ,atencion odontologica,consulta nueva,2017-01-01,6,8,9,7,9,5,9,20,5,17,0,8,0,2,105
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2017-01-01,220,209,65,52,17,82,32,240,31,23,0,109,0,107,1187
PUNA,atencion odontologica,consulta nueva,2017-01-01,8,22,31,34,9,21,43,91,24,8,0,1,0,13,305
PUNATA,atencion odontologica,consulta nueva,2017-01-01,141,143,168,139,29,64,73,292,47,80,0,55,0,110,1341
QUIABAYA,atencion odontologica,consulta nueva,2017-01-01,8,16,8,17,7,22,17,32,9,9,0,5,0,9,159
QUILLACOLLO,atencion odontologica,consulta nueva,2017-01-01,737,891,268,309,102,223,171,540,119,134,0,100,0,160,3754
QUIME,atencion odontologica,consulta nueva,2017-01-01,109,94,22,43,23,39,59,94,57,50,0,13,0,16,619
QUIRUSILLAS,atencion odontologica,consulta nueva,2017-01-01,0,0,2,0,0,0,0,3,0,0,0,0,0,0,5
RAVELO,atencion odontologica,consulta nueva,2017-01-01,98,97,6,5,1,24,13,72,43,61,0,26,0,32,478
REYES,atencion odontologica,consulta nueva,2017-01-01,3,2,17,17,8,11,17,17,4,0,0,3,0,0,99
RIBERALTA,atencion odontologica,consulta nueva,2017-01-01,67,63,60,57,50,119,64,156,54,26,0,76,0,83,875
ROBORE,atencion odontologica,consulta nueva,2017-01-01,14,22,57,45,66,25,19,64,7,1,0,14,0,9,343
RURRENABAQUE,atencion odontologica,consulta nueva,2017-01-01,54,49,59,61,49,57,46,65,24,21,0,41,0,32,558
SABAYA,atencion odontologica,consulta nueva,2017-01-01,9,13,14,26,2,11,22,29,41,10,0,10,0,4,191
SACABA,atencion odontologica,consulta nueva,2017-01-01,662,569,1548,1559,369,832,156,541,141,152,0,99,0,146,6774
SACABAMBA,atencion odontologica,consulta nueva,2017-01-01,0,8,11,12,2,3,12,29,10,9,0,0,0,5,101
SACACA,atencion odontologica,consulta nueva,2017-01-01,28,17,11,10,6,13,12,37,17,13,0,7,0,11,182
SAIPINA,atencion odontologica,consulta nueva,2017-01-01,18,30,30,20,13,4,16,27,10,4,0,35,0,11,218
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2017-01-01,82,83,60,55,21,48,43,75,65,65,0,14,0,19,630
SAMAIPATA,atencion odontologica,consulta nueva,2017-01-01,7,5,12,8,2,9,5,17,5,0,0,2,0,2,74
SAN AGUSTIN,atencion odontologica,consulta nueva,2017-01-01,3,4,1,5,1,3,4,13,1,1,0,0,0,5,41
SAN ANDRES,atencion odontologica,consulta nueva,2017-01-01,32,50,11,10,0,14,3,20,2,1,0,7,0,0,150
