,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
ATOCHA,atencion odontologica,endodoncia,2017-01-01,3,1,17,15,5,11,15,20,0,0,0,0,0,0,87
AUCAPATA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
AYO AYO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2017-01-01,6,2,19,13,7,9,18,24,0,5,0,0,0,0,103
AZURDUY,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BATALLAS,atencion odontologica,endodoncia,2017-01-01,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3
BELLA FLOR,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
BERMEJO,atencion odontologica,endodoncia,2017-01-01,0,1,7,2,3,3,7,6,0,0,0,0,0,0,29
BETANZOS,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,1,4,6,12,0,0,0,0,0,0,24
BOLIVAR,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BOYUIBE,atencion odontologica,endodoncia,2017-01-01,0,1,2,0,0,2,0,1,0,0,0,0,0,0,6
BUENA VISTA,atencion odontologica,endodoncia,2017-01-01,4,2,1,0,0,0,1,2,0,2,0,0,0,0,12
CABEZAS,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,0,5,0,0,0,2,0,0,0,0,8
CAIROMA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"CAIZA ""D""",atencion odontologica,endodoncia,2017-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CAJUATA,atencion odontologica,endodoncia,2017-01-01,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
CALAMARCA,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,2,0,0,2,0,0,0,0,0,0,5
CAMARGO,atencion odontologica,endodoncia,2017-01-01,3,3,0,1,2,1,0,3,0,0,0,0,0,0,13
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
CAMIRI,atencion odontologica,endodoncia,2017-01-01,4,9,1,0,1,2,0,7,2,1,0,0,0,0,27
CAPINOTA,atencion odontologica,endodoncia,2017-01-01,6,2,4,2,2,0,0,10,2,0,0,0,0,0,28
CAQUIAVIRI,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARACOLLO,atencion odontologica,endodoncia,2017-01-01,1,5,2,0,1,0,2,5,0,0,0,0,0,0,16
CARANAVI,atencion odontologica,endodoncia,2017-01-01,4,13,3,2,4,2,1,16,13,6,0,0,0,0,64
CARAPARI,atencion odontologica,endodoncia,2017-01-01,2,0,4,6,8,12,8,16,0,0,0,0,0,0,56
CARIPUYO,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4
CHALLAPATA,atencion odontologica,endodoncia,2017-01-01,1,7,4,3,0,2,1,12,0,1,0,0,0,0,31
CHAQUI,atencion odontologica,endodoncia,2017-01-01,1,0,0,1,3,1,1,3,1,0,0,0,0,0,11
CHARAGUA,atencion odontologica,endodoncia,2017-01-01,2,1,0,1,1,2,5,5,0,0,0,0,0,0,17
CHAYANTA,atencion odontologica,endodoncia,2017-01-01,5,2,4,3,7,1,8,6,0,1,0,0,0,0,37
CHIMORE,atencion odontologica,endodoncia,2017-01-01,2,5,2,0,0,0,1,1,4,2,0,0,0,0,17
CHIPAYA,atencion odontologica,endodoncia,2017-01-01,1,0,1,0,0,1,0,2,0,0,0,0,0,0,5
CHOQUE COTA,atencion odontologica,endodoncia,2017-01-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5
CHUA COCANI,atencion odontologica,endodoncia,2017-01-01,0,0,0,6,0,5,0,5,0,0,0,0,0,0,16
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2017-01-01,20,34,26,8,1,2,5,21,0,0,0,0,0,0,117
CHUMA,atencion odontologica,endodoncia,2017-01-01,1,1,2,0,1,5,9,8,3,3,0,0,0,0,33
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2017-01-01,3,0,1,5,0,6,2,13,0,0,0,0,0,0,30
CLIZA,atencion odontologica,endodoncia,2017-01-01,4,4,4,4,0,3,3,3,9,1,0,0,0,0,35
COBIJA,atencion odontologica,endodoncia,2017-01-01,3,6,0,1,0,3,4,10,1,0,0,0,0,0,28
COCAPATA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,3,1,2,0,0,0,0,0,0,6
COCHABAMBA,atencion odontologica,endodoncia,2017-01-01,147,142,146,170,78,162,257,387,112,79,0,0,0,0,1680
COIPASA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
COLCAPIRHUA,atencion odontologica,endodoncia,2017-01-01,13,11,2,0,0,2,0,9,3,1,0,0,0,0,41
"COLCHA ""K""",atencion odontologica,endodoncia,2017-01-01,8,0,0,0,0,0,1,1,1,0,0,0,0,0,11
COLLANA,atencion odontologica,endodoncia,2017-01-01,0,1,2,2,2,0,3,3,1,3,0,0,0,0,17
COLOMI,atencion odontologica,endodoncia,2017-01-01,10,7,1,1,0,3,1,2,1,5,0,0,0,0,31
COLQUECHACA,atencion odontologica,endodoncia,2017-01-01,4,1,0,5,1,11,3,14,0,6,0,0,0,0,45
COLQUENCHA,atencion odontologica,endodoncia,2017-01-01,0,1,3,0,0,4,0,0,0,1,0,0,0,0,9
COLQUIRI,atencion odontologica,endodoncia,2017-01-01,6,5,1,0,3,3,2,4,1,0,0,0,0,0,25
COMARAPA,atencion odontologica,endodoncia,2017-01-01,15,12,4,0,4,13,12,15,0,0,0,0,0,0,75
CONCEPCION,atencion odontologica,endodoncia,2017-01-01,0,2,0,0,0,3,0,4,0,0,0,0,0,0,9
COPACABANA,atencion odontologica,endodoncia,2017-01-01,3,2,0,0,0,1,1,4,0,0,0,0,0,0,11
CORIPATA,atencion odontologica,endodoncia,2017-01-01,6,6,1,0,4,12,13,14,1,0,0,0,0,0,57
CORO CORO,atencion odontologica,endodoncia,2017-01-01,0,1,1,0,1,1,4,4,0,0,0,0,0,0,12
COROICO,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
CORQUE,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,1,2,1,0,0,0,0,5
COTAGAITA,atencion odontologica,endodoncia,2017-01-01,11,15,30,55,28,42,39,55,2,3,0,0,0,0,280
CUATRO CAÑADAS,atencion odontologica,endodoncia,2017-01-01,3,0,1,0,0,0,1,1,0,1,0,0,0,0,7
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,1,3,6,0,0,0,0,0,0,11
CUEVO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CULPINA,atencion odontologica,endodoncia,2017-01-01,2,1,0,0,0,3,5,2,1,1,0,0,0,0,15
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CURVA,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,0,0,1,5,3,3,0,0,0,0,13
DESAGUADERO,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,0,3,6,1,3,0,0,0,0,0,14
EL ALTO,atencion odontologica,endodoncia,2017-01-01,128,104,199,231,108,215,132,223,23,19,0,0,0,0,1382
EL CHORO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,1,4,0,2,0,0,0,0,0,0,7
EL PUENTE(STC),atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EL PUENTE(TJA),atencion odontologica,endodoncia,2017-01-01,0,0,0,1,1,2,1,0,0,0,0,0,0,0,5
EL TORNO,atencion odontologica,endodoncia,2017-01-01,3,17,5,8,6,4,6,29,4,4,0,0,0,0,86
EL VILLAR,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,2,2,0,5,0,0,0,0,0,0,10
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2017-01-01,0,0,2,7,0,4,3,6,2,1,0,0,0,0,25
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2017-01-01,6,5,4,3,2,8,0,11,0,0,0,0,0,0,39
ESCARA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ESCOMA,atencion odontologica,endodoncia,2017-01-01,4,1,1,2,2,4,5,6,2,2,0,0,0,0,29
EUCALIPTUS,atencion odontologica,endodoncia,2017-01-01,1,3,4,4,0,1,0,2,0,0,0,0,0,0,15
EXALTACION,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,2,0,1,2,0,0,0,0,0,0,5
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2017-01-01,2,0,0,1,0,2,4,6,0,0,0,0,0,0,15
GUANAY,atencion odontologica,endodoncia,2017-01-01,2,0,1,0,0,1,0,6,1,1,0,0,0,0,12
GUAQUI,atencion odontologica,endodoncia,2017-01-01,0,1,2,1,5,3,2,12,0,5,0,0,0,0,31
GUAYARAMERIN,atencion odontologica,endodoncia,2017-01-01,11,9,5,2,0,3,1,22,0,0,0,0,0,0,53
HUACHACALLA,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,3,0,1,0,0,0,0,5
HUANUNI,atencion odontologica,endodoncia,2017-01-01,4,9,10,5,0,6,8,8,2,0,0,0,0,0,52
HUARACAJE,atencion odontologica,endodoncia,2017-01-01,0,2,2,0,3,2,2,13,1,0,0,0,0,0,25
HUARINA,atencion odontologica,endodoncia,2017-01-01,2,0,1,0,3,2,1,9,0,0,0,0,0,0,18
HUATAJATA,atencion odontologica,endodoncia,2017-01-01,3,5,2,4,0,2,1,6,0,1,0,0,0,0,24
HUAYLLAMARCA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,1,6,1,1,0,0,0,0,0,0,9
HUMANATA,atencion odontologica,endodoncia,2017-01-01,2,2,1,1,0,1,1,2,3,3,0,0,0,0,16
ICHOCA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ICLA,atencion odontologica,endodoncia,2017-01-01,0,0,2,4,2,3,2,6,0,0,0,0,0,0,19
INCAHUASI,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,2,0,6,3,0,0,0,0,0,0,11
INGAVI (HUMAITA),atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
INQUISIVI,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2017-01-01,1,2,0,1,2,3,1,2,0,1,0,0,0,0,13
IXIAMAS,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6
JESUS DE MACHACA,atencion odontologica,endodoncia,2017-01-01,0,2,0,2,3,4,0,10,0,0,0,0,0,0,21
LA ASUNTA,atencion odontologica,endodoncia,2017-01-01,8,5,6,6,4,8,7,19,0,2,0,0,0,0,65
LA GUARDIA,atencion odontologica,endodoncia,2017-01-01,4,20,0,1,0,1,0,2,0,0,0,0,0,0,28
LA PAZ,atencion odontologica,endodoncia,2017-01-01,139,129,259,215,117,176,410,798,119,101,0,0,0,0,2463
LAGUNILLAS,atencion odontologica,endodoncia,2017-01-01,0,0,1,2,1,1,3,5,0,0,0,0,0,0,13
LAJA,atencion odontologica,endodoncia,2017-01-01,0,0,3,1,0,3,0,3,0,2,0,0,0,0,12
LAS CARRERAS,atencion odontologica,endodoncia,2017-01-01,2,0,1,0,0,1,4,4,0,0,0,0,0,0,12
LLALLAGUA,atencion odontologica,endodoncia,2017-01-01,35,19,4,3,1,3,5,11,0,0,0,0,0,0,81
LURIBAY,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
MACHACAMARCA,atencion odontologica,endodoncia,2017-01-01,0,0,19,13,3,1,15,4,0,4,0,0,0,0,59
MACHARETI,atencion odontologica,endodoncia,2017-01-01,0,0,4,2,0,1,0,2,0,0,0,0,0,0,9
MAGDALENA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
MAIRANA,atencion odontologica,endodoncia,2017-01-01,2,3,1,1,0,1,1,8,0,0,0,0,0,0,17
MALLA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
MAPIRI,atencion odontologica,endodoncia,2017-01-01,4,1,2,0,0,4,4,17,1,0,0,0,0,0,33
MECAPACA,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,1,2,0,2,0,0,0,0,0,0,6
MINEROS,atencion odontologica,endodoncia,2017-01-01,4,1,0,0,0,3,0,6,0,0,0,0,0,0,14
MIZQUE,atencion odontologica,endodoncia,2017-01-01,2,2,3,8,3,4,1,8,0,2,0,0,0,0,33
MOCOMOCO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
MOJINETE,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,endodoncia,2017-01-01,2,1,0,0,1,4,6,9,0,0,0,0,0,0,23
MONTEAGUDO,atencion odontologica,endodoncia,2017-01-01,8,11,9,6,2,1,2,9,1,0,0,0,0,0,49
MONTERO,atencion odontologica,endodoncia,2017-01-01,4,2,4,0,4,7,5,10,0,0,0,0,0,0,36
MORO MORO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
MOROCHATA,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,1,0,2,7,1,1,0,0,0,0,13
NAZACARA DE PACAJES,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
OCURI,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
OKINAWA,atencion odontologica,endodoncia,2017-01-01,3,4,0,0,0,0,0,1,0,0,0,0,0,0,8
ORURO,atencion odontologica,endodoncia,2017-01-01,83,75,59,101,57,47,93,158,14,17,0,0,0,0,704
PADCAYA,atencion odontologica,endodoncia,2017-01-01,0,0,2,1,0,7,2,7,0,0,0,0,0,0,19
PADILLA,atencion odontologica,endodoncia,2017-01-01,7,11,5,8,1,6,3,11,2,1,0,0,0,0,55
PAILON,atencion odontologica,endodoncia,2017-01-01,4,1,2,3,3,3,0,2,0,0,0,0,0,0,18
PALCA,atencion odontologica,endodoncia,2017-01-01,16,12,0,2,0,1,0,2,0,0,0,0,0,0,33
PALOS BLANCOS,atencion odontologica,endodoncia,2017-01-01,9,8,1,2,3,15,8,28,3,0,0,0,0,0,77
PAPEL PAMPA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
PASORAPA,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,2,1,2,1,0,1,0,0,0,0,8
PATACAMAYA,atencion odontologica,endodoncia,2017-01-01,12,13,0,6,1,8,2,2,0,0,0,0,0,0,44
PAZÑA,atencion odontologica,endodoncia,2017-01-01,1,7,2,1,2,3,2,2,0,0,0,0,0,0,20
PELECHUCO,atencion odontologica,endodoncia,2017-01-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
POCOATA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
POCONA,atencion odontologica,endodoncia,2017-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
POJO (CBBA),atencion odontologica,endodoncia,2017-01-01,1,1,4,1,1,2,1,9,2,0,0,0,0,0,22
POOPO,atencion odontologica,endodoncia,2017-01-01,2,4,5,7,0,1,2,9,3,0,0,0,0,0,33
PORCO,atencion odontologica,endodoncia,2017-01-01,5,2,1,0,1,1,1,0,0,0,0,0,0,0,11
POROMA,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PORONGO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
PORVENIR,atencion odontologica,endodoncia,2017-01-01,2,0,1,1,0,1,0,2,0,0,0,0,0,0,7
POTOSI,atencion odontologica,endodoncia,2017-01-01,82,77,74,77,72,105,108,181,24,20,0,0,0,0,820
PRESTO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
PUCARA,atencion odontologica,endodoncia,2017-01-01,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4
PUCARANI,atencion odontologica,endodoncia,2017-01-01,1,1,0,2,1,2,1,3,0,1,0,0,0,0,12
PUERTO ACOSTA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
PUERTO CARABUCO,atencion odontologica,endodoncia,2017-01-01,0,1,3,2,0,5,4,3,1,0,0,0,0,0,19
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PUERTO RICO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,2,1,3,2,1,0,0,0,0,0,9
PUERTO VILLARROEL,atencion odontologica,endodoncia,2017-01-01,20,11,5,4,2,18,3,21,3,2,0,0,0,0,89
PUNA,atencion odontologica,endodoncia,2017-01-01,1,4,0,0,0,1,1,6,2,0,0,0,0,0,15
PUNATA,atencion odontologica,endodoncia,2017-01-01,12,1,20,1,1,2,7,26,3,12,0,0,0,0,85
QUIABAYA,atencion odontologica,endodoncia,2017-01-01,1,2,0,2,2,4,4,6,0,0,0,0,0,0,21
QUILLACOLLO,atencion odontologica,endodoncia,2017-01-01,68,80,61,33,55,45,51,55,40,47,0,0,0,0,535
QUIME,atencion odontologica,endodoncia,2017-01-01,0,0,4,2,0,0,4,2,4,1,0,0,0,0,17
RAVELO,atencion odontologica,endodoncia,2017-01-01,2,2,0,0,0,0,0,2,1,1,0,0,0,0,8
REYES,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,7,2,12,4,0,0,0,0,25
RIBERALTA,atencion odontologica,endodoncia,2017-01-01,1,3,1,14,12,11,13,17,0,0,0,0,0,0,72
RURRENABAQUE,atencion odontologica,endodoncia,2017-01-01,10,9,12,10,0,0,1,1,1,0,0,0,0,0,44
SABAYA,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
SACABA,atencion odontologica,endodoncia,2017-01-01,40,53,72,105,14,31,34,27,15,7,0,0,0,0,398
SACABAMBA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
SACACA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAIPINA,atencion odontologica,endodoncia,2017-01-01,7,10,8,3,4,4,6,11,0,1,0,0,0,0,54
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2017-01-01,2,1,4,4,0,5,0,3,2,1,0,0,0,0,22
SAMAIPATA,atencion odontologica,endodoncia,2017-01-01,0,1,1,3,4,3,1,6,0,0,0,0,0,0,19
SAN AGUSTIN,atencion odontologica,endodoncia,2017-01-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
SAN ANDRES,atencion odontologica,endodoncia,2017-01-01,0,0,0,2,0,3,0,3,0,0,0,0,0,0,8
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2017-01-01,0,0,2,0,2,1,1,9,2,5,0,0,0,0,22
SAN BENITO,atencion odontologica,endodoncia,2017-01-01,1,2,1,0,0,2,1,0,0,1,0,0,0,0,8
SAN BORJA,atencion odontologica,endodoncia,2017-01-01,6,0,2,5,2,12,4,32,7,5,0,0,0,0,75
SAN BUENA VENTURA,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,1,0,1,2,0,0,0,0,0,0,5
SAN CARLOS,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,3,6,0,0,0,0,0,0,9
SAN IGNACIO,atencion odontologica,endodoncia,2017-01-01,0,1,2,6,3,0,5,2,0,0,0,0,0,0,19
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2017-01-01,9,1,0,0,0,2,0,5,11,0,0,0,0,0,28
SAN JAVIER(STC),atencion odontologica,endodoncia,2017-01-01,1,1,1,2,0,1,1,4,0,1,0,0,0,0,12
SAN JOAQUIN,atencion odontologica,endodoncia,2017-01-01,4,3,0,1,1,3,0,18,1,0,0,0,0,0,31
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2017-01-01,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
SAN JULIAN,atencion odontologica,endodoncia,2017-01-01,10,6,0,0,0,2,3,6,1,0,0,0,0,0,28
SAN LORENZO(PND),atencion odontologica,endodoncia,2017-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SAN LORENZO(TJA),atencion odontologica,endodoncia,2017-01-01,1,2,5,7,4,6,7,19,0,0,0,0,0,0,51
SAN LUCAS,atencion odontologica,endodoncia,2017-01-01,6,3,11,3,1,4,5,18,0,0,0,0,0,0,51
SAN MATIAS,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
SAN PABLO DE LIPEZ,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SAN PEDRO,atencion odontologica,endodoncia,2017-01-01,0,0,1,1,0,5,1,2,0,0,0,0,0,0,10
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2017-01-01,2,2,1,0,0,1,0,5,0,0,0,0,0,0,11
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncia,2017-01-01,2,0,0,1,0,0,1,2,0,0,0,0,0,0,6
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
SAN RAMON BENI,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN RAMON SCZ,atencion odontologica,endodoncia,2017-01-01,3,5,0,0,1,0,1,1,0,0,0,0,0,0,11
SANTA ANA,atencion odontologica,endodoncia,2017-01-01,0,0,1,8,0,10,0,5,0,0,0,0,0,0,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncia,2017-01-01,89,76,118,115,183,201,281,623,93,45,0,0,0,0,1824
SANTA ROSA DEL SARA,atencion odontologica,endodoncia,2017-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
SANTIAGO DE HUARI,atencion odontologica,endodoncia,2017-01-01,1,3,3,3,0,5,2,6,1,0,0,0,0,0,24
SANTIAGO DE HUATA,atencion odontologica,endodoncia,2017-01-01,0,0,5,3,1,2,0,4,4,3,0,0,0,0,22
SANTIAGO DE MACHACA,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SANTIVAÑES,atencion odontologica,endodoncia,2017-01-01,0,0,1,2,0,2,1,1,1,2,0,0,0,0,10
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncia,2017-01-01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
SAPAHAQUI,atencion odontologica,endodoncia,2017-01-01,4,0,0,0,1,0,6,6,8,3,0,0,0,0,28
SENA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,2,0,0,6,0,0,0,0,0,0,8
SHINAOTA,atencion odontologica,endodoncia,2017-01-01,8,2,0,0,0,0,0,3,0,0,0,0,0,0,13
SICA SICA (VILLA AROMA),atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SIPE SIPE,atencion odontologica,endodoncia,2017-01-01,29,38,10,24,1,13,4,25,2,9,0,0,0,0,155
SOPACHUY,atencion odontologica,endodoncia,2017-01-01,0,4,6,3,1,2,2,12,0,0,0,0,0,0,30
