,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,2,2,4,5,0,2,1,0,0,0,0,0,0,0,16
BOLPEBRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,5,10,5,10,10,0,0,0,0,0,0,40
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,10,3,0,2,0,1,0,0,0,0,0,0,16
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,1,1,2,7,8,0,0,0,0,0,0,19
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,1,0,0,6,5,1,0,0,0,0,13
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,4,4,1,0,0,1,0,2,0,0,0,0,0,0,12
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,3,0,0,0,1,4,0,0,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,0,0,0,0,0,0,1,6,0,0,0,0,0,0,7
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,0,5,0,2,6,2,0,0,0,0,15
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,0,1,4,2,0,1,0,0,0,0,8
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,0,0,0,6,0,1,0,0,0,0,7
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,2,2,1,0,0,3,0,5,1,0,0,0,0,0,14
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,4,2,0,1,0,0,0,0,0,0,0,0,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,2,0,4,0,4,9,0,0,0,0,0,0,19
MONTERO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,36
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,1,0,0,1,0,1,7,5,1,0,0,0,0,16
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,3,1,1,1,0,0,4,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,1,0,0,0,0,8,3,0,0,0,0,0,12
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-04-01,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,1,1,0,0,2,3,0,2,0,0,0,0,9
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,2,1,0,0,0,1,1,0,0,0,0,0,0,0,5
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,12,9,2,2,1,4,4,4,0,0,0,0,38
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VINTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
YOTALA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-05-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COMARAPA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,1,0,0,2,2,3,0,0,0,0,0,8
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,2,2,4,1,0,2,9,19,9,0,0,0,0,0,48
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,5,6,4,5,4,0,0,0,0,0,0,24
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,2,1,12,3,0,0,0,0,0,0,18
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,0,0,2,4,2,0,0,0,0,0,8
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,1,0,1,1,0,0,0,2,1,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,0,1,2,3,1,2,0,0,0,0,9
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
VIACHA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-06-01,0,0,0,0,0,0,2,2,0,1,0,0,0,0,5
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
CHIMORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,9,4,0,0,0,0,0,0,0,0,0,13
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,2,2,5,4,0,0,0,0,0,0,0,0,13
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,2,3,9,4,5,3,0,0,0,0,26
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,1,1,0,0,0,2,0,1,0,0,0,0,0,5
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,1,0,1,7,2,4,5,13,1,0,0,0,0,0,34
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-07-01,0,0,0,0,0,0,2,9,2,0,0,0,0,0,13
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,3,5,0,1,1,2,0,1,0,0,0,0,13
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,0,0,1,6,2,0,1,0,0,0,0,10
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,2,0,1,1,4,9,0,0,0,0,0,0,17
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,1,0,2,6,1,3,4,0,0,0,0,17
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,3,1,2,1,0,1,0,2,2,0,0,0,0,0,12
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,2,0,3,3,0,0,0,0,8
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4
QUIME,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
REYES,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,2,1,0,2,1,2,0,0,0,0,0,8
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,2,0,1,0,2,0,1,0,0,0,0,6
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,6,0,2,5,1,8,0,0,0,0,0,0,22
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,0,0,3,1,8,1,5,4,0,0,0,0,22
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,2,1,1,2,1,0,0,2,2,0,0,0,0,0,11
SACABA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,3,4,1,1,0,0,0,0,0,0,0,0,9
SAN BUENA VENTURA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,1,1,1,1,1,2,0,0,0,0,0,0,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
YOCALLA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-10-01,0,2,16,12,0,0,1,0,1,0,0,0,0,0,32
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MOROCHATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,1,1,1,2,4,2,0,0,0,0,11
SACACA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,1,1,0,0,1,2,0,0,0,0,0,0,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,0,0,7,1,0,0,0,0,0,0,8
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-11-01,0,0,0,0,2,0,2,7,4,6,0,0,0,0,21
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-12-01,0,0,0,0,1,3,0,7,0,0,0,0,0,0,11
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-12-01,0,0,0,0,0,3,9,15,1,2,0,0,0,0,30
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-12-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-12-01,0,0,0,2,0,2,5,4,8,14,0,0,0,0,35
