,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
ARANI,atencion odontologica,primera consulta,2017-01-01,3,4,3,7,3,3,4,10,0,3,0,4,0,0,44
ARBIETO,atencion odontologica,primera consulta,2017-01-01,39,41,24,16,5,25,6,66,13,18,0,16,0,25,294
ARQUE,atencion odontologica,primera consulta,2017-01-01,6,2,0,2,0,7,2,9,2,4,0,4,0,10,48
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2017-01-01,65,46,13,17,3,19,17,37,20,23,0,85,0,11,356
ATOCHA,atencion odontologica,primera consulta,2017-01-01,17,27,32,49,31,43,101,95,13,10,0,8,0,3,429
AUCAPATA,atencion odontologica,primera consulta,2017-01-01,5,6,4,3,0,12,3,29,3,0,0,10,0,0,75
AYATA,atencion odontologica,primera consulta,2017-01-01,6,3,5,8,2,4,8,19,6,4,0,1,0,0,66
AYO AYO,atencion odontologica,primera consulta,2017-01-01,4,6,12,10,4,6,7,21,4,6,0,2,0,5,87
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2017-01-01,17,15,39,35,23,29,61,84,11,9,0,11,0,26,360
AZURDUY,atencion odontologica,primera consulta,2017-01-01,2,1,4,3,3,15,7,23,2,0,0,14,0,4,78
BATALLAS,atencion odontologica,primera consulta,2017-01-01,20,22,7,10,4,9,7,21,13,10,0,3,0,3,129
BAURES,atencion odontologica,primera consulta,2017-01-01,1,0,2,8,1,13,9,14,2,2,0,1,0,1,54
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2017-01-01,6,3,8,9,3,4,9,17,3,10,0,0,0,1,73
BELEN DE URMIRI,atencion odontologica,primera consulta,2017-01-01,1,1,0,1,0,1,1,1,0,0,0,0,0,0,6
BELLA FLOR,atencion odontologica,primera consulta,2017-01-01,14,8,2,4,1,2,4,9,7,3,0,5,0,0,59
BERMEJO,atencion odontologica,primera consulta,2017-01-01,16,15,96,79,70,102,133,221,49,41,0,42,0,31,895
BETANZOS,atencion odontologica,primera consulta,2017-01-01,20,26,13,16,10,26,24,54,7,13,0,7,0,8,224
BOLIVAR,atencion odontologica,primera consulta,2017-01-01,4,2,7,6,3,5,12,13,2,3,0,3,0,3,63
BOYUIBE,atencion odontologica,primera consulta,2017-01-01,1,5,7,4,1,4,2,11,4,0,0,0,0,0,39
BUENA VISTA,atencion odontologica,primera consulta,2017-01-01,17,27,9,9,4,12,7,28,10,7,0,0,0,1,131
CABEZAS,atencion odontologica,primera consulta,2017-01-01,94,108,19,34,11,41,35,67,12,12,0,40,0,24,497
CAIROMA,atencion odontologica,primera consulta,2017-01-01,4,7,3,3,5,9,13,18,5,1,0,0,0,0,68
"CAIZA ""D""",atencion odontologica,primera consulta,2017-01-01,19,11,11,12,3,8,8,24,3,5,0,8,0,2,114
CAJUATA,atencion odontologica,primera consulta,2017-01-01,30,22,6,5,0,11,6,25,4,0,0,7,0,10,126
CALACOTO,atencion odontologica,primera consulta,2017-01-01,7,7,0,2,2,4,2,6,4,2,0,1,0,2,39
CALAMARCA,atencion odontologica,primera consulta,2017-01-01,13,10,24,29,14,38,16,71,6,14,0,9,0,15,259
CAMARGO,atencion odontologica,primera consulta,2017-01-01,39,38,8,16,4,17,6,48,3,6,0,26,0,12,223
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2017-01-01,4,4,3,14,2,10,12,20,2,4,0,6,0,2,83
CAMIRI,atencion odontologica,primera consulta,2017-01-01,85,103,19,30,12,44,31,58,8,14,0,48,0,11,463
CAPINOTA,atencion odontologica,primera consulta,2017-01-01,40,37,7,18,1,6,5,15,5,11,0,1,0,2,148
CAQUIAVIRI,atencion odontologica,primera consulta,2017-01-01,10,5,9,9,5,10,8,22,7,3,0,3,0,3,94
CARACOLLO,atencion odontologica,primera consulta,2017-01-01,22,27,26,47,8,28,23,31,9,14,0,21,0,6,262
CARANAVI,atencion odontologica,primera consulta,2017-01-01,72,74,50,52,12,21,22,86,32,12,0,28,0,59,520
CARANGAS,atencion odontologica,primera consulta,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARAPARI,atencion odontologica,primera consulta,2017-01-01,13,15,64,100,47,97,75,134,13,4,0,5,0,0,567
CARIPUYO,atencion odontologica,primera consulta,2017-01-01,5,6,5,7,3,4,10,19,3,3,0,4,0,5,74
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2017-01-01,10,7,0,0,0,0,14,20,3,2,0,18,0,6,80
CATACORA,atencion odontologica,primera consulta,2017-01-01,0,0,1,1,2,2,2,7,1,0,0,0,0,0,16
CHACARILLA,atencion odontologica,primera consulta,2017-01-01,7,3,2,0,0,1,2,3,11,4,0,0,0,1,34
CHALLAPATA,atencion odontologica,primera consulta,2017-01-01,141,151,89,96,12,61,42,189,66,83,0,54,0,61,1045
CHAQUI,atencion odontologica,primera consulta,2017-01-01,8,14,6,6,8,14,6,28,16,28,0,9,0,4,147
CHARAGUA,atencion odontologica,primera consulta,2017-01-01,32,33,24,19,24,23,40,64,8,9,0,21,0,14,311
CHARAÑA,atencion odontologica,primera consulta,2017-01-01,5,3,5,3,1,1,3,4,1,0,0,3,0,0,29
CHAYANTA,atencion odontologica,primera consulta,2017-01-01,32,48,19,17,7,11,11,59,8,17,0,12,0,7,248
CHIMORE,atencion odontologica,primera consulta,2017-01-01,33,41,14,17,3,25,5,61,10,10,0,23,0,16,258
CHIPAYA,atencion odontologica,primera consulta,2017-01-01,2,0,2,0,0,1,3,7,3,2,0,3,0,0,23
CHOQUE COTA,atencion odontologica,primera consulta,2017-01-01,2,0,4,5,0,4,4,9,6,3,0,1,0,1,39
CHUA COCANI,atencion odontologica,primera consulta,2017-01-01,13,9,2,7,5,10,7,24,11,15,0,5,0,1,109
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2017-01-01,14,14,10,12,2,3,10,13,0,0,0,3,0,4,85
CHUMA,atencion odontologica,primera consulta,2017-01-01,12,20,12,18,9,24,53,69,33,32,0,20,0,11,313
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2017-01-01,8,4,4,6,1,8,1,20,1,2,0,17,0,10,82
CKOCHAS,atencion odontologica,primera consulta,2017-01-01,17,15,5,10,7,15,18,83,34,60,0,9,0,14,287
CLIZA,atencion odontologica,primera consulta,2017-01-01,27,31,30,27,6,22,17,56,20,24,0,8,0,10,278
COBIJA,atencion odontologica,primera consulta,2017-01-01,118,117,63,58,24,51,67,137,23,4,0,62,0,10,734
COCAPATA,atencion odontologica,primera consulta,2017-01-01,89,83,13,13,8,32,20,64,56,38,0,19,0,43,478
COCHABAMBA,atencion odontologica,primera consulta,2017-01-01,547,543,170,204,113,229,267,665,189,146,0,341,0,199,3613
COIPASA,atencion odontologica,primera consulta,2017-01-01,4,2,3,1,0,1,2,6,2,0,0,0,0,0,21
COLCAPIRHUA,atencion odontologica,primera consulta,2017-01-01,95,83,19,15,10,13,8,173,15,17,0,22,0,26,496
"COLCHA ""K""",atencion odontologica,primera consulta,2017-01-01,54,44,7,10,3,9,17,44,21,24,0,7,0,18,258
COLLANA,atencion odontologica,primera consulta,2017-01-01,7,4,8,10,7,3,7,13,3,4,0,1,0,0,67
COLOMI,atencion odontologica,primera consulta,2017-01-01,33,36,11,8,3,12,0,34,8,10,0,17,0,19,191
COLPA BELGICA,atencion odontologica,primera consulta,2017-01-01,8,9,0,0,0,2,0,3,0,0,0,2,0,3,27
COLQUECHACA,atencion odontologica,primera consulta,2017-01-01,75,70,38,58,22,53,47,157,97,97,0,50,0,40,804
COLQUENCHA,atencion odontologica,primera consulta,2017-01-01,17,19,36,38,22,35,13,61,13,10,0,6,0,1,271
COLQUIRI,atencion odontologica,primera consulta,2017-01-01,50,34,14,19,10,12,23,48,19,12,0,11,0,9,261
COMARAPA,atencion odontologica,primera consulta,2017-01-01,19,21,7,7,8,6,16,29,4,3,0,3,0,0,123
CONCEPCION,atencion odontologica,primera consulta,2017-01-01,3,13,25,17,13,7,16,44,10,3,0,8,0,1,160
COPACABANA,atencion odontologica,primera consulta,2017-01-01,22,19,20,13,2,13,7,27,9,11,0,17,0,2,162
CORIPATA,atencion odontologica,primera consulta,2017-01-01,23,19,15,11,5,8,11,26,5,1,0,2,0,2,128
CORO CORO,atencion odontologica,primera consulta,2017-01-01,13,6,14,21,10,16,23,15,3,4,0,1,0,1,127
COROICO,atencion odontologica,primera consulta,2017-01-01,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4
CORQUE,atencion odontologica,primera consulta,2017-01-01,3,3,2,4,6,5,5,19,7,11,0,10,0,1,76
COTAGAITA,atencion odontologica,primera consulta,2017-01-01,49,61,41,49,17,44,74,127,45,57,0,5,0,11,580
COTOCA,atencion odontologica,primera consulta,2017-01-01,129,118,19,18,3,13,4,59,16,18,0,44,0,20,461
CUATRO CAÑADAS,atencion odontologica,primera consulta,2017-01-01,55,66,12,24,10,16,13,70,13,20,0,16,0,15,330
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2017-01-01,2,3,2,4,1,4,8,22,2,4,0,4,0,3,59
CUEVO,atencion odontologica,primera consulta,2017-01-01,14,6,12,17,8,14,20,44,2,2,0,10,0,0,149
CULPINA,atencion odontologica,primera consulta,2017-01-01,36,23,23,28,6,20,34,73,11,11,0,20,0,15,300
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2017-01-01,11,5,2,5,1,3,2,8,4,3,0,1,0,2,47
CURVA,atencion odontologica,primera consulta,2017-01-01,18,23,3,3,2,2,4,9,3,3,0,2,0,2,74
DESAGUADERO,atencion odontologica,primera consulta,2017-01-01,4,0,1,2,0,3,4,2,2,7,0,0,0,1,26
EL ALTO,atencion odontologica,primera consulta,2017-01-01,688,587,1240,1316,448,733,378,827,104,84,0,263,0,100,6768
EL CHORO,atencion odontologica,primera consulta,2017-01-01,17,18,7,5,2,3,8,14,1,4,0,2,0,2,83
EL PUENTE(STC),atencion odontologica,primera consulta,2017-01-01,41,47,6,3,1,5,3,11,3,3,0,20,0,14,157
EL PUENTE(TJA),atencion odontologica,primera consulta,2017-01-01,6,3,16,31,9,21,25,76,3,7,0,1,0,0,198
EL TORNO,atencion odontologica,primera consulta,2017-01-01,198,237,113,120,25,69,54,214,29,24,0,60,0,41,1184
EL VILLAR,atencion odontologica,primera consulta,2017-01-01,6,10,2,4,4,4,4,19,0,2,0,6,0,1,62
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2017-01-01,27,30,39,57,18,60,45,109,18,17,0,16,0,6,442
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2017-01-01,24,30,3,17,6,15,4,31,5,4,0,9,0,20,168
ESCARA,atencion odontologica,primera consulta,2017-01-01,5,6,1,0,0,0,0,2,4,7,0,0,0,1,26
ESCOMA,atencion odontologica,primera consulta,2017-01-01,7,3,10,8,10,14,26,32,21,13,0,0,0,0,144
EUCALIPTUS,atencion odontologica,primera consulta,2017-01-01,2,5,14,9,4,7,12,38,2,5,0,3,0,4,105
EXALTACION,atencion odontologica,primera consulta,2017-01-01,4,1,0,5,4,5,2,14,1,1,0,1,0,2,40
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2017-01-01,18,22,8,6,4,15,4,34,6,4,0,15,0,2,138
FILADELFIA,atencion odontologica,primera consulta,2017-01-01,8,7,11,13,3,4,13,20,5,0,0,6,0,0,90
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2017-01-01,5,2,1,2,0,3,3,8,0,7,0,4,0,1,36
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2017-01-01,15,17,11,12,5,8,26,50,18,28,0,11,0,6,207
GUANAY,atencion odontologica,primera consulta,2017-01-01,46,31,3,1,2,7,4,26,13,4,0,11,0,4,152
GUAQUI,atencion odontologica,primera consulta,2017-01-01,20,15,8,10,12,27,17,67,29,38,0,16,0,17,276
GUAYARAMERIN,atencion odontologica,primera consulta,2017-01-01,21,26,21,20,17,20,3,73,9,2,0,82,0,4,298
GUTIERREZ,atencion odontologica,primera consulta,2017-01-01,35,37,10,13,4,9,7,25,11,8,0,7,0,5,171
HUACARETA,atencion odontologica,primera consulta,2017-01-01,17,16,3,1,3,4,3,12,3,5,0,7,0,1,75
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2017-01-01,18,24,2,4,1,2,3,6,0,0,0,2,0,0,62
HUACHACALLA,atencion odontologica,primera consulta,2017-01-01,4,6,10,9,5,9,9,18,6,3,0,5,0,2,86
HUANUNI,atencion odontologica,primera consulta,2017-01-01,49,59,83,112,46,69,63,97,16,22,0,21,0,4,641
HUARACAJE,atencion odontologica,primera consulta,2017-01-01,2,1,0,9,0,6,1,2,0,0,0,2,0,0,23
HUARINA,atencion odontologica,primera consulta,2017-01-01,5,11,3,5,4,8,2,12,1,5,0,2,0,4,62
HUATAJATA,atencion odontologica,primera consulta,2017-01-01,2,9,4,4,5,10,3,28,3,7,0,6,0,2,83
HUAYLLAMARCA,atencion odontologica,primera consulta,2017-01-01,5,8,13,17,10,14,12,23,12,10,0,3,0,3,130
HUMANATA,atencion odontologica,primera consulta,2017-01-01,4,1,2,1,1,1,3,6,21,37,0,3,0,6,86
ICHOCA,atencion odontologica,primera consulta,2017-01-01,23,23,6,11,0,6,13,22,34,23,0,4,0,0,165
ICLA,atencion odontologica,primera consulta,2017-01-01,36,30,18,10,5,11,15,44,2,5,0,4,0,4,184
INCAHUASI,atencion odontologica,primera consulta,2017-01-01,11,12,15,7,6,12,9,38,2,3,0,18,0,2,135
INGAVI (HUMAITA),atencion odontologica,primera consulta,2017-01-01,9,12,2,1,1,2,6,6,0,0,0,1,0,4,44
INQUISIVI,atencion odontologica,primera consulta,2017-01-01,33,22,4,8,11,17,13,17,23,21,0,9,0,5,183
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2017-01-01,32,35,13,17,4,14,13,48,19,10,0,4,0,6,215
IXIAMAS,atencion odontologica,primera consulta,2017-01-01,5,8,26,30,8,10,33,31,8,2,0,2,0,1,164
JESUS DE MACHACA,atencion odontologica,primera consulta,2017-01-01,25,32,11,12,16,26,16,44,14,9,0,5,0,12,222
LA ASUNTA,atencion odontologica,primera consulta,2017-01-01,77,78,60,48,27,60,57,143,12,9,0,22,0,33,626
LA GUARDIA,atencion odontologica,primera consulta,2017-01-01,121,154,25,31,17,29,35,84,32,30,0,42,0,32,632
LA PAZ,atencion odontologica,primera consulta,2017-01-01,888,908,530,620,242,385,542,1092,197,225,0,276,0,123,6028
LA RIVERA,atencion odontologica,primera consulta,2017-01-01,3,3,2,2,3,1,0,7,0,2,0,1,0,0,24
LAGUNILLAS,atencion odontologica,primera consulta,2017-01-01,14,6,8,4,3,11,11,25,2,1,0,8,0,0,93
LAJA,atencion odontologica,primera consulta,2017-01-01,37,36,27,27,12,36,17,73,15,21,0,13,0,11,325
LAS CARRERAS,atencion odontologica,primera consulta,2017-01-01,2,1,13,12,5,15,11,40,7,6,0,8,0,5,125
LICOMA PAMPA,atencion odontologica,primera consulta,2017-01-01,8,12,2,4,0,3,1,16,6,7,0,4,0,4,67
LLALLAGUA,atencion odontologica,primera consulta,2017-01-01,101,91,22,21,15,31,17,86,9,15,0,34,0,20,462
LORETO,atencion odontologica,primera consulta,2017-01-01,3,4,13,12,0,1,12,10,1,0,0,0,0,0,56
LURIBAY,atencion odontologica,primera consulta,2017-01-01,8,5,7,7,2,8,6,20,5,8,0,2,0,2,80
MACHACAMARCA,atencion odontologica,primera consulta,2017-01-01,12,4,20,27,4,17,9,38,10,10,0,4,0,5,160
MACHARETI,atencion odontologica,primera consulta,2017-01-01,10,7,15,6,2,11,12,40,2,2,0,9,0,0,116
MAGDALENA,atencion odontologica,primera consulta,2017-01-01,7,10,21,19,5,10,9,20,0,1,0,3,0,0,105
MAIRANA,atencion odontologica,primera consulta,2017-01-01,42,28,20,25,3,12,8,27,10,12,0,10,0,11,208
MALLA,atencion odontologica,primera consulta,2017-01-01,8,10,3,1,0,2,4,19,15,7,0,5,0,4,78
MAPIRI,atencion odontologica,primera consulta,2017-01-01,12,8,5,4,2,20,11,69,4,2,0,48,0,16,201
MECAPACA,atencion odontologica,primera consulta,2017-01-01,18,28,4,4,2,2,2,11,0,1,0,2,0,0,74
MINEROS,atencion odontologica,primera consulta,2017-01-01,33,29,6,10,4,18,0,21,5,7,0,18,0,0,151
MIZQUE,atencion odontologica,primera consulta,2017-01-01,48,46,29,48,8,26,21,45,31,36,0,7,0,21,366
MOCOMOCO,atencion odontologica,primera consulta,2017-01-01,2,3,9,13,12,7,20,41,6,8,0,5,0,11,137
MOJINETE,atencion odontologica,primera consulta,2017-01-01,0,0,0,6,1,1,2,5,1,0,0,0,0,2,18
MOJOCOYA,atencion odontologica,primera consulta,2017-01-01,15,12,10,11,12,8,19,42,6,0,0,7,0,2,144
MONTEAGUDO,atencion odontologica,primera consulta,2017-01-01,88,80,27,36,12,41,35,141,8,4,0,70,0,14,556
MONTERO,atencion odontologica,primera consulta,2017-01-01,154,167,138,162,72,118,92,355,56,43,0,96,0,27,1480
MORO MORO,atencion odontologica,primera consulta,2017-01-01,16,10,9,8,4,8,11,31,2,3,0,5,0,5,112
MOROCHATA,atencion odontologica,primera consulta,2017-01-01,20,23,6,12,9,16,12,29,23,15,0,10,0,9,184
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2017-01-01,0,0,1,0,2,1,2,1,0,0,0,1,0,1,9
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2017-01-01,1,0,1,2,1,1,1,3,1,1,0,0,0,2,14
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2017-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
OCURI,atencion odontologica,primera consulta,2017-01-01,30,37,3,6,6,11,19,46,30,32,0,12,0,15,247
OKINAWA,atencion odontologica,primera consulta,2017-01-01,13,16,2,3,0,2,0,5,9,3,0,0,0,0,53
ORURO,atencion odontologica,primera consulta,2017-01-01,351,420,381,489,172,304,473,827,167,121,0,231,0,89,4025
PADCAYA,atencion odontologica,primera consulta,2017-01-01,3,6,35,42,22,38,32,51,10,5,0,6,0,0,250
PADILLA,atencion odontologica,primera consulta,2017-01-01,21,18,22,35,14,12,40,73,8,7,0,12,0,5,267
PAILON,atencion odontologica,primera consulta,2017-01-01,7,10,3,2,3,3,10,10,0,1,0,2,0,4,55
PALCA,atencion odontologica,primera consulta,2017-01-01,30,31,6,16,7,16,23,37,10,9,0,8,0,6,199
PALOS BLANCOS,atencion odontologica,primera consulta,2017-01-01,51,60,39,32,13,40,29,91,23,13,0,14,0,37,442
PAMPA AULLAGAS,atencion odontologica,primera consulta,2017-01-01,1,1,4,1,0,0,2,3,0,0,0,0,0,0,12
PAMPA GRANDE,atencion odontologica,primera consulta,2017-01-01,17,19,3,5,0,1,1,11,2,1,0,1,0,8,69
PAPEL PAMPA,atencion odontologica,primera consulta,2017-01-01,16,10,2,5,0,0,8,14,8,3,0,2,0,6,74
PASORAPA,atencion odontologica,primera consulta,2017-01-01,4,4,7,4,3,3,10,12,5,3,0,0,0,0,55
PATACAMAYA,atencion odontologica,primera consulta,2017-01-01,43,76,7,15,2,7,5,40,5,7,0,5,0,7,219
PAZÑA,atencion odontologica,primera consulta,2017-01-01,11,17,26,29,3,8,13,38,6,9,0,8,0,7,175
PELECHUCO,atencion odontologica,primera consulta,2017-01-01,23,22,0,2,0,4,7,14,0,0,0,3,0,7,82
POCOATA,atencion odontologica,primera consulta,2017-01-01,32,34,2,2,2,4,9,19,14,27,0,6,0,5,156
POCONA,atencion odontologica,primera consulta,2017-01-01,2,3,4,3,3,4,5,6,0,0,0,0,0,2,32
POJO (CBBA),atencion odontologica,primera consulta,2017-01-01,11,17,15,23,6,19,30,50,3,8,0,6,0,10,198
POOPO,atencion odontologica,primera consulta,2017-01-01,15,21,26,32,6,21,29,62,6,6,0,12,0,6,242
PORCO,atencion odontologica,primera consulta,2017-01-01,14,11,11,18,2,9,4,24,1,0,0,4,0,4,102
POROMA,atencion odontologica,primera consulta,2017-01-01,22,19,3,2,0,2,9,16,3,1,0,2,0,0,79
PORONGO,atencion odontologica,primera consulta,2017-01-01,32,28,2,5,2,4,15,17,26,51,0,10,0,10,202
PORTACHUELO,atencion odontologica,primera consulta,2017-01-01,0,1,1,1,0,2,0,1,1,0,0,0,0,1,8
PORVENIR,atencion odontologica,primera consulta,2017-01-01,19,23,10,17,5,5,9,16,3,3,0,10,0,6,126
POTOSI,atencion odontologica,primera consulta,2017-01-01,315,293,172,170,117,175,413,745,38,47,0,152,0,104,2741
PRESTO,atencion odontologica,primera consulta,2017-01-01,9,4,2,0,1,3,6,15,2,0,0,11,0,1,54
PUCARA,atencion odontologica,primera consulta,2017-01-01,11,8,7,2,1,2,4,15,9,8,0,3,0,2,72
PUCARANI,atencion odontologica,primera consulta,2017-01-01,31,35,23,44,18,45,43,87,27,15,0,15,0,17,400
PUERTO ACOSTA,atencion odontologica,primera consulta,2017-01-01,12,4,12,12,6,7,19,19,10,9,0,5,0,3,118
PUERTO CARABUCO,atencion odontologica,primera consulta,2017-01-01,4,3,3,8,3,9,6,20,5,4,0,5,0,2,72
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2017-01-01,36,31,17,22,2,14,13,34,4,1,0,10,0,13,197
PUERTO QUIJARRO,atencion odontologica,primera consulta,2017-01-01,14,10,0,0,0,0,0,2,1,0,0,2,0,0,29
PUERTO RICO,atencion odontologica,primera consulta,2017-01-01,18,21,21,28,9,7,18,27,15,5,0,6,0,2,177
PUERTO SUAREZ,atencion odontologica,primera consulta,2017-01-01,7,8,10,4,1,3,7,11,4,5,0,5,0,2,67
PUERTO VILLARROEL,atencion odontologica,primera consulta,2017-01-01,71,84,29,32,10,31,25,103,24,20,0,38,0,34,501
PUNA,atencion odontologica,primera consulta,2017-01-01,10,9,11,20,5,12,18,52,14,5,0,4,0,1,161
PUNATA,atencion odontologica,primera consulta,2017-01-01,23,20,25,16,4,9,14,62,12,17,0,12,0,28,242
QUIABAYA,atencion odontologica,primera consulta,2017-01-01,7,12,6,11,5,10,10,16,6,3,0,4,0,3,93
QUILLACOLLO,atencion odontologica,primera consulta,2017-01-01,136,136,57,68,45,62,93,122,22,25,0,24,0,32,822
QUIME,atencion odontologica,primera consulta,2017-01-01,32,30,12,21,11,22,38,54,22,16,0,10,0,3,271
QUIRUSILLAS,atencion odontologica,primera consulta,2017-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
RAVELO,atencion odontologica,primera consulta,2017-01-01,79,63,6,5,1,15,13,52,41,54,0,15,0,20,364
REYES,atencion odontologica,primera consulta,2017-01-01,3,2,17,14,9,10,17,14,1,0,0,3,0,0,90
RIBERALTA,atencion odontologica,primera consulta,2017-01-01,45,44,52,59,51,89,64,94,50,42,0,87,0,32,709
ROBORE,atencion odontologica,primera consulta,2017-01-01,15,22,20,12,9,21,13,42,6,1,0,14,0,9,184
RURRENABAQUE,atencion odontologica,primera consulta,2017-01-01,50,46,56,59,46,49,44,61,21,18,0,33,0,28,511
SABAYA,atencion odontologica,primera consulta,2017-01-01,4,6,12,17,2,9,19,29,16,5,0,7,0,2,128
SACABA,atencion odontologica,primera consulta,2017-01-01,152,120,279,257,63,155,75,181,59,67,0,35,0,92,1535
SACABAMBA,atencion odontologica,primera consulta,2017-01-01,0,2,4,4,1,2,5,11,3,2,0,0,0,2,36
SACACA,atencion odontologica,primera consulta,2017-01-01,14,9,9,9,6,10,9,28,15,12,0,4,0,6,131
SAIPINA,atencion odontologica,primera consulta,2017-01-01,10,10,16,6,4,3,14,19,4,3,0,14,0,4,107
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2017-01-01,32,34,18,26,4,15,28,43,36,33,0,5,0,10,284
SAMAIPATA,atencion odontologica,primera consulta,2017-01-01,8,5,6,0,1,3,2,9,3,0,0,1,0,1,39
SAN AGUSTIN,atencion odontologica,primera consulta,2017-01-01,1,1,0,1,0,0,1,1,1,0,0,0,0,3,9
SAN ANDRES,atencion odontologica,primera consulta,2017-01-01,29,47,3,4,0,5,0,6,1,0,0,3,0,0,98
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2017-01-01,18,7,5,2,3,5,8,25,8,3,0,3,0,10,97
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2017-01-01,14,12,4,5,3,5,3,9,2,1,0,1,0,1,60
SAN BENITO,atencion odontologica,primera consulta,2017-01-01,11,13,7,6,0,6,4,22,5,11,0,5,0,6,96
SAN BORJA,atencion odontologica,primera consulta,2017-01-01,21,15,13,27,9,26,18,69,8,7,0,32,0,17,262
