,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,68,46,68,46,114
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,18,13,18,13,31
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,3,2,3,5
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,1,1,1,2
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,14,13,14,13,27
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,28,13,28,13,41
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,2,2,2,4
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,3,3,3,6
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,6,3,6,3,9
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,2,2,2,4
QUIME,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,2,0,2,2
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,2,3,2,5
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,24,13,24,13,37
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,4,1,4,1,5
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,5,2,5,7
SAN ANTONIO DE ESMORUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,4,4,4,4,8
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,16,2,16,18
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,6,3,6,3,9
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
SAN LORENZO(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,4,0,4,0,4
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,10,9,10,9,19
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,301,184,301,184,485
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,12,6,12,6,18
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,43,36,43,36,79
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,70,46,70,46,116
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,7,14,7,14,21
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,1,1,1,2
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,40,7,40,7,47
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,9,10,9,10,19
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,4,0,4,0,4
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,8,7,8,7,15
VILLA CHARCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,21,15,21,15,36
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,9,15,9,15,24
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,5,3,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,5,8,5,8,13
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,1,1,1,2
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,39,39,39,39,78
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,8,9,8,9,17
YUNCHARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,1,2,1,3
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,1,3,1,4
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,0,2,0,2
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,3,2,3,5
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,13,12,13,12,25
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,5,3,5,3,8
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,5,7,5,7,12
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,3,3,3,6
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,5,4,5,4,9
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,0,4,0,4
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,8,1,8,1,9
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,11,4,11,4,15
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,0,2,0,2
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,0,2,0,2
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,4,4,4,8
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,32,17,32,17,49
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,9,2,9,11
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,38,37,38,37,75
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,0,2,0,2
EL VILLAR,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,1,2,1,3
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,17,8,17,8,25
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,6,7,6,13
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,3,2,3,5
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,11,8,11,8,19
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,1,2,1,3
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,1,1,1,2
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,6,8,6,8,14
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,1,1,1,2
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,9,7,9,16
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,10210,61,10210,61,10271
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,2,0,2,2
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,1,1,1,2
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
MINEROS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,6,7,6,13
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,6,7,6,13
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,72,63,72,63,135
OMEREQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,22,9,22,9,31
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,0,2,0,2
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,37,0,37,0,37
POROMA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,16,6,16,6,22
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,34,5,34,5,39
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,1,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,6,5,6,5,11
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,1,3,1,4
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,1,1,1,2
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,2,1,2,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,6,9,6,9,15
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,5,5,5,5,10
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,3,4,3,7
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,1,2,1,3
SACACA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,6,7,6,13
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,12,15,12,15,27
SAN JAVIER(BNI),diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,4,1,4,5
SAN JUAN DE YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,10,9,10,9,19
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,0,7,0,7
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,3,3,3,6
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,3,1,3,4
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,1,2,1,3
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,16,7,16,7,23
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,243,164,243,164,407
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,2,1,2,1,3
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,13,6,13,6,19
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,47,37,47,37,84
TACOBAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,5,4,5,9
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,12,10,12,10,22
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,4,2,4,2,6
TORO TORO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
TRIGAL,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,35,9,35,9,44
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,6,5,6,5,11
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,0,1,0,1
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,1,2,1,2,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,5,3,5,3,8
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,11,8,11,8,19
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,3,3,3,6
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,7,8,7,8,15
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,3,5,3,5,8
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,8,2,8,2,10
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,31,21,31,21,52
YAMPARAEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,1,0,1,1
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,10,8,10,8,18
YOTALA,diagnostico de egreso,diarreas en menores de 5 anos,2010-02-01,0,2,0,2,2
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,3,0,3,3
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,6,0,6,0,6
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,5,4,5,4,9
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,14,9,14,9,23
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,1,1,1,2
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,6,3,6,9
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,2,2,2,4
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,6,3,6,3,9
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,2,3,2,5
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,4,4,4,8
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,12,10,12,10,22
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,28,17,28,17,45
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,2,0,2,2
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,3,4,3,7
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,2,1,2,3
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,62,61,62,61,123
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,10,5,10,5,15
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,5,0,5,5
EL VILLAR,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,14,19,14,19,33
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,6,3,6,3,9
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,8,8,8,8,16
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,2,1,2,3
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,2,4,2,6
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,9,5,9,5,14
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,0,2,0,2
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,1,1,1,2
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,10,4,10,14
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,52,74,52,74,126
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,3,1,3,4
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,3,2,3,5
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,3,1,3,4
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,5,4,5,9
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,77,93,77,93,170
OKINAWA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,6,2,6,2,8
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,23,3,23,3,26
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,1,2,1,3
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,1,1,1,2
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
POROMA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,62,0,62,0,62
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,25,22,25,22,47
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,33,15,33,15,48
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,0,1,0,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,1,3,1,4
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,12,8,12,8,20
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,4,2,4,6
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,6,4,6,10
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,3,3,3,6
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,12,22,12,22,34
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,3,1,3,4
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,7,7,7,7,14
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,4,2,4,6
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,2,0,2,2
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,2,3,2,5
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,1,3,1,4
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,15,13,15,13,28
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,10,11,10,11,21
SAN JAVIER(STC),diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,7,13,7,13,20
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,0,1,0,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,2,1,2,3
SAN LORENZO(PND),diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,4,3,4,3,7
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,0,3,0,3
SAN PABLO DE LIPEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,0,1,0,1
SAN RAFAEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,2,2,2,4
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,23,21,23,21,44
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,275,188,275,188,463
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,24,16,24,16,40
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,1,1,1,1,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,34,28,34,28,62
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,3,1,3,1,4
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,65,85,65,85,150
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,2,1,2,1,3
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-03-01,8,12,8,12,20
