,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,5,2,5,2,7
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,16,16,16,16,32
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,10,4,10,4,14
REYES,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,2,0,2,2
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,24,16,24,16,40
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,5,0,5,0,5
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,3,2,3,5
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,26,32,26,32,58
SAN BUENA VENTURA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,4,2,4,6
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,22,9,22,9,31
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,1,2,1,3
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,601,314,601,314,915
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,11,9,11,9,20
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,1,0,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,113,116,113,116,229
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,3,1,3,4
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,108,118,108,118,226
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,1,1,1,2
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,5,9,5,9,14
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,66,5,66,5,71
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,19,7,19,7,26
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,2,2,2,4
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,3,1,3,1,4
VILLA CHARCAS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,45,31,45,31,76
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,12,6,12,6,18
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,6,6,6,6,12
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,8,8,8,8,16
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,4,2,4,6
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,78,88,78,88,166
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,6,5,6,5,11
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,2,1,2,3
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,3,3,3,3,6
ALTO BENI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,4,0,4,0,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,21,11,21,11,32
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,40,36,40,36,76
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,1,2,1,3
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,10,3,10,3,13
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,17,15,17,15,32
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,11,0,11,0,11
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,4,4,4,4,8
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,13,21,13,21,34
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,3,1,3,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,8,1,8,1,9
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,70,55,70,55,125
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,11,4,11,4,15
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,1,0,1,1
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,5,2,5,2,7
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,78,80,78,80,158
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,2,0,2,2
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,1,2,1,3
ESCOMA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,1,0,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,26,89,26,89,115
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,3,0,3,0,3
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,18,18,18,18,36
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,0,2,0,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,0,2,0,2
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,2,2,2,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,106,112,106,112,218
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,12,8,12,8,20
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,2,2,2,4
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,10,10,10,10,20
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,93,76,93,76,169
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,50,17,50,17,67
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,2,1,2,3
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,1,1,1,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,15,20,15,20,35
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,55,45,55,45,100
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,0,2,0,2
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,5,4,5,4,9
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,14,10,14,10,24
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,15,7,15,7,22
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,19,12,19,12,31
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,1,1,1,2
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,10,2,10,2,12
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,30,25,30,25,55
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,8,5,8,5,13
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,6,2,6,2,8
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,22,19,22,19,41
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,4,0,4,4
SAN JUAN DE YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,22,31,22,31,53
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,13,0,13,0,13
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,3,1,3,1,4
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,4,5,4,5,9
SAN PABLO DE LIPEZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,5,3,5,3,8
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,382,304,382,304,686
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,7,1,7,1,8
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,0,2,0,2
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,118,116,118,116,234
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,1,1,1,2
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,68,40,68,40,108
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,2,3,2,3,5
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,74,5,74,5,79
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,8,5,8,5,13
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,4,6,4,6,10
VILA VILA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,6,3,6,3,9
VILLA SERRANO,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,12,14,12,14,26
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,8,13,8,13,21
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,12,9,12,9,21
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,5,9,5,9,14
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,36,47,36,47,83
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,1,0,1,0,1
YOTALA,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,0,2,0,2,2
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-02-01,4,6,4,6,10
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,2,2,2,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,16,14,16,14,30
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,100,66,100,66,166
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,0,3,0,3
BUENA VISTA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,15,11,15,11,26
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,17,18,17,18,35
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,24,37,24,37,61
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,7,9,7,9,16
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,5,2,5,7
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,4,9,4,9,13
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,0,2,0,2
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,6,0,6,6
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,5,15,5,15,20
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,68,24,68,24,92
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,7,8,7,8,15
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,4,3,4,3,7
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,4,5,4,5,9
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,99,158,99,158,257
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-03-01,7,8,7,8,15
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,1,1,1,2
EL VILLAR,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,143,74,143,74,217
GENERAL SAAVEDRA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,1,2,1,3
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,0,2,0,2
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,19,16,19,16,35
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,3,3,3,6
INCAHUASI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,275,265,275,265,540
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,19,11,19,11,30
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,11,3,11,3,14
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,110,78,110,78,188
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,19,35,19,35,54
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,8,2,8,2,10
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,38,36,38,36,74
PORVENIR,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,79,29,79,29,108
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,2,1,2,3
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,5,4,5,4,9
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,23,24,23,24,47
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,15,7,15,7,22
REYES,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,1,1,1,2
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,29,32,29,32,61
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,3,3,3,6
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,4,12,4,12,16
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,28,48,28,48,76
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,2,1,2,3
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,5,7,5,7,12
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,10,6,10,6,16
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,55,26,55,26,81
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,9,6,9,6,15
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
SAN PABLO DE LIPEZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,2,3,2,5
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,655,331,655,331,986
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,2,3,2,5
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,5,11,5,11,16
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,99,71,99,71,170
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,0,3,0,3
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,842,972,842,972,1814
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,1,0,1,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,8,15,8,15,23
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,0,3,0,3
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,60,58,60,58,118
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,17,15,17,15,32
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,1,3,1,4
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,8,7,8,7,15
VILLA SERRANO,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,9,6,9,6,15
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,16,15,16,15,31
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,40,26,40,26,66
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,3,8,3,8,11
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,50,55,50,55,105
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,1,0,1,0,1
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,12,19,12,19,31
YOTALA,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,0,2,0,2,2
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-03-01,4,3,4,3,7
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,7,7,7,7,14
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,22,15,22,15,37
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,0,2,0,2
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,80,50,80,50,130
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,1,1,1,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,26,16,26,16,42
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,25,25,25,25,50
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,8,5,8,5,13
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,6,8,6,8,14
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,5,1,5,1,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,1,3,1,4
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,6,1,6,1,7
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,5,2,5,2,7
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,302,265,302,265,567
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,9,3,9,3,12
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,0,2,0,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,5,1,5,1,6
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,1,2,1,3
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,2,2,2,4
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,141,162,141,162,303
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-04-01,18,8,18,8,26
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,1,1,1,2
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,2,0,2,0,2
ESCOMA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,4,1,4,5
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,132,75,132,75,207
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,24,24,24,24,48
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,0,3,0,3
HUACARETA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,36,26,36,26,62
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,3,1,3,1,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,519,506,519,506,1025
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,19,12,19,12,31
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,0,1,0,1
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,10,21,10,21,31
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,75,73,75,73,148
OCURI,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,0,2,0,2,2
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,32,14,32,14,46
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-04-01,1,2,1,2,3
