,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PABLO DE LIPEZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,5,3,5,3,8
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,2,1,2,3
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,3,2,3,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,86,33,86,33,119
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,10,5,10,5,15
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,17,12,17,12,29
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,5,2,5,2,7
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,1,1,1,2
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,5,0,5,0,5
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,3,1,3,4
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,4,6,4,6,10
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,5,6,5,6,11
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,1,1,1,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,8,4,8,4,12
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,2,2,2,4
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,0,2,0,2
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,3,0,3,3
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,3,3,3,6
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,1,1,1,2
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,5,1,5,1,6
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,13,13,13,13,26
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,1,1,1,2
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,4,5,4,5,9
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,9,7,9,7,16
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,0,2,0,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,2,0,2,2
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,21,17,21,17,38
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,1,3,1,4
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
MINEROS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,9,7,9,7,16
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,2,0,2,2
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,24,11,24,11,35
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,7,3,7,3,10
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,33,0,33,0,33
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,13,4,13,4,17
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,23,4,23,4,27
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,1,3,1,4
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,3,3,3,6
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,1,2,1,3
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,5,3,5,8
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,3,2,3,5
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,6,4,6,4,10
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,13,6,13,6,19
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,2,0,2,2
SAN JUAN DE YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,0,3,0,3
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,1,1,1,2
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,26,19,26,19,45
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,8,9,8,9,17
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,8,15,8,15,23
TACOBAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,0,2,0,2
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,22,1,22,23
TIPUANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,0,2,0,2
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,1,3,1,4
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,1,3,1,4
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,13,6,13,6,19
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,2,0,2,2
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,1,0,1,0,1
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,5,6,5,6,11
YAMPARAEZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,2,0,2,0,2
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,3,2,3,2,5
YOTALA,diagnostico de egreso,neumonias en menores de 5 anos,2010-02-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,8,6,8,6,14
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,6,7,6,7,13
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,1,2,1,3
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,2,0,2,2
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,5,1,5,1,6
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,23,19,23,19,42
COLQUECHACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,2,2,2,4
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,20,20,20,20,40
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,3,3,3,3,6
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,3,2,3,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,54,31,54,31,85
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,3,0,3,0,3
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,34,25,34,25,59
OCURI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,5,0,5,0,5
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,8,7,8,7,15
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,21,13,21,13,34
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,38,11,38,11,49
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,14,12,14,12,26
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,2,1,2,3
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,29,27,29,27,56
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,3,0,3,0,3
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,4,3,4,3,7
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,9,0,9,0,9
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,2,0,2,2
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
SAN BUENA VENTURA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,7,8,7,8,15
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,14,14,14,14,28
SAN JAVIER(STC),diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,1,1,1,2
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,5,7,5,7,12
SAN LORENZO(PND),diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,1,2,1,3
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,1,2,1,3
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,46,22,46,22,68
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,24,26,24,26,50
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,46,43,46,43,89
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,16,15,16,15,31
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,6,3,6,3,9
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,3,1,3,1,4
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,0,2,0,2
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,6,0,6,0,6
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,3,3,3,3,6
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,20,17,20,17,37
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,5,2,5,7
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,2,1,2,1,3
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,22,18,22,18,40
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,8,7,8,7,15
YOTALA,diagnostico de egreso,neumonias en menores de 5 anos,2010-03-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,1,2,1,3
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,1,2,1,3
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,6,4,6,4,10
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,1,3,1,4
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,2,0,2,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,10,3,10,13
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,2,3,2,5
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,4,1,4,1,5
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,5,4,5,4,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,0,2,0,2
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,6,2,6,8
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,101,76,101,76,177
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,0,2,0,2
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
COTAGAITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,2,1,2,3
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,31,28,31,28,59
ENTRE RIOS TRJ,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,0,2,0,2
ESCOMA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,2,0,2,2
FERNANDEZ ALONSO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,6,3,6,3,9
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,10,3,10,3,13
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,3,7,3,7,10
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,4,1,4,5
INCAHUASI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,4,4,4,4,8
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,101,114,101,114,215
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,4,7,4,7,11
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,1,1,1,2
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,4,0,4,4
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,32,36,32,36,68
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,34,12,34,12,46
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,1,1,1,2
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,2,1,2,3
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,11,7,11,7,18
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,36,13,36,13,49
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
PUERTO SILES,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,11,2,11,2,13
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,4,2,4,2,6
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,8,3,8,3,11
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,10,0,10,10
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,5,5,5,5,10
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,3,1,3,4
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,9,19,9,19,28
SACACA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,7,4,7,4,11
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,20,13,20,13,33
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,9,11,9,11,20
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
SAN RAFAEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,1,0,1,1
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,78,77,78,77,155
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,1,0,1,0,1
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-04-01,0,2,0,2,2
