,group,variable,month,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,70,5,70,5,75
CUATRO CAÑADAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,16,6,16,6,22
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,2,0,2,2
CUEVO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,1,7,1,8
CULPINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,3,5,3,8
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,2,0,2,2
CURVA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,11,0,11,11
DESAGUADERO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,1,5,1,6
EL ALTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1154,60,1154,60,1214
EL CHORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,20,4,20,24
EL PUENTE(STC),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,0,6,0,6
EL PUENTE(TJA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,4,6,4,10
EL TORNO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,115,5,115,5,120
ENTRE RIOS TRJ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,24,0,24,0,24
ENTRE RIOS CBBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,33,20,33,20,53
ESCOMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,0,5,0,5
EUCALIPTUS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
EUREKA (SANTOS MERCADO),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,21,5,21,5,26
FILADELFIA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,2,4,2,6
GENERAL SAAVEDRA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,13,12,13,25
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,8,3,8,11
GUANAY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,33,5,33,5,38
GUAQUI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,1,5,1,6
GUAYARAMERIN,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,81,1,81,1,82
GUTIERREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,3,5,3,8
HUACARETA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,1,3,1,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,1,1,1,2
HUACHACALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,13,2,13,2,15
HUARACAJE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
HUARINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,3,7,3,10
HUAYLLAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,3,3,3,6
HUMANATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,2,2,2,4
ICHOCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,1,6,1,7
ICLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,1,0,1,1
INCAHUASI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,8,0,8,0,8
INQUISIVI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,48,12,48,60
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,1,6,1,7
IXIAMAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,0,15,0,15
JESUS DE MACHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,18,3,18,3,21
LA ASUNTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,25,15,25,40
LA GUARDIA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,46,18,46,18,64
LA PAZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1343,304,1343,304,1647
LAGUNILLAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,46,6,46,52
LAJA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,0,15,0,15
LAS CARRERAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
LICOMA PAMPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
LLALLAGUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,60,20,60,20,80
LLICA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,13,0,13,0,13
LORETO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,192,6,192,198
LURIBAY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,0,5,0,5
MACHACAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,4,7,4,11
MAGDALENA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,6,12,6,18
MAIRANA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,2,4,2,6
MALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,2,0,2,2
MAPIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,48,0,48,0,48
MECAPACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,9,1,9,1,10
MINEROS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,33,0,33,0,33
MIZQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,44,24,44,24,68
MOCOMOCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,5,12,5,17
MOJOCOYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,2,6,2,8
MONTEAGUDO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,33,20,33,20,53
MONTERO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,178,0,178,0,178
MORO MORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,2,2,2,4
MOROCHATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,14,26,14,26,40
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,0,2,0,2
NAZACARA DE PACAJES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
OCURI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,17,26,17,26,43
OKINAWA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,16,13,16,13,29
OMEREQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,9,6,9,15
ORURO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,539,33,539,33,572
PADCAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,18,2,18,2,20
PADILLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,5,7,5,12
PAILON,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,22,0,22,0,22
PALCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,21,2,21,2,23
PALOS BLANCOS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,52,50,52,50,102
PAMPA GRANDE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
PAPEL PAMPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,13,3,13,16
PATACAMAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,87,0,87,0,87
PAZÑA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
PELECHUCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,13,6,13,6,19
POCOATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,11,6,11,6,17
POCONA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,6,3,6,9
POJO (CBBA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
POOPO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,7,12,7,19
PORCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,19,0,19,0,19
POROMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,20,8,20,8,28
PORONGO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,22,9,22,9,31
PORTACHUELO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,41,0,41,0,41
PORVENIR,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,0,6,0,6
POSTRER VALLE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,332,6,332,6,338
PRESTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,10,0,10,10
PUCARA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,1,1,1,2
PUCARANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,28,0,28,0,28
PUERTO ACOSTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,8,2,8,10
PUERTO CARABUCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,11,4,11,4,15
PUERTO GONZALO MORENO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
PUERTO PEREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,3,2,3,5
PUERTO QUIJARRO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,28,18,28,18,46
PUERTO RICO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,11,7,11,18
PUERTO SILES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,9,0,9,0,9
PUERTO VILLARROEL,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,96,72,96,72,168
PUNA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,23,13,23,13,36
PUNATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,94,10,94,10,104
QUIABAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,3,2,3,5
QUILLACOLLO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,67,287,67,287,354
QUIME,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,3,12,3,15
QUIRUSILLAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,0,2,0,2
RAVELO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,13,10,13,10,23
REYES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,20,207,20,207,227
RIBERALTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,178,2,178,2,180
ROBORE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,2,7,2,9
RURRENABAQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,0,12,0,12
SABAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
SACABA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,153,358,153,358,511
SACABAMBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
SACACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,17,13,17,13,30
SAIPINA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,3,6,3,9
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,12,2,12,2,14
SAMAIPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,24,6,24,6,30
SAN AGUSTIN,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,0,2,0,2
SAN ANDRES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,18,2,18,2,20
SAN ANDRES DE MACHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
SAN ANTONIO DE ESMORUCO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
SAN BENITO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,3,7,3,10
SAN BORJA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,57,8,57,8,65
