,group,variable,month,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTIAGO DE HUARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,60,0,60,60
SANTIVAÑES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,32,0,32,32
SAPAHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,93,0,93,93
SHINAOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,39,0,39,39
SICA SICA (VILLA AROMA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,13,19,13,19,32
SICAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,6,0,6,6
SIPE SIPE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,111,174,111,174,285
SORACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,22,0,22,22
SORATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
SUCRE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,30,0,30,0,30
TACACOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,5,22,5,22,27
TACOPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,5,0,5,0,5
TAPACARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,13,106,13,106,119
TARATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,32,3,32,3,35
TARIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,92,10,92,10,102
TIQUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,173,258,173,258,431
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,6,13,6,13,19
TOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,79,0,79,79
TOLATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,65,2,65,67
TOLEDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,27,0,27,27
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,8,0,8,8
TUPIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,3,0,3,0,3
TURCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,9,0,9,9
UYUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,30,50,30,50,80
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,200,10,200,210
VALLEGRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,49,0,49,0,49
VIACHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,40,0,40,40
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,3,5,3,5,8
VILLA MONTES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,76,0,76,76
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,112,205,112,205,317
VILLAZON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,35,0,35,35
VINTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,100,0,100,0,100
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,55,856,55,856,911
YAMPARAEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,3,13,3,13,16
YANACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,19,0,19,19
ZUDAÑEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,25,0,25,25
ACHACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,792,0,792,792
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,1,20,1,20,21
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,13,0,13,13
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,9,52,9,52,61
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2,10,2,10,12
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,59,0,59,59
CALAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,67,0,67,67
CAMARGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,5,0,5,5
CAPINOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,19,99,19,99,118
CARACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,60,0,60,60
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,40,0,40,40
CARIPUYO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,138,0,138,138
CATACORA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,9,0,9,9
CHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
CHARAÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,8,0,8,8
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,54,0,54,54
CHIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,8,53,8,53,61
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,34,10,34,44
COBIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,90,0,90,0,90
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,45,105,45,105,150
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,744,5,744,5,749
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,15,31,15,31,46
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,3,0,3,3
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,23,126,23,126,149
COLQUECHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,17,0,17,17
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,5,51,5,51,56
COLQUIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,96,0,96,96
CORIPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2,32,2,32,34
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,1,0,1,1
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,60,0,60,60
CURAHUARA DE CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,7,0,7,7
DESAGUADERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,12,0,12,0,12
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,186,434,186,434,620
EL CHORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,127,5,127,5,132
EL PUENTE(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,42,0,42,42
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,0,10,0,10
ENTRE RIOS CBBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,27,0,27,27
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,4,121,4,121,125
GUANAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
JESUS DE MACHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,68,0,68,68
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,18,25,18,25,43
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,1136,1357,1136,1357,2493
MALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,5,0,5,5
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,5,28,5,28,33
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,308,483,308,483,791
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,55,0,55,55
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,164,0,164,164
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,207,0,207,207
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,7,0,7,0,7
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,566,10,566,576
PALCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,150,0,150,150
PALOS BLANCOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,30,0,30,30
PAMPA GRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,5,0,5,5
PAZÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2,8,2,8,10
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,7,125,7,125,132
PORONGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,81,0,81,81
PORTACHUELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,6,0,6,0,6
POTOSI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,371,218,371,218,589
PUERTO PEREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
PUERTO VILLARROEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,94,0,94,94
PUNATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,56,855,56,855,911
QUIME,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,15,0,15,15
RAVELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,9,50,9,50,59
ROBORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,180,0,180,180
SACABA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,68,878,68,878,946
SACACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,4,54,4,54,58
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,6,4,6,4,10
SAN BENITO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,0,10,0,10
SAN IGNACIO DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,135,36,135,36,171
SAN JAVIER(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,60,0,60,0,60
SAN JULIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,3,0,3,3
SAN MIGUEL DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,6,0,6,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,10,0,10,10
SAN PEDRO DE QUEMES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,62,10,62,72
SAN PEDRO DE TIQUINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,70,0,70,70
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2624,4651,2624,4651,7275
SANTA ROSA DEL SARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,1,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,16,22,16,22,38
SAPAHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,165,0,165,165
SHINAOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,52,0,52,52
SICA SICA (VILLA AROMA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,8,0,8,8
SICAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,9,0,9,9
SIPE SIPE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,74,27,74,27,101
SORACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,20,0,20,20
SORATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,5,5,5,5,10
SUCRE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,8,0,8,0,8
TACOPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,1,0,1,0,1
TAPACARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,21,161,21,161,182
TARATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,89,2070,89,2070,2159
TARIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,38,0,38,0,38
TIQUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,36,323,36,323,359
TIRAQUE (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,10,8,10,8,18
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,3,15,3,15,18
TOLATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,1,126,1,126,127
TOLEDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,6,5,6,5,11
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,60,0,60,60
TURCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,1,0,1,1
UYUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,30,0,30,0,30
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,2,475,2,475,477
VIACHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,73,15,73,15,88
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,30,0,30,30
VILLA SERRANO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,20,0,20,0,20
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,65,147,65,147,212
VILLAZON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,112,0,112,112
WALDO BALLIVIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,33,0,33,33
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,64,239,64,239,303
YAPACANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,297,0,297,297
ZUDAÑEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-02-01,0,33,0,33,33
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,34,30,34,30,64
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,0,45,0,45,45
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,1,0,1,0,1
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,0,160,0,160,160
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,7,78,7,78,85
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,0,381,0,381,381
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,0,89,0,89,89
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-03-01,0,84,0,84,84
