,group,variable,month,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,0,3,0,3,3
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,2,0,2,0,2
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,4,0,4,0,4
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,68,0,68,0,68
LURIBAY,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,16,0,16,0,16
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,1,0,1,0,1
PASORAPA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,75,0,75,0,75
SAN BENITO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,1,0,1,0,1
SOPACHUY,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,10,0,10,0,10
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,86,0,86,0,86
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,1,4,1,4,5
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,13,0,13,0,13
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,4,0,4,0,4
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,4,0,4,0,4
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,6,0,6,0,6
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,6,0,6,0,6
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,3,2,3,2,5
COCHABAMBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,4,0,4,0,4
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,8,2,8,2,10
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,19,0,19,0,19
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,47,0,47,0,47
OMEREQUE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,10,0,10,0,10
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,50,0,50,0,50
PASORAPA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,2,0,2,0,2
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,210,0,210,0,210
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,11,0,11,0,11
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,153,0,153,0,153
SANTA ROSA DEL SARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,7,0,7,0,7
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,16,0,16,0,16
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,4,0,4,0,4
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,1,1,1,2
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,3,7,3,7,10
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,54,0,54,0,54
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,7,0,7,0,7
YAPACANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-05-01,5,0,5,0,5
APOLO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,35,0,35,0,35
AUCAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,12,0,12,0,12
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
CABEZAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,26,0,26,0,26
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,5,0,5,0,5
CAMIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,50,0,50,0,50
CHUMA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,15,0,15,0,15
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,3,0,3,0,3
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,17,0,17,0,17
"COLCHA ""K""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,3,0,3,0,3
COLQUIRI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,0,27,0,27,27
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,9,0,9,0,9
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,10,0,10,0,10
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,4,0,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,27,0,27,0,27
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,70,0,70,0,70
MAGDALENA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,2,0,2,0,2
OCURI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,11,80,11,80,91
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,32,47,32,47,79
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,24,6,24,6,30
PELECHUCO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,19,0,19,0,19
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,73,61,73,61,134
ROBORE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,6,0,6,0,6
SAN LORENZO(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,2,0,2,0,2
SAN LUCAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
SAN PABLO DE LIPEZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,10,1,10,1,11
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,1,1,1,2
SAN RAMON SCZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,157,0,157,0,157
SANTA ROSA DEL SARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,4,0,4,0,4
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,2,0,2,0,2
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,6,0,6,0,6
TIRAQUE (CBBA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,5,0,5,0,5
TOLEDO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,5,1,5,6
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,0,23,0,23,23
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,15,0,15,0,15
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,28,0,28,0,28
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,3,0,3,0,3
YUNCHARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-06-01,3,0,3,0,3
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
ARQUE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,0,2,0,2
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,1,2,1,3
AUCAPATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,14,0,14,0,14
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,3,0,3,0,3
BOLIVAR,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,18,0,18,0,18
CABEZAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,5,0,5,0,5
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,3,0,3,0,3
CAPINOTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,42,0,42,0,42
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,6,0,6,0,6
COBIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,30,0,30,0,30
"COLCHA ""K""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,5,0,5,0,5
CURVA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,24,0,24,0,24
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,4,0,4,0,4
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,68,0,68,0,68
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,14,26,14,26,40
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,14,0,14,0,14
PUERTO GONZALO MORENO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,10,0,10,0,10
PUERTO RICO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,13,0,13,0,13
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,15,9,15,9,24
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,3,6,3,6,9
SAN PEDRO(PND),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,10,0,10,0,10
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,28,0,28,0,28
SANTA ROSA DEL SARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,21,0,21,0,21
SICAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,7,0,7,0,7
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,15,0,15,0,15
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,26,22,26,22,48
TOLEDO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,2,0,2,0,2
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,32,9,32,9,41
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,45,0,45,0,45
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,17,0,17,0,17
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-07-01,9,0,9,0,9
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,6,0,6,0,6
ARQUE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,16,0,16,0,16
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-08-01,13,0,13,0,13
