,group,variable,month,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
CURVA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,3,0,3,3
DESAGUADERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
EL ALTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,975,49,975,49,1024
EL CHORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,2,1,2,3
EL PUENTE(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,1,4,1,5
EL PUENTE(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
EL TORNO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,67,8,67,8,75
ENTRE RIOS TRJ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
ENTRE RIOS CBBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,37,6,37,6,43
ESCOMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
EUCALIPTUS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
EUREKA (SANTOS MERCADO),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,2,14,2,16
FILADELFIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,1,2,1,3
GENERAL SAAVEDRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,21,14,21,35
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,0,6,0,6
GUANAY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,6,8,6,14
GUAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,1,1,1,2
GUAYARAMERIN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,66,4,66,4,70
GUTIERREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,7,2,7,9
HUACARETA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,1,1,1,2
HUACHACALLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
HUANUNI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,2,5,2,7
HUARACAJE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
HUAYLLAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,2,3,2,5
HUMANATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
INQUISIVI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
JESUS DE MACHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,18,0,18,0,18
LA ASUNTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,21,8,21,8,29
LA GUARDIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,47,97,47,97,144
LA PAZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,837,66,837,66,903
LAGUNILLAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,10,4,10,14
LAJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,0,7,0,7
LICOMA PAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,23,0,23,0,23
LORETO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,54,0,54,54
MACHACAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,2,2,2,4
MAGDALENA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,2,13,2,15
MAIRANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,1,7,1,8
MAPIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,30,9,30,9,39
MECAPACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
MINEROS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,17,0,17,0,17
MIZQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,43,21,43,21,64
MOCOMOCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,4,11,4,15
MOJOCOYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,10,3,10,3,13
MONTERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,146,0,146,0,146
MOROCHATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,21,5,21,26
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
NAZACARA DE PACAJES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
OCURI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,10,7,10,17
OKINAWA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,17,7,17,7,24
OMEREQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,3,8,3,11
ORURO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,524,13,524,13,537
PADCAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,0,14,0,14
PADILLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,1,1,1,2
PAILON,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,45,0,45,0,45
PALCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,12,7,12,7,19
PALOS BLANCOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,16,17,16,17,33
PAMPA GRANDE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,1,6,1,7
PAPEL PAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,2,6,2,8
PATACAMAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,42,0,42,0,42
PAZÑA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
PELECHUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,1,3,1,4
POCOATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,6,5,6,11
POCONA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,13,7,13,20
POJO (CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,12,0,12,0,12
POOPO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,0,13,0,13
PORCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,0,7,0,7
POROMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,1,14,1,15
PORONGO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,6,14,6,20
PORTACHUELO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,27,0,27,0,27
POSTRER VALLE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,0,7,0,7
POTOSI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,187,4,187,4,191
PRESTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,8,0,8,8
PUCARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,4,0,4,4
PUCARANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,16,0,16,0,16
PUERTO ACOSTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,5,4,5,9
PUERTO CARABUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
PUERTO GONZALO MORENO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,3,1,3,4
PUERTO PEREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,1,1,1,2
PUERTO QUIJARRO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,5,8,5,13
PUERTO RICO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,3,8,3,11
PUERTO SUAREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
PUERTO VILLARROEL,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,87,23,87,23,110
PUNA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,23,11,23,34
PUNATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,46,1,46,1,47
QUIABAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,3,1,3,4
QUILLACOLLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,31,125,31,125,156
QUIME,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,8,2,8,10
RAVELO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,18,6,18,6,24
REYES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,33,8,33,41
RIBERALTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,168,5,168,5,173
ROBORE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,22,3,22,3,25
RURRENABAQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,12,0,12,0,12
SABAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
SACABA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,137,125,137,125,262
SACABAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
SACACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,5,1,5,6
SAIPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,7,2,7,9
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,1,6,1,7
SAMAIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,6,2,6,8
SAN ANDRES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,24,0,24,0,24
SAN ANTONIO DE ESMORUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,1,4,1,5
SAN BORJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,52,5,52,5,57
SAN BUENA VENTURA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,3,8,3,11
SAN CARLOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,33,2,33,2,35
SAN IGNACIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,53,4,53,4,57
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,46,6,46,6,52
SAN JAVIER(BNI),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
SAN JAVIER(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,0,13,0,13
SAN JOAQUIN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,9,3,9,3,12
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
SAN JULIAN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,53,20,53,20,73
SAN LORENZO(PND),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,18,2,18,20
SAN LORENZO(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,18,1,18,1,19
SAN LUCAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,9,13,9,22
SAN MATIAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,10,0,10,0,10
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,1,13,1,14
SAN PEDRO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,0,11,0,11
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,15,6,15,21
SAN PEDRO DE CURAHUARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
SAN PEDRO DE QUEMES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
