,group,variable,month,L 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,L 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,3,0,3,0,3
SOPACHUY,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,10,0,10,0,10
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,10,0,10,0,10
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,9,0,9,0,9
ATOCHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,4,0,4,0,4
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,11,0,11,0,11
BUENA VISTA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,0,3,0,3,3
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,10,0,10,0,10
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
HUANUNI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,59,0,59,0,59
LURIBAY,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
OMEREQUE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,15,0,15,0,15
PORTACHUELO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,0,2,0,2,2
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,96,0,96,0,96
QUILLACOLLO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,0,2,0,2,2
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,15,0,15,0,15
SUCRE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,76,0,76,0,76
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,4,3,4,3,7
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,30,0,30,0,30
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-05-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,4,1,4,1,5
"CAIZA ""D""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,6,0,6,0,6
CLIZA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,5,0,5,0,5
COCHABAMBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,4,0,4,0,4
COLQUIRI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,0,424,0,424,424
COTAGAITA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,8,0,8,0,8
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,6,0,6,0,6
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,49,0,49,0,49
OMEREQUE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,2,0,2,0,2
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,7,13,7,13,20
PAILON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,9,0,9,0,9
PASORAPA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,1,1,1,2
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,135,0,135,0,135
QUILLACOLLO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,0,2,0,2,2
SAN AGUSTIN,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,5,0,5,0,5
SAN BENITO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,8,0,8,0,8
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,15,0,15,0,15
SAN LORENZO(TJA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,0,1,0,1
SAN LUCAS,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,93,0,93,0,93
SUCRE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,44,0,44,0,44
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,9,0,9,0,9
TIRAQUE (CBBA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,7,0,7,0,7
TOLEDO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,4,1,4,1,5
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,3,1,3,1,4
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,7,0,7,0,7
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,39,2,39,2,41
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-06-01,2,0,2,0,2
APOLO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,35,0,35,0,35
ARBIETO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,6,0,6,0,6
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,32,0,32,0,32
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,4,0,4,0,4
COBIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,17,0,17,0,17
"COLCHA ""K""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,5,0,5,0,5
COLPA BELGICA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,5,2,5,2,7
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,7,0,7,0,7
HUANUNI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,3,0,3,0,3
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,20,0,20,0,20
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,18,21,18,21,39
PAILON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,12,0,12,0,12
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,33,0,33,0,33
PUERTO GONZALO MORENO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,9,0,9,0,9
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,3,1,3,4
SAN LORENZO(TJA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,2,0,2,0,2
SAN RAMON SCZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,9,0,9,0,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,161,0,161,0,161
SANTA ROSA DEL SARA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,7,0,7,0,7
TIRAQUE (CBBA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
TOLEDO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,3,0,3,0,3
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,2,0,2,0,2
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,23,2,23,2,25
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-07-01,1,0,1,0,1
ARBIETO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,5,0,5,0,5
AUCAPATA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,14,0,14,0,14
AYATA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,10,0,10,0,10
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,2,0,2,0,2
BOLIVAR,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,0,16,0,16,16
CABEZAS,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,10,0,10,0,10
"CAIZA ""D""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,3,0,3,0,3
CAMIRI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,7,0,7,0,7
CAPINOTA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,38,0,38,0,38
CHUMA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,5,0,5,0,5
CLIZA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,3,0,3,0,3
COBIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,2,0,2,0,2
"COLCHA ""K""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,4,0,4,0,4
COTOCA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,15,0,15,0,15
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
ESCOMA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,3,0,3,0,3
HUANUNI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,3,0,3,0,3
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,77,21,77,21,98
OCURI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,125,0,125,0,125
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,9,0,9,0,9
PAILON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,8,0,8,0,8
PASORAPA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,51,0,51,0,51
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,6,0,6,0,6
SAN PEDRO(PND),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,4,2,4,2,6
SAN RAMON SCZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,29,0,29,0,29
SANTA ROSA DEL SARA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,5,0,5,0,5
SANTIVAÑES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,15,0,15,0,15
SUCRE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,15,0,15,0,15
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,17,0,17,0,17
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,30,0,30,0,30
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,17,0,17,0,17
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,18,0,18,0,18
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,4,0,4,0,4
YUNCHARA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-08-01,1,2,1,2,3
ARBIETO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-09-01,1,0,1,0,1
ARQUE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-09-01,3,6,3,6,9
