,group,variable,month,L 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,L 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
FILADELFIA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,4,0,4,4
GENERAL SAAVEDRA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,3,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
GUANAY,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,1,5,1,6
GUAYARAMERIN,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,26,1,26,1,27
GUTIERREZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,5,2,5,7
HUACARETA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,3,3,3,6
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
HUANUNI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,6,0,6,0,6
HUAYLLAMARCA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
ICLA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,2,7,2,9
INQUISIVI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,3,2,3,5
IXIAMAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
JESUS DE MACHACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
LA ASUNTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,46,23,46,23,69
LA PAZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,453,16,453,16,469
LAGUNILLAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,8,17,8,17,25
LAJA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
LAS CARRERAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
LORETO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,17,0,17,17
LURIBAY,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
MACHACAMARCA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
MAGDALENA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,3,1,3,4
MAIRANA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,13,2,13,2,15
MAPIRI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
MECAPACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
MINEROS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,20,0,20,0,20
MIZQUE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,11,7,11,18
MOCOMOCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
MONTEAGUDO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,2,5,2,7
MONTERO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,72,0,72,0,72
MORO MORO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
MOROCHATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,5,1,5,6
NAZACARA DE PACAJES,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,5,0,5,5
OCURI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,11,0,11,11
OKINAWA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,1,3,1,4
OMEREQUE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,5,5,5,10
ORURO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,147,4,147,4,151
PADCAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,1,5,1,6
PADILLA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
PAILON,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,0,10,0,10
PALOS BLANCOS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,15,7,15,7,22
PAMPA GRANDE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,6,2,6,2,8
PAPEL PAMPA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
PATACAMAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,14,0,14,0,14
PELECHUCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
POCOATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,6,2,6,8
POCONA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,8,8,8,8,16
POJO (CBBA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
POROMA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,11,12,11,12,23
PORONGO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,11,5,11,5,16
PORTACHUELO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,0,10,0,10
POTOSI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,38,0,38,0,38
PRESTO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,3,2,3,5
PUCARA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
PUCARANI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
PUERTO ACOSTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
PUERTO PEREZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,0,7,0,7
PUERTO QUIJARRO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,3,1,3,4
PUERTO RICO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
PUERTO SILES,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
PUERTO VILLARROEL,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,34,34,34,34,68
PUNA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,11,3,11,14
PUNATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,33,0,33,0,33
QUIABAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,23,64,23,64,87
QUIME,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,2,1,2,3
RAVELO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
REYES,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,21,1,21,22
RIBERALTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,50,2,50,2,52
ROBORE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,3,10,3,13
RURRENABAQUE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
SACABA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,80,86,80,86,166
SACACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,9,0,9,9
SAIPINA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,6,5,6,11
SAN ANDRES DE MACHACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
SAN BENITO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,5,5,5,10
SAN BORJA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,27,12,27,12,39
SAN BUENA VENTURA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
SAN CARLOS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,29,1,29,1,30
SAN IGNACIO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,19,14,19,14,33
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,22,7,22,7,29
SAN JAVIER(BNI),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
SAN JAVIER(STC),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
SAN JOAQUIN,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,0,10,0,10
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,22,12,22,12,34
SAN LORENZO(PND),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,8,0,8,8
SAN LORENZO(TJA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,1,4,1,5
SAN LUCAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,4,2,4,6
SAN MATIAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,1,4,1,5
SAN PEDRO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,16,9,16,9,25
SAN PEDRO DE QUEMES,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
SAN PEDRO(PND),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,3,2,3,5
SAN RAMON BENI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,5,3,5,8
SAN RAMON SCZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
SANTA ANA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,10,1,10,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,755,176,755,176,931
SANTA ROSA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,8,6,8,6,14
SANTA ROSA DEL SARA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,5,10,5,15
SANTIAGO DE CALLAPA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
SANTIAGO DE HUARI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,3,1,3,4
SANTIAGO DE MACHACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,8,1,8,9
SENA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
SHINAOTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,6,18,6,18,24
SICA SICA (VILLA AROMA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
SICAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,6,0,6,6
SIPE SIPE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,3,12,3,15
SORACACHI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,2,1,2,3
SUCRE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,90,58,90,58,148
TACACOMA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,1,4,1,5
TACOPAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
TAPACARI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,12,4,12,16
TARABUCO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,6,0,6,0,6
TARATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,1,5,1,6
TARIJA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,113,24,113,24,137
TARVITA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
TIAWANACU,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
TIPUANI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,14,17,14,17,31
