,group,variable,month,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,3,0,3,0,3
PUERTO PEREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,12,0,12,0,12
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,9,0,9,0,9
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,5,0,5,0,5
SAN BENITO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,3,0,3,0,3
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
SAN PEDRO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1359,0,1359,0,1359
SANTA ROSA DEL SARA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,20,0,20,0,20
SANTIAGO DE HUATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
SIPE SIPE,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,9,0,9,0,9
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,386,0,386,0,386
TARATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,80,0,80,0,80
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,189,0,189,0,189
TIAWANACU,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,14,0,14,0,14
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,5,0,5,0,5
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,4,0,4,0,4
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,20,17,20,17,37
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,19,0,19,0,19
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,9,0,9,0,9
VINTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,4,0,4,0,4
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,185,18,185,18,203
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,42,0,42,0,42
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,73,0,73,0,73
ACHACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,9,0,9,0,9
ALTO BENI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,10,0,10,0,10
ARBIETO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,5,0,5,0,5
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,24,0,24,0,24
BATALLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,2,0,2,0,2
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,20,0,20,0,20
BETANZOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,7,0,7,0,7
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,11,0,11,0,11
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,11,2,11,2,13
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,11,0,11,0,11
CARAPARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,10,0,10,0,10
CHIMORE,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,437,0,437,0,437
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,5,0,5,0,5
COLOMI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,3,0,3,0,3
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,5,0,5,0,5
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,36,0,36,0,36
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,3,0,3,0,3
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,650,0,650,0,650
EL PUENTE(STC),otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,29,0,29,0,29
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,136,0,136,0,136
ENTRE RIOS TRJ,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,14,0,14,0,14
FERNANDEZ ALONSO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,10,0,10,0,10
HUANUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,178,0,178,0,178
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,782,13,782,13,795
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,15,0,15,0,15
MAPIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,0,4,0,4,4
MINEROS,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,21,0,21,0,21
MIZQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,2,0,2,0,2
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,110,0,110,0,110
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
PORCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,10,0,10,0,10
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,17,0,17,0,17
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,92,0,92,0,92
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,3,0,3,0,3
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,3,0,3,0,3
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,7,0,7,0,7
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,8,0,8,0,8
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,80,0,80,0,80
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1353,0,1353,0,1353
SANTA ROSA DEL SARA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,35,0,35,0,35
SIPE SIPE,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,244,0,244,0,244
TIAWANACU,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,6,0,6,0,6
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,3,0,3,0,3
TORO TORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,1,0,1,0,1
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,16,0,16,0,16
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,2,0,2,0,2
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,30,25,30,25,55
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,12,0,12,0,12
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,8,0,8,0,8
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,242,20,242,20,262
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,87,0,87,0,87
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-03-01,36,0,36,0,36
ACHACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,12,0,12,0,12
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
ARBIETO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,12,0,12,0,12
BATALLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,9,0,9,0,9
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,35,0,35,0,35
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,8,0,8,0,8
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,13,0,13,0,13
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,5,0,5,0,5
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,15,0,15,0,15
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,202,0,202,0,202
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,6,0,6,0,6
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,3,6,3,6,9
COROICO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,88,0,88,0,88
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,7,0,7,0,7
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,459,0,459,0,459
EL PUENTE(STC),otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,58,0,58,0,58
ENTRE RIOS CBBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,8,0,8,0,8
GENERAL SAAVEDRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,28,0,28,0,28
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,134,1,134,1,135
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,469,11,469,11,480
LAJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,8,0,8,0,8
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,2,0,2,0,2
MAPIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
MINEROS,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,28,0,28,0,28
MIZQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,8,0,8,0,8
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,100,0,100,0,100
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,22,0,22,0,22
PALOS BLANCOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,4,0,4,0,4
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,14,0,14,0,14
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,54,0,54,0,54
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,13,1,13,14
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,3,2,3,2,5
PUERTO VILLARROEL,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,9,0,9,0,9
PUNATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,11,0,11,0,11
QUILLACOLLO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,25,0,25,0,25
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,31,14,31,14,45
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,7,0,7,0,7
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,21,0,21,0,21
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,12,0,12,0,12
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,1156,0,1156,0,1156
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,535,0,535,0,535
TIAWANACU,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,13,0,13,0,13
TIPUANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,10,0,10,0,10
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,8,0,8,0,8
TORO TORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,0,16,0,16,16
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,4,0,4,0,4
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,66,0,66,0,66
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,42,0,42,0,42
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,39,26,39,26,65
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,25,0,25,0,25
VILLA TUNARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,2,0,2,0,2
VILLAZON,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,14,0,14,0,14
VINTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,4,0,4,0,4
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,115,1,115,1,116
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,46,0,46,0,46
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-04-01,46,0,46,0,46
ACHACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,14,0,14,0,14
BATALLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,9,0,9,0,9
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,7,0,7,0,7
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,10,0,10,0,10
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,10,0,10,0,10
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,3,0,3,0,3
CARAPARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,3,0,3,0,3
CHIMORE,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,1,2,1,3
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,324,0,324,0,324
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,4,0,4,0,4
CONCEPCION,otras vacunaciones,l 21.9       antirrabica en humano,2012-05-01,2,0,2,0,2
