,group,variable,month,L 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,L 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
POCONA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,6,0,6,6
PORONGO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,7,7,7,7,14
PORTACHUELO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,0,3,0,3
POSTRER VALLE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
POTOSI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,9,0,9,0,9
PUCARA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
PUERTO QUIJARRO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,5,5,5,5,10
PUNATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,10,0,10,0,10
QUILLACOLLO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,6,6,6,6,12
QUIME,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,1,1,1,2
REYES,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,8,0,8,8
RIBERALTA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,1,3,1,4
ROBORE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,3,2,3,5
SACABA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,16,41,16,41,57
SACACA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,2,0,2,2
SAIPINA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,1,2,1,3
SAMAIPATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,1,3,1,4
SAN ANDRES,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,0,3,0,3
SAN BUENA VENTURA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
SAN CARLOS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,5,1,5,1,6
SAN IGNACIO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,19,0,19,0,19
SAN JAVIER(STC),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,6,2,6,2,8
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,2,0,2,2
SAN LORENZO(PND),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
SAN LUCAS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,1,1,1,2
SAN PEDRO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,4,0,4,0,4
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,175,27,175,27,202
SANTA ROSA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,1,2,1,3
SANTIVAÑES,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SICAYA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
SIPE SIPE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,2,2,2,4
SOPACHUY,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SORACACHI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,22,1,22,1,23
TAPACARI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,2,2,2,4
TARABUCO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
TARATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,8,0,8,0,8
TARIJA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,28,11,28,11,39
TARVITA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,1,1,1,2
TIQUIPAYA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
TOCO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
TOLATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,4,1,4,5
TOMAVE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
TOTORA(CBBA),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,8,4,8,4,12
TRIGAL,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,2,2,2,4
TRINIDAD,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,7,0,7,0,7
TUPIZA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,7,2,7,9
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,0,3,0,3
URUBICHA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,10,1,10,1,11
VIACHA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,7,1,7,1,8
VILLA CHARCAS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,1,1,1,2
VILLA MONTES,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
VILLA RIVERO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,2,1,2,3
VILLA TUNARI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,10,11,10,11,21
VILLAZON,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
VINTO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,10,0,10,0,10
WALDO BALLIVIAN,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,0,1,0,1
WARNES,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,12,1,12,1,13
YACO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,3,0,3,0,3
YACUIBA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,2,0,2,0,2
YANACACHI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,0,1,0,1,1
YAPACANI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,8,5,8,5,13
YOTALA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,4,0,4,0,4
YUNCHARA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,1,3,1,3,4
ZUDAÑEZ,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-01-01,10,25,10,25,35
ACHACACHI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,2,1,2,3
ANZALDO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,4,0,4,4
ARAMPAMPA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
ARANI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,3,2,3,2,5
ARBIETO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,4,14,4,14,18
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,4,1,4,5
BATALLAS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,3,2,3,2,5
BETANZOS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,3,1,3,4
BOYUIBE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,2,1,2,3
CALAMARCA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
CAMARGO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,1,1,1,2
CAMIRI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,7,9,7,9,16
CARACOLLO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,2,0,2,2
CARANAVI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,15,2,15,17
CHALLAPATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,5,1,5,6
CHARAGUA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,6,0,6,6
CHARAÑA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
CHIMORE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,9,0,9,9
CKOCHAS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
CLIZA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,4,2,4,6
COBIJA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,6,3,6,3,9
COCHABAMBA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,121,22,121,22,143
COLCAPIRHUA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,8,34,8,34,42
COLOMI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,3,5,3,5,8
COLPA BELGICA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,2,0,2,2
COLQUIRI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,3,0,3,3
COMANCHE,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
COMARAPA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,3,3,3,3,6
CONCEPCION,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,4,2,4,6
CORIPATA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,1,1,1,2
COTOCA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,9,1,9,1,10
CUEVO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,4,0,4,4
EL ALTO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,169,11,169,11,180
EL CHORO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
EL PUENTE(STC),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,1,1,1,2
EL PUENTE(TJA),otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,2,0,2,2
EL TORNO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,13,0,13,0,13
ENTRE RIOS TRJ,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
GENERAL SAAVEDRA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,1,2,1,3
GUTIERREZ,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,1,0,1,0,1
HUACARETA,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,0,1,0,1,1
HUANUNI,otras vacunaciones,l 21.5       mujeres de 10 a 49 anos 5ta dosis de dt,2012-02-01,2,0,2,0,2
