,group,variable,month,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,212,10,212,10,222
LAGUNILLAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,1,4,1,5
LAJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
LICOMA PAMPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
LORETO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,4,0,4,4
MAGDALENA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
MAIRANA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,1,6,1,7
MALLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
MAPIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
MECAPACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
MINEROS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,14,1,14,1,15
MIZQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,3,2,3,5
MONTEAGUDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,2,6,2,8
MONTERO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,32,0,32,0,32
MORO MORO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,7,2,7,9
NAZACARA DE PACAJES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
OCURI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
OKINAWA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,2,0,2,2
OMEREQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,4,2,4,6
ORURO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,66,2,66,2,68
PADCAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
PADILLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,1,4,1,5
PAILON,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,13,0,13,0,13
PALOS BLANCOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,4,2,4,6
PAMPA GRANDE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,11,1,11,12
PAZÑA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
PELECHUCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
POCOATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
POCONA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,1,2,1,3
POJO (CBBA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
PORONGO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,12,3,12,3,15
PORTACHUELO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,0,3,0,3
PORVENIR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,16,0,16,0,16
PUCARANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
PUERTO PEREZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
PUERTO VILLARROEL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,9,5,9,5,14
PUNA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,1,1,1,2
PUNATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,11,0,11,0,11
QUILLACOLLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,21,6,21,27
QUIRUSILLAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
RAVELO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
REYES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,6,0,6,6
RIBERALTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,1,2,1,3
ROBORE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,8,0,8,0,8
SACABA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,32,25,32,25,57
SACABAMBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
SACACA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,4,0,4,4
SAIPINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
SAMAIPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
SAN BENITO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,1,1,1,2
SAN BORJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,11,0,11,0,11
SAN BUENA VENTURA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,0,3,0,3
SAN CARLOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,15,1,15,1,16
SAN IGNACIO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,1,5,1,6
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,16,2,16,2,18
SAN JAVIER(STC),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,0,5,0,5
SAN JOAQUIN,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,13,0,13,0,13
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,4,1,4,5
SAN LORENZO(PND),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,8,0,8,0,8
SAN LUCAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,9,3,9,12
SAN MATIAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,7,5,7,5,12
SAN PEDRO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
SAN RAFAEL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
SANTA ANA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,332,76,332,76,408
SANTA ROSA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,3,1,3,4
SANTA ROSA DEL SARA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,3,4,3,7
SANTIVAÑES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
SANTUARIO DE QUILLACAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,8,2,8,10
SICA SICA (VILLA AROMA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
SICAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
SIPE SIPE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,2,3,2,5
SORACACHI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,5,1,5,6
SUCRE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,38,3,38,3,41
TACACOMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,2,2,2,4
TAPACARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,3,2,3,5
TARABUCO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
TARACO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
TARATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,7,3,7,3,10
TARIJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,62,12,62,12,74
TARVITA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
TIAWANACU,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
TIPUANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,9,7,9,7,16
TIRAQUE (CBBA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
TOLATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,8,2,8,2,10
TOTORA(CBBA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,11,4,11,4,15
TOTORA(ORR),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
TRIGAL,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,5,1,5,6
TRINIDAD,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,26,0,26,0,26
TUPIZA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,7,2,7,2,9
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
URUBICHA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
UYUNI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
VACAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,7,3,7,3,10
VIACHA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,16,1,16,1,17
VILLA CHARCAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,10,6,10,6,16
VILLA MONTES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
VILLA RIVERO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,2,4,2,6
VILLA TUNARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,17,16,17,16,33
VILLAZON,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,8,0,8,0,8
VINTO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,18,0,18,0,18
WARNES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,19,4,19,4,23
YACO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,0,6,0,6
YAPACANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,4,6,4,10
YOTALA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,6,3,6,9
YUNCHARA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
ZUDAÑEZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,2,4,2,6
ACHACACHI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,4,1,4,5
ACHOCALLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,3,0,3,3
AIQUILE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,0,1,0,1
ANZALDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,1,0,1,1
APOLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,1,0,1,1
ARAMPAMPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,1,0,1,1
ARANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,3,1,3,4
ARBIETO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,14,0,14,14
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,14,0,14,0,14
AUCAPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,0,2,0,2,2
AYATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-02-01,1,7,1,7,8
