,group,variable,month,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,2,0,2,0,2
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
COLQUIRI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,0,42,0,42,42
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,5,0,5,0,5
EL TORNO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,22,0,22,0,22
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,8,9,8,9,17
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,3,0,3,0,3
SAN BENITO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,2,0,2,0,2
SANTA ROSA DEL SARA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,24,0,24,0,24
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,5,0,5,0,5
TIRAQUE (CBBA),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,14,0,14,0,14
TOLEDO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,4,0,4,0,4
VALLEGRANDE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,4,9,4,9,13
VIACHA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,2,0,2,0,2
ARBIETO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,5,0,5,0,5
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,1,0,1,0,1
CLIZA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
COLPA BELGICA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,10,0,10,0,10
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,7,0,7,0,7
LA GUARDIA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,1,1,1,1,2
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,11,0,11,0,11
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,5,15,5,15,20
PAILON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,20,0,20,0,20
PASORAPA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,50,0,50,0,50
QUILLACOLLO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,5,0,5,0,5
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
SAN LORENZO(PND),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
SAN RAMON SCZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,46,0,46,0,46
SANTA ROSA DEL SARA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,1,0,1,0,1
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,8,0,8,0,8
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-07-01,3,0,3,0,3
ARBIETO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,2,0,2,0,2
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,3,0,3,0,3
CLIZA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,4,0,4,0,4
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,3,0,3,0,3
"COLCHA ""K""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,4,0,4,0,4
COTOCA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,2,0,2,0,2
EL TORNO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,18,0,18,0,18
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,7,0,7,0,7
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,35,0,35,0,35
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,63,0,63,0,63
SANTA ROSA DEL SARA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,6,0,6,0,6
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,1,0,1,0,1
VACAS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,5,0,5,0,5
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,4,0,4,0,4
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-08-01,4,0,4,0,4
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,2,0,2,0,2
CLIZA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,5,0,5,0,5
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,4,0,4,0,4
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,12,0,12,0,12
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,29,0,29,0,29
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,5,0,5,0,5
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,80,0,80,0,80
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,8,0,8,0,8
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,56,0,56,0,56
SANTA ROSA DEL SARA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,1,0,1,0,1
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,17,0,17,0,17
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,5,0,5,0,5
VACAS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,2,3,2,3,5
WARNES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,4,5,4,5,9
YAPACANI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-09-01,10,0,10,0,10
ARBIETO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,3,0,3,0,3
ATOCHA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,4,2,4,2,6
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,1,0,1,0,1
CAMARGO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,2,0,2,0,2
CAPINOTA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,3,0,3,0,3
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,1,0,1,0,1
CULPINA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,13,0,13,0,13
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,5,0,5,0,5
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,24,0,24,0,24
LAS CARRERAS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,0,2,0,2,2
MONTERO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,14,0,14,0,14
PAILON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,3,0,3,0,3
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,57,0,57,0,57
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,26,0,26,0,26
SANTIAGO DE HUATA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,2,0,2,0,2
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,31,1,31,1,32
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,26,0,26,0,26
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,4,138,4,138,142
VACAS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,3,0,3,0,3
WARNES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,1,0,1,0,1
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-10-01,2,0,2,0,2
ATOCHA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
CLIZA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,0,5,0,5,5
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,44,0,44,0,44
MONTEAGUDO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,16,0,16,0,16
PAILON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,11,0,11,0,11
PAMPA GRANDE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
POROMA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
ROBORE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,0,4,0,4,4
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
SAN LORENZO(PND),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,2,0,2,0,2
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,4,0,4,0,4
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,6,0,6,0,6
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,7,0,7,0,7
UYUNI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,0,2,0,2,2
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-11-01,1,0,1,0,1
