municipality,group,variable,month,AQV masculino,AQV masculino1,AQV masculino2,AQV masculino3,AQV masculino4,TOTAL
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,4,8,0,12
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,1,1,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,0,0,5,4,1,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,0,0,6,0,0,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,0,0,8,0,0,8
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,0,0,4,2,0,6
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,0,1,2,0,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-11-01,1,0,1,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-12-01,0,0,6,6,0,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-12-01,0,0,1,2,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-12-01,0,0,1,1,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-12-01,0,0,1,2,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-12-01,0,0,1,0,0,1
