municipality,group,variable,month,Número de condones entregados,Número de condones entregados1,Número de condones entregados2,Número de condones entregados3,Número de condones entregados4,TOTAL
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,60,12,132
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,192,60,0,276
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,108,216,108,0,432
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,0,0,48
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,84,12,0,96
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,108,36,0,156
CALACOTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,108,36,0,144
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,48,0,120
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,24,0,36
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,84,36,0,144
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,24,0,60
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,96,12,0,108
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,84,24,0,120
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,324,60,0,408
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,20,40,0,0,60
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,228,36,0,312
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,48,0,0,72
CHARAÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,84,48,0,132
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,12,48,396,132,0,588
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,24,0,24
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,24,0,0,36
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,72,24,0,108
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,1,84,12,0,97
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,72,60,0,156
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,54,2699,849,7,3609
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,108,24,0,144
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,216,72,12,300
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,60,156,12,0,228
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,0,0,48
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,156,36,0,216
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,12,0,72
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,0,36
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,24,0,96
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,12,0,0,24
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,120,12,0,144
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,0,0,60
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,192,60,0,264
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,72,204,24,0,300
CRUZ DE MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,13,36,24,0,73
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,0,0,48
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,0,12,12
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,48,0,120
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,12,0,60
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,11,607,8084,3646,659,13007
EL CHORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,12,48
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,108,48,0,156
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,159,103,1,287
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,12,144,325,48,0,529
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,1,60,12,0,73
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,72,48,0,144
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,360,84,0,468
ESCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,0,0,60
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
EUCALIPTUS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,24,0,48
EXALTACION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,0,36
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,0,36
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,60,0,108
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,24,0,84
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,100,733,247,12,1092
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,26,0,0,0,26
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,60,102,24,0,186
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,0,36
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,24,12,108
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,36,60,0,120
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,12,0,60
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,72,0,0,120
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,60,48,0,120
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,84,0,120
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,204,72,0,324
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,84,276,24,0,384
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,600,8465,3846,318,13229
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,156,36,0,204
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,12,0,60
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,84,300,60,0,444
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,9,35,24,0,68
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,60,24,0,108
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,0,0,48
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,37,13,12,74
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,60,0,0,72
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,0,0,0,12
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,111,25,0,148
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,61,60,0,121
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,180,24,0,228
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,72,12,0,96
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,72,12,0,108
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,198,48,12,306
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,458,48,0,542
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,24,0,84
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,48,84,0,168
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,24,0,84
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,13,12,0,0,25
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,108,0,0,120
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,1528,11393,3642,988,17551
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,20,359,194,20,593
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,24,0,36
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,192,24,0,252
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,72,0,0,84
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,120,24,0,192
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,24,0,48
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,12,12,48
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,84,36,0,120
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,0,0,0,24
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,84,0,0,96
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,36,0,96
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,84,84,0,204
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,216,94,0,346
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,132,36,0,168
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,12,0,0,36
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,120,0,0,120
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,12,12,0,36
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,0,0,48
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,24,0,84
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,36,0,60
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,24,12,0,60
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,96,960,984,0,2040
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,27,0,87
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,48,0,108
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,24,24,0,72
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,24,24,0,72
PUERTO PEREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,24,0,24
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,12,12,36,0,0,60
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
PUERTO SILES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,10,0,0,10
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,60,660,156,0,876
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,120,48,0,216
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,240,0,0,264
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,12,0,0,24
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,144,504,108,0,756
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,12,0,84
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,0,0,0,12
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,84,12,0,96
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,60,12,0,108
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,30,187,575,98,0,890
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,0,0,72
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,60,12,0,72
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,48,0,84
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,144,1080,864,0,2088
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,36,12,0,60
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,48,156,132,0,336
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,132,12,0,180
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,24,0,48
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,12,12,12,48,0,84
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,0,24
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,12,12,0,36
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,24,0,36
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,12,36,120,36,0,204
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,144,24,0,180
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,36,168,36,0,240
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,120,48,0,168
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,36,12,0,72
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,5,8,0,0,13
