,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES PRIMERA,MENORES DE 6 MESES PRIMERA,TOTALES,TOTALES,TOTALES
COMANCHE,consulta externa,menores de 6 meses,2024-01-01,1,1,0,0,0,0,2,0,2
COMARAPA,consulta externa,menores de 6 meses,2024-01-01,35,46,1,3,1,2,81,4,85
COMBAYA,consulta externa,menores de 6 meses,2024-01-01,3,1,0,2,0,0,4,2,6
CONCEPCION,consulta externa,menores de 6 meses,2024-01-01,54,50,2,7,0,0,104,9,113
COPACABANA,consulta externa,menores de 6 meses,2024-01-01,7,10,0,2,0,0,17,2,19
CORIPATA,consulta externa,menores de 6 meses,2024-01-01,34,35,11,2,0,2,69,13,82
CORO CORO,consulta externa,menores de 6 meses,2024-01-01,15,16,2,0,0,0,31,2,33
COROICO,consulta externa,menores de 6 meses,2024-01-01,54,43,18,11,12,12,97,29,126
CORQUE,consulta externa,menores de 6 meses,2024-01-01,0,0,0,3,4,8,0,3,3
COTAGAITA,consulta externa,menores de 6 meses,2024-01-01,26,33,1,0,22,26,59,1,60
COTOCA,consulta externa,menores de 6 meses,2024-01-01,169,155,8,9,166,126,324,17,341
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2024-01-01,42,30,6,2,0,1,72,8,80
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2024-01-01,7,6,0,0,0,0,13,0,13
CUEVO,consulta externa,menores de 6 meses,2024-01-01,11,15,1,2,0,0,26,3,29
CULPINA,consulta externa,menores de 6 meses,2024-01-01,18,13,1,0,0,0,31,1,32
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2024-01-01,4,1,0,0,4,1,5,0,5
CURVA,consulta externa,menores de 6 meses,2024-01-01,3,1,0,0,7,5,4,0,4
DESAGUADERO,consulta externa,menores de 6 meses,2024-01-01,2,9,6,6,0,0,11,12,23
EL ALTO,consulta externa,menores de 6 meses,2024-01-01,2717,2638,1008,914,791,722,5355,1922,7277
EL CHORO,consulta externa,menores de 6 meses,2024-01-01,0,5,0,0,0,5,5,0,5
EL PUENTE(STC),consulta externa,menores de 6 meses,2024-01-01,39,18,1,0,39,18,57,1,58
EL PUENTE(TJA),consulta externa,menores de 6 meses,2024-01-01,16,24,0,0,15,22,40,0,40
EL TORNO,consulta externa,menores de 6 meses,2024-01-01,192,153,6,10,0,0,345,16,361
EL VILLAR,consulta externa,menores de 6 meses,2024-01-01,7,7,0,0,0,0,14,0,14
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2024-01-01,45,41,2,2,0,0,86,4,90
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2024-01-01,154,163,5,4,39,34,317,9,326
ESCARA,consulta externa,menores de 6 meses,2024-01-01,0,0,0,0,0,1,0,0,0
ESCOMA,consulta externa,menores de 6 meses,2024-01-01,9,17,0,0,0,0,26,0,26
EUCALIPTUS,consulta externa,menores de 6 meses,2024-01-01,5,7,0,0,5,5,12,0,12
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2024-01-01,2,2,0,0,0,0,4,0,4
EXALTACION,consulta externa,menores de 6 meses,2024-01-01,8,7,0,0,0,0,15,0,15
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2024-01-01,46,52,3,3,0,0,98,6,104
FILADELFIA,consulta externa,menores de 6 meses,2024-01-01,9,5,0,0,14,4,14,0,14
GAIOC JATUN AYLLU YURA,consulta externa,menores de 6 meses,2024-01-01,1,1,2,0,7,10,2,2,4
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2024-01-01,52,56,3,4,0,0,108,7,115
GIA-TIM,consulta externa,menores de 6 meses,2024-01-01,6,10,0,1,1,2,16,1,17
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2024-01-01,16,14,1,1,2,2,30,2,32
GUANAY,consulta externa,menores de 6 meses,2024-01-01,19,26,50,35,0,0,45,85,130
GUAQUI,consulta externa,menores de 6 meses,2024-01-01,9,7,0,2,4,1,16,2,18
GUAYARAMERIN,consulta externa,menores de 6 meses,2024-01-01,70,58,14,6,7,4,128,20,148
GUTIERREZ,consulta externa,menores de 6 meses,2024-01-01,19,30,1,2,0,0,49,3,52
HUACARAJE,consulta externa,menores de 6 meses,2024-01-01,7,2,7,1,0,0,9,8,17
HUACARETA,consulta externa,menores de 6 meses,2024-01-01,9,7,2,0,0,0,16,2,18
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2024-01-01,6,5,1,0,0,0,11,1,12
HUACHACALLA,consulta externa,menores de 6 meses,2024-01-01,5,0,1,3,5,0,5,4,9
HUANUNI,consulta externa,menores de 6 meses,2024-01-01,59,33,14,10,40,32,92,24,116
HUARINA,consulta externa,menores de 6 meses,2024-01-01,8,11,10,7,0,0,19,17,36
HUATAJATA,consulta externa,menores de 6 meses,2024-01-01,8,5,2,3,0,0,13,5,18
HUAYLLAMARCA,consulta externa,menores de 6 meses,2024-01-01,2,0,4,2,0,1,2,6,8
HUMANATA,consulta externa,menores de 6 meses,2024-01-01,3,3,1,1,0,0,6,2,8
ICHOCA,consulta externa,menores de 6 meses,2024-01-01,14,18,0,0,13,12,32,0,32
ICLA,consulta externa,menores de 6 meses,2024-01-01,18,13,3,1,0,0,31,4,35
INCAHUASI,consulta externa,menores de 6 meses,2024-01-01,32,36,0,0,34,43,68,0,68
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2024-01-01,1,1,0,0,0,0,2,0,2
INQUISIVI,consulta externa,menores de 6 meses,2024-01-01,23,22,2,2,18,16,45,4,49
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2024-01-01,42,39,4,4,24,19,81,8,89
IXIAMAS,consulta externa,menores de 6 meses,2024-01-01,16,16,2,1,0,0,32,3,35
JESUS DE MACHACA,consulta externa,menores de 6 meses,2024-01-01,18,14,3,3,1,0,32,6,38
LA ASUNTA,consulta externa,menores de 6 meses,2024-01-01,110,104,7,4,68,70,214,11,225
LA GUARDIA,consulta externa,menores de 6 meses,2024-01-01,346,308,141,138,43,35,654,279,933
LA PAZ,consulta externa,menores de 6 meses,2024-01-01,2544,2596,741,741,174,159,5140,1482,6622
LAGUNILLAS,consulta externa,menores de 6 meses,2024-01-01,8,19,2,2,0,0,27,4,31
LAJA,consulta externa,menores de 6 meses,2024-01-01,20,26,4,5,0,0,46,9,55
LAS CARRERAS,consulta externa,menores de 6 meses,2024-01-01,0,0,0,0,2,3,0,0,0
LICOMA PAMPA,consulta externa,menores de 6 meses,2024-01-01,4,4,0,0,1,1,8,0,8
LLALLAGUA,consulta externa,menores de 6 meses,2024-01-01,91,118,9,5,1,0,209,14,223
LLICA,consulta externa,menores de 6 meses,2024-01-01,4,7,0,1,0,0,11,1,12
LORETO,consulta externa,menores de 6 meses,2024-01-01,2,4,0,0,0,0,6,0,6
LURIBAY,consulta externa,menores de 6 meses,2024-01-01,14,16,0,0,0,0,30,0,30
MACHACAMARCA,consulta externa,menores de 6 meses,2024-01-01,2,3,1,0,2,2,5,1,6
MACHARETI,consulta externa,menores de 6 meses,2024-01-01,10,5,0,0,7,6,15,0,15
MAGDALENA,consulta externa,menores de 6 meses,2024-01-01,5,5,0,1,1,6,10,1,11
MAIRANA,consulta externa,menores de 6 meses,2024-01-01,30,22,5,9,0,0,52,14,66
MALLA,consulta externa,menores de 6 meses,2024-01-01,1,0,0,1,0,0,1,1,2
MAPIRI,consulta externa,menores de 6 meses,2024-01-01,36,54,14,11,0,0,90,25,115
MECAPACA,consulta externa,menores de 6 meses,2024-01-01,12,15,3,18,3,0,27,21,48
MINEROS,consulta externa,menores de 6 meses,2024-01-01,46,31,5,6,0,0,77,11,88
MIZQUE,consulta externa,menores de 6 meses,2024-01-01,97,70,11,7,91,65,167,18,185
MOCOMOCO,consulta externa,menores de 6 meses,2024-01-01,15,8,5,5,0,0,23,10,33
MOJOCOYA,consulta externa,menores de 6 meses,2024-01-01,6,11,0,1,4,9,17,1,18
MONTEAGUDO,consulta externa,menores de 6 meses,2024-01-01,62,47,11,16,1,1,109,27,136
MONTERO,consulta externa,menores de 6 meses,2024-01-01,703,683,120,101,5,8,1386,221,1607
MORO MORO,consulta externa,menores de 6 meses,2024-01-01,6,1,1,0,0,0,7,1,8
MOROCHATA,consulta externa,menores de 6 meses,2024-01-01,10,7,1,1,3,2,17,2,19
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2024-01-01,12,4,0,0,0,0,16,0,16
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2024-01-01,1,0,1,1,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2024-01-01,1,5,0,0,0,0,6,0,6
OCURI,consulta externa,menores de 6 meses,2024-01-01,19,18,0,0,0,0,37,0,37
OKINAWA,consulta externa,menores de 6 meses,2024-01-01,30,38,7,5,0,0,68,12,80
OMEREQUE,consulta externa,menores de 6 meses,2024-01-01,11,10,3,5,0,0,21,8,29
ORURO,consulta externa,menores de 6 meses,2024-01-01,1352,1225,369,327,260,288,2577,696,3273
PADCAYA,consulta externa,menores de 6 meses,2024-01-01,34,33,6,4,37,37,67,10,77
PADILLA,consulta externa,menores de 6 meses,2024-01-01,27,36,7,9,0,0,63,16,79
PAILON,consulta externa,menores de 6 meses,2024-01-01,109,100,15,23,0,0,209,38,247
PALCA,consulta externa,menores de 6 meses,2024-01-01,34,30,1,2,16,20,64,3,67
PALOS BLANCOS,consulta externa,menores de 6 meses,2024-01-01,85,94,4,8,0,0,179,12,191
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2024-01-01,3,1,0,0,2,1,4,0,4
PAMPA GRANDE,consulta externa,menores de 6 meses,2024-01-01,17,16,1,0,0,0,33,1,34
PAPEL PAMPA,consulta externa,menores de 6 meses,2024-01-01,6,7,1,0,0,0,13,1,14
PASORAPA,consulta externa,menores de 6 meses,2024-01-01,3,5,0,1,3,5,8,1,9
PATACAMAYA,consulta externa,menores de 6 meses,2024-01-01,46,61,10,9,0,0,107,19,126
PAZÑA,consulta externa,menores de 6 meses,2024-01-01,7,3,0,0,9,3,10,0,10
PELECHUCO,consulta externa,menores de 6 meses,2024-01-01,19,13,3,1,7,6,32,4,36
POCOATA,consulta externa,menores de 6 meses,2024-01-01,23,13,0,1,9,0,36,1,37
POCONA,consulta externa,menores de 6 meses,2024-01-01,13,17,2,0,0,0,30,2,32
POJO (CBBA),consulta externa,menores de 6 meses,2024-01-01,17,41,4,5,0,0,58,9,67
POOPO,consulta externa,menores de 6 meses,2024-01-01,4,3,1,1,11,20,7,2,9
PORCO,consulta externa,menores de 6 meses,2024-01-01,15,18,1,0,10,13,33,1,34
POROMA,consulta externa,menores de 6 meses,2024-01-01,17,11,1,1,20,12,28,2,30
PORONGO,consulta externa,menores de 6 meses,2024-01-01,23,11,11,3,0,0,34,14,48
PORTACHUELO,consulta externa,menores de 6 meses,2024-01-01,33,41,42,31,10,5,74,73,147
PORVENIR,consulta externa,menores de 6 meses,2024-01-01,10,9,3,0,0,0,19,3,22
POSTRER VALLE,consulta externa,menores de 6 meses,2024-01-01,1,0,0,0,0,0,1,0,1
POTOSI,consulta externa,menores de 6 meses,2024-01-01,872,867,171,187,269,285,1739,358,2097
PRESTO,consulta externa,menores de 6 meses,2024-01-01,11,10,2,0,0,0,21,2,23
PUCARA,consulta externa,menores de 6 meses,2024-01-01,0,1,1,0,0,0,1,1,2
PUCARANI,consulta externa,menores de 6 meses,2024-01-01,41,69,3,4,0,0,110,7,117
PUERTO ACOSTA,consulta externa,menores de 6 meses,2024-01-01,8,5,1,3,0,0,13,4,17
PUERTO CARABUCO,consulta externa,menores de 6 meses,2024-01-01,11,10,1,2,0,0,21,3,24
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2024-01-01,25,43,11,15,23,32,68,26,94
PUERTO PEREZ,consulta externa,menores de 6 meses,2024-01-01,5,5,6,2,0,0,10,8,18
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2024-01-01,22,25,0,0,34,40,47,0,47
PUERTO RICO,consulta externa,menores de 6 meses,2024-01-01,7,7,1,1,0,0,14,2,16
PUERTO SILES,consulta externa,menores de 6 meses,2024-01-01,3,6,0,0,0,0,9,0,9
PUERTO SUAREZ,consulta externa,menores de 6 meses,2024-01-01,21,18,2,2,21,18,39,4,43
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2024-01-01,383,397,29,22,160,169,780,51,831
PUNA,consulta externa,menores de 6 meses,2024-01-01,14,20,0,0,30,35,34,0,34
PUNATA,consulta externa,menores de 6 meses,2024-01-01,107,97,64,69,0,0,204,133,337
QUIABAYA,consulta externa,menores de 6 meses,2024-01-01,15,6,3,0,0,0,21,3,24
QUILLACOLLO,consulta externa,menores de 6 meses,2024-01-01,516,481,170,147,0,0,997,317,1314
QUIME,consulta externa,menores de 6 meses,2024-01-01,15,9,4,3,0,0,24,7,31
QUIRUSILLAS,consulta externa,menores de 6 meses,2024-01-01,3,3,0,0,0,0,6,0,6
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2024-01-01,12,12,1,0,10,8,24,1,25
RAVELO,consulta externa,menores de 6 meses,2024-01-01,20,20,0,0,2,0,40,0,40
REYES,consulta externa,menores de 6 meses,2024-01-01,37,21,0,0,0,0,58,0,58
RIBERALTA,consulta externa,menores de 6 meses,2024-01-01,380,306,56,30,195,129,686,86,772
ROBORE,consulta externa,menores de 6 meses,2024-01-01,22,25,4,5,15,15,47,9,56
RURRENABAQUE,consulta externa,menores de 6 meses,2024-01-01,60,42,5,3,26,17,102,8,110
SABAYA,consulta externa,menores de 6 meses,2024-01-01,9,6,0,0,9,6,15,0,15
SACABA,consulta externa,menores de 6 meses,2024-01-01,556,580,122,103,569,573,1136,225,1361
SACABAMBA,consulta externa,menores de 6 meses,2024-01-01,3,5,2,2,0,2,8,4,12
SACACA,consulta externa,menores de 6 meses,2024-01-01,24,19,0,0,1,0,43,0,43
SAIPINA,consulta externa,menores de 6 meses,2024-01-01,6,10,1,0,0,0,16,1,17
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2024-01-01,9,1,1,1,9,2,10,2,12
SAMAIPATA,consulta externa,menores de 6 meses,2024-01-01,26,9,4,1,0,0,35,5,40
SAN AGUSTIN,consulta externa,menores de 6 meses,2024-01-01,0,2,0,0,0,0,2,0,2
SAN ANDRES,consulta externa,menores de 6 meses,2024-01-01,17,12,3,4,3,0,29,7,36
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2024-01-01,5,0,7,1,0,0,5,8,13
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 6 meses,2024-01-01,1,5,0,0,0,0,6,0,6
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2024-01-01,9,7,0,0,0,0,16,0,16
SAN BENITO,consulta externa,menores de 6 meses,2024-01-01,21,26,12,7,0,0,47,19,66
SAN BORJA,consulta externa,menores de 6 meses,2024-01-01,61,64,20,15,70,62,125,35,160
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2024-01-01,13,26,0,2,0,0,39,2,41
SAN CARLOS,consulta externa,menores de 6 meses,2024-01-01,21,34,2,2,0,0,55,4,59
SAN IGNACIO,consulta externa,menores de 6 meses,2024-01-01,39,54,0,0,3,5,93,0,93
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2024-01-01,88,85,10,7,4,1,173,17,190
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2024-01-01,0,1,0,0,3,3,1,0,1
SAN JAVIER(STC),consulta externa,menores de 6 meses,2024-01-01,21,17,1,0,0,0,38,1,39
SAN JOAQUIN,consulta externa,menores de 6 meses,2024-01-01,10,7,0,0,0,0,17,0,17
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2024-01-01,14,8,2,1,0,0,22,3,25
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2024-01-01,5,4,2,0,0,0,9,2,11
SAN JULIAN,consulta externa,menores de 6 meses,2024-01-01,111,91,5,10,0,0,202,15,217
SAN LORENZO(PND),consulta externa,menores de 6 meses,2024-01-01,2,11,0,1,1,1,13,1,14
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2024-01-01,88,66,7,5,87,63,154,12,166
SAN LUCAS,consulta externa,menores de 6 meses,2024-01-01,56,46,8,2,53,42,102,10,112
SAN MATIAS,consulta externa,menores de 6 meses,2024-01-01,28,20,1,0,0,0,48,1,49
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2024-01-01,28,14,1,2,0,0,42,3,45
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2024-01-01,2,1,0,0,0,0,3,0,3
SAN PEDRO,consulta externa,menores de 6 meses,2024-01-01,44,55,1,3,0,0,99,4,103
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2024-01-01,7,9,0,1,15,11,16,1,17
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2024-01-01,13,6,0,0,0,0,19,0,19
SAN PEDRO DE MACHA,consulta externa,menores de 6 meses,2024-01-01,14,13,0,0,1,2,27,0,27
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2024-01-01,1,2,0,0,0,0,3,0,3
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2024-01-01,5,6,3,3,0,0,11,6,17
SAN PEDRO(PND),consulta externa,menores de 6 meses,2024-01-01,5,7,0,0,5,7,12,0,12
SAN RAFAEL,consulta externa,menores de 6 meses,2024-01-01,19,28,7,10,0,0,47,17,64
SAN RAMON BENI,consulta externa,menores de 6 meses,2024-01-01,7,11,2,0,0,0,18,2,20
SAN RAMON SCZ,consulta externa,menores de 6 meses,2024-01-01,13,14,0,1,0,0,27,1,28
SANTA ANA,consulta externa,menores de 6 meses,2024-01-01,42,20,35,33,0,0,62,68,130
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2024-01-01,5601,4312,1641,1590,1572,1662,9913,3231,13144
SANTA ROSA,consulta externa,menores de 6 meses,2024-01-01,18,6,0,0,18,6,24,0,24
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2024-01-01,18,18,0,1,22,20,36,1,37
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2024-01-01,5,4,1,0,0,0,9,1,10
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2024-01-01,0,0,1,5,6,8,0,6,6
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2024-01-01,6,6,2,0,0,0,12,2,14
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2024-01-01,3,2,0,0,0,0,5,0,5
SANTIVAÑES,consulta externa,menores de 6 meses,2024-01-01,12,21,1,3,0,0,33,4,37
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2024-01-01,5,6,0,0,5,6,11,0,11
SAPAHAQUI,consulta externa,menores de 6 meses,2024-01-01,22,12,1,1,13,8,34,2,36
SENA,consulta externa,menores de 6 meses,2024-01-01,21,5,0,0,0,0,26,0,26
SHINAOTA,consulta externa,menores de 6 meses,2024-01-01,59,71,4,6,73,85,130,10,140
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2024-01-01,32,13,2,0,1,8,45,2,47
SICAYA,consulta externa,menores de 6 meses,2024-01-01,5,10,4,3,0,0,15,7,22
SIPE SIPE,consulta externa,menores de 6 meses,2024-01-01,154,139,80,62,0,0,293,142,435
SOPACHUY,consulta externa,menores de 6 meses,2024-01-01,16,14,4,0,0,0,30,4,34
SORACACHI,consulta externa,menores de 6 meses,2024-01-01,5,13,1,0,0,0,18,1,19
SORATA,consulta externa,menores de 6 meses,2024-01-01,42,30,18,13,0,0,72,31,103
SUCRE,consulta externa,menores de 6 meses,2024-01-01,1088,1065,192,205,4,1,2153,397,2550
