,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS PRIMERA,PERSONAS DE 50 A 59 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COIPASA,consulta externa,personas de 50 a 59 anos,2024-01-01,7,3,0,0,7,3,10,0,10
COLCAPIRHUA,consulta externa,personas de 50 a 59 anos,2024-01-01,244,479,146,257,0,0,723,403,1126
"COLCHA ""K""",consulta externa,personas de 50 a 59 anos,2024-01-01,86,196,13,135,84,195,282,148,430
COLLANA,consulta externa,personas de 50 a 59 anos,2024-01-01,17,33,3,8,0,0,50,11,61
COLOMI,consulta externa,personas de 50 a 59 anos,2024-01-01,75,84,12,10,69,86,159,22,181
COLPA BELGICA,consulta externa,personas de 50 a 59 anos,2024-01-01,58,70,32,67,47,59,128,99,227
COLQUECHACA,consulta externa,personas de 50 a 59 anos,2024-01-01,121,83,0,1,95,72,204,1,205
COLQUENCHA,consulta externa,personas de 50 a 59 anos,2024-01-01,32,49,10,15,0,0,81,25,106
COLQUIRI,consulta externa,personas de 50 a 59 anos,2024-01-01,144,99,44,30,38,55,243,74,317
COMANCHE,consulta externa,personas de 50 a 59 anos,2024-01-01,4,5,0,0,0,0,9,0,9
COMARAPA,consulta externa,personas de 50 a 59 anos,2024-01-01,125,211,29,32,4,5,336,61,397
COMBAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,23,32,6,9,0,0,55,15,70
CONCEPCION,consulta externa,personas de 50 a 59 anos,2024-01-01,79,71,9,11,0,0,150,20,170
COPACABANA,consulta externa,personas de 50 a 59 anos,2024-01-01,63,65,2,7,0,0,128,9,137
CORIPATA,consulta externa,personas de 50 a 59 anos,2024-01-01,67,89,19,30,0,0,156,49,205
CORO CORO,consulta externa,personas de 50 a 59 anos,2024-01-01,100,117,17,11,0,0,217,28,245
COROICO,consulta externa,personas de 50 a 59 anos,2024-01-01,102,170,27,82,2,12,272,109,381
CORQUE,consulta externa,personas de 50 a 59 anos,2024-01-01,1,0,0,1,39,43,1,1,2
COTAGAITA,consulta externa,personas de 50 a 59 anos,2024-01-01,229,267,11,16,159,197,496,27,523
COTOCA,consulta externa,personas de 50 a 59 anos,2024-01-01,452,844,28,58,449,815,1296,86,1382
CRUZ DE MACHACAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,0,0,0,1,6,2,0,1,1
CUATRO CAÑADAS,consulta externa,personas de 50 a 59 anos,2024-01-01,83,156,39,74,4,1,239,113,352
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 50 a 59 anos,2024-01-01,6,16,0,0,0,0,22,0,22
CUEVO,consulta externa,personas de 50 a 59 anos,2024-01-01,29,65,12,19,0,0,94,31,125
CULPINA,consulta externa,personas de 50 a 59 anos,2024-01-01,68,140,6,8,0,0,208,14,222
CURAHUARA DE CARANGAS,consulta externa,personas de 50 a 59 anos,2024-01-01,23,36,5,8,21,31,59,13,72
CURVA,consulta externa,personas de 50 a 59 anos,2024-01-01,27,16,1,1,23,15,43,2,45
DESAGUADERO,consulta externa,personas de 50 a 59 anos,2024-01-01,34,43,6,8,8,11,77,14,91
EL ALTO,consulta externa,personas de 50 a 59 anos,2024-01-01,2902,5227,1866,3365,535,917,8129,5231,13360
EL CHORO,consulta externa,personas de 50 a 59 anos,2024-01-01,19,31,3,0,19,31,50,3,53
EL PUENTE(STC),consulta externa,personas de 50 a 59 anos,2024-01-01,85,124,1,2,85,124,209,3,212
EL PUENTE(TJA),consulta externa,personas de 50 a 59 anos,2024-01-01,68,125,15,22,65,113,193,37,230
EL TORNO,consulta externa,personas de 50 a 59 anos,2024-01-01,464,819,111,156,0,0,1283,267,1550
EL VILLAR,consulta externa,personas de 50 a 59 anos,2024-01-01,98,89,12,10,0,0,187,22,209
ENTRE RIOS TRJ,consulta externa,personas de 50 a 59 anos,2024-01-01,196,308,28,70,0,0,504,98,602
ENTRE RIOS CBBA,consulta externa,personas de 50 a 59 anos,2024-01-01,252,323,29,42,62,91,575,71,646
ESCARA,consulta externa,personas de 50 a 59 anos,2024-01-01,0,0,0,0,4,5,0,0,0
ESCOMA,consulta externa,personas de 50 a 59 anos,2024-01-01,20,22,1,2,0,0,42,3,45
ESMERALDA,consulta externa,personas de 50 a 59 anos,2024-01-01,22,23,2,3,22,23,45,5,50
EUCALIPTUS,consulta externa,personas de 50 a 59 anos,2024-01-01,12,22,2,7,11,23,34,9,43
EUREKA (SANTOS MERCADO),consulta externa,personas de 50 a 59 anos,2024-01-01,14,11,1,1,0,0,25,2,27
EXALTACION,consulta externa,personas de 50 a 59 anos,2024-01-01,19,33,1,0,0,0,52,1,53
FERNANDEZ ALONSO,consulta externa,personas de 50 a 59 anos,2024-01-01,66,138,9,29,0,0,204,38,242
FILADELFIA,consulta externa,personas de 50 a 59 anos,2024-01-01,42,73,9,31,37,50,115,40,155
GAIOC JATUN AYLLU YURA,consulta externa,personas de 50 a 59 anos,2024-01-01,12,12,1,1,35,40,24,2,26
GENERAL SAAVEDRA,consulta externa,personas de 50 a 59 anos,2024-01-01,114,191,9,18,0,0,305,27,332
GIA-TIM,consulta externa,personas de 50 a 59 anos,2024-01-01,30,36,0,0,0,0,66,0,66
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 50 a 59 anos,2024-01-01,69,88,1,7,6,6,157,8,165
GUANAY,consulta externa,personas de 50 a 59 anos,2024-01-01,116,102,48,50,0,0,218,98,316
GUAQUI,consulta externa,personas de 50 a 59 anos,2024-01-01,14,31,3,4,2,7,45,7,52
GUAYARAMERIN,consulta externa,personas de 50 a 59 anos,2024-01-01,231,372,92,162,44,38,603,254,857
GUTIERREZ,consulta externa,personas de 50 a 59 anos,2024-01-01,87,112,19,22,0,0,199,41,240
HUACARAJE,consulta externa,personas de 50 a 59 anos,2024-01-01,22,35,4,4,0,0,57,8,65
HUACARETA,consulta externa,personas de 50 a 59 anos,2024-01-01,82,144,16,33,0,0,226,49,275
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 50 a 59 anos,2024-01-01,41,48,9,24,0,0,89,33,122
HUACHACALLA,consulta externa,personas de 50 a 59 anos,2024-01-01,8,21,3,2,8,21,29,5,34
HUANUNI,consulta externa,personas de 50 a 59 anos,2024-01-01,465,219,183,104,57,40,684,287,971
HUARINA,consulta externa,personas de 50 a 59 anos,2024-01-01,26,35,30,25,0,0,61,55,116
HUATAJATA,consulta externa,personas de 50 a 59 anos,2024-01-01,4,6,2,12,0,0,10,14,24
HUAYLLAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,22,30,1,3,7,13,52,4,56
HUMANATA,consulta externa,personas de 50 a 59 anos,2024-01-01,10,16,2,3,0,0,26,5,31
ICHOCA,consulta externa,personas de 50 a 59 anos,2024-01-01,52,67,4,5,51,62,119,9,128
ICLA,consulta externa,personas de 50 a 59 anos,2024-01-01,60,100,19,32,0,0,160,51,211
INCAHUASI,consulta externa,personas de 50 a 59 anos,2024-01-01,70,108,1,5,74,117,178,6,184
INGAVI (HUMAITA),consulta externa,personas de 50 a 59 anos,2024-01-01,18,7,4,3,0,0,25,7,32
INQUISIVI,consulta externa,personas de 50 a 59 anos,2024-01-01,69,98,4,3,40,77,167,7,174
IRUPANA (VILLA DE LANZA),consulta externa,personas de 50 a 59 anos,2024-01-01,131,135,27,42,20,41,266,69,335
IXIAMAS,consulta externa,personas de 50 a 59 anos,2024-01-01,55,62,2,3,0,0,117,5,122
JESUS DE MACHACA,consulta externa,personas de 50 a 59 anos,2024-01-01,43,74,7,8,3,8,117,15,132
LA ASUNTA,consulta externa,personas de 50 a 59 anos,2024-01-01,183,231,8,16,141,191,414,24,438
LA GUARDIA,consulta externa,personas de 50 a 59 anos,2024-01-01,582,931,235,353,64,45,1513,588,2101
LA PAZ,consulta externa,personas de 50 a 59 anos,2024-01-01,6999,14293,4429,10613,713,1233,21292,15042,36334
LA RIVERA,consulta externa,personas de 50 a 59 anos,2024-01-01,0,0,0,0,4,9,0,0,0
LAGUNILLAS,consulta externa,personas de 50 a 59 anos,2024-01-01,72,87,4,12,0,0,159,16,175
LAJA,consulta externa,personas de 50 a 59 anos,2024-01-01,56,63,13,31,0,0,119,44,163
LAS CARRERAS,consulta externa,personas de 50 a 59 anos,2024-01-01,9,10,3,2,33,48,19,5,24
LICOMA PAMPA,consulta externa,personas de 50 a 59 anos,2024-01-01,19,37,1,0,8,15,56,1,57
LLALLAGUA,consulta externa,personas de 50 a 59 anos,2024-01-01,249,379,55,65,1,2,628,120,748
LLICA,consulta externa,personas de 50 a 59 anos,2024-01-01,14,30,0,3,0,0,44,3,47
LORETO,consulta externa,personas de 50 a 59 anos,2024-01-01,28,30,5,6,1,1,58,11,69
LURIBAY,consulta externa,personas de 50 a 59 anos,2024-01-01,116,113,8,14,0,0,229,22,251
MACHACAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,31,44,11,5,21,28,75,16,91
MACHARETI,consulta externa,personas de 50 a 59 anos,2024-01-01,35,66,14,26,37,69,101,40,141
MAGDALENA,consulta externa,personas de 50 a 59 anos,2024-01-01,65,63,12,28,30,46,128,40,168
MAIRANA,consulta externa,personas de 50 a 59 anos,2024-01-01,65,101,20,52,0,0,166,72,238
MALLA,consulta externa,personas de 50 a 59 anos,2024-01-01,20,25,1,3,0,0,45,4,49
MAPIRI,consulta externa,personas de 50 a 59 anos,2024-01-01,112,113,15,18,0,0,225,33,258
MECAPACA,consulta externa,personas de 50 a 59 anos,2024-01-01,54,76,15,7,0,0,130,22,152
MINEROS,consulta externa,personas de 50 a 59 anos,2024-01-01,112,133,10,25,0,0,245,35,280
MIZQUE,consulta externa,personas de 50 a 59 anos,2024-01-01,102,136,14,52,97,139,238,66,304
MOCOMOCO,consulta externa,personas de 50 a 59 anos,2024-01-01,89,96,19,12,0,0,185,31,216
MOJINETE,consulta externa,personas de 50 a 59 anos,2024-01-01,8,6,11,1,0,0,14,12,26
MOJOCOYA,consulta externa,personas de 50 a 59 anos,2024-01-01,85,132,5,2,26,60,217,7,224
MONTEAGUDO,consulta externa,personas de 50 a 59 anos,2024-01-01,341,528,77,98,14,16,869,175,1044
MONTERO,consulta externa,personas de 50 a 59 anos,2024-01-01,958,1849,287,541,1,0,2807,828,3635
MORO MORO,consulta externa,personas de 50 a 59 anos,2024-01-01,17,30,15,38,0,0,47,53,100
MOROCHATA,consulta externa,personas de 50 a 59 anos,2024-01-01,47,55,6,1,0,0,102,7,109
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 50 a 59 anos,2024-01-01,21,36,3,4,0,0,57,7,64
NAZACARA DE PACAJES,consulta externa,personas de 50 a 59 anos,2024-01-01,4,9,0,0,0,0,13,0,13
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 50 a 59 anos,2024-01-01,14,7,4,2,0,0,21,6,27
OCURI,consulta externa,personas de 50 a 59 anos,2024-01-01,76,100,0,2,0,0,176,2,178
OKINAWA,consulta externa,personas de 50 a 59 anos,2024-01-01,66,122,16,35,0,0,188,51,239
OMEREQUE,consulta externa,personas de 50 a 59 anos,2024-01-01,71,104,3,7,0,0,175,10,185
ORURO,consulta externa,personas de 50 a 59 anos,2024-01-01,3543,5587,1027,1942,487,914,9130,2969,12099
PADCAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,203,284,38,54,187,246,487,92,579
PADILLA,consulta externa,personas de 50 a 59 anos,2024-01-01,156,279,37,46,0,0,435,83,518
PAILON,consulta externa,personas de 50 a 59 anos,2024-01-01,141,176,24,54,0,0,317,78,395
PALCA,consulta externa,personas de 50 a 59 anos,2024-01-01,80,101,2,7,68,40,181,9,190
PALOS BLANCOS,consulta externa,personas de 50 a 59 anos,2024-01-01,244,258,34,39,0,0,502,73,575
PAMPA AULLAGAS,consulta externa,personas de 50 a 59 anos,2024-01-01,16,25,0,2,11,10,41,2,43
PAMPA GRANDE,consulta externa,personas de 50 a 59 anos,2024-01-01,42,64,6,15,0,0,106,21,127
PAPEL PAMPA,consulta externa,personas de 50 a 59 anos,2024-01-01,43,40,2,8,0,0,83,10,93
PASORAPA,consulta externa,personas de 50 a 59 anos,2024-01-01,31,64,11,10,31,64,95,21,116
PATACAMAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,68,94,18,45,0,0,162,63,225
PAZÑA,consulta externa,personas de 50 a 59 anos,2024-01-01,20,29,3,2,50,40,49,5,54
PELECHUCO,consulta externa,personas de 50 a 59 anos,2024-01-01,47,35,1,3,26,18,82,4,86
POCOATA,consulta externa,personas de 50 a 59 anos,2024-01-01,128,127,0,2,26,39,255,2,257
POCONA,consulta externa,personas de 50 a 59 anos,2024-01-01,64,125,0,5,0,0,189,5,194
POJO (CBBA),consulta externa,personas de 50 a 59 anos,2024-01-01,47,60,3,3,0,0,107,6,113
POOPO,consulta externa,personas de 50 a 59 anos,2024-01-01,18,12,9,9,47,39,30,18,48
PORCO,consulta externa,personas de 50 a 59 anos,2024-01-01,17,32,0,0,11,24,49,0,49
POROMA,consulta externa,personas de 50 a 59 anos,2024-01-01,140,164,3,9,156,173,304,12,316
PORONGO,consulta externa,personas de 50 a 59 anos,2024-01-01,113,150,30,49,0,0,263,79,342
PORTACHUELO,consulta externa,personas de 50 a 59 anos,2024-01-01,57,57,47,105,23,27,114,152,266
PORVENIR,consulta externa,personas de 50 a 59 anos,2024-01-01,40,38,24,13,0,0,78,37,115
POSTRER VALLE,consulta externa,personas de 50 a 59 anos,2024-01-01,17,15,10,12,0,0,32,22,54
POTOSI,consulta externa,personas de 50 a 59 anos,2024-01-01,2228,2993,748,1132,615,933,5221,1880,7101
PRESTO,consulta externa,personas de 50 a 59 anos,2024-01-01,65,104,6,4,0,0,169,10,179
PUCARA,consulta externa,personas de 50 a 59 anos,2024-01-01,12,28,11,32,0,0,40,43,83
PUCARANI,consulta externa,personas de 50 a 59 anos,2024-01-01,124,177,19,14,0,0,301,33,334
PUERTO ACOSTA,consulta externa,personas de 50 a 59 anos,2024-01-01,47,48,3,4,0,0,95,7,102
PUERTO CARABUCO,consulta externa,personas de 50 a 59 anos,2024-01-01,70,84,4,18,0,0,154,22,176
PUERTO GONZALO MORENO,consulta externa,personas de 50 a 59 anos,2024-01-01,53,63,17,16,42,46,116,33,149
PUERTO PEREZ,consulta externa,personas de 50 a 59 anos,2024-01-01,38,47,3,10,0,0,85,13,98
PUERTO QUIJARRO,consulta externa,personas de 50 a 59 anos,2024-01-01,51,55,0,0,175,164,106,0,106
PUERTO RICO,consulta externa,personas de 50 a 59 anos,2024-01-01,43,48,8,16,0,0,91,24,115
PUERTO SILES,consulta externa,personas de 50 a 59 anos,2024-01-01,10,8,0,0,0,0,18,0,18
PUERTO SUAREZ,consulta externa,personas de 50 a 59 anos,2024-01-01,86,155,20,31,86,155,241,51,292
PUERTO VILLARROEL,consulta externa,personas de 50 a 59 anos,2024-01-01,395,472,84,86,143,172,867,170,1037
PUNA,consulta externa,personas de 50 a 59 anos,2024-01-01,74,131,0,3,76,129,205,3,208
PUNATA,consulta externa,personas de 50 a 59 anos,2024-01-01,296,454,189,270,0,0,750,459,1209
QUIABAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,40,38,3,6,0,0,78,9,87
QUILLACOLLO,consulta externa,personas de 50 a 59 anos,2024-01-01,611,1131,248,457,2,8,1742,705,2447
QUIME,consulta externa,personas de 50 a 59 anos,2024-01-01,64,46,8,10,0,0,110,18,128
QUIRUSILLAS,consulta externa,personas de 50 a 59 anos,2024-01-01,26,38,9,16,0,0,64,25,89
RAQAYPAMPA(ETA),consulta externa,personas de 50 a 59 anos,2024-01-01,36,61,0,2,33,54,97,2,99
RAVELO,consulta externa,personas de 50 a 59 anos,2024-01-01,112,187,0,0,0,0,299,0,299
REYES,consulta externa,personas de 50 a 59 anos,2024-01-01,112,177,3,8,0,0,289,11,300
RIBERALTA,consulta externa,personas de 50 a 59 anos,2024-01-01,672,1197,294,459,390,671,1869,753,2622
ROBORE,consulta externa,personas de 50 a 59 anos,2024-01-01,93,192,30,71,82,130,285,101,386
RURRENABAQUE,consulta externa,personas de 50 a 59 anos,2024-01-01,147,208,36,66,78,114,355,102,457
SABAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,94,65,8,8,94,65,159,16,175
SACABA,consulta externa,personas de 50 a 59 anos,2024-01-01,629,1127,306,522,679,1191,1756,828,2584
SACABAMBA,consulta externa,personas de 50 a 59 anos,2024-01-01,31,22,1,0,0,0,53,1,54
SACACA,consulta externa,personas de 50 a 59 anos,2024-01-01,52,75,0,0,2,9,127,0,127
SAIPINA,consulta externa,personas de 50 a 59 anos,2024-01-01,56,65,8,15,0,0,121,23,144
SALINAS DE GARCI MENDOZA,consulta externa,personas de 50 a 59 anos,2024-01-01,49,63,2,3,36,72,112,5,117
SAMAIPATA,consulta externa,personas de 50 a 59 anos,2024-01-01,106,119,15,22,0,0,225,37,262
SAN AGUSTIN,consulta externa,personas de 50 a 59 anos,2024-01-01,18,25,0,0,0,0,43,0,43
SAN ANDRES,consulta externa,personas de 50 a 59 anos,2024-01-01,68,92,30,27,9,13,160,57,217
SAN ANDRES DE MACHACA,consulta externa,personas de 50 a 59 anos,2024-01-01,28,33,4,7,0,0,61,11,72
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 50 a 59 anos,2024-01-01,12,23,1,2,0,0,35,3,38
SAN ANTONIO DE LOMERIO,consulta externa,personas de 50 a 59 anos,2024-01-01,45,66,6,12,0,0,111,18,129
SAN BENITO,consulta externa,personas de 50 a 59 anos,2024-01-01,36,90,10,26,0,0,126,36,162
SAN BORJA,consulta externa,personas de 50 a 59 anos,2024-01-01,184,256,47,86,195,270,440,133,573
SAN BUENA VENTURA,consulta externa,personas de 50 a 59 anos,2024-01-01,51,51,2,13,0,0,102,15,117
SAN CARLOS,consulta externa,personas de 50 a 59 anos,2024-01-01,39,104,2,7,0,0,143,9,152
SAN IGNACIO,consulta externa,personas de 50 a 59 anos,2024-01-01,116,178,24,43,5,7,294,67,361
SAN IGNACIO DE VELASCO,consulta externa,personas de 50 a 59 anos,2024-01-01,202,316,44,51,0,0,518,95,613
SAN JAVIER(BNI),consulta externa,personas de 50 a 59 anos,2024-01-01,15,13,2,9,16,15,28,11,39
SAN JAVIER(STC),consulta externa,personas de 50 a 59 anos,2024-01-01,62,112,1,3,0,0,174,4,178
SAN JOAQUIN,consulta externa,personas de 50 a 59 anos,2024-01-01,47,68,7,14,12,13,115,21,136
SAN JOSE DE CHIQUITOS,consulta externa,personas de 50 a 59 anos,2024-01-01,91,125,17,13,0,0,216,30,246
SAN JUAN DE YAPACANI,consulta externa,personas de 50 a 59 anos,2024-01-01,21,13,0,1,0,0,34,1,35
SAN JULIAN,consulta externa,personas de 50 a 59 anos,2024-01-01,339,474,63,68,3,3,813,131,944
SAN LORENZO(PND),consulta externa,personas de 50 a 59 anos,2024-01-01,35,29,10,4,0,0,64,14,78
SAN LORENZO(TJA),consulta externa,personas de 50 a 59 anos,2024-01-01,263,448,21,20,263,448,711,41,752
SAN LUCAS,consulta externa,personas de 50 a 59 anos,2024-01-01,170,253,18,31,154,226,423,49,472
SAN MATIAS,consulta externa,personas de 50 a 59 anos,2024-01-01,64,102,47,65,0,0,166,112,278
SAN MIGUEL DE VELASCO,consulta externa,personas de 50 a 59 anos,2024-01-01,71,96,31,50,0,0,167,81,248
SAN PABLO DE LIPEZ,consulta externa,personas de 50 a 59 anos,2024-01-01,14,17,0,1,6,5,31,1,32
SAN PEDRO,consulta externa,personas de 50 a 59 anos,2024-01-01,147,190,20,25,0,0,337,45,382
