,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS PRIMERA,PERSONAS DE 40 A 49 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COIPASA,consulta externa,personas de 40 a 49 anos,2024-01-01,8,15,0,0,8,15,23,0,23
COLCAPIRHUA,consulta externa,personas de 40 a 49 anos,2024-01-01,234,463,143,244,0,0,697,387,1084
"COLCHA ""K""",consulta externa,personas de 40 a 49 anos,2024-01-01,122,213,16,147,107,207,335,163,498
COLLANA,consulta externa,personas de 40 a 49 anos,2024-01-01,25,57,6,10,0,0,82,16,98
COLOMI,consulta externa,personas de 40 a 49 anos,2024-01-01,82,160,8,10,75,142,242,18,260
COLPA BELGICA,consulta externa,personas de 40 a 49 anos,2024-01-01,53,61,12,43,38,43,114,55,169
COLQUECHACA,consulta externa,personas de 40 a 49 anos,2024-01-01,94,125,1,2,90,113,219,3,222
COLQUENCHA,consulta externa,personas de 40 a 49 anos,2024-01-01,27,54,7,13,0,0,81,20,101
COLQUIRI,consulta externa,personas de 40 a 49 anos,2024-01-01,148,144,70,49,21,44,292,119,411
COMANCHE,consulta externa,personas de 40 a 49 anos,2024-01-01,10,7,0,0,0,0,17,0,17
COMARAPA,consulta externa,personas de 40 a 49 anos,2024-01-01,118,252,22,38,5,6,370,60,430
COMBAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,10,18,6,11,0,0,28,17,45
CONCEPCION,consulta externa,personas de 40 a 49 anos,2024-01-01,94,73,7,10,0,0,167,17,184
COPACABANA,consulta externa,personas de 40 a 49 anos,2024-01-01,26,109,0,4,0,0,135,4,139
CORIPATA,consulta externa,personas de 40 a 49 anos,2024-01-01,88,107,10,13,0,0,195,23,218
CORO CORO,consulta externa,personas de 40 a 49 anos,2024-01-01,59,92,2,11,0,0,151,13,164
COROICO,consulta externa,personas de 40 a 49 anos,2024-01-01,125,196,21,55,3,11,321,76,397
CORQUE,consulta externa,personas de 40 a 49 anos,2024-01-01,1,1,0,2,41,54,2,2,4
COTAGAITA,consulta externa,personas de 40 a 49 anos,2024-01-01,241,302,10,18,151,221,543,28,571
COTOCA,consulta externa,personas de 40 a 49 anos,2024-01-01,398,938,19,71,384,908,1336,90,1426
CRUZ DE MACHACAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,0,0,0,0,1,4,0,0,0
CUATRO CAÑADAS,consulta externa,personas de 40 a 49 anos,2024-01-01,86,199,12,66,3,3,285,78,363
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 40 a 49 anos,2024-01-01,10,16,2,1,0,0,26,3,29
CUEVO,consulta externa,personas de 40 a 49 anos,2024-01-01,52,91,5,12,0,0,143,17,160
CULPINA,consulta externa,personas de 40 a 49 anos,2024-01-01,91,198,6,10,0,0,289,16,305
CURAHUARA DE CARANGAS,consulta externa,personas de 40 a 49 anos,2024-01-01,15,31,0,10,14,26,46,10,56
CURVA,consulta externa,personas de 40 a 49 anos,2024-01-01,19,19,0,1,19,18,38,1,39
DESAGUADERO,consulta externa,personas de 40 a 49 anos,2024-01-01,19,45,2,17,7,6,64,19,83
EL ALTO,consulta externa,personas de 40 a 49 anos,2024-01-01,3198,7191,1615,3329,716,1379,10389,4944,15333
EL CHORO,consulta externa,personas de 40 a 49 anos,2024-01-01,9,33,0,0,9,33,42,0,42
EL PUENTE(STC),consulta externa,personas de 40 a 49 anos,2024-01-01,80,149,0,2,80,149,229,2,231
EL PUENTE(TJA),consulta externa,personas de 40 a 49 anos,2024-01-01,68,130,5,16,62,125,198,21,219
EL TORNO,consulta externa,personas de 40 a 49 anos,2024-01-01,446,839,75,135,0,0,1285,210,1495
EL VILLAR,consulta externa,personas de 40 a 49 anos,2024-01-01,75,128,5,11,0,0,203,16,219
ENTRE RIOS TRJ,consulta externa,personas de 40 a 49 anos,2024-01-01,177,335,9,47,0,0,512,56,568
ENTRE RIOS CBBA,consulta externa,personas de 40 a 49 anos,2024-01-01,269,433,27,39,64,92,702,66,768
ESCARA,consulta externa,personas de 40 a 49 anos,2024-01-01,0,0,0,0,3,3,0,0,0
ESCOMA,consulta externa,personas de 40 a 49 anos,2024-01-01,15,26,1,0,0,0,41,1,42
ESMERALDA,consulta externa,personas de 40 a 49 anos,2024-01-01,25,19,1,0,25,19,44,1,45
EUCALIPTUS,consulta externa,personas de 40 a 49 anos,2024-01-01,11,24,3,7,10,21,35,10,45
EUREKA (SANTOS MERCADO),consulta externa,personas de 40 a 49 anos,2024-01-01,14,26,2,1,0,0,40,3,43
EXALTACION,consulta externa,personas de 40 a 49 anos,2024-01-01,20,20,1,0,0,0,40,1,41
FERNANDEZ ALONSO,consulta externa,personas de 40 a 49 anos,2024-01-01,79,220,9,40,2,2,299,49,348
FILADELFIA,consulta externa,personas de 40 a 49 anos,2024-01-01,61,85,16,8,87,80,146,24,170
GAIOC JATUN AYLLU YURA,consulta externa,personas de 40 a 49 anos,2024-01-01,7,15,0,1,22,55,22,1,23
GENERAL SAAVEDRA,consulta externa,personas de 40 a 49 anos,2024-01-01,114,273,9,32,0,0,387,41,428
GIA-TIM,consulta externa,personas de 40 a 49 anos,2024-01-01,37,38,1,0,0,0,75,1,76
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 40 a 49 anos,2024-01-01,54,75,0,1,3,4,129,1,130
GUANAY,consulta externa,personas de 40 a 49 anos,2024-01-01,80,134,35,53,0,0,214,88,302
GUAQUI,consulta externa,personas de 40 a 49 anos,2024-01-01,18,43,0,0,2,8,61,0,61
GUAYARAMERIN,consulta externa,personas de 40 a 49 anos,2024-01-01,193,423,44,120,41,46,616,164,780
GUTIERREZ,consulta externa,personas de 40 a 49 anos,2024-01-01,92,170,11,40,0,0,262,51,313
HUACARAJE,consulta externa,personas de 40 a 49 anos,2024-01-01,20,35,2,6,0,0,55,8,63
HUACARETA,consulta externa,personas de 40 a 49 anos,2024-01-01,91,123,15,23,0,0,214,38,252
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 40 a 49 anos,2024-01-01,41,49,8,10,0,0,90,18,108
HUACHACALLA,consulta externa,personas de 40 a 49 anos,2024-01-01,19,9,2,4,19,9,28,6,34
HUANUNI,consulta externa,personas de 40 a 49 anos,2024-01-01,586,365,199,126,71,78,951,325,1276
HUARINA,consulta externa,personas de 40 a 49 anos,2024-01-01,17,41,22,30,0,0,58,52,110
HUATAJATA,consulta externa,personas de 40 a 49 anos,2024-01-01,8,14,4,10,0,0,22,14,36
HUAYLLAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,13,24,0,1,14,17,37,1,38
HUMANATA,consulta externa,personas de 40 a 49 anos,2024-01-01,7,5,0,4,0,0,12,4,16
ICHOCA,consulta externa,personas de 40 a 49 anos,2024-01-01,29,56,1,2,24,50,85,3,88
ICLA,consulta externa,personas de 40 a 49 anos,2024-01-01,57,84,10,16,0,0,141,26,167
INCAHUASI,consulta externa,personas de 40 a 49 anos,2024-01-01,82,144,12,10,91,159,226,22,248
INGAVI (HUMAITA),consulta externa,personas de 40 a 49 anos,2024-01-01,15,26,3,0,0,0,41,3,44
INQUISIVI,consulta externa,personas de 40 a 49 anos,2024-01-01,67,91,3,2,35,56,158,5,163
IRUPANA (VILLA DE LANZA),consulta externa,personas de 40 a 49 anos,2024-01-01,128,170,13,29,21,49,298,42,340
IXIAMAS,consulta externa,personas de 40 a 49 anos,2024-01-01,74,77,1,8,0,0,151,9,160
JESUS DE MACHACA,consulta externa,personas de 40 a 49 anos,2024-01-01,35,51,8,9,1,4,86,17,103
LA ASUNTA,consulta externa,personas de 40 a 49 anos,2024-01-01,230,315,12,21,195,250,545,33,578
LA GUARDIA,consulta externa,personas de 40 a 49 anos,2024-01-01,552,1097,135,347,49,83,1649,482,2131
LA PAZ,consulta externa,personas de 40 a 49 anos,2024-01-01,7542,15513,3814,9345,1065,1827,23055,13159,36214
LA RIVERA,consulta externa,personas de 40 a 49 anos,2024-01-01,0,0,0,0,5,8,0,0,0
LAGUNILLAS,consulta externa,personas de 40 a 49 anos,2024-01-01,44,87,3,10,0,0,131,13,144
LAJA,consulta externa,personas de 40 a 49 anos,2024-01-01,31,112,5,26,0,0,143,31,174
LAS CARRERAS,consulta externa,personas de 40 a 49 anos,2024-01-01,3,6,0,5,36,46,9,5,14
LICOMA PAMPA,consulta externa,personas de 40 a 49 anos,2024-01-01,10,16,0,0,6,3,26,0,26
LLALLAGUA,consulta externa,personas de 40 a 49 anos,2024-01-01,183,486,37,77,1,10,669,114,783
LLICA,consulta externa,personas de 40 a 49 anos,2024-01-01,21,33,1,1,0,0,54,2,56
LORETO,consulta externa,personas de 40 a 49 anos,2024-01-01,33,47,4,5,0,0,80,9,89
LURIBAY,consulta externa,personas de 40 a 49 anos,2024-01-01,77,88,2,3,0,0,165,5,170
MACHACAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,29,53,2,4,15,30,82,6,88
MACHARETI,consulta externa,personas de 40 a 49 anos,2024-01-01,38,80,8,25,35,92,118,33,151
MAGDALENA,consulta externa,personas de 40 a 49 anos,2024-01-01,54,85,12,17,26,34,139,29,168
MAIRANA,consulta externa,personas de 40 a 49 anos,2024-01-01,52,122,11,43,0,0,174,54,228
MALLA,consulta externa,personas de 40 a 49 anos,2024-01-01,26,10,2,0,0,0,36,2,38
MAPIRI,consulta externa,personas de 40 a 49 anos,2024-01-01,75,117,4,10,0,0,192,14,206
MECAPACA,consulta externa,personas de 40 a 49 anos,2024-01-01,40,98,8,14,0,0,138,22,160
MINEROS,consulta externa,personas de 40 a 49 anos,2024-01-01,100,175,13,37,0,0,275,50,325
MIZQUE,consulta externa,personas de 40 a 49 anos,2024-01-01,83,198,14,36,80,185,281,50,331
MOCOMOCO,consulta externa,personas de 40 a 49 anos,2024-01-01,56,86,2,4,0,0,142,6,148
MOJINETE,consulta externa,personas de 40 a 49 anos,2024-01-01,18,15,0,3,0,0,33,3,36
MOJOCOYA,consulta externa,personas de 40 a 49 anos,2024-01-01,44,111,1,4,15,63,155,5,160
MONTEAGUDO,consulta externa,personas de 40 a 49 anos,2024-01-01,342,570,50,90,7,12,912,140,1052
MONTERO,consulta externa,personas de 40 a 49 anos,2024-01-01,972,2181,265,546,4,3,3153,811,3964
MORO MORO,consulta externa,personas de 40 a 49 anos,2024-01-01,20,23,9,18,0,0,43,27,70
MOROCHATA,consulta externa,personas de 40 a 49 anos,2024-01-01,26,47,0,0,0,0,73,0,73
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 40 a 49 anos,2024-01-01,28,51,3,5,0,0,79,8,87
NAZACARA DE PACAJES,consulta externa,personas de 40 a 49 anos,2024-01-01,1,5,0,0,0,0,6,0,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 40 a 49 anos,2024-01-01,12,17,4,2,0,0,29,6,35
OCURI,consulta externa,personas de 40 a 49 anos,2024-01-01,58,100,4,2,0,0,158,6,164
OKINAWA,consulta externa,personas de 40 a 49 anos,2024-01-01,79,186,11,31,0,0,265,42,307
OMEREQUE,consulta externa,personas de 40 a 49 anos,2024-01-01,32,87,4,7,0,0,119,11,130
ORURO,consulta externa,personas de 40 a 49 anos,2024-01-01,4245,7035,974,1906,524,1217,11280,2880,14160
PADCAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,173,306,30,37,148,280,479,67,546
PADILLA,consulta externa,personas de 40 a 49 anos,2024-01-01,179,355,17,44,0,0,534,61,595
PAILON,consulta externa,personas de 40 a 49 anos,2024-01-01,179,239,16,39,0,0,418,55,473
PALCA,consulta externa,personas de 40 a 49 anos,2024-01-01,72,115,1,10,37,52,187,11,198
PALOS BLANCOS,consulta externa,personas de 40 a 49 anos,2024-01-01,229,360,23,43,0,0,589,66,655
PAMPA AULLAGAS,consulta externa,personas de 40 a 49 anos,2024-01-01,22,24,0,2,12,16,46,2,48
PAMPA GRANDE,consulta externa,personas de 40 a 49 anos,2024-01-01,47,54,3,5,0,0,101,8,109
PAPEL PAMPA,consulta externa,personas de 40 a 49 anos,2024-01-01,26,70,3,11,0,0,96,14,110
PASORAPA,consulta externa,personas de 40 a 49 anos,2024-01-01,30,34,4,6,30,34,64,10,74
PATACAMAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,92,146,27,41,0,0,238,68,306
PAZÑA,consulta externa,personas de 40 a 49 anos,2024-01-01,16,29,6,1,30,42,45,7,52
PELECHUCO,consulta externa,personas de 40 a 49 anos,2024-01-01,56,34,1,1,26,32,90,2,92
POCOATA,consulta externa,personas de 40 a 49 anos,2024-01-01,92,144,1,3,18,46,236,4,240
POCONA,consulta externa,personas de 40 a 49 anos,2024-01-01,73,109,4,0,0,0,182,4,186
POJO (CBBA),consulta externa,personas de 40 a 49 anos,2024-01-01,55,67,4,6,0,0,122,10,132
POOPO,consulta externa,personas de 40 a 49 anos,2024-01-01,6,18,11,15,58,45,24,26,50
PORCO,consulta externa,personas de 40 a 49 anos,2024-01-01,18,43,0,0,16,31,61,0,61
POROMA,consulta externa,personas de 40 a 49 anos,2024-01-01,151,233,2,9,156,239,384,11,395
PORONGO,consulta externa,personas de 40 a 49 anos,2024-01-01,119,211,30,67,0,0,330,97,427
PORTACHUELO,consulta externa,personas de 40 a 49 anos,2024-01-01,49,97,43,95,16,42,146,138,284
PORVENIR,consulta externa,personas de 40 a 49 anos,2024-01-01,38,69,17,24,0,0,107,41,148
POSTRER VALLE,consulta externa,personas de 40 a 49 anos,2024-01-01,11,18,4,6,0,0,29,10,39
POTOSI,consulta externa,personas de 40 a 49 anos,2024-01-01,2794,4081,707,1164,750,1323,6875,1871,8746
PRESTO,consulta externa,personas de 40 a 49 anos,2024-01-01,69,109,1,7,0,0,178,8,186
PUCARA,consulta externa,personas de 40 a 49 anos,2024-01-01,29,28,11,17,0,0,57,28,85
PUCARANI,consulta externa,personas de 40 a 49 anos,2024-01-01,94,177,8,16,0,0,271,24,295
PUERTO ACOSTA,consulta externa,personas de 40 a 49 anos,2024-01-01,29,58,0,4,0,0,87,4,91
PUERTO CARABUCO,consulta externa,personas de 40 a 49 anos,2024-01-01,44,79,4,12,0,0,123,16,139
PUERTO GONZALO MORENO,consulta externa,personas de 40 a 49 anos,2024-01-01,49,72,14,29,44,45,121,43,164
PUERTO PEREZ,consulta externa,personas de 40 a 49 anos,2024-01-01,23,45,1,1,0,0,68,2,70
PUERTO QUIJARRO,consulta externa,personas de 40 a 49 anos,2024-01-01,24,88,0,0,214,251,112,0,112
PUERTO RICO,consulta externa,personas de 40 a 49 anos,2024-01-01,54,93,5,13,0,0,147,18,165
PUERTO SILES,consulta externa,personas de 40 a 49 anos,2024-01-01,12,25,1,3,0,0,37,4,41
PUERTO SUAREZ,consulta externa,personas de 40 a 49 anos,2024-01-01,90,134,3,23,90,134,224,26,250
PUERTO VILLARROEL,consulta externa,personas de 40 a 49 anos,2024-01-01,349,635,67,111,108,227,984,178,1162
PUNA,consulta externa,personas de 40 a 49 anos,2024-01-01,50,142,2,1,57,145,192,3,195
PUNATA,consulta externa,personas de 40 a 49 anos,2024-01-01,293,556,151,259,0,0,849,410,1259
QUIABAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,14,31,1,2,0,0,45,3,48
QUILLACOLLO,consulta externa,personas de 40 a 49 anos,2024-01-01,655,1526,193,439,1,14,2181,632,2813
QUIME,consulta externa,personas de 40 a 49 anos,2024-01-01,78,47,11,8,0,1,125,19,144
QUIRUSILLAS,consulta externa,personas de 40 a 49 anos,2024-01-01,25,29,9,16,0,0,54,25,79
RAQAYPAMPA(ETA),consulta externa,personas de 40 a 49 anos,2024-01-01,29,68,2,2,28,59,97,4,101
RAVELO,consulta externa,personas de 40 a 49 anos,2024-01-01,98,165,0,0,0,0,263,0,263
REYES,consulta externa,personas de 40 a 49 anos,2024-01-01,122,187,1,9,0,1,309,10,319
RIBERALTA,consulta externa,personas de 40 a 49 anos,2024-01-01,804,1565,337,533,470,981,2369,870,3239
ROBORE,consulta externa,personas de 40 a 49 anos,2024-01-01,128,168,23,42,72,73,296,65,361
RURRENABAQUE,consulta externa,personas de 40 a 49 anos,2024-01-01,138,259,21,60,84,155,397,81,478
SABAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,106,73,9,14,106,73,179,23,202
SACABA,consulta externa,personas de 40 a 49 anos,2024-01-01,605,1525,228,489,603,1466,2130,717,2847
SACABAMBA,consulta externa,personas de 40 a 49 anos,2024-01-01,18,27,0,2,0,0,45,2,47
SACACA,consulta externa,personas de 40 a 49 anos,2024-01-01,41,116,1,0,1,9,157,1,158
SAIPINA,consulta externa,personas de 40 a 49 anos,2024-01-01,34,96,9,20,0,0,130,29,159
SALINAS DE GARCI MENDOZA,consulta externa,personas de 40 a 49 anos,2024-01-01,53,46,3,5,39,62,99,8,107
SAMAIPATA,consulta externa,personas de 40 a 49 anos,2024-01-01,82,139,5,7,0,0,221,12,233
SAN AGUSTIN,consulta externa,personas de 40 a 49 anos,2024-01-01,19,25,0,0,0,0,44,0,44
SAN ANDRES,consulta externa,personas de 40 a 49 anos,2024-01-01,84,113,18,39,5,9,197,57,254
SAN ANDRES DE MACHACA,consulta externa,personas de 40 a 49 anos,2024-01-01,25,32,6,7,0,0,57,13,70
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 40 a 49 anos,2024-01-01,22,12,2,0,0,0,34,2,36
SAN ANTONIO DE LOMERIO,consulta externa,personas de 40 a 49 anos,2024-01-01,56,73,3,3,0,0,129,6,135
SAN BENITO,consulta externa,personas de 40 a 49 anos,2024-01-01,37,83,12,16,0,0,120,28,148
SAN BORJA,consulta externa,personas de 40 a 49 anos,2024-01-01,162,276,18,79,194,346,438,97,535
SAN BUENA VENTURA,consulta externa,personas de 40 a 49 anos,2024-01-01,38,90,7,16,0,0,128,23,151
SAN CARLOS,consulta externa,personas de 40 a 49 anos,2024-01-01,46,94,0,3,0,0,140,3,143
SAN IGNACIO,consulta externa,personas de 40 a 49 anos,2024-01-01,108,213,23,36,7,11,321,59,380
SAN IGNACIO DE VELASCO,consulta externa,personas de 40 a 49 anos,2024-01-01,248,407,20,74,1,1,655,94,749
SAN JAVIER(BNI),consulta externa,personas de 40 a 49 anos,2024-01-01,16,16,4,6,13,22,32,10,42
SAN JAVIER(STC),consulta externa,personas de 40 a 49 anos,2024-01-01,57,112,1,2,0,0,169,3,172
SAN JOAQUIN,consulta externa,personas de 40 a 49 anos,2024-01-01,55,59,11,9,16,12,114,20,134
SAN JOSE DE CHIQUITOS,consulta externa,personas de 40 a 49 anos,2024-01-01,99,151,13,24,0,0,250,37,287
SAN JUAN DE YAPACANI,consulta externa,personas de 40 a 49 anos,2024-01-01,12,23,0,7,1,3,35,7,42
SAN JULIAN,consulta externa,personas de 40 a 49 anos,2024-01-01,299,607,62,80,3,3,906,142,1048
SAN LORENZO(PND),consulta externa,personas de 40 a 49 anos,2024-01-01,45,77,5,2,0,0,122,7,129
SAN LORENZO(TJA),consulta externa,personas de 40 a 49 anos,2024-01-01,263,445,13,17,263,445,708,30,738
SAN LUCAS,consulta externa,personas de 40 a 49 anos,2024-01-01,150,342,9,20,146,286,492,29,521
SAN MATIAS,consulta externa,personas de 40 a 49 anos,2024-01-01,68,100,25,28,0,0,168,53,221
SAN MIGUEL DE VELASCO,consulta externa,personas de 40 a 49 anos,2024-01-01,65,139,19,56,0,0,204,75,279
SAN PABLO DE LIPEZ,consulta externa,personas de 40 a 49 anos,2024-01-01,15,24,0,1,6,8,39,1,40
SAN PEDRO,consulta externa,personas de 40 a 49 anos,2024-01-01,199,336,17,27,0,0,535,44,579
