,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS PRIMERA,PERSONAS DE 10 A 14 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COIPASA,consulta externa,personas de 10 a 14 anos,2024-01-01,11,3,0,0,11,3,14,0,14
COLCAPIRHUA,consulta externa,personas de 10 a 14 anos,2024-01-01,162,140,61,50,0,0,302,111,413
"COLCHA ""K""",consulta externa,personas de 10 a 14 anos,2024-01-01,43,89,7,29,42,86,132,36,168
COLLANA,consulta externa,personas de 10 a 14 anos,2024-01-01,8,9,3,1,0,0,17,4,21
COLOMI,consulta externa,personas de 10 a 14 anos,2024-01-01,43,65,1,1,39,65,108,2,110
COLPA BELGICA,consulta externa,personas de 10 a 14 anos,2024-01-01,49,50,8,3,41,46,99,11,110
COLQUECHACA,consulta externa,personas de 10 a 14 anos,2024-01-01,31,40,4,1,26,33,71,5,76
COLQUENCHA,consulta externa,personas de 10 a 14 anos,2024-01-01,25,30,5,2,0,0,55,7,62
COLQUIRI,consulta externa,personas de 10 a 14 anos,2024-01-01,69,46,16,9,11,18,115,25,140
COMANCHE,consulta externa,personas de 10 a 14 anos,2024-01-01,9,9,0,1,0,0,18,1,19
COMARAPA,consulta externa,personas de 10 a 14 anos,2024-01-01,64,87,2,5,0,3,151,7,158
COMBAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,14,8,3,1,0,0,22,4,26
CONCEPCION,consulta externa,personas de 10 a 14 anos,2024-01-01,47,35,5,8,0,0,82,13,95
COPACABANA,consulta externa,personas de 10 a 14 anos,2024-01-01,27,21,1,0,0,0,48,1,49
CORIPATA,consulta externa,personas de 10 a 14 anos,2024-01-01,32,41,0,3,1,0,73,3,76
CORO CORO,consulta externa,personas de 10 a 14 anos,2024-01-01,33,41,2,0,0,0,74,2,76
COROICO,consulta externa,personas de 10 a 14 anos,2024-01-01,90,78,11,12,5,6,168,23,191
CORQUE,consulta externa,personas de 10 a 14 anos,2024-01-01,0,1,2,1,28,19,1,3,4
COTAGAITA,consulta externa,personas de 10 a 14 anos,2024-01-01,107,126,3,7,87,100,233,10,243
COTOCA,consulta externa,personas de 10 a 14 anos,2024-01-01,313,394,15,16,296,375,707,31,738
CRUZ DE MACHACAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,0,0,0,0,1,0,0,0,0
CUATRO CAÑADAS,consulta externa,personas de 10 a 14 anos,2024-01-01,97,97,6,19,2,3,194,25,219
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 10 a 14 anos,2024-01-01,7,9,0,0,0,0,16,0,16
CUEVO,consulta externa,personas de 10 a 14 anos,2024-01-01,46,48,0,1,0,0,94,1,95
CULPINA,consulta externa,personas de 10 a 14 anos,2024-01-01,54,79,4,8,0,0,133,12,145
CURAHUARA DE CARANGAS,consulta externa,personas de 10 a 14 anos,2024-01-01,19,15,1,5,16,13,34,6,40
CURVA,consulta externa,personas de 10 a 14 anos,2024-01-01,10,15,0,1,10,15,25,1,26
DESAGUADERO,consulta externa,personas de 10 a 14 anos,2024-01-01,19,10,2,3,5,2,29,5,34
EL ALTO,consulta externa,personas de 10 a 14 anos,2024-01-01,2076,2207,723,730,471,465,4283,1453,5736
EL CHORO,consulta externa,personas de 10 a 14 anos,2024-01-01,15,14,0,0,15,14,29,0,29
EL PUENTE(STC),consulta externa,personas de 10 a 14 anos,2024-01-01,68,72,0,2,68,72,140,2,142
EL PUENTE(TJA),consulta externa,personas de 10 a 14 anos,2024-01-01,34,52,2,2,33,52,86,4,90
EL TORNO,consulta externa,personas de 10 a 14 anos,2024-01-01,337,353,39,40,0,0,690,79,769
EL VILLAR,consulta externa,personas de 10 a 14 anos,2024-01-01,38,49,0,0,0,0,87,0,87
ENTRE RIOS TRJ,consulta externa,personas de 10 a 14 anos,2024-01-01,162,188,1,1,0,0,350,2,352
ENTRE RIOS CBBA,consulta externa,personas de 10 a 14 anos,2024-01-01,255,199,12,13,67,57,454,25,479
ESCARA,consulta externa,personas de 10 a 14 anos,2024-01-01,0,0,0,0,3,2,0,0,0
ESCOMA,consulta externa,personas de 10 a 14 anos,2024-01-01,14,7,1,1,0,0,21,2,23
ESMERALDA,consulta externa,personas de 10 a 14 anos,2024-01-01,4,3,0,0,4,3,7,0,7
EUCALIPTUS,consulta externa,personas de 10 a 14 anos,2024-01-01,8,11,4,3,8,12,19,7,26
EUREKA (SANTOS MERCADO),consulta externa,personas de 10 a 14 anos,2024-01-01,5,10,0,0,0,0,15,0,15
EXALTACION,consulta externa,personas de 10 a 14 anos,2024-01-01,15,23,0,0,0,0,38,0,38
FERNANDEZ ALONSO,consulta externa,personas de 10 a 14 anos,2024-01-01,92,113,11,5,0,0,205,16,221
FILADELFIA,consulta externa,personas de 10 a 14 anos,2024-01-01,66,73,0,0,60,71,139,0,139
GAIOC JATUN AYLLU YURA,consulta externa,personas de 10 a 14 anos,2024-01-01,1,2,0,0,24,26,3,0,3
GENERAL SAAVEDRA,consulta externa,personas de 10 a 14 anos,2024-01-01,100,131,3,5,0,0,231,8,239
GIA-TIM,consulta externa,personas de 10 a 14 anos,2024-01-01,26,31,0,0,0,0,57,0,57
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 10 a 14 anos,2024-01-01,29,54,0,0,2,3,83,0,83
GUANAY,consulta externa,personas de 10 a 14 anos,2024-01-01,74,72,32,21,0,0,146,53,199
GUAQUI,consulta externa,personas de 10 a 14 anos,2024-01-01,15,18,0,0,6,3,33,0,33
GUAYARAMERIN,consulta externa,personas de 10 a 14 anos,2024-01-01,170,278,22,26,22,22,448,48,496
GUTIERREZ,consulta externa,personas de 10 a 14 anos,2024-01-01,78,91,4,6,0,0,169,10,179
HUACARAJE,consulta externa,personas de 10 a 14 anos,2024-01-01,17,25,2,4,0,0,42,6,48
HUACARETA,consulta externa,personas de 10 a 14 anos,2024-01-01,53,74,10,7,0,0,127,17,144
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 10 a 14 anos,2024-01-01,17,19,0,1,0,0,36,1,37
HUACHACALLA,consulta externa,personas de 10 a 14 anos,2024-01-01,5,6,0,0,5,6,11,0,11
HUANUNI,consulta externa,personas de 10 a 14 anos,2024-01-01,101,90,23,19,20,36,191,42,233
HUARINA,consulta externa,personas de 10 a 14 anos,2024-01-01,14,12,8,2,0,0,26,10,36
HUATAJATA,consulta externa,personas de 10 a 14 anos,2024-01-01,6,3,0,6,0,0,9,6,15
HUAYLLAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,13,12,0,0,3,4,25,0,25
HUMANATA,consulta externa,personas de 10 a 14 anos,2024-01-01,2,2,0,0,0,0,4,0,4
ICHOCA,consulta externa,personas de 10 a 14 anos,2024-01-01,22,14,1,2,13,12,36,3,39
ICLA,consulta externa,personas de 10 a 14 anos,2024-01-01,34,37,2,0,0,0,71,2,73
INCAHUASI,consulta externa,personas de 10 a 14 anos,2024-01-01,52,77,2,1,57,84,129,3,132
INGAVI (HUMAITA),consulta externa,personas de 10 a 14 anos,2024-01-01,25,24,0,0,0,0,49,0,49
INQUISIVI,consulta externa,personas de 10 a 14 anos,2024-01-01,22,40,3,1,9,30,62,4,66
IRUPANA (VILLA DE LANZA),consulta externa,personas de 10 a 14 anos,2024-01-01,68,63,5,8,17,12,131,13,144
IXIAMAS,consulta externa,personas de 10 a 14 anos,2024-01-01,54,75,3,0,0,0,129,3,132
JESUS DE MACHACA,consulta externa,personas de 10 a 14 anos,2024-01-01,14,31,3,1,3,4,45,4,49
LA ASUNTA,consulta externa,personas de 10 a 14 anos,2024-01-01,186,166,4,6,162,140,352,10,362
LA GUARDIA,consulta externa,personas de 10 a 14 anos,2024-01-01,382,422,105,99,47,46,804,204,1008
LA PAZ,consulta externa,personas de 10 a 14 anos,2024-01-01,4942,4428,1412,1286,558,547,9370,2698,12068
LA RIVERA,consulta externa,personas de 10 a 14 anos,2024-01-01,0,0,0,0,1,7,0,0,0
LAGUNILLAS,consulta externa,personas de 10 a 14 anos,2024-01-01,39,40,0,0,0,0,79,0,79
LAJA,consulta externa,personas de 10 a 14 anos,2024-01-01,37,33,2,9,0,0,70,11,81
LAS CARRERAS,consulta externa,personas de 10 a 14 anos,2024-01-01,0,1,0,1,16,16,1,1,2
LICOMA PAMPA,consulta externa,personas de 10 a 14 anos,2024-01-01,3,6,0,0,5,0,9,0,9
LLALLAGUA,consulta externa,personas de 10 a 14 anos,2024-01-01,161,155,5,11,1,8,316,16,332
LLICA,consulta externa,personas de 10 a 14 anos,2024-01-01,9,18,0,0,0,0,27,0,27
LORETO,consulta externa,personas de 10 a 14 anos,2024-01-01,28,40,0,1,1,1,68,1,69
LURIBAY,consulta externa,personas de 10 a 14 anos,2024-01-01,42,40,0,0,0,0,82,0,82
MACHACAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,26,29,2,2,15,16,55,4,59
MACHARETI,consulta externa,personas de 10 a 14 anos,2024-01-01,18,32,6,7,21,40,50,13,63
MAGDALENA,consulta externa,personas de 10 a 14 anos,2024-01-01,22,34,4,1,23,28,56,5,61
MAIRANA,consulta externa,personas de 10 a 14 anos,2024-01-01,47,46,9,7,0,0,93,16,109
MALLA,consulta externa,personas de 10 a 14 anos,2024-01-01,6,8,0,0,0,0,14,0,14
MAPIRI,consulta externa,personas de 10 a 14 anos,2024-01-01,47,55,4,3,0,0,102,7,109
MECAPACA,consulta externa,personas de 10 a 14 anos,2024-01-01,27,30,3,5,0,0,57,8,65
MINEROS,consulta externa,personas de 10 a 14 anos,2024-01-01,67,85,13,1,0,0,152,14,166
MIZQUE,consulta externa,personas de 10 a 14 anos,2024-01-01,59,99,10,10,60,94,158,20,178
MOCOMOCO,consulta externa,personas de 10 a 14 anos,2024-01-01,25,32,0,2,0,0,57,2,59
MOJINETE,consulta externa,personas de 10 a 14 anos,2024-01-01,8,3,0,0,0,0,11,0,11
MOJOCOYA,consulta externa,personas de 10 a 14 anos,2024-01-01,29,23,0,0,12,11,52,0,52
MONTEAGUDO,consulta externa,personas de 10 a 14 anos,2024-01-01,159,204,10,13,6,5,363,23,386
MONTERO,consulta externa,personas de 10 a 14 anos,2024-01-01,639,750,121,174,1,4,1389,295,1684
MORO MORO,consulta externa,personas de 10 a 14 anos,2024-01-01,14,19,1,1,0,0,33,2,35
MOROCHATA,consulta externa,personas de 10 a 14 anos,2024-01-01,17,18,0,0,0,0,35,0,35
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 10 a 14 anos,2024-01-01,27,26,0,0,0,0,53,0,53
NAZACARA DE PACAJES,consulta externa,personas de 10 a 14 anos,2024-01-01,4,1,4,0,0,0,5,4,9
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 10 a 14 anos,2024-01-01,13,10,0,0,0,0,23,0,23
OCURI,consulta externa,personas de 10 a 14 anos,2024-01-01,37,39,0,3,0,0,76,3,79
OKINAWA,consulta externa,personas de 10 a 14 anos,2024-01-01,53,79,13,7,0,0,132,20,152
OMEREQUE,consulta externa,personas de 10 a 14 anos,2024-01-01,23,34,0,1,0,0,57,1,58
ORURO,consulta externa,personas de 10 a 14 anos,2024-01-01,2167,2137,372,405,455,473,4304,777,5081
PADCAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,103,107,7,4,96,101,210,11,221
PADILLA,consulta externa,personas de 10 a 14 anos,2024-01-01,72,98,8,9,0,0,170,17,187
PAILON,consulta externa,personas de 10 a 14 anos,2024-01-01,107,100,7,9,0,0,207,16,223
PALCA,consulta externa,personas de 10 a 14 anos,2024-01-01,49,61,5,4,19,24,110,9,119
PALOS BLANCOS,consulta externa,personas de 10 a 14 anos,2024-01-01,160,175,10,6,0,0,335,16,351
PAMPA AULLAGAS,consulta externa,personas de 10 a 14 anos,2024-01-01,10,6,0,0,5,6,16,0,16
PAMPA GRANDE,consulta externa,personas de 10 a 14 anos,2024-01-01,34,38,0,2,0,0,72,2,74
PAPEL PAMPA,consulta externa,personas de 10 a 14 anos,2024-01-01,17,22,1,0,0,0,39,1,40
PASORAPA,consulta externa,personas de 10 a 14 anos,2024-01-01,12,11,0,0,12,11,23,0,23
PATACAMAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,73,85,6,3,0,0,158,9,167
PAZÑA,consulta externa,personas de 10 a 14 anos,2024-01-01,8,10,1,0,10,15,18,1,19
PELECHUCO,consulta externa,personas de 10 a 14 anos,2024-01-01,7,16,0,1,14,18,23,1,24
POCOATA,consulta externa,personas de 10 a 14 anos,2024-01-01,38,60,2,6,13,13,98,8,106
POCONA,consulta externa,personas de 10 a 14 anos,2024-01-01,25,45,1,0,0,0,70,1,71
POJO (CBBA),consulta externa,personas de 10 a 14 anos,2024-01-01,25,25,6,2,0,0,50,8,58
POOPO,consulta externa,personas de 10 a 14 anos,2024-01-01,6,5,9,0,30,28,11,9,20
PORCO,consulta externa,personas de 10 a 14 anos,2024-01-01,14,15,0,0,14,6,29,0,29
POROMA,consulta externa,personas de 10 a 14 anos,2024-01-01,44,48,1,1,45,48,92,2,94
PORONGO,consulta externa,personas de 10 a 14 anos,2024-01-01,89,79,12,12,0,0,168,24,192
PORTACHUELO,consulta externa,personas de 10 a 14 anos,2024-01-01,41,66,44,62,16,27,107,106,213
PORVENIR,consulta externa,personas de 10 a 14 anos,2024-01-01,56,55,13,24,0,0,111,37,148
POSTRER VALLE,consulta externa,personas de 10 a 14 anos,2024-01-01,10,5,0,0,0,0,15,0,15
POTOSI,consulta externa,personas de 10 a 14 anos,2024-01-01,1115,1328,231,300,340,355,2443,531,2974
PRESTO,consulta externa,personas de 10 a 14 anos,2024-01-01,25,42,0,0,0,0,67,0,67
PUCARA,consulta externa,personas de 10 a 14 anos,2024-01-01,13,8,0,1,0,0,21,1,22
PUCARANI,consulta externa,personas de 10 a 14 anos,2024-01-01,72,76,6,3,0,0,148,9,157
PUERTO ACOSTA,consulta externa,personas de 10 a 14 anos,2024-01-01,10,18,0,0,0,0,28,0,28
PUERTO CARABUCO,consulta externa,personas de 10 a 14 anos,2024-01-01,30,32,6,2,0,0,62,8,70
PUERTO GONZALO MORENO,consulta externa,personas de 10 a 14 anos,2024-01-01,51,58,3,2,47,49,109,5,114
PUERTO PEREZ,consulta externa,personas de 10 a 14 anos,2024-01-01,11,16,0,0,0,0,27,0,27
PUERTO QUIJARRO,consulta externa,personas de 10 a 14 anos,2024-01-01,6,23,1,0,39,51,29,1,30
PUERTO RICO,consulta externa,personas de 10 a 14 anos,2024-01-01,72,66,0,0,0,0,138,0,138
PUERTO SILES,consulta externa,personas de 10 a 14 anos,2024-01-01,8,16,0,0,0,0,24,0,24
PUERTO SUAREZ,consulta externa,personas de 10 a 14 anos,2024-01-01,19,16,0,2,39,53,35,2,37
PUERTO VILLARROEL,consulta externa,personas de 10 a 14 anos,2024-01-01,364,320,36,22,125,123,684,58,742
PUNA,consulta externa,personas de 10 a 14 anos,2024-01-01,48,64,0,0,60,73,112,0,112
PUNATA,consulta externa,personas de 10 a 14 anos,2024-01-01,174,199,81,78,0,0,373,159,532
QUIABAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,12,15,1,1,0,0,27,2,29
QUILLACOLLO,consulta externa,personas de 10 a 14 anos,2024-01-01,567,564,124,85,0,0,1131,209,1340
QUIME,consulta externa,personas de 10 a 14 anos,2024-01-01,23,20,4,0,0,0,43,4,47
QUIRUSILLAS,consulta externa,personas de 10 a 14 anos,2024-01-01,11,10,1,5,0,0,21,6,27
RAQAYPAMPA(ETA),consulta externa,personas de 10 a 14 anos,2024-01-01,19,25,1,0,16,24,44,1,45
RAVELO,consulta externa,personas de 10 a 14 anos,2024-01-01,31,55,0,0,0,0,86,0,86
REYES,consulta externa,personas de 10 a 14 anos,2024-01-01,85,83,0,1,0,1,168,1,169
RIBERALTA,consulta externa,personas de 10 a 14 anos,2024-01-01,504,697,117,109,305,330,1201,226,1427
ROBORE,consulta externa,personas de 10 a 14 anos,2024-01-01,73,126,4,5,42,70,199,9,208
RURRENABAQUE,consulta externa,personas de 10 a 14 anos,2024-01-01,108,111,4,5,53,47,219,9,228
SABAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,40,28,7,2,40,28,68,9,77
SACABA,consulta externa,personas de 10 a 14 anos,2024-01-01,480,613,116,103,479,579,1093,219,1312
SACABAMBA,consulta externa,personas de 10 a 14 anos,2024-01-01,4,13,1,2,0,0,17,3,20
SACACA,consulta externa,personas de 10 a 14 anos,2024-01-01,24,33,0,1,0,4,57,1,58
SAIPINA,consulta externa,personas de 10 a 14 anos,2024-01-01,31,26,1,4,0,0,57,5,62
SALINAS DE GARCI MENDOZA,consulta externa,personas de 10 a 14 anos,2024-01-01,29,31,0,0,23,21,60,0,60
SAMAIPATA,consulta externa,personas de 10 a 14 anos,2024-01-01,55,50,1,3,0,0,105,4,109
SAN AGUSTIN,consulta externa,personas de 10 a 14 anos,2024-01-01,3,9,0,0,0,0,12,0,12
SAN ANDRES,consulta externa,personas de 10 a 14 anos,2024-01-01,49,104,4,15,4,9,153,19,172
SAN ANDRES DE MACHACA,consulta externa,personas de 10 a 14 anos,2024-01-01,11,13,6,4,0,0,24,10,34
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 10 a 14 anos,2024-01-01,11,12,0,0,0,0,23,0,23
SAN ANTONIO DE LOMERIO,consulta externa,personas de 10 a 14 anos,2024-01-01,25,33,1,1,0,0,58,2,60
SAN BENITO,consulta externa,personas de 10 a 14 anos,2024-01-01,25,47,7,11,0,0,72,18,90
SAN BORJA,consulta externa,personas de 10 a 14 anos,2024-01-01,126,150,9,16,220,274,276,25,301
SAN BUENA VENTURA,consulta externa,personas de 10 a 14 anos,2024-01-01,36,65,2,5,0,0,101,7,108
SAN CARLOS,consulta externa,personas de 10 a 14 anos,2024-01-01,35,53,0,2,0,0,88,2,90
SAN IGNACIO,consulta externa,personas de 10 a 14 anos,2024-01-01,116,147,0,7,15,6,263,7,270
SAN IGNACIO DE VELASCO,consulta externa,personas de 10 a 14 anos,2024-01-01,122,129,22,19,1,1,251,41,292
SAN JAVIER(BNI),consulta externa,personas de 10 a 14 anos,2024-01-01,14,9,2,2,8,16,23,4,27
SAN JAVIER(STC),consulta externa,personas de 10 a 14 anos,2024-01-01,40,31,0,0,0,0,71,0,71
SAN JOAQUIN,consulta externa,personas de 10 a 14 anos,2024-01-01,14,32,1,4,12,9,46,5,51
SAN JOSE DE CHIQUITOS,consulta externa,personas de 10 a 14 anos,2024-01-01,64,84,3,6,0,0,148,9,157
SAN JUAN DE YAPACANI,consulta externa,personas de 10 a 14 anos,2024-01-01,15,17,0,0,0,0,32,0,32
SAN JULIAN,consulta externa,personas de 10 a 14 anos,2024-01-01,217,238,57,63,0,0,455,120,575
SAN LORENZO(PND),consulta externa,personas de 10 a 14 anos,2024-01-01,42,47,0,0,0,0,89,0,89
SAN LORENZO(TJA),consulta externa,personas de 10 a 14 anos,2024-01-01,115,152,2,5,115,152,267,7,274
SAN LUCAS,consulta externa,personas de 10 a 14 anos,2024-01-01,96,125,5,7,86,115,221,12,233
SAN MATIAS,consulta externa,personas de 10 a 14 anos,2024-01-01,60,49,8,2,0,0,109,10,119
SAN MIGUEL DE VELASCO,consulta externa,personas de 10 a 14 anos,2024-01-01,29,47,4,13,0,0,76,17,93
SAN PABLO DE LIPEZ,consulta externa,personas de 10 a 14 anos,2024-01-01,6,14,0,0,1,2,20,0,20
SAN PEDRO,consulta externa,personas de 10 a 14 anos,2024-01-01,155,169,3,13,0,0,324,16,340
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 10 a 14 anos,2024-01-01,32,43,0,0,14,22,75,0,75
