,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
COIPASA,consulta externa,personas de 60 anos y mas,2024-01-01,27,33,4,1,27,33,60,5,65
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2024-01-01,566,854,355,577,0,0,1420,932,2352
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2024-01-01,425,579,41,124,402,544,1004,165,1169
COLLANA,consulta externa,personas de 60 anos y mas,2024-01-01,92,122,23,32,0,0,214,55,269
COLOMI,consulta externa,personas de 60 anos y mas,2024-01-01,334,451,148,190,419,545,785,338,1123
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2024-01-01,106,124,78,125,50,76,230,203,433
COLQUECHACA,consulta externa,personas de 60 anos y mas,2024-01-01,389,479,1,1,339,410,868,2,870
COLQUENCHA,consulta externa,personas de 60 anos y mas,2024-01-01,178,210,51,76,0,0,388,127,515
COLQUIRI,consulta externa,personas de 60 anos y mas,2024-01-01,245,230,42,16,185,213,475,58,533
COMANCHE,consulta externa,personas de 60 anos y mas,2024-01-01,67,67,10,3,0,0,134,13,147
COMARAPA,consulta externa,personas de 60 anos y mas,2024-01-01,399,523,70,105,12,25,922,175,1097
COMBAYA,consulta externa,personas de 60 anos y mas,2024-01-01,101,107,53,83,0,0,208,136,344
CONCEPCION,consulta externa,personas de 60 anos y mas,2024-01-01,233,206,60,49,0,0,439,109,548
COPACABANA,consulta externa,personas de 60 anos y mas,2024-01-01,225,290,22,25,0,0,515,47,562
CORIPATA,consulta externa,personas de 60 anos y mas,2024-01-01,243,184,75,55,1,0,427,130,557
CORO CORO,consulta externa,personas de 60 anos y mas,2024-01-01,334,350,35,40,0,0,684,75,759
COROICO,consulta externa,personas de 60 anos y mas,2024-01-01,330,289,144,158,9,11,619,302,921
CORQUE,consulta externa,personas de 60 anos y mas,2024-01-01,39,39,10,9,305,390,78,19,97
COTAGAITA,consulta externa,personas de 60 anos y mas,2024-01-01,822,1211,44,82,750,1070,2033,126,2159
COTOCA,consulta externa,personas de 60 anos y mas,2024-01-01,1052,1232,45,51,1021,1195,2284,96,2380
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,0,0,4,2,20,18,0,6,6
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2024-01-01,265,258,102,144,8,15,523,246,769
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2024-01-01,49,69,2,5,0,0,118,7,125
CUEVO,consulta externa,personas de 60 anos y mas,2024-01-01,132,187,38,86,0,0,319,124,443
CULPINA,consulta externa,personas de 60 anos y mas,2024-01-01,294,407,25,66,0,0,701,91,792
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2024-01-01,145,208,23,29,124,182,353,52,405
CURVA,consulta externa,personas de 60 anos y mas,2024-01-01,48,65,3,2,42,61,113,5,118
DESAGUADERO,consulta externa,personas de 60 anos y mas,2024-01-01,95,127,34,45,19,56,222,79,301
EL ALTO,consulta externa,personas de 60 anos y mas,2024-01-01,7071,8128,5831,6370,1251,1433,15199,12201,27400
EL CHORO,consulta externa,personas de 60 anos y mas,2024-01-01,164,171,11,13,164,171,335,24,359
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2024-01-01,274,250,3,2,274,250,524,5,529
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2024-01-01,276,411,72,155,289,431,687,227,914
EL TORNO,consulta externa,personas de 60 anos y mas,2024-01-01,1593,1760,368,487,0,0,3353,855,4208
EL VILLAR,consulta externa,personas de 60 anos y mas,2024-01-01,178,236,32,39,0,0,414,71,485
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2024-01-01,467,491,148,220,0,0,958,368,1326
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2024-01-01,522,460,65,52,114,100,982,117,1099
ESCARA,consulta externa,personas de 60 anos y mas,2024-01-01,0,0,0,0,65,65,0,0,0
ESCOMA,consulta externa,personas de 60 anos y mas,2024-01-01,154,160,14,12,0,0,314,26,340
ESMERALDA,consulta externa,personas de 60 anos y mas,2024-01-01,63,65,4,3,63,65,128,7,135
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2024-01-01,158,178,17,19,143,160,336,36,372
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2024-01-01,18,10,2,5,0,0,28,7,35
EXALTACION,consulta externa,personas de 60 anos y mas,2024-01-01,26,23,0,1,0,0,49,1,50
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2024-01-01,354,370,35,53,1,1,724,88,812
FILADELFIA,consulta externa,personas de 60 anos y mas,2024-01-01,108,57,80,58,64,38,165,138,303
GAIOC JATUN AYLLU YURA,consulta externa,personas de 60 anos y mas,2024-01-01,51,79,0,6,90,159,130,6,136
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2024-01-01,306,343,43,45,0,0,649,88,737
GIA-TIM,consulta externa,personas de 60 anos y mas,2024-01-01,61,41,0,0,0,0,102,0,102
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2024-01-01,199,207,17,8,18,22,406,25,431
GUANAY,consulta externa,personas de 60 anos y mas,2024-01-01,276,220,110,113,0,0,496,223,719
GUAQUI,consulta externa,personas de 60 anos y mas,2024-01-01,156,173,17,21,15,22,329,38,367
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2024-01-01,751,704,180,224,47,80,1455,404,1859
GUTIERREZ,consulta externa,personas de 60 anos y mas,2024-01-01,199,250,77,100,0,0,449,177,626
HUACARAJE,consulta externa,personas de 60 anos y mas,2024-01-01,53,55,13,12,0,0,108,25,133
HUACARETA,consulta externa,personas de 60 anos y mas,2024-01-01,192,297,62,103,0,0,489,165,654
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2024-01-01,112,108,31,52,0,0,220,83,303
HUACHACALLA,consulta externa,personas de 60 anos y mas,2024-01-01,63,75,23,23,63,75,138,46,184
HUANUNI,consulta externa,personas de 60 anos y mas,2024-01-01,421,473,179,198,120,190,894,377,1271
HUARINA,consulta externa,personas de 60 anos y mas,2024-01-01,117,137,169,214,0,0,254,383,637
HUATAJATA,consulta externa,personas de 60 anos y mas,2024-01-01,43,47,47,62,0,0,90,109,199
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,223,162,13,21,83,84,385,34,419
HUMANATA,consulta externa,personas de 60 anos y mas,2024-01-01,94,86,66,75,0,0,180,141,321
ICHOCA,consulta externa,personas de 60 anos y mas,2024-01-01,231,214,32,29,195,179,445,61,506
ICLA,consulta externa,personas de 60 anos y mas,2024-01-01,148,265,79,109,0,0,413,188,601
INCAHUASI,consulta externa,personas de 60 anos y mas,2024-01-01,180,254,18,38,190,267,434,56,490
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2024-01-01,21,16,3,2,0,0,37,5,42
INQUISIVI,consulta externa,personas de 60 anos y mas,2024-01-01,203,212,40,30,145,149,415,70,485
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2024-01-01,457,358,84,93,142,105,815,177,992
IXIAMAS,consulta externa,personas de 60 anos y mas,2024-01-01,185,110,12,6,0,0,295,18,313
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2024-01-01,258,255,118,149,36,36,513,267,780
LA ASUNTA,consulta externa,personas de 60 anos y mas,2024-01-01,298,225,16,19,251,184,523,35,558
LA GUARDIA,consulta externa,personas de 60 anos y mas,2024-01-01,1441,1803,471,574,49,48,3244,1045,4289
LA PAZ,consulta externa,personas de 60 anos y mas,2024-01-01,19046,26696,17485,24599,1384,1911,45742,42084,87826
LA RIVERA,consulta externa,personas de 60 anos y mas,2024-01-01,0,0,2,2,19,23,0,4,4
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2024-01-01,138,175,15,30,0,0,313,45,358
LAJA,consulta externa,personas de 60 anos y mas,2024-01-01,330,379,162,184,0,0,709,346,1055
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2024-01-01,21,25,21,69,93,145,46,90,136
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2024-01-01,61,57,1,6,50,33,118,7,125
LLALLAGUA,consulta externa,personas de 60 anos y mas,2024-01-01,786,1034,162,191,4,11,1820,353,2173
LLICA,consulta externa,personas de 60 anos y mas,2024-01-01,116,144,1,0,0,0,260,1,261
LORETO,consulta externa,personas de 60 anos y mas,2024-01-01,62,45,10,9,1,0,107,19,126
LURIBAY,consulta externa,personas de 60 anos y mas,2024-01-01,416,370,84,88,0,0,786,172,958
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,152,201,27,39,71,105,353,66,419
MACHARETI,consulta externa,personas de 60 anos y mas,2024-01-01,109,159,119,136,157,222,268,255,523
MAGDALENA,consulta externa,personas de 60 anos y mas,2024-01-01,108,125,56,72,73,76,233,128,361
MAIRANA,consulta externa,personas de 60 anos y mas,2024-01-01,121,158,191,182,0,0,279,373,652
MALLA,consulta externa,personas de 60 anos y mas,2024-01-01,92,87,7,4,0,0,179,11,190
MAPIRI,consulta externa,personas de 60 anos y mas,2024-01-01,271,242,42,40,0,0,513,82,595
MECAPACA,consulta externa,personas de 60 anos y mas,2024-01-01,297,268,47,48,0,0,565,95,660
MINEROS,consulta externa,personas de 60 anos y mas,2024-01-01,310,324,55,67,0,0,634,122,756
MIZQUE,consulta externa,personas de 60 anos y mas,2024-01-01,645,779,162,224,662,784,1424,386,1810
MOCOMOCO,consulta externa,personas de 60 anos y mas,2024-01-01,464,455,118,145,0,0,919,263,1182
MOJINETE,consulta externa,personas de 60 anos y mas,2024-01-01,28,32,9,9,0,0,60,18,78
MOJOCOYA,consulta externa,personas de 60 anos y mas,2024-01-01,324,333,5,16,152,156,657,21,678
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2024-01-01,833,1166,227,359,28,37,1999,586,2585
MONTERO,consulta externa,personas de 60 anos y mas,2024-01-01,3094,3227,888,1157,3,6,6321,2045,8366
MORO MORO,consulta externa,personas de 60 anos y mas,2024-01-01,31,59,60,104,0,0,90,164,254
MOROCHATA,consulta externa,personas de 60 anos y mas,2024-01-01,274,285,9,7,0,0,559,16,575
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2024-01-01,40,23,8,3,0,0,63,11,74
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2024-01-01,16,25,0,0,0,0,41,0,41
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2024-01-01,60,34,14,5,0,0,94,19,113
OCURI,consulta externa,personas de 60 anos y mas,2024-01-01,511,516,9,11,0,0,1027,20,1047
OKINAWA,consulta externa,personas de 60 anos y mas,2024-01-01,232,213,71,58,0,0,445,129,574
OMEREQUE,consulta externa,personas de 60 anos y mas,2024-01-01,171,183,41,48,0,0,354,89,443
ORURO,consulta externa,personas de 60 anos y mas,2024-01-01,7829,9995,3751,5006,1273,1804,17824,8757,26581
PADCAYA,consulta externa,personas de 60 anos y mas,2024-01-01,444,531,127,167,416,484,975,294,1269
PADILLA,consulta externa,personas de 60 anos y mas,2024-01-01,353,456,82,194,0,0,809,276,1085
PAILON,consulta externa,personas de 60 anos y mas,2024-01-01,509,501,278,241,0,0,1010,519,1529
PALCA,consulta externa,personas de 60 anos y mas,2024-01-01,321,347,23,17,182,157,668,40,708
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2024-01-01,532,424,122,96,0,0,956,218,1174
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2024-01-01,100,115,3,1,65,80,215,4,219
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2024-01-01,87,151,31,69,0,0,238,100,338
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2024-01-01,226,204,42,63,0,0,430,105,535
PASORAPA,consulta externa,personas de 60 anos y mas,2024-01-01,121,136,103,126,121,136,257,229,486
PATACAMAYA,consulta externa,personas de 60 anos y mas,2024-01-01,397,375,141,157,0,0,772,298,1070
PAZÑA,consulta externa,personas de 60 anos y mas,2024-01-01,93,92,16,20,148,129,185,36,221
PELECHUCO,consulta externa,personas de 60 anos y mas,2024-01-01,90,83,4,7,44,31,173,11,184
POCOATA,consulta externa,personas de 60 anos y mas,2024-01-01,926,1248,13,18,162,203,2174,31,2205
POCONA,consulta externa,personas de 60 anos y mas,2024-01-01,466,615,13,9,0,0,1081,22,1103
POJO (CBBA),consulta externa,personas de 60 anos y mas,2024-01-01,190,201,26,26,0,0,391,52,443
POOPO,consulta externa,personas de 60 anos y mas,2024-01-01,73,85,38,40,95,145,158,78,236
PORCO,consulta externa,personas de 60 anos y mas,2024-01-01,60,89,1,1,54,83,149,2,151
POROMA,consulta externa,personas de 60 anos y mas,2024-01-01,530,557,22,18,556,617,1087,40,1127
PORONGO,consulta externa,personas de 60 anos y mas,2024-01-01,318,236,152,132,0,0,554,284,838
PORTACHUELO,consulta externa,personas de 60 anos y mas,2024-01-01,89,111,161,114,43,46,200,275,475
PORVENIR,consulta externa,personas de 60 anos y mas,2024-01-01,92,66,33,39,0,0,158,72,230
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2024-01-01,39,40,14,30,0,0,79,44,123
POTOSI,consulta externa,personas de 60 anos y mas,2024-01-01,4506,5506,1848,2470,1317,2015,10012,4318,14330
PRESTO,consulta externa,personas de 60 anos y mas,2024-01-01,402,499,31,46,0,0,901,77,978
PUCARA,consulta externa,personas de 60 anos y mas,2024-01-01,38,48,47,47,0,0,86,94,180
PUCARANI,consulta externa,personas de 60 anos y mas,2024-01-01,640,712,142,161,0,0,1352,303,1655
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2024-01-01,323,379,45,47,0,0,702,92,794
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2024-01-01,463,416,82,91,0,0,879,173,1052
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2024-01-01,113,89,104,93,148,127,202,197,399
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2024-01-01,177,158,13,10,0,0,335,23,358
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2024-01-01,81,91,0,0,281,282,172,0,172
PUERTO RICO,consulta externa,personas de 60 anos y mas,2024-01-01,78,55,34,24,0,0,133,58,191
PUERTO SILES,consulta externa,personas de 60 anos y mas,2024-01-01,23,17,2,3,0,0,40,5,45
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2024-01-01,166,174,63,55,166,174,340,118,458
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2024-01-01,674,678,107,106,253,270,1352,213,1565
PUNA,consulta externa,personas de 60 anos y mas,2024-01-01,904,1292,12,16,853,1183,2196,28,2224
PUNATA,consulta externa,personas de 60 anos y mas,2024-01-01,679,1069,631,901,0,0,1748,1532,3280
QUIABAYA,consulta externa,personas de 60 anos y mas,2024-01-01,114,79,12,13,0,0,193,25,218
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2024-01-01,2267,3046,1446,2063,1,2,5313,3509,8822
QUIME,consulta externa,personas de 60 anos y mas,2024-01-01,104,71,49,53,1,1,175,102,277
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2024-01-01,56,98,62,66,0,0,154,128,282
RAQAYPAMPA(ETA),consulta externa,personas de 60 anos y mas,2024-01-01,175,214,2,0,158,187,389,2,391
RAVELO,consulta externa,personas de 60 anos y mas,2024-01-01,1103,1271,0,1,0,0,2374,1,2375
REYES,consulta externa,personas de 60 anos y mas,2024-01-01,220,249,24,19,0,2,469,43,512
RIBERALTA,consulta externa,personas de 60 anos y mas,2024-01-01,1730,1801,798,1011,965,1067,3531,1809,5340
ROBORE,consulta externa,personas de 60 anos y mas,2024-01-01,329,385,192,190,277,293,714,382,1096
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2024-01-01,554,401,159,141,321,249,955,300,1255
SABAYA,consulta externa,personas de 60 anos y mas,2024-01-01,163,164,53,57,163,164,327,110,437
SACABA,consulta externa,personas de 60 anos y mas,2024-01-01,2012,2738,1311,1955,2458,3440,4750,3266,8016
SACABAMBA,consulta externa,personas de 60 anos y mas,2024-01-01,139,228,44,67,0,0,367,111,478
SACACA,consulta externa,personas de 60 anos y mas,2024-01-01,430,568,0,7,26,24,998,7,1005
SAIPINA,consulta externa,personas de 60 anos y mas,2024-01-01,166,142,31,63,0,0,308,94,402
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2024-01-01,270,310,33,33,250,300,580,66,646
SAMAIPATA,consulta externa,personas de 60 anos y mas,2024-01-01,273,262,104,106,0,0,535,210,745
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2024-01-01,55,87,0,0,0,0,142,0,142
SAN ANDRES,consulta externa,personas de 60 anos y mas,2024-01-01,136,117,65,57,14,6,253,122,375
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2024-01-01,193,175,71,84,0,0,368,155,523
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2024-01-01,36,57,2,0,0,0,93,2,95
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2024-01-01,133,124,19,14,0,0,257,33,290
SAN BENITO,consulta externa,personas de 60 anos y mas,2024-01-01,231,397,210,305,0,0,628,515,1143
SAN BORJA,consulta externa,personas de 60 anos y mas,2024-01-01,433,399,109,231,372,386,832,340,1172
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2024-01-01,113,105,65,87,0,0,218,152,370
SAN CARLOS,consulta externa,personas de 60 anos y mas,2024-01-01,373,349,73,43,0,0,722,116,838
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2024-01-01,210,211,34,56,4,2,421,90,511
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2024-01-01,626,671,180,129,0,0,1297,309,1606
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2024-01-01,18,13,10,7,19,11,31,17,48
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2024-01-01,175,198,2,2,0,0,373,4,377
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2024-01-01,75,94,20,39,12,10,169,59,228
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2024-01-01,289,186,27,37,0,0,475,64,539
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2024-01-01,46,40,1,2,0,1,86,3,89
SAN JULIAN,consulta externa,personas de 60 anos y mas,2024-01-01,855,825,182,199,2,2,1680,381,2061
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2024-01-01,49,49,42,31,0,0,98,73,171
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2024-01-01,624,948,53,100,624,948,1572,153,1725
SAN LUCAS,consulta externa,personas de 60 anos y mas,2024-01-01,1107,1502,107,158,1067,1400,2609,265,2874
SAN MATIAS,consulta externa,personas de 60 anos y mas,2024-01-01,196,158,111,69,0,6,354,180,534
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2024-01-01,161,194,101,125,0,0,355,226,581
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2024-01-01,57,66,3,1,18,31,123,4,127
SAN PEDRO,consulta externa,personas de 60 anos y mas,2024-01-01,428,385,50,70,0,0,813,120,933
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-01-01,526,646,1,1,146,158,1172,2,1174
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2024-01-01,236,250,31,32,0,0,486,63,549
