,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,61,62,21,20,0,0,123,41,164
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,92,84,47,53,11,14,176,100,276
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,77,63,2,0,24,18,140,2,142
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1997,1799,709,632,265,219,3796,1341,5137
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,7,1,1,1,7,8,2,10
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,102,66,47,33,0,0,168,80,248
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,27,26,5,10,27,26,53,15,68
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,2,0,0,0,0,3,0,3
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,67,60,14,20,76,69,127,34,161
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,25,1,1,14,22,39,2,41
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,36,34,1,0,30,30,70,1,71
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,21,23,10,6,0,0,44,16,60
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,31,8,4,18,19,59,12,71
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,2,0,0,0,0,4,0,4
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,48,26,4,2,3,0,74,6,80
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,1,0,2,0,0,4,2,6
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,68,67,4,4,0,0,135,8,143
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,9,0,0,0,0,23,0,23
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,49,34,12,5,0,0,83,17,100
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,20,0,3,0,0,35,3,38
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,44,53,15,20,3,3,97,35,132
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,7,0,3,9,17,7,3,10
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,34,44,1,3,28,40,78,4,82
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,217,159,21,13,208,155,376,34,410
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,51,56,14,14,0,0,107,28,135
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,4,0,0,0,0,10,0,10
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,8,0,0,0,0,26,0,26
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,29,12,1,0,0,0,41,1,42
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,2,1,0,2,2,5,1,6
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,10,8,0,0,11,12,18,0,18
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,4,5,5,1,0,10,10,20
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1911,1866,853,1039,515,552,3777,1892,5669
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,6,0,0,7,6,13,0,13
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,54,30,1,1,54,30,84,2,86
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,32,1,2,12,24,47,3,50
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,254,193,19,11,0,0,447,30,477
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,24,8,0,0,0,0,32,0,32
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,60,42,0,6,0,0,102,6,108
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,199,194,9,7,52,41,393,16,409
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,13,0,0,0,0,25,0,25
ESMERALDA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,0,0,0,3,0,3,0,3
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,6,1,0,4,4,9,1,10
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,11,0,0,0,0,17,0,17
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,13,0,0,0,0,20,0,20
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,55,50,12,2,1,0,105,14,119
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,8,0,0,30,27,16,0,16
GAIOC JATUN AYLLU YURA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,6,0,1,5,9,7,1,8
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,62,57,9,4,0,0,119,13,132
GIA-TIM,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,17,1,0,0,0,26,1,27
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,38,20,1,2,0,0,58,3,61
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,36,63,53,0,0,58,116,174
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,9,2,3,3,0,17,5,22
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,91,74,6,8,7,7,165,14,179
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,48,48,2,3,0,0,96,5,101
HUACARAJE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,8,3,6,0,0,9,9,18
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,18,4,1,0,0,35,5,40
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,6,1,0,0,0,11,1,12
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,0,4,3,1,0,1,7,8
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,19,8,8,20,16,44,16,60
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,11,19,12,0,0,23,31,54
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,2,7,3,0,0,3,10,13
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,3,2,3,2,4,4,5,9
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,2,1,7,0,0,4,8,12
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,11,2,0,10,9,24,2,26
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,10,10,2,7,0,0,20,9,29
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,36,1,0,59,43,64,1,65
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,5,0,0,0,0,14,0,14
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,26,2,3,15,12,42,5,47
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,52,58,6,6,24,19,110,12,122
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,34,7,5,0,0,64,12,76
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,9,7,6,2,1,22,13,35
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,111,106,17,10,58,59,217,27,244
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,377,276,170,148,44,40,653,318,971
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1803,1817,750,599,169,170,3620,1349,4969
LA RIVERA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,0,0,0,0,3,0,0,0
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,24,5,7,0,0,43,12,55
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,31,28,4,4,0,0,59,8,67
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,0,0,0,9,13,1,0,1
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,7,0,1,3,1,10,1,11
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,82,97,4,3,0,0,179,7,186
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,2,0,0,0,0,5,0,5
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,7,1,2,0,0,16,3,19
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,29,0,0,0,0,48,0,48
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,5,1,1,5,4,12,2,14
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,11,11,0,2,8,13,22,2,24
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,10,11,0,2,4,5,21,2,23
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,20,24,6,9,0,0,44,15,59
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,3,0,0,0,0,9,0,9
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,33,40,18,15,0,0,73,33,106
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,9,9,9,0,0,21,18,39
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,56,50,8,11,0,0,106,19,125
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,88,62,13,13,78,59,150,26,176
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,21,16,7,5,0,0,37,12,49
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,0,1,0,0,0,0,1,1
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,12,0,4,9,10,25,4,29
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,50,61,28,18,2,1,111,46,157
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,555,512,106,91,3,2,1067,197,1264
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,4,0,0,0,0,6,0,6
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,7,0,0,0,0,16,0,16
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,23,0,1,0,0,28,1,29
NAZACARA DE PACAJES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,0,2,2,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,6,0,0,0,0,15,0,15
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,24,0,0,0,0,41,0,41
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,35,49,4,8,0,0,84,12,96
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,15,4,5,0,0,31,9,40
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,779,789,221,182,248,260,1568,403,1971
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,54,35,11,10,69,88,89,21,110
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,33,32,6,9,0,0,65,15,80
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,125,112,41,17,0,0,237,58,295
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,40,1,1,11,20,68,2,70
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,93,76,10,6,0,0,169,16,185
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,2,0,0,0,1,2,0,2
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,16,1,0,0,0,38,1,39
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,10,0,2,0,0,24,2,26
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,7,3,6,3,7,10,9,19
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,50,32,6,7,0,0,82,13,95
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,3,0,0,5,5,4,0,4
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,24,19,1,1,12,7,43,2,45
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,17,27,0,0,5,6,44,0,44
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,16,4,1,0,0,44,5,49
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,35,23,9,5,0,0,58,14,72
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,3,2,2,3,10,5,4,9
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,20,20,0,0,15,14,40,0,40
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,33,27,2,1,35,29,60,3,63
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,17,10,9,0,0,35,19,54
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,31,29,60,52,8,7,60,112,172
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,8,1,0,0,0,14,1,15
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,1,0,0,0,0,1,0,1
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,556,507,89,90,186,125,1063,179,1242
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,10,19,4,1,0,0,29,5,34
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,3,1,0,0,0,0,4,0,4
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,61,69,3,2,0,0,130,5,135
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,5,5,5,0,0,10,10,20
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,21,1,3,0,0,37,4,41
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,24,20,19,29,22,43,39,82
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,11,3,2,0,0,16,5,21
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,22,0,0,57,38,52,0,52
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,13,0,0,0,0,41,0,41
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,3,1,0,0,0,9,1,10
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,20,19,0,0,21,19,39,0,39
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,382,377,26,35,184,186,759,61,820
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,24,0,0,28,31,52,0,52
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,87,87,79,99,0,0,174,178,352
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,11,4,0,0,0,20,4,24
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,456,422,158,129,0,0,878,287,1165
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,21,11,0,0,0,0,32,0,32
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,2,0,1,0,0,3,1,4
RAQAYPAMPA(ETA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,11,3,1,12,9,24,4,28
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,15,0,0,0,0,43,0,43
REYES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,45,29,0,0,0,0,74,0,74
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,285,286,45,39,141,122,571,84,655
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,43,46,4,9,19,27,89,13,102
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,79,55,10,7,36,13,134,17,151
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,7,0,0,9,7,16,0,16
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,472,461,129,121,491,501,933,250,1183
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,2,1,1,0,0,10,2,12
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,15,16,0,1,1,0,31,1,32
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,15,2,2,0,0,21,4,25
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,8,0,1,6,9,12,1,13
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,26,13,6,4,0,0,39,10,49
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,1,0,0,0,0,2,0,2
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,27,25,11,5,2,2,52,16,68
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,6,0,4,0,0,6,4,10
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,2,0,0,0,0,4,0,4
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,10,0,0,0,0,22,0,22
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,38,22,7,7,0,0,60,14,74
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,106,108,23,35,103,106,214,58,272
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,29,1,2,0,0,48,3,51
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,25,4,7,0,0,50,11,61
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,60,45,2,0,5,3,105,2,107
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,119,135,16,16,0,1,254,32,286
