,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS PRIMERA,PERSONAS DE 5 A 9 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COIPASA,consulta externa,personas de 5 a 9 anos,2024-01-01,6,8,1,0,6,8,14,1,15
COLCAPIRHUA,consulta externa,personas de 5 a 9 anos,2024-01-01,183,177,74,55,0,0,360,129,489
"COLCHA ""K""",consulta externa,personas de 5 a 9 anos,2024-01-01,61,74,6,26,58,72,135,32,167
COLLANA,consulta externa,personas de 5 a 9 anos,2024-01-01,23,16,0,6,0,0,39,6,45
COLOMI,consulta externa,personas de 5 a 9 anos,2024-01-01,89,89,15,5,79,92,178,20,198
COLPA BELGICA,consulta externa,personas de 5 a 9 anos,2024-01-01,41,48,5,8,36,37,89,13,102
COLQUECHACA,consulta externa,personas de 5 a 9 anos,2024-01-01,49,41,1,0,44,39,90,1,91
COLQUENCHA,consulta externa,personas de 5 a 9 anos,2024-01-01,47,30,7,5,0,0,77,12,89
COLQUIRI,consulta externa,personas de 5 a 9 anos,2024-01-01,65,62,25,14,19,18,127,39,166
COMANCHE,consulta externa,personas de 5 a 9 anos,2024-01-01,8,6,0,0,0,0,14,0,14
COMARAPA,consulta externa,personas de 5 a 9 anos,2024-01-01,95,105,6,5,4,4,200,11,211
COMBAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,11,10,2,1,0,0,21,3,24
CONCEPCION,consulta externa,personas de 5 a 9 anos,2024-01-01,41,48,3,9,0,0,89,12,101
COPACABANA,consulta externa,personas de 5 a 9 anos,2024-01-01,31,30,2,0,0,0,61,2,63
CORIPATA,consulta externa,personas de 5 a 9 anos,2024-01-01,72,52,3,6,0,0,124,9,133
CORO CORO,consulta externa,personas de 5 a 9 anos,2024-01-01,37,45,3,3,0,0,82,6,88
COROICO,consulta externa,personas de 5 a 9 anos,2024-01-01,99,97,9,12,5,5,196,21,217
CORQUE,consulta externa,personas de 5 a 9 anos,2024-01-01,0,0,1,0,21,23,0,1,1
COTAGAITA,consulta externa,personas de 5 a 9 anos,2024-01-01,131,142,3,10,119,117,273,13,286
COTOCA,consulta externa,personas de 5 a 9 anos,2024-01-01,482,465,29,26,468,452,947,55,1002
CRUZ DE MACHACAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,0,0,0,0,2,0,0,0,0
CUATRO CAÑADAS,consulta externa,personas de 5 a 9 anos,2024-01-01,145,132,16,15,3,7,277,31,308
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 5 a 9 anos,2024-01-01,6,12,1,0,0,0,18,1,19
CUEVO,consulta externa,personas de 5 a 9 anos,2024-01-01,62,57,1,0,0,0,119,1,120
CULPINA,consulta externa,personas de 5 a 9 anos,2024-01-01,62,82,2,3,0,0,144,5,149
CURAHUARA DE CARANGAS,consulta externa,personas de 5 a 9 anos,2024-01-01,10,15,0,3,8,11,25,3,28
CURVA,consulta externa,personas de 5 a 9 anos,2024-01-01,15,14,1,0,14,15,29,1,30
DESAGUADERO,consulta externa,personas de 5 a 9 anos,2024-01-01,15,11,3,1,7,1,26,4,30
EL ALTO,consulta externa,personas de 5 a 9 anos,2024-01-01,2609,2947,684,608,624,681,5556,1292,6848
EL CHORO,consulta externa,personas de 5 a 9 anos,2024-01-01,26,15,0,0,26,15,41,0,41
EL PUENTE(STC),consulta externa,personas de 5 a 9 anos,2024-01-01,59,96,0,1,59,96,155,1,156
EL PUENTE(TJA),consulta externa,personas de 5 a 9 anos,2024-01-01,60,54,2,0,60,54,114,2,116
EL TORNO,consulta externa,personas de 5 a 9 anos,2024-01-01,473,489,28,28,0,0,962,56,1018
EL VILLAR,consulta externa,personas de 5 a 9 anos,2024-01-01,46,46,1,0,0,0,92,1,93
ENTRE RIOS TRJ,consulta externa,personas de 5 a 9 anos,2024-01-01,169,182,2,0,0,0,351,2,353
ENTRE RIOS CBBA,consulta externa,personas de 5 a 9 anos,2024-01-01,344,391,27,14,94,121,735,41,776
ESCARA,consulta externa,personas de 5 a 9 anos,2024-01-01,0,0,0,0,4,1,0,0,0
ESCOMA,consulta externa,personas de 5 a 9 anos,2024-01-01,7,11,0,0,0,0,18,0,18
ESMERALDA,consulta externa,personas de 5 a 9 anos,2024-01-01,12,8,0,0,12,8,20,0,20
EUCALIPTUS,consulta externa,personas de 5 a 9 anos,2024-01-01,17,18,1,1,16,17,35,2,37
EUREKA (SANTOS MERCADO),consulta externa,personas de 5 a 9 anos,2024-01-01,8,14,0,0,0,0,22,0,22
EXALTACION,consulta externa,personas de 5 a 9 anos,2024-01-01,26,16,0,0,0,0,42,0,42
FERNANDEZ ALONSO,consulta externa,personas de 5 a 9 anos,2024-01-01,154,112,8,6,0,0,266,14,280
FILADELFIA,consulta externa,personas de 5 a 9 anos,2024-01-01,41,57,0,0,61,52,98,0,98
GAIOC JATUN AYLLU YURA,consulta externa,personas de 5 a 9 anos,2024-01-01,1,3,0,0,17,23,4,0,4
GENERAL SAAVEDRA,consulta externa,personas de 5 a 9 anos,2024-01-01,126,147,2,3,0,0,273,5,278
GIA-TIM,consulta externa,personas de 5 a 9 anos,2024-01-01,34,31,0,0,0,0,65,0,65
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 5 a 9 anos,2024-01-01,45,57,0,0,1,2,102,0,102
GUANAY,consulta externa,personas de 5 a 9 anos,2024-01-01,104,80,34,23,0,0,184,57,241
GUAQUI,consulta externa,personas de 5 a 9 anos,2024-01-01,13,14,1,0,3,1,27,1,28
GUAYARAMERIN,consulta externa,personas de 5 a 9 anos,2024-01-01,261,245,22,21,39,35,506,43,549
GUTIERREZ,consulta externa,personas de 5 a 9 anos,2024-01-01,83,106,3,1,0,0,189,4,193
HUACARAJE,consulta externa,personas de 5 a 9 anos,2024-01-01,27,36,0,0,0,0,63,0,63
HUACARETA,consulta externa,personas de 5 a 9 anos,2024-01-01,64,70,8,10,0,0,134,18,152
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 5 a 9 anos,2024-01-01,37,20,0,0,0,0,57,0,57
HUACHACALLA,consulta externa,personas de 5 a 9 anos,2024-01-01,9,6,0,0,9,6,15,0,15
HUANUNI,consulta externa,personas de 5 a 9 anos,2024-01-01,94,103,38,29,64,45,197,67,264
HUARINA,consulta externa,personas de 5 a 9 anos,2024-01-01,18,16,9,9,0,0,34,18,52
HUATAJATA,consulta externa,personas de 5 a 9 anos,2024-01-01,7,2,5,2,0,0,9,7,16
HUAYLLAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,19,11,1,2,7,4,30,3,33
HUMANATA,consulta externa,personas de 5 a 9 anos,2024-01-01,8,4,0,0,0,0,12,0,12
ICHOCA,consulta externa,personas de 5 a 9 anos,2024-01-01,15,17,2,6,7,13,32,8,40
ICLA,consulta externa,personas de 5 a 9 anos,2024-01-01,48,32,2,2,0,0,80,4,84
INCAHUASI,consulta externa,personas de 5 a 9 anos,2024-01-01,59,70,2,2,63,80,129,4,133
INGAVI (HUMAITA),consulta externa,personas de 5 a 9 anos,2024-01-01,28,23,0,0,0,0,51,0,51
INQUISIVI,consulta externa,personas de 5 a 9 anos,2024-01-01,50,45,2,1,20,24,95,3,98
IRUPANA (VILLA DE LANZA),consulta externa,personas de 5 a 9 anos,2024-01-01,100,80,9,6,26,10,180,15,195
IXIAMAS,consulta externa,personas de 5 a 9 anos,2024-01-01,65,50,2,0,0,0,115,2,117
JESUS DE MACHACA,consulta externa,personas de 5 a 9 anos,2024-01-01,27,31,0,1,6,3,58,1,59
LA ASUNTA,consulta externa,personas de 5 a 9 anos,2024-01-01,202,176,9,4,182,154,378,13,391
LA GUARDIA,consulta externa,personas de 5 a 9 anos,2024-01-01,568,530,183,212,47,48,1098,395,1493
LA PAZ,consulta externa,personas de 5 a 9 anos,2024-01-01,5021,4552,1561,1375,600,535,9573,2936,12509
LA RIVERA,consulta externa,personas de 5 a 9 anos,2024-01-01,0,0,0,0,1,1,0,0,0
LAGUNILLAS,consulta externa,personas de 5 a 9 anos,2024-01-01,56,77,1,3,0,0,133,4,137
LAJA,consulta externa,personas de 5 a 9 anos,2024-01-01,39,52,5,7,0,0,91,12,103
LAS CARRERAS,consulta externa,personas de 5 a 9 anos,2024-01-01,3,4,0,1,30,21,7,1,8
LICOMA PAMPA,consulta externa,personas de 5 a 9 anos,2024-01-01,14,14,0,0,8,9,28,0,28
LLALLAGUA,consulta externa,personas de 5 a 9 anos,2024-01-01,234,182,7,8,4,6,416,15,431
LLICA,consulta externa,personas de 5 a 9 anos,2024-01-01,10,12,0,0,0,0,22,0,22
LORETO,consulta externa,personas de 5 a 9 anos,2024-01-01,34,41,1,2,0,2,75,3,78
LURIBAY,consulta externa,personas de 5 a 9 anos,2024-01-01,70,50,2,4,0,0,120,6,126
MACHACAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,24,22,1,0,17,16,46,1,47
MACHARETI,consulta externa,personas de 5 a 9 anos,2024-01-01,37,43,4,4,36,41,80,8,88
MAGDALENA,consulta externa,personas de 5 a 9 anos,2024-01-01,54,50,4,3,42,30,104,7,111
MAIRANA,consulta externa,personas de 5 a 9 anos,2024-01-01,69,80,13,11,0,0,149,24,173
MALLA,consulta externa,personas de 5 a 9 anos,2024-01-01,21,14,3,0,0,0,35,3,38
MAPIRI,consulta externa,personas de 5 a 9 anos,2024-01-01,88,91,9,5,0,0,179,14,193
MECAPACA,consulta externa,personas de 5 a 9 anos,2024-01-01,53,52,3,7,0,0,105,10,115
MINEROS,consulta externa,personas de 5 a 9 anos,2024-01-01,114,107,17,13,0,0,221,30,251
MIZQUE,consulta externa,personas de 5 a 9 anos,2024-01-01,97,102,6,9,88,107,199,15,214
MOCOMOCO,consulta externa,personas de 5 a 9 anos,2024-01-01,30,34,2,3,0,0,64,5,69
MOJINETE,consulta externa,personas de 5 a 9 anos,2024-01-01,0,5,0,0,0,0,5,0,5
MOJOCOYA,consulta externa,personas de 5 a 9 anos,2024-01-01,23,24,0,1,10,12,47,1,48
MONTEAGUDO,consulta externa,personas de 5 a 9 anos,2024-01-01,197,208,18,18,11,5,405,36,441
MONTERO,consulta externa,personas de 5 a 9 anos,2024-01-01,923,799,185,224,6,2,1722,409,2131
MORO MORO,consulta externa,personas de 5 a 9 anos,2024-01-01,14,15,2,0,0,0,29,2,31
MOROCHATA,consulta externa,personas de 5 a 9 anos,2024-01-01,16,11,0,0,0,0,27,0,27
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 5 a 9 anos,2024-01-01,54,41,0,0,0,0,95,0,95
NAZACARA DE PACAJES,consulta externa,personas de 5 a 9 anos,2024-01-01,2,4,0,0,0,0,6,0,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 5 a 9 anos,2024-01-01,14,10,0,0,0,0,24,0,24
OCURI,consulta externa,personas de 5 a 9 anos,2024-01-01,35,32,1,0,0,0,67,1,68
OKINAWA,consulta externa,personas de 5 a 9 anos,2024-01-01,95,205,14,12,0,0,300,26,326
OMEREQUE,consulta externa,personas de 5 a 9 anos,2024-01-01,36,36,1,0,0,0,72,1,73
ORURO,consulta externa,personas de 5 a 9 anos,2024-01-01,2830,2515,452,442,634,618,5345,894,6239
PADCAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,145,147,5,3,154,147,292,8,300
PADILLA,consulta externa,personas de 5 a 9 anos,2024-01-01,104,113,6,10,0,0,217,16,233
PAILON,consulta externa,personas de 5 a 9 anos,2024-01-01,140,134,4,10,0,0,274,14,288
PALCA,consulta externa,personas de 5 a 9 anos,2024-01-01,87,89,3,7,28,26,176,10,186
PALOS BLANCOS,consulta externa,personas de 5 a 9 anos,2024-01-01,234,257,8,5,0,0,491,13,504
PAMPA AULLAGAS,consulta externa,personas de 5 a 9 anos,2024-01-01,12,14,0,0,10,11,26,0,26
PAMPA GRANDE,consulta externa,personas de 5 a 9 anos,2024-01-01,41,36,2,1,0,0,77,3,80
PAPEL PAMPA,consulta externa,personas de 5 a 9 anos,2024-01-01,34,24,1,0,0,0,58,1,59
PASORAPA,consulta externa,personas de 5 a 9 anos,2024-01-01,8,23,0,2,11,22,31,2,33
PATACAMAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,82,78,1,0,0,0,160,1,161
PAZÑA,consulta externa,personas de 5 a 9 anos,2024-01-01,10,11,0,0,22,25,21,0,21
PELECHUCO,consulta externa,personas de 5 a 9 anos,2024-01-01,24,22,1,7,11,22,46,8,54
POCOATA,consulta externa,personas de 5 a 9 anos,2024-01-01,72,76,1,1,12,18,148,2,150
POCONA,consulta externa,personas de 5 a 9 anos,2024-01-01,58,47,4,0,0,0,105,4,109
POJO (CBBA),consulta externa,personas de 5 a 9 anos,2024-01-01,35,38,1,2,0,0,73,3,76
POOPO,consulta externa,personas de 5 a 9 anos,2024-01-01,6,4,38,22,30,39,10,60,70
PORCO,consulta externa,personas de 5 a 9 anos,2024-01-01,36,35,0,1,24,36,71,1,72
POROMA,consulta externa,personas de 5 a 9 anos,2024-01-01,70,70,0,4,73,71,140,4,144
PORONGO,consulta externa,personas de 5 a 9 anos,2024-01-01,124,94,19,16,0,0,218,35,253
PORTACHUELO,consulta externa,personas de 5 a 9 anos,2024-01-01,65,68,48,42,31,31,133,90,223
PORVENIR,consulta externa,personas de 5 a 9 anos,2024-01-01,67,49,9,12,0,0,116,21,137
POSTRER VALLE,consulta externa,personas de 5 a 9 anos,2024-01-01,3,8,0,0,0,0,11,0,11
POTOSI,consulta externa,personas de 5 a 9 anos,2024-01-01,1486,1474,239,223,410,325,2960,462,3422
PRESTO,consulta externa,personas de 5 a 9 anos,2024-01-01,45,36,2,0,0,0,81,2,83
PUCARA,consulta externa,personas de 5 a 9 anos,2024-01-01,7,12,2,1,0,0,19,3,22
PUCARANI,consulta externa,personas de 5 a 9 anos,2024-01-01,108,109,13,4,0,0,217,17,234
PUERTO ACOSTA,consulta externa,personas de 5 a 9 anos,2024-01-01,22,21,0,3,0,0,43,3,46
PUERTO CARABUCO,consulta externa,personas de 5 a 9 anos,2024-01-01,38,35,1,0,0,0,73,1,74
PUERTO GONZALO MORENO,consulta externa,personas de 5 a 9 anos,2024-01-01,58,66,6,2,55,57,124,8,132
PUERTO PEREZ,consulta externa,personas de 5 a 9 anos,2024-01-01,18,32,0,0,0,0,50,0,50
PUERTO QUIJARRO,consulta externa,personas de 5 a 9 anos,2024-01-01,11,24,2,1,78,73,35,3,38
PUERTO RICO,consulta externa,personas de 5 a 9 anos,2024-01-01,82,73,0,0,0,0,155,0,155
PUERTO SILES,consulta externa,personas de 5 a 9 anos,2024-01-01,14,13,0,0,0,0,27,0,27
PUERTO SUAREZ,consulta externa,personas de 5 a 9 anos,2024-01-01,85,92,4,6,85,92,177,10,187
PUERTO VILLARROEL,consulta externa,personas de 5 a 9 anos,2024-01-01,573,523,58,22,235,187,1096,80,1176
PUNA,consulta externa,personas de 5 a 9 anos,2024-01-01,61,57,0,1,69,62,118,1,119
PUNATA,consulta externa,personas de 5 a 9 anos,2024-01-01,235,230,92,92,0,0,465,184,649
QUIABAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,13,13,2,0,0,0,26,2,28
QUILLACOLLO,consulta externa,personas de 5 a 9 anos,2024-01-01,657,655,120,123,0,0,1312,243,1555
QUIME,consulta externa,personas de 5 a 9 anos,2024-01-01,33,33,1,1,0,0,66,2,68
QUIRUSILLAS,consulta externa,personas de 5 a 9 anos,2024-01-01,12,17,1,2,0,0,29,3,32
RAQAYPAMPA(ETA),consulta externa,personas de 5 a 9 anos,2024-01-01,25,15,0,0,24,14,40,0,40
RAVELO,consulta externa,personas de 5 a 9 anos,2024-01-01,67,55,0,0,0,0,122,0,122
REYES,consulta externa,personas de 5 a 9 anos,2024-01-01,100,93,0,0,0,0,193,0,193
RIBERALTA,consulta externa,personas de 5 a 9 anos,2024-01-01,777,820,126,113,394,434,1597,239,1836
ROBORE,consulta externa,personas de 5 a 9 anos,2024-01-01,100,93,6,4,29,44,193,10,203
RURRENABAQUE,consulta externa,personas de 5 a 9 anos,2024-01-01,168,177,3,9,55,64,345,12,357
SABAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,36,32,4,6,36,32,68,10,78
SACABA,consulta externa,personas de 5 a 9 anos,2024-01-01,782,798,139,144,737,729,1580,283,1863
SACABAMBA,consulta externa,personas de 5 a 9 anos,2024-01-01,18,9,0,0,0,0,27,0,27
SACACA,consulta externa,personas de 5 a 9 anos,2024-01-01,40,38,0,0,1,4,78,0,78
SAIPINA,consulta externa,personas de 5 a 9 anos,2024-01-01,37,29,1,4,0,0,66,5,71
SALINAS DE GARCI MENDOZA,consulta externa,personas de 5 a 9 anos,2024-01-01,44,32,2,0,42,23,76,2,78
SAMAIPATA,consulta externa,personas de 5 a 9 anos,2024-01-01,64,82,3,4,0,0,146,7,153
SAN AGUSTIN,consulta externa,personas de 5 a 9 anos,2024-01-01,14,5,0,0,0,0,19,0,19
SAN ANDRES,consulta externa,personas de 5 a 9 anos,2024-01-01,96,89,1,7,9,4,185,8,193
SAN ANDRES DE MACHACA,consulta externa,personas de 5 a 9 anos,2024-01-01,11,23,6,6,0,0,34,12,46
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 5 a 9 anos,2024-01-01,2,13,0,0,0,0,15,0,15
SAN ANTONIO DE LOMERIO,consulta externa,personas de 5 a 9 anos,2024-01-01,40,43,0,0,0,0,83,0,83
SAN BENITO,consulta externa,personas de 5 a 9 anos,2024-01-01,60,54,10,10,0,0,114,20,134
SAN BORJA,consulta externa,personas de 5 a 9 anos,2024-01-01,179,167,13,7,311,339,346,20,366
SAN BUENA VENTURA,consulta externa,personas de 5 a 9 anos,2024-01-01,84,80,11,8,0,0,164,19,183
SAN CARLOS,consulta externa,personas de 5 a 9 anos,2024-01-01,69,79,2,1,0,0,148,3,151
SAN IGNACIO,consulta externa,personas de 5 a 9 anos,2024-01-01,171,172,8,3,22,7,343,11,354
SAN IGNACIO DE VELASCO,consulta externa,personas de 5 a 9 anos,2024-01-01,193,184,8,12,0,1,377,20,397
SAN JAVIER(BNI),consulta externa,personas de 5 a 9 anos,2024-01-01,11,11,0,1,26,21,22,1,23
SAN JAVIER(STC),consulta externa,personas de 5 a 9 anos,2024-01-01,65,39,1,1,0,0,104,2,106
SAN JOAQUIN,consulta externa,personas de 5 a 9 anos,2024-01-01,44,29,7,1,16,22,73,8,81
SAN JOSE DE CHIQUITOS,consulta externa,personas de 5 a 9 anos,2024-01-01,107,74,9,11,0,0,181,20,201
SAN JUAN DE YAPACANI,consulta externa,personas de 5 a 9 anos,2024-01-01,13,12,0,0,0,1,25,0,25
SAN JULIAN,consulta externa,personas de 5 a 9 anos,2024-01-01,271,267,100,56,0,0,538,156,694
SAN LORENZO(PND),consulta externa,personas de 5 a 9 anos,2024-01-01,50,63,1,1,0,0,113,2,115
SAN LORENZO(TJA),consulta externa,personas de 5 a 9 anos,2024-01-01,207,190,10,9,207,190,397,19,416
SAN LUCAS,consulta externa,personas de 5 a 9 anos,2024-01-01,148,137,3,6,141,129,285,9,294
SAN MATIAS,consulta externa,personas de 5 a 9 anos,2024-01-01,73,69,2,0,0,0,142,2,144
SAN MIGUEL DE VELASCO,consulta externa,personas de 5 a 9 anos,2024-01-01,51,44,3,4,0,0,95,7,102
SAN PABLO DE LIPEZ,consulta externa,personas de 5 a 9 anos,2024-01-01,19,12,2,0,1,2,31,2,33
SAN PEDRO,consulta externa,personas de 5 a 9 anos,2024-01-01,217,177,7,15,0,0,394,22,416
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 5 a 9 anos,2024-01-01,26,25,0,0,26,15,51,0,51
