,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS PRIMERA,PERSONAS DE 20 A 39 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COCHABAMBA,consulta externa,personas de 20 a 39 anos,2024-01-01,11918,26500,5676,14250,1833,2946,38418,19926,58344
COIPASA,consulta externa,personas de 20 a 39 anos,2024-01-01,11,23,1,0,11,23,34,1,35
COLCAPIRHUA,consulta externa,personas de 20 a 39 anos,2024-01-01,563,1430,460,635,0,0,1993,1095,3088
"COLCHA ""K""",consulta externa,personas de 20 a 39 anos,2024-01-01,280,534,23,155,269,520,814,178,992
COLLANA,consulta externa,personas de 20 a 39 anos,2024-01-01,37,100,2,23,0,0,137,25,162
COLOMI,consulta externa,personas de 20 a 39 anos,2024-01-01,170,404,18,25,158,409,574,43,617
COLPA BELGICA,consulta externa,personas de 20 a 39 anos,2024-01-01,107,202,16,66,83,184,309,82,391
COLQUECHACA,consulta externa,personas de 20 a 39 anos,2024-01-01,156,301,7,3,148,271,457,10,467
COLQUENCHA,consulta externa,personas de 20 a 39 anos,2024-01-01,71,263,10,39,0,0,334,49,383
COLQUIRI,consulta externa,personas de 20 a 39 anos,2024-01-01,170,222,81,56,75,152,392,137,529
COMANCHE,consulta externa,personas de 20 a 39 anos,2024-01-01,10,38,0,0,0,0,48,0,48
COMARAPA,consulta externa,personas de 20 a 39 anos,2024-01-01,227,590,10,42,12,25,817,52,869
COMBAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,26,36,9,8,0,0,62,17,79
CONCEPCION,consulta externa,personas de 20 a 39 anos,2024-01-01,187,212,15,19,0,0,399,34,433
COPACABANA,consulta externa,personas de 20 a 39 anos,2024-01-01,73,188,2,5,0,0,261,7,268
CORIPATA,consulta externa,personas de 20 a 39 anos,2024-01-01,171,318,14,38,2,0,489,52,541
CORO CORO,consulta externa,personas de 20 a 39 anos,2024-01-01,69,212,6,15,0,0,281,21,302
COROICO,consulta externa,personas de 20 a 39 anos,2024-01-01,254,539,60,209,24,34,793,269,1062
CORQUE,consulta externa,personas de 20 a 39 anos,2024-01-01,0,2,4,5,81,132,2,9,11
COTAGAITA,consulta externa,personas de 20 a 39 anos,2024-01-01,440,798,23,45,317,670,1238,68,1306
COTOCA,consulta externa,personas de 20 a 39 anos,2024-01-01,957,3066,53,176,945,2960,4023,229,4252
CRUZ DE MACHACAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,0,0,0,0,4,9,0,0,0
CUATRO CAÑADAS,consulta externa,personas de 20 a 39 anos,2024-01-01,256,625,42,146,10,24,881,188,1069
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 20 a 39 anos,2024-01-01,22,48,1,1,0,0,70,2,72
CUEVO,consulta externa,personas de 20 a 39 anos,2024-01-01,77,189,6,9,0,0,266,15,281
CULPINA,consulta externa,personas de 20 a 39 anos,2024-01-01,133,422,3,14,0,0,555,17,572
CURAHUARA DE CARANGAS,consulta externa,personas de 20 a 39 anos,2024-01-01,31,68,2,9,25,59,99,11,110
CURVA,consulta externa,personas de 20 a 39 anos,2024-01-01,55,74,1,1,55,70,129,2,131
DESAGUADERO,consulta externa,personas de 20 a 39 anos,2024-01-01,66,121,6,26,10,20,187,32,219
EL ALTO,consulta externa,personas de 20 a 39 anos,2024-01-01,6316,19535,2613,7022,1794,4681,25851,9635,35486
EL CHORO,consulta externa,personas de 20 a 39 anos,2024-01-01,34,83,1,2,34,83,117,3,120
EL PUENTE(STC),consulta externa,personas de 20 a 39 anos,2024-01-01,146,381,2,1,146,381,527,3,530
EL PUENTE(TJA),consulta externa,personas de 20 a 39 anos,2024-01-01,136,314,3,6,117,269,450,9,459
EL TORNO,consulta externa,personas de 20 a 39 anos,2024-01-01,923,2504,119,202,0,0,3427,321,3748
EL VILLAR,consulta externa,personas de 20 a 39 anos,2024-01-01,147,192,6,13,0,0,339,19,358
ENTRE RIOS TRJ,consulta externa,personas de 20 a 39 anos,2024-01-01,397,853,16,27,0,0,1250,43,1293
ENTRE RIOS CBBA,consulta externa,personas de 20 a 39 anos,2024-01-01,679,1913,61,130,170,359,2592,191,2783
ESCARA,consulta externa,personas de 20 a 39 anos,2024-01-01,0,0,0,0,5,6,0,0,0
ESCOMA,consulta externa,personas de 20 a 39 anos,2024-01-01,42,98,1,0,0,0,140,1,141
ESMERALDA,consulta externa,personas de 20 a 39 anos,2024-01-01,51,34,0,0,51,34,85,0,85
EUCALIPTUS,consulta externa,personas de 20 a 39 anos,2024-01-01,34,84,7,14,32,66,118,21,139
EUREKA (SANTOS MERCADO),consulta externa,personas de 20 a 39 anos,2024-01-01,39,39,0,0,0,0,78,0,78
EXALTACION,consulta externa,personas de 20 a 39 anos,2024-01-01,37,65,0,1,0,0,102,1,103
FERNANDEZ ALONSO,consulta externa,personas de 20 a 39 anos,2024-01-01,177,560,14,50,0,0,737,64,801
FILADELFIA,consulta externa,personas de 20 a 39 anos,2024-01-01,200,334,3,16,165,261,534,19,553
GAIOC JATUN AYLLU YURA,consulta externa,personas de 20 a 39 anos,2024-01-01,7,16,1,0,35,108,23,1,24
GENERAL SAAVEDRA,consulta externa,personas de 20 a 39 anos,2024-01-01,282,654,10,69,0,0,936,79,1015
GIA-TIM,consulta externa,personas de 20 a 39 anos,2024-01-01,63,99,0,1,0,0,162,1,163
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 20 a 39 anos,2024-01-01,127,248,0,2,8,34,375,2,377
GUANAY,consulta externa,personas de 20 a 39 anos,2024-01-01,198,382,49,172,0,0,580,221,801
GUAQUI,consulta externa,personas de 20 a 39 anos,2024-01-01,34,87,3,1,6,20,121,4,125
GUAYARAMERIN,consulta externa,personas de 20 a 39 anos,2024-01-01,515,1129,47,211,67,165,1644,258,1902
GUTIERREZ,consulta externa,personas de 20 a 39 anos,2024-01-01,184,426,12,35,0,0,610,47,657
HUACARAJE,consulta externa,personas de 20 a 39 anos,2024-01-01,44,97,2,6,0,0,141,8,149
HUACARETA,consulta externa,personas de 20 a 39 anos,2024-01-01,128,288,22,28,0,0,416,50,466
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 20 a 39 anos,2024-01-01,55,159,0,7,0,0,214,7,221
HUACHACALLA,consulta externa,personas de 20 a 39 anos,2024-01-01,18,35,0,3,18,35,53,3,56
HUANUNI,consulta externa,personas de 20 a 39 anos,2024-01-01,348,483,55,164,212,421,831,219,1050
HUARINA,consulta externa,personas de 20 a 39 anos,2024-01-01,45,88,21,48,0,0,133,69,202
HUATAJATA,consulta externa,personas de 20 a 39 anos,2024-01-01,19,34,2,16,0,0,53,18,71
HUAYLLAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,21,47,0,2,5,16,68,2,70
HUMANATA,consulta externa,personas de 20 a 39 anos,2024-01-01,9,31,2,1,0,0,40,3,43
ICHOCA,consulta externa,personas de 20 a 39 anos,2024-01-01,71,120,8,43,62,74,191,51,242
ICLA,consulta externa,personas de 20 a 39 anos,2024-01-01,87,151,14,37,0,0,238,51,289
INCAHUASI,consulta externa,personas de 20 a 39 anos,2024-01-01,165,397,9,23,174,425,562,32,594
INGAVI (HUMAITA),consulta externa,personas de 20 a 39 anos,2024-01-01,51,31,11,3,0,0,82,14,96
INQUISIVI,consulta externa,personas de 20 a 39 anos,2024-01-01,136,162,4,5,98,90,298,9,307
IRUPANA (VILLA DE LANZA),consulta externa,personas de 20 a 39 anos,2024-01-01,366,461,25,57,39,129,827,82,909
IXIAMAS,consulta externa,personas de 20 a 39 anos,2024-01-01,122,228,3,8,0,0,350,11,361
JESUS DE MACHACA,consulta externa,personas de 20 a 39 anos,2024-01-01,47,149,6,13,7,16,196,19,215
LA ASUNTA,consulta externa,personas de 20 a 39 anos,2024-01-01,594,1117,26,32,469,881,1711,58,1769
LA GUARDIA,consulta externa,personas de 20 a 39 anos,2024-01-01,1383,3512,259,987,150,143,4895,1246,6141
LA PAZ,consulta externa,personas de 20 a 39 anos,2024-01-01,13634,31654,5592,15575,1975,3933,45288,21167,66455
LA RIVERA,consulta externa,personas de 20 a 39 anos,2024-01-01,0,0,0,2,24,19,0,2,2
LAGUNILLAS,consulta externa,personas de 20 a 39 anos,2024-01-01,108,253,7,14,0,0,361,21,382
LAJA,consulta externa,personas de 20 a 39 anos,2024-01-01,95,345,17,71,0,0,440,88,528
LAS CARRERAS,consulta externa,personas de 20 a 39 anos,2024-01-01,12,17,5,11,100,166,29,16,45
LICOMA PAMPA,consulta externa,personas de 20 a 39 anos,2024-01-01,19,68,5,3,18,27,87,8,95
LLALLAGUA,consulta externa,personas de 20 a 39 anos,2024-01-01,629,1604,36,150,3,33,2233,186,2419
LLICA,consulta externa,personas de 20 a 39 anos,2024-01-01,56,77,1,1,0,0,133,2,135
LORETO,consulta externa,personas de 20 a 39 anos,2024-01-01,84,101,2,8,1,2,185,10,195
LURIBAY,consulta externa,personas de 20 a 39 anos,2024-01-01,166,263,5,5,0,0,429,10,439
MACHACAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,167,180,7,16,154,129,347,23,370
MACHARETI,consulta externa,personas de 20 a 39 anos,2024-01-01,95,222,12,34,101,225,317,46,363
MAGDALENA,consulta externa,personas de 20 a 39 anos,2024-01-01,73,161,23,14,58,108,234,37,271
MAIRANA,consulta externa,personas de 20 a 39 anos,2024-01-01,129,289,24,104,0,0,418,128,546
MALLA,consulta externa,personas de 20 a 39 anos,2024-01-01,34,53,0,0,0,0,87,0,87
MAPIRI,consulta externa,personas de 20 a 39 anos,2024-01-01,161,499,6,31,0,0,660,37,697
MECAPACA,consulta externa,personas de 20 a 39 anos,2024-01-01,120,284,9,18,0,0,404,27,431
MINEROS,consulta externa,personas de 20 a 39 anos,2024-01-01,177,597,17,99,0,0,774,116,890
MIZQUE,consulta externa,personas de 20 a 39 anos,2024-01-01,174,632,26,50,167,601,806,76,882
MOCOMOCO,consulta externa,personas de 20 a 39 anos,2024-01-01,81,181,12,8,0,0,262,20,282
MOJINETE,consulta externa,personas de 20 a 39 anos,2024-01-01,12,20,0,2,0,0,32,2,34
MOJOCOYA,consulta externa,personas de 20 a 39 anos,2024-01-01,97,197,4,12,38,120,294,16,310
MONTEAGUDO,consulta externa,personas de 20 a 39 anos,2024-01-01,515,1262,79,205,15,33,1777,284,2061
MONTERO,consulta externa,personas de 20 a 39 anos,2024-01-01,2143,6332,414,1384,21,7,8475,1798,10273
MORO MORO,consulta externa,personas de 20 a 39 anos,2024-01-01,21,76,7,17,0,0,97,24,121
MOROCHATA,consulta externa,personas de 20 a 39 anos,2024-01-01,55,68,0,1,0,0,123,1,124
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 20 a 39 anos,2024-01-01,86,172,0,3,0,0,258,3,261
NAZACARA DE PACAJES,consulta externa,personas de 20 a 39 anos,2024-01-01,6,9,0,0,0,0,15,0,15
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 20 a 39 anos,2024-01-01,46,47,1,1,0,0,93,2,95
OCURI,consulta externa,personas de 20 a 39 anos,2024-01-01,74,218,3,8,0,0,292,11,303
OKINAWA,consulta externa,personas de 20 a 39 anos,2024-01-01,134,420,16,66,0,0,554,82,636
OMEREQUE,consulta externa,personas de 20 a 39 anos,2024-01-01,66,194,5,6,1,1,260,11,271
ORURO,consulta externa,personas de 20 a 39 anos,2024-01-01,8218,16483,1151,3196,1401,4193,24701,4347,29048
PADCAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,368,723,16,43,351,675,1091,59,1150
PADILLA,consulta externa,personas de 20 a 39 anos,2024-01-01,283,616,19,81,0,0,899,100,999
PAILON,consulta externa,personas de 20 a 39 anos,2024-01-01,345,1099,20,147,0,0,1444,167,1611
PALCA,consulta externa,personas de 20 a 39 anos,2024-01-01,191,335,13,31,110,136,526,44,570
PALOS BLANCOS,consulta externa,personas de 20 a 39 anos,2024-01-01,518,1012,28,86,0,0,1530,114,1644
PAMPA AULLAGAS,consulta externa,personas de 20 a 39 anos,2024-01-01,43,61,2,4,27,40,104,6,110
PAMPA GRANDE,consulta externa,personas de 20 a 39 anos,2024-01-01,66,184,2,4,0,0,250,6,256
PAPEL PAMPA,consulta externa,personas de 20 a 39 anos,2024-01-01,54,139,4,3,0,0,193,7,200
PASORAPA,consulta externa,personas de 20 a 39 anos,2024-01-01,58,92,4,5,58,92,150,9,159
PATACAMAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,185,480,36,164,0,0,665,200,865
PAZÑA,consulta externa,personas de 20 a 39 anos,2024-01-01,30,71,1,6,58,114,101,7,108
PELECHUCO,consulta externa,personas de 20 a 39 anos,2024-01-01,138,195,3,8,56,89,333,11,344
POCOATA,consulta externa,personas de 20 a 39 anos,2024-01-01,175,300,2,6,46,81,475,8,483
POCONA,consulta externa,personas de 20 a 39 anos,2024-01-01,149,256,1,10,0,0,405,11,416
POJO (CBBA),consulta externa,personas de 20 a 39 anos,2024-01-01,98,182,11,24,0,0,280,35,315
POOPO,consulta externa,personas de 20 a 39 anos,2024-01-01,20,36,36,69,135,175,56,105,161
PORCO,consulta externa,personas de 20 a 39 anos,2024-01-01,114,401,0,4,73,274,515,4,519
POROMA,consulta externa,personas de 20 a 39 anos,2024-01-01,141,287,4,7,149,288,428,11,439
PORONGO,consulta externa,personas de 20 a 39 anos,2024-01-01,190,410,28,77,0,0,600,105,705
PORTACHUELO,consulta externa,personas de 20 a 39 anos,2024-01-01,93,230,73,481,31,105,323,554,877
PORVENIR,consulta externa,personas de 20 a 39 anos,2024-01-01,91,168,22,37,0,0,259,59,318
POSTRER VALLE,consulta externa,personas de 20 a 39 anos,2024-01-01,14,38,4,11,0,0,52,15,67
POTOSI,consulta externa,personas de 20 a 39 anos,2024-01-01,5421,10002,1096,1915,1135,2639,15423,3011,18434
PRESTO,consulta externa,personas de 20 a 39 anos,2024-01-01,115,204,2,3,0,0,319,5,324
PUCARA,consulta externa,personas de 20 a 39 anos,2024-01-01,25,62,7,24,0,0,87,31,118
PUCARANI,consulta externa,personas de 20 a 39 anos,2024-01-01,269,618,12,86,0,0,887,98,985
PUERTO ACOSTA,consulta externa,personas de 20 a 39 anos,2024-01-01,54,78,2,7,0,0,132,9,141
PUERTO CARABUCO,consulta externa,personas de 20 a 39 anos,2024-01-01,79,176,10,8,0,0,255,18,273
PUERTO GONZALO MORENO,consulta externa,personas de 20 a 39 anos,2024-01-01,132,277,26,87,124,247,409,113,522
PUERTO PEREZ,consulta externa,personas de 20 a 39 anos,2024-01-01,65,121,1,3,0,0,186,4,190
PUERTO QUIJARRO,consulta externa,personas de 20 a 39 anos,2024-01-01,52,138,0,0,236,351,190,0,190
PUERTO RICO,consulta externa,personas de 20 a 39 anos,2024-01-01,159,286,0,1,0,0,445,1,446
PUERTO SILES,consulta externa,personas de 20 a 39 anos,2024-01-01,29,60,0,1,0,0,89,1,90
PUERTO SUAREZ,consulta externa,personas de 20 a 39 anos,2024-01-01,131,383,20,33,131,383,514,53,567
PUERTO VILLARROEL,consulta externa,personas de 20 a 39 anos,2024-01-01,1073,2896,265,395,307,1040,3969,660,4629
PUNA,consulta externa,personas de 20 a 39 anos,2024-01-01,134,315,1,4,215,287,449,5,454
PUNATA,consulta externa,personas de 20 a 39 anos,2024-01-01,563,1544,235,684,0,0,2107,919,3026
QUIABAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,53,103,3,5,0,0,156,8,164
QUILLACOLLO,consulta externa,personas de 20 a 39 anos,2024-01-01,1306,4320,276,1125,9,30,5626,1401,7027
QUIME,consulta externa,personas de 20 a 39 anos,2024-01-01,153,147,17,32,4,2,300,49,349
QUIRUSILLAS,consulta externa,personas de 20 a 39 anos,2024-01-01,35,66,5,28,0,0,101,33,134
RAQAYPAMPA(ETA),consulta externa,personas de 20 a 39 anos,2024-01-01,48,85,1,4,41,83,133,5,138
RAVELO,consulta externa,personas de 20 a 39 anos,2024-01-01,75,183,0,0,0,0,258,0,258
REYES,consulta externa,personas de 20 a 39 anos,2024-01-01,177,368,4,4,1,1,545,8,553
RIBERALTA,consulta externa,personas de 20 a 39 anos,2024-01-01,1489,3874,592,929,689,2162,5363,1521,6884
ROBORE,consulta externa,personas de 20 a 39 anos,2024-01-01,154,352,22,45,57,118,506,67,573
RURRENABAQUE,consulta externa,personas de 20 a 39 anos,2024-01-01,292,666,50,84,138,265,958,134,1092
SABAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,180,173,16,14,180,173,353,30,383
SACABA,consulta externa,personas de 20 a 39 anos,2024-01-01,1550,4863,365,918,1578,4835,6413,1283,7696
SACABAMBA,consulta externa,personas de 20 a 39 anos,2024-01-01,27,43,1,1,0,0,70,2,72
SACACA,consulta externa,personas de 20 a 39 anos,2024-01-01,84,205,3,0,6,15,289,3,292
SAIPINA,consulta externa,personas de 20 a 39 anos,2024-01-01,78,179,4,28,0,0,257,32,289
SALINAS DE GARCI MENDOZA,consulta externa,personas de 20 a 39 anos,2024-01-01,131,189,3,13,92,155,320,16,336
SAMAIPATA,consulta externa,personas de 20 a 39 anos,2024-01-01,164,312,4,18,0,0,476,22,498
SAN AGUSTIN,consulta externa,personas de 20 a 39 anos,2024-01-01,23,78,0,0,0,0,101,0,101
SAN ANDRES,consulta externa,personas de 20 a 39 anos,2024-01-01,146,372,11,39,10,24,518,50,568
SAN ANDRES DE MACHACA,consulta externa,personas de 20 a 39 anos,2024-01-01,22,47,13,23,0,0,69,36,105
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 20 a 39 anos,2024-01-01,35,57,0,2,0,0,92,2,94
SAN ANTONIO DE LOMERIO,consulta externa,personas de 20 a 39 anos,2024-01-01,60,132,1,8,0,0,192,9,201
SAN BENITO,consulta externa,personas de 20 a 39 anos,2024-01-01,101,322,26,71,0,0,423,97,520
SAN BORJA,consulta externa,personas de 20 a 39 anos,2024-01-01,332,753,34,182,484,929,1085,216,1301
SAN BUENA VENTURA,consulta externa,personas de 20 a 39 anos,2024-01-01,75,296,4,31,0,0,371,35,406
SAN CARLOS,consulta externa,personas de 20 a 39 anos,2024-01-01,101,364,2,7,0,0,465,9,474
SAN IGNACIO,consulta externa,personas de 20 a 39 anos,2024-01-01,181,524,10,37,21,29,705,47,752
SAN IGNACIO DE VELASCO,consulta externa,personas de 20 a 39 anos,2024-01-01,454,1032,53,125,39,10,1486,178,1664
SAN JAVIER(BNI),consulta externa,personas de 20 a 39 anos,2024-01-01,12,25,3,15,31,83,37,18,55
SAN JAVIER(STC),consulta externa,personas de 20 a 39 anos,2024-01-01,106,255,0,4,0,0,361,4,365
SAN JOAQUIN,consulta externa,personas de 20 a 39 anos,2024-01-01,60,100,7,10,22,17,160,17,177
SAN JOSE DE CHIQUITOS,consulta externa,personas de 20 a 39 anos,2024-01-01,149,309,28,50,0,0,458,78,536
SAN JUAN DE YAPACANI,consulta externa,personas de 20 a 39 anos,2024-01-01,25,56,0,2,1,0,81,2,83
SAN JULIAN,consulta externa,personas de 20 a 39 anos,2024-01-01,611,1809,47,148,0,0,2420,195,2615
SAN LORENZO(PND),consulta externa,personas de 20 a 39 anos,2024-01-01,143,266,4,4,0,0,409,8,417
SAN LORENZO(TJA),consulta externa,personas de 20 a 39 anos,2024-01-01,465,1217,19,67,465,1217,1682,86,1768
SAN LUCAS,consulta externa,personas de 20 a 39 anos,2024-01-01,324,864,17,48,308,721,1188,65,1253
SAN MATIAS,consulta externa,personas de 20 a 39 anos,2024-01-01,117,243,12,22,0,0,360,34,394
SAN MIGUEL DE VELASCO,consulta externa,personas de 20 a 39 anos,2024-01-01,123,291,24,139,0,0,414,163,577
SAN PABLO DE LIPEZ,consulta externa,personas de 20 a 39 anos,2024-01-01,36,70,1,0,12,13,106,1,107
