municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,0,0
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
TARATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
PUNATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,0,0
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-07-01,3,3
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,2,2
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
SABAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,2,2
VINTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,0,0
TAHUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-09-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,0,0
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-10-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,2,2
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-12-01,1,1
