municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g,TOTAL
VILLAZON,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-08-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
LAJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,0,0
VILA VILA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-09-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-10-01,0,0
TOMAVE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-10-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-11-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-11-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-11-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-11-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-11-01,1,1
COBIJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-12-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-12-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-12-01,1,1
