municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,10,10
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,10,10
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,15,15
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,18,18
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,11,11
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,24,24
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,11,11
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
MALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
MAPIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
MECAPACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,11,11
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
MOJINETE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,14,14
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
PALCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
PELECHUCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,11,11
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
PORCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,10,10
PUCARA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
PUERTO ACOSTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
PUERTO SILES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,25,25
QUIABAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
QUIME,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
REYES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SABAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
SAN JAVIER(STC),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAN JOAQUIN,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,19,19
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SANTIAGO DE CALLAPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SICAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,23,23
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
TEOPONTE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,13,13
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
TOCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
TODOS SANTOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
TOLEDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
VACAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
VILLA RIVERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
YACO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,25,25
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,3,3
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,7,7
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,3,3
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,16,16
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,6,6
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,5,5
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,8,8
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,5,5
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,4,4
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,9,9
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,10,10
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,3,3
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,15,15
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,7,7
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,4,4
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,4,4
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,7,7
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,4,4
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,7,7
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,3,3
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,7,7
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,13,13
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,14,14
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,13,13
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,8,8
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,8,8
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,16,16
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,5,5
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,21,21
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-02-01,4,4
