municipality,group,variable,month,Total 12.8 Nacidos muertos atendidos por partera capacitada,TOTAL
ARQUE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,1,1
EL VILLAR,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,1,1
VILLA SERRANO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,3,3
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,0,0
YAPACANI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-08-01,2,2
BETANZOS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
BOYUIBE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,2,2
COTAGAITA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
EL ALTO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
OCURI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,0,0
YACUIBA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-09-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,4,4
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,2,2
REYES,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,1,1
ROBORE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,1,1
TACOPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
EL ALTO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
MOCOMOCO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
PAILON,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
PUNA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
ROBORE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-11-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-12-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-12-01,2,2
SIPE SIPE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-12-01,1,1
TACOBAMBA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-12-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-12-01,2,2
