municipality,group,variable,month,12.4 Nacidos vivos con peso menor a 2500 g.,TOTAL
PUCARANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,3,3
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,3,3
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
PUNA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
SAN BENITO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
TARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
TARIJA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,2,2
VACAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,5,5
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-02-01,1,1
ANZALDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
BELLA FLOR,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
CAMARGO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
CAPINOTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
CHAQUI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
CHARAGUA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
CKOCHAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
COLQUIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
ICLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
LAJA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
LURIBAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,3,3
MOJOCOYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
PADCAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
TIQUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
TOLEDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
WARNES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
YACO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,2,2
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-03-01,1,1
CHAQUI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
CHARAGUA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
CHUMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
COLLANA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
COMARAPA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
CORQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,2,2
INCAHUASI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,3,3
POCOATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,6,6
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
TAHUA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
TARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,3,3
TARVITA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,3,3
WARNES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,3,3
YOCALLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-04-01,1,1
ACACIO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
ALALAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
ARQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
BAURES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
CARANAVI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
CHAYANTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
EL VILLAR,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
GUANAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
HUANUNI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
ICLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
INCAHUASI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
PATACAMAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
RIBERALTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
SACACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
SHINAOTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
TIAWANACU,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
VACAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,2,2
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-05-01,1,1
ALALAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
ANDAMARCA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
ANZALDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
CARANAVI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
CHACARILLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
COTAGAITA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
HUARINA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
LLICA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
PAILON,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
POROMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
RAVELO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
RURRENABAQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,2,2
VACAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
WARNES,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-06-01,1,1
ATOCHA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
CAMARGO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,2,2
CARIPUYO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,5,5
CHAYANTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
COTAGAITA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
LA ASUNTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,2,2
PUNA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,3,3
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,2,2
SORATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,2,2
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
TARACO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
TOLEDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-07-01,1,1
ANZALDO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
CHUMA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
CORO CORO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,3,3
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
ICLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
OCURI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
PADILLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,2,2
PRESTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,3,3
PUCARANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
SAN JULIAN,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,2,2
SAN PEDRO(PND),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
SUCRE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,2,2
TIAWANACU,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,2,2
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
TIQUIPAYA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
TUPIZA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
UMALA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,2,2
VILA VILA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,0,0
YACUIBA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-08-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
CAMARGO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,2,2
CARAPARI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
CATACORA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
CHIMORE,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
COLLANA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
EL ALTO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
HUMANATA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,10,10
ICHOCA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
ICLA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
LURIBAY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,3,3
MOCOMOCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
PUCARANI,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
SACACA,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,2,2
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
SOPACHUY,atencion de partos en domicilio,      nacidos vivos con peso menor a 2500 g.,2014-09-01,1,1
