municipality,group,variable,month,12.6 Partos atendidos por partera capacitada,TOTAL
CUEVO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,4,4
CURVA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
EL PUENTE(TJA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
EL VILLAR,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
GUAYARAMERIN,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
HUANUNI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
ICLA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
LA ASUNTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
LURIBAY,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
MECAPACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
MOROCHATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
PALCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
POCOATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
POCONA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
POROMA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
PUNA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
PUNATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
RAVELO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,5,5
RIBERALTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
ROBORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
SACABA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,5,5
SACACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,8,8
SAN ANDRES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
SAN BORJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,13,13
SAN LORENZO(PND),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
SAN LORENZO(TJA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,3,3
SAN MATIAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
SUCRE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
TACOPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
TAPACARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,6,6
TARVITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,4,4
TIRAQUE (CBBA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
TORO TORO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
TUPIZA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
UNCIA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
VALLEGRANDE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
YACO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
YAPACANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,2,2
ZUDAÑEZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-02-01,1,1
AIQUILE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
ANDAMARCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
APOLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
ARANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
ARQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
AZURDUY,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
BETANZOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
CABEZAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,28,28
CAMARGO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CAPINOTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CARACOLLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CARANAVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CARAPARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
CARIPUYO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CHALLAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,7,7
CHAYANTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
CHIMORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CKOCHAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
COLOMI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
COLQUECHACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,13,13
COMANCHE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
CONCEPCION,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
COTAGAITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
CUEVO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
EL ALTO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,5,5
EL TORNO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
EUCALIPTUS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
HUACARETA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
INQUISIVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
MACHARETI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
MONTEAGUDO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
ORURO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
PALCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
POCOATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
PORCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
POROMA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,4,4
PRESTO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
RAVELO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,8,8
RIBERALTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,5,5
SACABA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
SACACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
SAN BORJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,13,13
SAN IGNACIO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,6,6
SAN LORENZO(TJA),atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
SANTA ROSA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
SENA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
TACOPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,2,2
TAPACARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,6,6
TARATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,5,5
TOMAVE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
TORO TORO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,5,5
VIACHA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,8,8
VILLA MONTES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
VILLAZON,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,4,4
VINTO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
WARNES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
YACUIBA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-03-01,1,1
AIQUILE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,4,4
APOLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,4,4
ARAMPAMPA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
ARQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
AYATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
BELLA FLOR,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
BERMEJO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
BOLIVAR,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
CABEZAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,25,25
CAMIRI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
CHAYANTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
CKOCHAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
COBIJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
COLOMI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,5,5
COLQUECHACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,9,9
CORQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
COTAGAITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
COTOCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
CUEVO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
CURVA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
EL ALTO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,4,4
EUCALIPTUS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
INQUISIVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
IXIAMAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
LA ASUNTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
MIZQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
MOJOCOYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
OCURI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
PALCA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
POCOATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,6,6
PRESTO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
RAVELO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,11,11
RIBERALTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
ROBORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
SACACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,7,7
SAN BORJA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,8,8
SAN IGNACIO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,7,7
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
SAN LUCAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
SANTIVAÑES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
SUCRE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
TAPACARI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
TARABUCO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,2,2
TINGUIPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
TIPUANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
TIQUIPAYA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,4,4
TORO TORO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
TRINIDAD,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
TUPIZA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
VILLA MONTES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
VILLAZON,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,3,3
WARNES,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
YACUIBA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-04-01,1,1
ACHACACHI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
APOLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,3,3
ARAMPAMPA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
ATOCHA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
AZURDUY,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
BETANZOS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CABEZAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,22,22
CAMARGO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CAMIRI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
CARACOLLO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CARANAVI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
CARIPUYO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CHALLAPATA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,4,4
CHARAGUA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
CHAYANTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CHIMORE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CHOQUE COTA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CKOCHAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
COLOMI,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,8,8
COLQUECHACA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,5,5
COPACABANA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
CORQUE,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
COTAGAITA,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,1,1
CUEVO,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,4,4
CURAHUARA DE CARANGAS,atencion de partos en domicilio,      partos atendidos por partera capacitada,2014-05-01,2,2
