municipality,group,variable,month,12.2 Nacidos vivos atendidos por personal de salud,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,23,23
COCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
"COLCHA ""K""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,10,10
COLLANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
COLOMI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,28,28
COLQUENCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
COLQUIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,18,18
COMANCHE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
COMARAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
COMBAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
CONCEPCION,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
COPACABANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
CORIPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
CORO CORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
CORQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
COTAGAITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
COTOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CUEVO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,10,10
CURVA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
DESAGUADERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
EL ALTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
EL CHORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
ESCOMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
FERNANDEZ ALONSO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
GUANAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
GUAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
GUAYARAMERIN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
HUACARETA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
HUATAJATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
HUMANATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
ICHOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
ICLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
INCAHUASI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
INGAVI (HUMAITA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
INQUISIVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
IXIAMAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
LA ASUNTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
LA GUARDIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
LA PAZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
LAJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
LAS CARRERAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
LLALLAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
LLICA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
LURIBAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
MAGDALENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
MALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
MECAPACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
MINEROS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
MOCOMOCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
MOJOCOYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
MORO MORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
NAZACARA DE PACAJES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
OCURI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
OMEREQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
PADCAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
PADILLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
PALCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
PAMPA AULLAGAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
PASORAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
PATACAMAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
PAZÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
PELECHUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
POCOATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,26,26
POCONA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
PORCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
POROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,15,15
PORVENIR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
POTOSI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
PUCARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,15,15
PUERTO ACOSTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
PUERTO GONZALO MORENO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
PUERTO PEREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
PUERTO RICO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
PUNA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
QUIABAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,10,10
QUIME,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
RAVELO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
REYES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
RURRENABAQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
SABAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SACABA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
SACABAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SACACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
SAN ANDRES DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SAN BENITO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN BORJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,8,8
SAN JAVIER(STC),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,26,26
SAN MATIAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,17,17
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SAN PEDRO DE QUEMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SAN RAFAEL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,0,0
SANTA ROSA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTIAGO DE HUATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTIVAÑES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SAPAHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
SENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SHINAOTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
SICAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
SIPE SIPE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SOPACHUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
SORACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SORATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
SUCRE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
TACOBAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
TACOPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
TAHUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,24,24
TARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
TARACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
TARATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
TARIJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
TARVITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
TEOPONTE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
TIAWANACU,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,19,19
TIQUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
TIRAQUE (CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
TOCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
TOMINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
TORO TORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
TOTORA(CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
TRIGAL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
TUPIZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,13,13
TURCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
UMALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
UNCIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,7,7
UYUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
VACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
VIACHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,9,9
VILA VILA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
VILLA CHARCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
VILLA MONTES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
VILLAZON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
VINTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,2,2
VITICHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,5,5
WALDO BALLIVIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
YACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,6,6
YACUIBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,3,3
YOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
YOTALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
YUNCHARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,4,4
ZUDAÑEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-01-01,1,1
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,6,6
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,9,9
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,3,3
AIQUILE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,1,1
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,3,3
ALTO BENI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,2,2
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,7,7
ANZALDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,2,2
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,5,5
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,2,2
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,3,3
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,4,4
ATOCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,2,2
AUCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,2,2
AYATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,5,5
AYO AYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,12,12
AZURDUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,7,7
BATALLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,7,7
BERMEJO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,12,12
BOLIVAR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,7,7
CAIROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-02-01,3,3
