municipality,group,variable,month,12.3 Nacidos muertos atendidos por personal de salud,TOTAL
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-05-01,1,1
ANCORAIMES,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,2,2
CHAYANTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
CORQUE,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
ESCOMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,4,4
POROMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
SACACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
VALLEGRANDE,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
VITICHI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-06-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
COLQUENCHA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
ICLA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
LAJA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
MOROCHATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
POROMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
TACACOMA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
TARIJA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
TURCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-07-01,1,1
AUCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,2,2
COTAGAITA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,2,2
EL TORNO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
MOCOMOCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
PATACAMAYA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
SANTA ROSA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
SORATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,3,3
UYUNI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
VILLA SERRANO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,0,0
YAPACANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-08-01,1,1
AYATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,2,2
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
ICLA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,3,3
TACACHI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,2,2
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-09-01,0,0
CALAMARCA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
PALCA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
QUILLACOLLO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,2,2
RAVELO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
SACACA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
SAN JUAN DE YAPACANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,2,2
VILLA TUNARI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-10-01,1,1
ACHACACHI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
HUMANATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
MOCOMOCO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
QUILLACOLLO,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,2,2
SAN JULIAN,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
SORATA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
TUPIZA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
VILA VILA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
VITICHI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-11-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
LA ASUNTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
MACHARETI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
QUIME,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
UYUNI,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
YACUIBA,atencion de partos en domicilio,      nacidos muertos atendidos por personal de salud,2014-12-01,1,1
