municipality,group,variable,month,Número de viviendas positivas,TOTAL
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-03-01,60,60
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,79,79
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2011-03-01,8,8
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,0,0
SANTA ROSA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,8,8
SUCRE,control vectorial de dengue,numero de viviendas positivas,2011-03-01,34,34
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2011-03-01,9,9
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2011-03-01,7,7
TOMINA,control vectorial de dengue,numero de viviendas positivas,2011-03-01,52,52
WARNES,control vectorial de dengue,numero de viviendas positivas,2011-03-01,2,2
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-04-01,223,223
COTOCA,control vectorial de dengue,numero de viviendas positivas,2011-04-01,6,6
CUEVO,control vectorial de dengue,numero de viviendas positivas,2011-04-01,46,46
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas positivas,2011-04-01,6,6
GUTIERREZ,control vectorial de dengue,numero de viviendas positivas,2011-04-01,14,14
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2011-04-01,4,4
OMEREQUE,control vectorial de dengue,numero de viviendas positivas,2011-04-01,11,11
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-04-01,151,151
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2011-04-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-04-01,28,28
TRINIDAD,control vectorial de dengue,numero de viviendas positivas,2011-04-01,22,22
WARNES,control vectorial de dengue,numero de viviendas positivas,2011-04-01,4,4
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2011-05-01,23,23
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-05-01,23,23
COTOCA,control vectorial de dengue,numero de viviendas positivas,2011-05-01,16,16
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2011-05-01,8,8
PORONGO,control vectorial de dengue,numero de viviendas positivas,2011-05-01,3,3
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-05-01,1,1
WARNES,control vectorial de dengue,numero de viviendas positivas,2011-05-01,1,1
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2011-06-01,29,29
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2011-06-01,81,81
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-06-01,7,7
HUACARETA,control vectorial de dengue,numero de viviendas positivas,2011-06-01,5,5
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2011-06-01,16,16
PORONGO,control vectorial de dengue,numero de viviendas positivas,2011-06-01,11,11
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2011-06-01,43,43
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-06-01,0,0
TARIJA,control vectorial de dengue,numero de viviendas positivas,2011-06-01,55,55
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas positivas,2011-06-01,16,16
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-07-01,29,29
COTOCA,control vectorial de dengue,numero de viviendas positivas,2011-07-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-07-01,0,0
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2011-07-01,18,18
LAS CARRERAS,control vectorial de dengue,numero de viviendas positivas,2011-08-01,20,20
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-08-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-08-01,0,0
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2011-09-01,1,1
CHARAGUA,control vectorial de dengue,numero de viviendas positivas,2011-09-01,9,9
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-09-01,76,76
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-09-01,0,0
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2011-09-01,15,15
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-10-01,105,105
EL VILLAR,control vectorial de dengue,numero de viviendas positivas,2011-10-01,90,90
ENTRE RIOS TRJ,control vectorial de dengue,numero de viviendas positivas,2011-10-01,5,5
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2011-10-01,6,6
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-10-01,9,9
PORONGO,control vectorial de dengue,numero de viviendas positivas,2011-10-01,9,9
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-10-01,0,0
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2011-10-01,5,5
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2011-10-01,90,90
YACUIBA,control vectorial de dengue,numero de viviendas positivas,2011-10-01,117,117
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2011-11-01,1,1
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2011-11-01,36,36
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-11-01,23,23
EL PUENTE(STC),control vectorial de dengue,numero de viviendas positivas,2011-11-01,18,18
HUACAYA (VILLA DE HUACAYA),control vectorial de dengue,numero de viviendas positivas,2011-11-01,101,101
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2011-11-01,4,4
MONTERO,control vectorial de dengue,numero de viviendas positivas,2011-11-01,127,127
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2011-11-01,25,25
SAN LUCAS,control vectorial de dengue,numero de viviendas positivas,2011-11-01,6,6
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-11-01,0,0
VILLA SERRANO,control vectorial de dengue,numero de viviendas positivas,2011-11-01,1,1
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2011-12-01,117,117
EL PUENTE(STC),control vectorial de dengue,numero de viviendas positivas,2011-12-01,9,9
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2011-12-01,81,81
SAIPINA,control vectorial de dengue,numero de viviendas positivas,2011-12-01,72,72
SAN LUCAS,control vectorial de dengue,numero de viviendas positivas,2011-12-01,44,44
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2011-12-01,15,15
TRINIDAD,control vectorial de dengue,numero de viviendas positivas,2011-12-01,1,1
