municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,143,143
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-02-01,109,109
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,200,200
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,67,67
COMARAPA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,3,3
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,8,8
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,11,11
GUANAY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,385,385
GUTIERREZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,51,51
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,1229,1229
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,170,170
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,533,533
SAN BUENA VENTURA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,296,296
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,13,13
SAN PEDRO(PND),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,33,33
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,26,26
SANTA ROSA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,15,15
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,180,180
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,279,279
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,124,124
TOMINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,352,352
WARNES,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-03-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,1959,1959
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,5,5
CUEVO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,386,386
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,6,6
GUTIERREZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,45,45
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,46,46
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,60,60
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,925,925
POCONA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,63,63
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,25,25
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,34,34
ZUDAÑEZ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-04-01,66,66
AZURDUY,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,4,4
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,88,88
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,187,187
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,2919,2919
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,299,299
IXIAMAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,60,60
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,3,3
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,32,32
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,10,10
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,49,49
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,328,328
WARNES,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-05-01,15,15
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,157,157
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,1352,1352
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,75,75
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,32,32
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,92,92
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,212,212
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,32,32
PASORAPA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,105,105
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,93,93
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,0,0
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,43,43
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-06-01,61,61
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-07-01,287,287
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-07-01,40,40
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-07-01,0,0
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-07-01,480,480
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-08-01,16,16
LAS CARRERAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-08-01,173,173
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-08-01,100,100
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-08-01,0,0
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,67,67
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,535,535
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,145,145
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,36,36
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,0,0
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-09-01,226,226
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,1031,1031
COCHABAMBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,1,1
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,11,11
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,320,320
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,150,150
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,87,87
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,0,0
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,117,117
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,19,19
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,710,710
YACUIBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-10-01,510,510
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,10,10
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,200,200
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,120,120
CHULUMANI (V. DE LA LIBERTAD),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,26,26
EL PUENTE(STC),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,107,107
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,35,35
HUACAYA (VILLA DE HUACAYA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,53,53
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,20,20
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,80,80
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,3958,3958
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,107,107
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,76,76
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,10,10
VILLA SERRANO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-11-01,42,42
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,450,450
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,947,947
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,148,148
EL PUENTE(STC),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,41,41
ENTRE RIOS CBBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,35,35
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,811,811
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,1014,1014
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,652,652
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,15,15
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,74,74
TRINIDAD,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,15,15
VILLA SERRANO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2011-12-01,343,343
