,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-06-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-07-01,7,1,8
TIPUANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-07-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-07-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-08-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-08-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-08-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-08-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-09-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-09-01,7,4,11
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-09-01,2,3,5
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-10-01,0,0,0
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-10-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-10-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,5,1,6
ZUDAÑEZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-11-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-12-01,0,0,0
MIZQUE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2023-12-01,2,2,4
