,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,1,3
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,0,3
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,19,4,23
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,2,5
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,1,4
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PORVENIR,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,2,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,9,1,10
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,5,6,11
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
QUIABAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,6,2,8
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,3,5
SAMAIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,2,3
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,2,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,2,3
SAN RAFAEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,127,73,200
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,3,3
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,9,0,9
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,5,1,6
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,8,6,14
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,5,3,8
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,0,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,6,2,8
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,3,2,5
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-01-01,2,2,4
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,1,3
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,3,2,5
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,12,6,18
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
CHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,3,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,0,4
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,5,0,5
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,8,5,13
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,1,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,10,6,16
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,7,2,9
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,2,4
HUACARETA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,3,1,4
ICLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,0,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,7,3,10
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,11,9,20
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,13,6,19
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,3,7
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,1,3
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,2,2
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
PORVENIR,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,3,7
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,5,4,9
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,2,3
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,98,55,153
SANTA ROSA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
SANTIVAÑES,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,2,3
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,3,0,3
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,4,6
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,2,3
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,4,5,9
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,1,3
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,7,4,11
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,2,1,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,3,1,4
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,5,4,9
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,3,0,3
YOTALA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-02-01,1,1,2
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,2,3
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,7,4,11
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CARIPUYO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
CHARAÑA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,5,1,6
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,8,0,8
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,21,12,33
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
COLQUECHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
COPACABANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,2,3
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,8,3,11
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,21,10,31
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,3,4,7
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
ICLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,7,3,10
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,4,6,10
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,36,26,62
LAJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,1,2
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,1,3
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,18,5,23
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,3,2,5
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,5,1,6
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,0,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,6,0,6
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,0,1,1
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,11,3,14
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,3,2,5
RAQAYPAMPA(ETA),tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,9,3,12
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,2,4
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,4,3,7
SAIPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,2,3
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2023-03-01,1,0,1
