,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,21,13,34
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,2,4
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,183,148,331
COIPASA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,10,8,18
"COLCHA ""K""",tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,3,6
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
COLQUENCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,0,3
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,4,7
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,3,6
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,4,9
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,6,14
CORQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,4,10
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,32,28,60
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,9,15
CUEVO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,1,6
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
CURVA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,140,118,258
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,20,15,35
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,6,10
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,20,13,33
ESCARA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,3,6
FILADELFIA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,2,4
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,1,8
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,2,8
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,9,4,13
HUACARAJE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,2,2
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
HUACHACALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,9,2,11
HUARINA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,2,8
HUATAJATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,7,11
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,4,7
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,0,5
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,12,4,16
IXIAMAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,1,4
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,25,29,54
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,38,41,79
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,152,138,290
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,3,8
LAS CARRERAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
LICOMA PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,19,5,24
LLICA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,4,6
MAGDALENA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,12,3,15
MECAPACA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,5,12
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,4,10
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,5,9
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,71,47,118
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
OKINAWA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,2,4
OMEREQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,3,4
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,55,58,113
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,9,15
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,14,19
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,17,12,29
PAMPA AULLAGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,3,4
POJO (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
POOPO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,4,7
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,3,3
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,3,6
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,1,5
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,2,2
PORVENIR,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,5,10
POSTRER VALLE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,3,3
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,28,23,51
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,5,9
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,1,6
PUERTO CARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
PUERTO GONZALO MORENO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,16,19,35
PUERTO RICO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,9,9,18
PUERTO VILLARROEL,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,36,47,83
PUNA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
PUNATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,3,11
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,39,30,69
QUIME,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
QUIRUSILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
RAVELO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,31,18,49
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,6,14
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,6,14
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,24,21,45
SACABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
SAIPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
SAMAIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SAN AGUSTIN,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,6,8
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,0,7
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,5,5
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,14,4,18
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,4,10
SAN JOAQUIN,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,6,11
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,21,15,36
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,5,11
SAN MATIAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,5,8
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,8,15
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,3,8
SAN PEDRO DE MACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
SAN RAFAEL,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
SAN RAMON BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,527,492,1019
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,4,7
SANTIAGO DE HUARI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,4,6
SANTIAGO DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SENA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,4,4
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,15,10,25
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,5,5
SICAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,10,7,17
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
SORACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,1,5
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,1,7
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,69,73,142
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
TACOPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
TAHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,2,4
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,5,12
TARACO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,2,3
TARATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,3,4
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,52,41,93
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,4,7
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,2,2
TINGUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,11,5,16
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,6,14
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,2,7
TOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,2,2
TOLEDO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,53,35,88
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,6,5,11
TURCO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,19,6,25
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,1,2
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,4,4
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,9,10,19
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,4,7,11
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,7,5,12
VILLA RIVERO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,20,25,45
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,3,6
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,5,10
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,8,14,22
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,1,0,1
WALDO BALLIVIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,42,27,69
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,42,29,71
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,2,4
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,3,2,5
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,30,34,64
YOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,0,2
YOTALA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,5,3,8
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,2,1,3
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-01-01,0,1,1
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,5,5,10
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,1,2
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,5,6
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,2,4
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,9,5,14
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,0,1,1
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,1,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,4,6
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,0,2,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,4,5
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,3,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,3,6,9
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,4,0,4
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,5,1,6
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,11,2,13
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,1,3
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,3,4
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,0,1,1
BELLA FLOR,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,11,20,31
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,3,4
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,1,2
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,3,1,4
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,4,4,8
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,2,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,1,3
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,2,3
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,5,6
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,3,2,5
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,3,0,3
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,6,5,11
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,40,33,73
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,3,5
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,0,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,3,5
CATACORA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,2,0,2
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,4,4,8
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,4,1,5
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,3,4,7
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,7,11,18
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,8,7,15
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,1,2,3
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,0,3,3
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,6,1,7
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2023-02-01,30,15,45
