,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,5,4,9
LLALLAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,5,2,7
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
PUCARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,10,8,18
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,3,0,3
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,1,2
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
OCURI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,7,8,15
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-04-01,2,0,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
BELLA FLOR,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,4,3,7
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,5,1,6
HUATAJATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,5,1,6
MINEROS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
MOCOMOCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,2,2
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,8,3,11
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,0,2,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,2,3,5
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,2,3
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,3,2,5
MINEROS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,2,0,2
PUCARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,12,14,26
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,0,1,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-06-01,1,2,3
CHAQUI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,6,1,7
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,0,1,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,6,7,13
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,0,1,1
PORVENIR,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
SAN MATIAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,8,3,11
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,2,0,2
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,2,1,3
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,4,3,7
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,5,2,7
LAS CARRERAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,8,2,10
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-08-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
CAJUATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,3,1,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
COMARAPA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,3,0,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,0,2,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,3,5,8
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,6,6,12
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-09-01,0,1,1
CHAQUI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,3,1,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
DESAGUADERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,2,4,6
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,3,1,4
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,2,0,2
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,1,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,2,0,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,24,10,34
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,2,0,2
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-10-01,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,3,2,5
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,8,3,11
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
SACABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,24,7,31
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,1,2
VILLAZON,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-11-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
BELLA FLOR,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,4,0,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,0,2,2
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,6,0,6
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,3,3,6
OMEREQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,0,1,1
POCOATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,6,4,10
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2023-12-01,2,0,2
