,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
CHIMORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,4,0,4
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,6,0,6
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,3,4
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,4,2,6
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-04-01,1,1,2
AZURDUY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,0,1,1
CLIZA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,6,0,6
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,3,2,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,3,0,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,1,2
PUCARANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,12,3,15
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,0,1,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,6,0,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,3,1,4
EL PUENTE(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,3,1,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
PAILON,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
SAN BENITO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,10,1,11
SORATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,1,2
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,8,4,12
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,4,1,5
GUAYARAMERIN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,4,1,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,2,0,2
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,13,2,15
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
TIPUANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,16,3,19
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,5,2,7
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,15,2,17
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
VACAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-08-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,4,0,4
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,9,1,10
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
TIAHUANACU,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,7,0,7
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-09-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,7,5,12
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,4,0,4
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,7,2,9
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
PORTACHUELO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,12,0,12
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,1,0,1
VILLAZON,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-10-01,0,0,0
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,3,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,4,1,5
LAJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,0,1,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,11,5,16
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,1,2
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-11-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,10,3,13
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,4,0,4
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,5,2,7
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2023-12-01,1,0,1
