,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,6,0,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-04-01,0,1,1
BELLA FLOR,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,0,0
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,6,4,10
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,3,1,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,5,8,13
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-06-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
TOLEDO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-07-01,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,4,2,6
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-08-01,0,2,2
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,1,2
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,5,6,11
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-09-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,1,1
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,7,5,12
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,4,6,10
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,1,1,2
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-10-01,0,1,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,5,6,11
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-11-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,0,0,0
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,1,1,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,5,2,7
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2023-12-01,1,0,1
