,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,0,1,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-06-01,4,1,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-06-01,8,1,9
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-06-01,4,2,6
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,9,5,14
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,3,1,4
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,4,0,4
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-07-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,8,5,13
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,2,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-08-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,8,3,11
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,0,0,0
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,4,5
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,2,2,4
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,5,0,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,3,2,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,5,1,6
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,2,2,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-11-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,3,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2023-12-01,0,1,1
