municipality,group,variable,month,Tratamientos iniciados en el mes a niños meno,TOTAL
URIONDO (A. CONCEPCION),chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,2.0,2.0
VILLAZON,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,4.0,4.0
ZUDAÑEZ,chagas,tratamientos iniciados en el mes a ninos meno,2006-08-01,3.0,3.0
CORIPATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-09-01,5.0,5.0
POROMA,chagas,tratamientos iniciados en el mes a ninos meno,2006-09-01,2.0,2.0
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2006-09-01,31.0,31.0
TUPIZA,chagas,tratamientos iniciados en el mes a ninos meno,2006-09-01,1.0,1.0
ZUDAÑEZ,chagas,tratamientos iniciados en el mes a ninos meno,2006-09-01,2.0,2.0
CORIPATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,10.0,10.0
COTAGAITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,12.0,12.0
LAGUNILLAS,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,4.0,4.0
POROMA,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,2.0,2.0
SAN BENITO,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,1.0,1.0
SAN LUCAS,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,2.0,2.0
TARATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,4.0,4.0
TARIJA,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,1.0,1.0
VILLAZON,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,1.0,1.0
ZUDAÑEZ,chagas,tratamientos iniciados en el mes a ninos meno,2006-10-01,1.0,1.0
ACACIO,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,11.0,11.0
ANZALDO,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,3.0,3.0
BERMEJO,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,7.0,7.0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,12.0,12.0
COTAGAITA,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,7.0,7.0
LAGUNILLAS,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,1.0,1.0
PUNATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,1.0,1.0
SAN BENITO,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,1.0,1.0
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,2.0,2.0
TARATA,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,5.0,5.0
VILLA TUNARI,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,1.0,1.0
VILLAZON,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,1.0,1.0
YUNCHARA,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,5.0,5.0
ZUDAÑEZ,chagas,tratamientos iniciados en el mes a ninos meno,2006-11-01,3.0,3.0
ARBIETO,chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,1.0,1.0
BERMEJO,chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,14.0,14.0
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,11.0,11.0
SAN LORENZO(TJA),chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,23.0,23.0
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,6.0,6.0
YUNCHARA,chagas,tratamientos iniciados en el mes a ninos meno,2006-12-01,2.0,2.0
