,group,variable,month,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-02-01,0,0,2,0,2,0,2
ALCALA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-03-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-03-01,2,0,1,0,3,0,3
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-03-01,2,0,0,0,2,0,2
TARIJA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-03-01,1,0,0,0,1,0,1
AIQUILE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,0,1,0,0,0,1,1
ALCALA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,0,0,2,0,2,0,2
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,2,1,0,0,2,1,3
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,2,0,0,0,2,0,2
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,2,0,1,1,3,1,4
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,0,3,0,0,0,3,3
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,0,2,0,0,0,2,2
TARABUCO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-04-01,1,0,0,0,1,0,1
CAMARGO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,2,0,2,1,4,1,5
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,0,0,2,0,2,0,2
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,1,0,0,0,1,0,1
PADCAYA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,1,0,0,0,1,0,1
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-05-01,1,0,0,2,1,2,3
CAMARGO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,1,0,1,0,2,0,2
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,1,0,0,0,1,0,1
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,0,0,0,0,0,0,0
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,0,0,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-06-01,0,3,1,1,1,4,5
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,0,1,1,1,1,2
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,0,1,1,1,1,2
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,1,0,0,0,1,1
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,1,0,0,0,1,1
SIPE SIPE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,0,0,1,0,1,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,2,1,0,0,2,1,3
TARABUCO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,1,0,0,0,1,1
ZUDAÑEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-07-01,0,1,0,0,0,1,1
ICLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,1,0,0,0,1,0,1
LA GUARDIA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,1,1,0,1,1,2,3
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,2,0,0,1,2,1,3
TARABUCO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-08-01,0,1,0,0,0,1,1
HUACARETA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,1,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,1,0,0,0,1,1
ICLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,0,1,0,1,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,2,0,1,0,3,0,3
LA GUARDIA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,1,1,1,1,2
MONTEAGUDO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,1,1,1,1,2
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,1,0,1,0,2,0,2
PADILLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,1,0,0,0,1,1
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,5,3,0,0,5,3,8
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,1,1,2,0,3,1,4
TARABUCO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,0,1,0,1,1
TUPIZA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,0,1,0,1,1
YACUIBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,3,0,0,0,3,0,3
ZUDAÑEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-09-01,0,0,0,1,0,1,1
CHARAGUA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,3,10,0,0,3,10,13
HUACARETA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,2,0,1,0,3,3
ICLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,1,0,1,0,2,0,2
MACHARETI,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,1,0,0,0,1,0,1
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,0,0,0,0,0
PADILLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,0,1,0,1,1
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,0,2,0,2,2
PRESTO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,1,0,0,0,1,0,1
SAN JULIAN,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,3,0,0,0,3,0,3
TRINIDAD,chagas,total tratamientos rn a menores de 1 ano de edad,2015-10-01,0,1,0,0,0,1,1
CAPINOTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,0,0,1,1
CULPINA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,0,2,0,2,2
ICLA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,0,1,0,1,1
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,1,0,2,2
MACHARETI,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,1,0,1,0,1
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,0,0,0,0,0
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,1,0,1,0,1
PRESTO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,3,0,3,0,3
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,2,2,0,2,2,4,6
TUPIZA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,0,0,1,0,1,1
YACUIBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,1,0,2,2
YAMPARAEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,0,0,1,1
ZUDAÑEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-11-01,0,1,0,0,0,1,1
CAPINOTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,2,0,0,0,2,2
CULPINA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,2,0,0,0,2,0,2
LA ASUNTA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,1,0,1,1
MONTERO,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,0,0,0,0
POROMA,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,1,0,1,0,1
SUCRE,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,1,0,1,0,1
YAMPARAEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,1,0,1,1
ZUDAÑEZ,chagas,total tratamientos rn a menores de 1 ano de edad,2015-12-01,0,0,0,1,0,1,1
