,group,variable,month,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
AIQUILE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-06-01,1,1,0,0,1,1,2
LA ASUNTA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-06-01,1,0,0,0,1,0,1
MAIRANA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-06-01,0,1,0,0,0,1,1
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-06-01,0,0,0,0,0,0,0
SUCRE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-06-01,0,0,0,1,0,1,1
AIQUILE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,0,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,1,2,0,0,1,2,3
EL TORNO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,2,0,0,0,2,0,2
LA ASUNTA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,0,1,1,1,1,2
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-07-01,1,1,0,0,1,1,2
AIQUILE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,2,0,0,0,2,0,2
EL TORNO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,0,1,1,1,1,2
MAIRANA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,1,0,0,0,1,0,1
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,0,0,0,0,0,0
PAMPA GRANDE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,0,1,0,1,0,2,2
TARIJA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-08-01,1,1,0,0,1,1,2
EL TORNO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-09-01,4,2,2,0,6,2,8
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-09-01,0,0,0,0,0,0,0
TARIJA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-09-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-09-01,1,0,0,0,1,0,1
WARNES,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-09-01,0,0,1,1,1,1,2
EL TORNO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,0,0,0,1,0,1,1
LA GUARDIA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,0,0,1,0,1,0,1
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,0,0,0,0,0,0,0
SAN LUCAS,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-10-01,2,0,1,1,3,1,4
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-11-01,0,0,0,0,0,0,0
PRESTO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-11-01,0,0,2,1,2,1,3
TUPIZA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-11-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-12-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-12-01,0,0,1,0,1,0,1
MONTERO,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-12-01,0,0,0,0,0,0,0
SAN LUCAS,chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-12-01,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,total tratamientos 1 ano a menores de 5 anos de edad,2015-12-01,0,1,0,0,0,1,1
