,group,variable,month,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-01-01,2,1,1,4,3,5,8
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-01-01,29,60,0,0,29,60,89
TARATA,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,0,1,0,1,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,8,2,2,3,10,13
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-01-01,2,2,0,0,2,2,4
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-01-01,1,1,0,0,1,1,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-01-01,28,50,15,20,43,70,113
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-01-01,0,0,1,0,1,0,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-01-01,13,15,2,1,15,16,31
YANACACHI,chagas,total tratamientos de 15 anos y mas,2015-01-01,1,1,0,0,1,1,2
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,1,0,2,0,3,3
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-02-01,5,7,0,1,5,8,13
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-02-01,28,48,4,1,32,49,81
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-02-01,1,1,2,2,3,3,6
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-02-01,2,6,0,0,2,6,8
ICLA,chagas,total tratamientos de 15 anos y mas,2015-02-01,4,3,0,0,4,3,7
LA GUARDIA,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,0,0,1,0,1,1
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-02-01,1,1,0,0,1,1,2
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-02-01,2,1,0,1,2,2,4
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,0,1,2,1,2,3
PASORAPA,chagas,total tratamientos de 15 anos y mas,2015-02-01,1,2,0,0,1,2,3
POSTRER VALLE,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,0,0,1,0,1,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-02-01,4,11,2,2,6,13,19
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-02-01,6,8,0,0,6,8,14
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,2,1,3,1,5,6
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-02-01,10,39,0,0,10,39,49
TARATA,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,1,0,0,0,1,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-02-01,10,32,3,6,13,38,51
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,6,0,2,0,8,8
TOCO,chagas,total tratamientos de 15 anos y mas,2015-02-01,2,0,0,0,2,0,2
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-02-01,3,0,0,0,3,0,3
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-02-01,16,29,7,12,23,41,64
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-02-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-02-01,7,11,1,0,8,11,19
VITICHI,chagas,total tratamientos de 15 anos y mas,2015-02-01,0,1,0,1,0,2,2
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-03-01,2,2,3,0,5,2,7
ANZALDO,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,1,0,0,0,1,1
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,2,0,1,0,3,3
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-03-01,6,7,0,0,6,7,13
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-03-01,39,54,13,26,52,80,132
COROICO,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,1,0,0,0,1,1
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-03-01,2,3,1,0,3,3,6
ICLA,chagas,total tratamientos de 15 anos y mas,2015-03-01,1,0,0,0,1,0,1
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,4,0,1,0,5,5
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-03-01,10,3,0,1,10,4,14
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-03-01,4,1,0,0,4,1,5
PALCA,chagas,total tratamientos de 15 anos y mas,2015-03-01,2,0,0,0,2,0,2
PAMPA GRANDE,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,1,0,0,0,1,1
PASORAPA,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,1,0,0,0,1,1
PUCARA,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,0,1,0,1,0,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-03-01,6,14,5,10,11,24,35
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-03-01,1,0,0,1,1,1,2
SACABA,chagas,total tratamientos de 15 anos y mas,2015-03-01,6,15,1,0,7,15,22
SAN LORENZO(TJA),chagas,total tratamientos de 15 anos y mas,2015-03-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-03-01,9,8,1,4,10,12,22
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-03-01,0,5,0,0,0,5,5
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-03-01,72,34,14,19,86,53,139
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-03-01,15,30,2,7,17,37,54
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-03-01,1,1,1,1,2,2,4
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-03-01,1,2,0,0,1,2,3
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-03-01,26,31,7,12,33,43,76
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-03-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-03-01,4,9,1,5,5,14,19
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-04-01,3,4,1,0,4,4,8
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,0,0,0,1,0,1
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,2,0,4,0,6,6
BETANZOS,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,2,0,0,0,2,2
CAJUATA,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,0,1,0,1,0,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,2,2,1,3,3,6
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-04-01,33,67,8,20,41,87,128
COROICO,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,0,0,1,0,1,1
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,0,1,0,2,0,2
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-04-01,0,1,0,1,0,2,2
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,6,7,3,8,9,17
ENTRE RIOS TRJ,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,1,0,0,1,1,2
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,0,0,0,1,0,1
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-04-01,2,0,1,0,3,0,3
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,0,1,1,2,1,3
PASORAPA,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,0,0,2,0,2,2
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-04-01,4,6,8,14,12,20,32
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-04-01,3,5,0,4,3,9,12
SACABA,chagas,total tratamientos de 15 anos y mas,2015-04-01,3,12,3,3,6,15,21
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-04-01,6,14,8,4,14,18,32
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,1,0,0,1,1,2
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-04-01,55,41,6,18,61,59,120
TARATA,chagas,total tratamientos de 15 anos y mas,2015-04-01,2,1,0,0,2,1,3
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-04-01,20,24,5,13,25,37,62
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-04-01,1,1,0,1,1,2,3
TOMINA,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,1,0,0,0,1,1
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-04-01,2,0,0,0,2,0,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-04-01,23,31,20,49,43,80,123
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-04-01,0,2,2,0,2,2,4
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-05-01,3,1,2,1,5,2,7
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,1,0,1,1,2,3
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,2,2,2,2,4,6
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-05-01,41,52,25,40,66,92,158
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-05-01,8,5,1,1,9,6,15
EL ALTO,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,1,0,0,0,1,1
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-05-01,1,2,0,0,1,2,3
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,2,2,4,2,6,8
ENTRE RIOS TRJ,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,1,0,0,1,1,2
ICLA,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,0,0,0,1,0,1
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-05-01,2,0,1,0,3,0,3
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,0,1,2,1,2,3
OMEREQUE,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,0,2,2,2,2,4
PASORAPA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,1,0,0,0,1,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-05-01,16,17,4,8,20,25,45
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-05-01,2,1,7,7,9,8,17
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-05-01,2,2,0,0,2,2,4
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,1,0,0,1,1,2
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-05-01,29,67,16,26,45,93,138
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-05-01,2,3,0,0,2,3,5
TARATA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,0,1,0,1,0,1
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-05-01,29,36,19,13,48,49,97
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,2,0,0,0,2,2
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,0,0,3,0,3,3
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-05-01,0,1,0,1,0,2,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-05-01,22,26,15,28,37,54,91
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-05-01,1,0,0,1,1,1,2
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-05-01,16,14,8,7,24,21,45
YOTALA,chagas,total tratamientos de 15 anos y mas,2015-05-01,0,1,0,0,0,1,1
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,1,1,1,2
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,2,0,0,1,2,3
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-06-01,3,2,2,2,5,4,9
CHAQUI,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-06-01,34,75,20,38,54,113,167
COROICO,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,0,0,1,1
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,9,6,5,7,14,21
EL ALTO,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,0,0,1,1
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,2,1,0,2,2,4
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,1,0,2,0,2
LA ASUNTA,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
LA PAZ,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-06-01,2,0,0,0,2,0,2
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-06-01,5,5,0,0,5,5,10
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,0,0,0,0,0
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-06-01,8,17,2,2,10,19,29
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,1,2,1,2,3
SACABA,chagas,total tratamientos de 15 anos y mas,2015-06-01,4,9,2,10,6,19,25
SAN LORENZO(TJA),chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-06-01,4,6,9,11,13,17,30
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,1,0,1,0,1
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,1,0,2,0,3,3
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-06-01,21,88,11,24,32,112,144
TARATA,chagas,total tratamientos de 15 anos y mas,2015-06-01,2,0,1,1,3,1,4
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-06-01,17,46,15,27,32,73,105
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-06-01,3,1,0,1,3,2,5
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,0,3,0,3,3
TOMINA,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,0,1,0,1,1
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-06-01,38,57,25,30,63,87,150
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-06-01,0,0,1,1,1,1,2
VILLA MONTES,chagas,total tratamientos de 15 anos y mas,2015-06-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-06-01,17,25,6,5,23,30,53
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,2,6,0,7,2,9
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,0,0,0,1,0,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,5,1,1,2,6,8
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-07-01,31,71,36,36,67,107,174
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-07-01,0,1,0,2,0,3,3
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,5,0,0,1,5,6
ICLA,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,0,2,1,2,1,3
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-07-01,2,1,0,0,2,1,3
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-07-01,2,3,0,1,2,4,6
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,0,0,0,0,0,0
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,1,0,1,1,2,3
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,0,0,1,0,1,1
SACABA,chagas,total tratamientos de 15 anos y mas,2015-07-01,4,9,2,6,6,15,21
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-07-01,5,3,5,4,10,7,17
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-07-01,2,4,0,0,2,4,6
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,1,1,1,2,2,4
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,1,0,0,0,1,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-07-01,23,47,24,28,47,75,122
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,0,2,3,2,3,5
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-07-01,20,48,17,12,37,60,97
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-07-01,1,4,0,0,1,4,5
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-07-01,26,39,20,30,46,69,115
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-07-01,0,0,1,0,1,0,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-07-01,15,17,6,11,21,28,49
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,2,1,0,2,2,4
ARQUE,chagas,total tratamientos de 15 anos y mas,2015-08-01,2,0,0,0,2,0,2
BERMEJO,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,1,0,0,0,1,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,3,2,1,2,4,6
CLIZA,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-08-01,44,66,28,40,72,106,178
COROICO,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,0,1,0,1,1
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-08-01,2,8,0,0,2,8,10
CULPINA,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,0,0,0,1,0,1
EL ALTO,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,0,1,0,1,1
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-08-01,2,1,2,0,4,1,5
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-08-01,2,5,1,3,3,8,11
GUAYARAMERIN,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,1,0,1,0,1
ICLA,chagas,total tratamientos de 15 anos y mas,2015-08-01,2,0,0,0,2,0,2
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,1,0,0,0,1,1
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-08-01,5,3,0,1,5,4,9
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,0,0,0,0,0
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-08-01,9,18,10,7,19,25,44
QUILLACOLLO,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,1,1,1,1,2
SACABA,chagas,total tratamientos de 15 anos y mas,2015-08-01,3,17,3,6,6,23,29
SAN LORENZO(TJA),chagas,total tratamientos de 15 anos y mas,2015-08-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-08-01,6,10,2,6,8,16,24
SIPE SIPE,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,0,0,0,1,0,1
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-08-01,43,71,11,34,54,105,159
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-08-01,1,0,0,0,1,0,1
TARATA,chagas,total tratamientos de 15 anos y mas,2015-08-01,2,0,1,0,3,0,3
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-08-01,14,39,12,31,26,70,96
TIQUIPAYA,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,4,2,4,2,6
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,1,1,0,1,1,2
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-08-01,19,39,36,50,55,89,144
VILLA MONTES,chagas,total tratamientos de 15 anos y mas,2015-08-01,0,0,1,0,1,0,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-08-01,9,21,14,20,23,41,64
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,2,1,0,1,2,3
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,0,0,0,1,0,1
CAPINOTA,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,3,0,3,1,6,7
CARANAVI,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,1,0,0,0,1,1
CHAQUI,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,total tratamientos de 15 anos y mas,2015-09-01,0,3,0,0,0,3,3
COCHABAMBA,chagas,total tratamientos de 15 anos y mas,2015-09-01,43,65,21,48,64,113,177
COTAGAITA,chagas,total tratamientos de 15 anos y mas,2015-09-01,2,4,1,0,3,4,7
EL ALTO,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,1,0,0,0,1,1
EL PUENTE(TJA),chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,1,1,1,1,2
EL TORNO,chagas,total tratamientos de 15 anos y mas,2015-09-01,3,4,0,2,3,6,9
ICLA,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,2,3,1,3,3,6
MAIRANA,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,2,0,2,0,2
MIZQUE,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,1,1,0,1,1,2
MONTEAGUDO,chagas,total tratamientos de 15 anos y mas,2015-09-01,11,16,0,5,11,21,32
MONTERO,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,0,0,0,0,0
POCONA,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,0,0,0,1,0,1
PUNATA,chagas,total tratamientos de 15 anos y mas,2015-09-01,17,18,5,6,22,24,46
SACABA,chagas,total tratamientos de 15 anos y mas,2015-09-01,4,7,2,6,6,13,19
SAN LORENZO(TJA),chagas,total tratamientos de 15 anos y mas,2015-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos de 15 anos y mas,2015-09-01,6,14,3,2,9,16,25
SICAYA,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,0,0,0,1,0,1
SOPACHUY,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,1,1,2,2,3,5
SUCRE,chagas,total tratamientos de 15 anos y mas,2015-09-01,57,51,16,32,73,83,156
TAPACARI,chagas,total tratamientos de 15 anos y mas,2015-09-01,1,3,0,0,1,3,4
TARIJA,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,7,1,1,1,8,9
TOLATA,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,0,1,0,1,1
TOTORA(CBBA),chagas,total tratamientos de 15 anos y mas,2015-09-01,0,1,0,0,0,1,1
TUPIZA,chagas,total tratamientos de 15 anos y mas,2015-09-01,20,28,26,39,46,67,113
VALLEGRANDE,chagas,total tratamientos de 15 anos y mas,2015-09-01,0,0,0,1,0,1,1
VILLA TUNARI,chagas,total tratamientos de 15 anos y mas,2015-09-01,9,21,14,13,23,34,57
AIQUILE,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,4,1,2,1,6,7
ARBIETO,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,1,0,0,0,1,1
BETANZOS,chagas,total tratamientos de 15 anos y mas,2015-10-01,0,0,0,2,0,2,2
