,group,variable,month,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTAL TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
TIQUIPAYA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-02-01,1,2,0,0,1,2,3
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,2,0,0,0,2,2
CULPINA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,0,0,1,0,1,1
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,1,1,0,1,1,2
PALCA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,4,4,0,0,4,4,8
SIPE SIPE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,0,0,1,0,1,1
SUCRE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,3,1,0,0,3,1,4
VALLEGRANDE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,1,3,1,0,2,3,5
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-03-01,0,2,0,2,0,4,4
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,0,0,0,1,0,1,1
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,2,0,0,0,2,0,2
GUAYARAMERIN,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,22,18,0,0,22,18,40
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,1,0,0,0,1,0,1
PAMPA GRANDE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,3,2,0,2,3,4,7
TARATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,0,0,0,1,0,1,1
TIQUIPAYA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,1,0,0,0,1,0,1
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,0,0,0,2,0,2,2
VILLA TUNARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-04-01,6,13,8,7,14,20,34
BERMEJO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,1,0,0,0,1,0,1
POTOSI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,1,0,0,0,1,1
SICAYA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,1,0,0,0,1,0,1
TAPACARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,3,1,0,0,3,1,4
VALLEGRANDE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,3,0,0,0,3,3
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-05-01,0,0,0,2,0,2,2
BERMEJO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,4,0,2,0,6,6
COTAGAITA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,2,2,0,0,2,2,4
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,1,1,0,1,1,2
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,0,1,0,1,0,1
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,1,0,0,0,1,1
TARATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,0,1,0,1,0,1
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,1,0,0,0,1,0,1
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-06-01,0,3,0,0,0,3,3
COCHABAMBA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,4,16,0,0,4,16,20
LA ASUNTA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,1,0,0,0,1,1
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,2,0,0,0,2,2
POROMA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,0,1,0,1,0,1
PUNATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,1,2,0,0,1,2,3
SICAYA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,1,0,0,0,1,0,1
SUCRE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,0,1,0,1,0,1
TAPACARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,0,1,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,6,5,4,2,10,7,17
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,0,1,0,2,0,3,3
VILLA TUNARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-07-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,1,0,3,0,4,4
COTAGAITA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,0,2,1,2,1,3
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,0,0,2,0,2,2
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,1,1,0,0,1,1,2
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,0,0,1,0,1,1
TAPACARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,1,0,0,0,1,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,6,5,4,8,10,13,23
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,1,0,1,0,2,0,2
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-08-01,0,1,0,0,0,1,1
CAMARGO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,0,1,0,0,0,1,1
COTAGAITA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,4,2,0,0,4,2,6
CULPINA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,1,0,0,0,1,0,1
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,1,4,0,0,1,4,5
ICLA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,3,12,0,0,3,12,15
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,0,3,0,0,0,3,3
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,0,0,0,0,0,0,0
PUNATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,0,0,1,0,1,0,1
TAPACARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,1,1,0,0,1,1,2
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,2,4,4,6,6,10,16
VILLA TUNARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,1,0,1,0,2,0,2
YOTALA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-09-01,2,2,0,0,2,2,4
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,1,6,1,0,2,6,8
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,7,0,0,0,7,7
GUAYARAMERIN,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,0,0,1,0,1,1
ICLA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,1,5,0,0,1,5,6
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,1,0,1,0,2,2
MAIRANA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,2,0,0,0,2,0,2
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,1,1,0,0,1,1,2
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,0,0,0,0,0,0
POSTRER VALLE,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,2,2,0,0,2,2,4
PRESTO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,1,0,0,0,1,1
PUNATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,0,0,1,0,1,1
SAN JULIAN,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,4,5,1,5,5,10
VILLA MONTES,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,0,0,1,0,1,1
YOTALA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-10-01,0,0,2,0,2,0,2
CAMARGO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,0,0,1,1
CHAQUI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,1,1,0,0,1,1,2
COTAGAITA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,3,0,4,4
EL PUENTE(TJA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,0,1,0,1,1
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,0,4,0,4,4
ICLA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,2,8,2,8,10
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,2,0,3,3
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,0,0,0,0,0
PRESTO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,1,0,3,2,4,2,6
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,0,0,1,1
TAPACARI,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,0,1,1,1,1,2
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,2,0,2,0,4,4
TOLATA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,0,1,0,0,0,1,1
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-11-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,1,1,0,1,1,2,3
EL TORNO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,0,0,1,0,1,1
ICLA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,1,0,0,1,1,1,2
MONTEAGUDO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,1,0,0,0,1,1
MONTERO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,0,1,0,1,0,1
PRESTO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,6,3,0,0,6,3,9
SOPACHUY,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,1,0,0,0,1,0,1
TARIJA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,0,0,0,1,0,1,1
TORO TORO,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,1,1,0,0,1,1,2
TUPIZA,chagas,total tratamientos 5 anos a menores de 15 anos de edad,2015-12-01,1,2,0,0,1,2,3
