,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,0,3,0,3
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,8,7,8,15
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1466,31,1466,31,1497
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,4,1,4,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,11,1,11,1,12
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,8,14,8,22
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,92,30,92,30,122
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,19,18,19,18,37
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,42,19,42,19,61
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,6,9,6,15
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,2,7,2,9
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,20,2,20,22
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,8,0,8,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,38,7,38,7,45
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,8,1,8,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,4,15,4,19
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,6,1,6,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,43,14,43,14,57
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,16,24,16,24,40
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,8,6,8,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,6,3,6,9
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,38,9,38,9,47
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,10,4,10,14
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,2,3,2,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,1,3,1,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,0,5,0,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,8,6,8,14
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,3,4,3,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,2,6,2,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,10,7,10,17
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,7,5,7,12
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,13,17,13,30
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,21,0,21,0,21
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,47,32,47,32,79
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,161,19,161,19,180
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1401,102,1401,102,1503
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,4,6,4,10
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,4,15,4,19
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,5,4,5,9
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,1,3,1,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,66,36,66,36,102
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,0,4,0,4
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,6,1,6,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,3,4,3,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,2,5,2,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,16,3,16,19
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,14,6,14,20
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,22,6,22,6,28
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,26,3,26,3,29
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,8,13,8,13,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,27,5,27,5,32
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,31,29,31,29,60
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,4,9,4,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,2,4,2,6
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,38,8,38,8,46
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,208,3,208,3,211
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,2,1,2,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,8,20,8,20,28
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,1,0,1,1
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,4,0,4,4
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,19,17,19,17,36
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,15,17,15,32
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,13,0,13,13
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,524,12,524,12,536
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,13,6,13,6,19
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,3,10,3,13
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,50,25,50,25,75
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,8,5,8,5,13
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,28,6,28,6,34
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,1,3,1,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,18,4,18,4,22
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,11,0,11,11
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,1,4,1,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,3,14,3,17
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,4,9,4,13
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,6,3,6,9
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,18,15,18,33
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,12,15,12,27
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,1,6,1,7
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,11,2,11,2,13
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,12,12,12,12,24
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,5,7,5,12
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,11,1,11,12
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,23,0,23,0,23
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,8,9,8,17
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,345,16,345,16,361
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,14,1,14,15
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,1,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,19,26,19,26,45
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,15,10,15,25
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,7,7,7,14
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,6,3,6,3,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,4,3,4,7
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,26,17,26,43
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,12,5,12,5,17
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,28,20,28,20,48
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,74,6,74,6,80
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,14,17,14,31
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,36,1,36,1,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,119,4,119,4,123
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,28,0,28,28
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,19,7,19,7,26
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,29,1,29,1,30
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,54,61,54,61,115
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,31,1,31,1,32
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,39,0,39,0,39
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,227,12,227,12,239
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,2,3,2,5
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,15,7,15,7,22
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,14,0,14,14
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,6,9,6,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,14,3,14,17
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,0,7,0,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,17,10,17,27
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,10,5,10,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,7,13,7,13,20
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,64,6,64,6,70
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,14,4,14,4,18
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,36,16,36,16,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,43,12,43,12,55
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,117,25,117,25,142
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,4,2,4,2,6
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,24,0,24,0,24
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,2,9,2,9,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,17,0,17,0,17
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,18,4,18,4,22
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,78,28,78,28,106
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,3,20,3,20,23
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,33,7,33,7,40
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,25,23,25,23,48
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,21,16,21,16,37
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,10,0,10,0,10
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,26,1,26,1,27
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,22,28,22,28,50
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,5,3,5,3,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,2,1,2,3
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,9,0,9,0,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,1,16,1,16,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,20,2,20,2,22
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2013-01-01,28,0,28,0,28
