,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS,ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,5,2,5,2,7
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,4,0,4,0,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,0,4,0,4,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,3,7,3,7,10
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,46,29,46,29,75
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,3,0,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,4,1,4,1,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,4,4,4,4,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,6,0,6,0,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,4,0,4,0,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,2,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,14,2,14,2,16
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,5,0,5,0,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,4,3,4,3,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,31,3,31,3,34
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,2,0,2,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,2,2,2,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,10,0,10,0,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,3,1,3,1,4
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,6,0,6,0,6
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,14,0,14,0,14
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,52,0,52,52
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,6,0,6,0,6
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,1,1,1,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,4,2,4,2,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,6,1,6,1,7
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,3,4,3,4,7
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,3,4,3,4,7
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,3,0,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,55,31,55,31,86
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,5,2,5,2,7
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,9,2,9,2,11
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,9,0,9,0,9
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,4,0,4,0,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,4,0,4,0,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,6,1,6,1,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-03-01,2,2,2,2,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,3,0,3,0,3
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,5,1,5,1,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,22,7,22,7,29
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,8,0,8,0,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,13,0,13,13
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,46,1,46,1,47
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,5,1,5,1,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,14,0,14,0,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,6,1,6,1,7
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,12,2,12,2,14
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,3,0,3,0,3
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,16,3,16,3,19
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,3,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,12,9,12,9,21
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,3,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,4,2,4,2,6
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,6,0,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 3ra dosis,2013-04-01,1,0,1,0,1
