,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,2,10,2,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,20,4,20,4,24
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,24,0,24,0,24
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,19,9,19,9,28
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,0,3,0,3
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,18,0,18,0,18
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,1,4,1,5
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,17,0,17,0,17
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,70,2,70,2,72
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,2,0,2,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,8,0,8,0,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,40,11,40,11,51
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,25,10,25,10,35
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,38,5,38,5,43
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,4,4,4,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,12,0,12,0,12
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,10,2,10,12
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,0,10,0,10
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,9,1,9,10
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,11,0,11,0,11
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,8,0,8,0,8
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,2,3,2,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,21,0,21,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,665,43,665,43,708
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,1,7,1,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,2,2,2,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,0,7,0,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,142,5,142,5,147
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,3,3,3,3,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,4,1,4,5
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,13,0,13,0,13
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,188,48,188,48,236
TARVITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,10,5,10,5,15
TOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,9,2,9,2,11
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,0,5,0,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,6,0,6,0,6
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,5,3,5,3,8
TRIGAL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,43,61,43,61,104
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,0,7,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,9,0,9,0,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,26,0,26,0,26
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,11,7,11,18
VILA VILA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,0,1,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,46,10,46,10,56
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,7,0,7,0,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,19,0,19,0,19
VITICHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,47,1,47,1,48
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,34,2,34,2,36
YOTALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,4,0,4,0,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,3,1,3,4
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-01-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,7,0,7,0,7
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,15,1,15,1,16
ALALAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,3,1,3,1,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,4,34,4,34,38
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,28,33,28,33,61
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,3,1,3,4
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,19,6,19,6,25
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,3,0,3,0,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,7,0,7,0,7
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,1,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,16,0,16,0,16
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,5,0,5,0,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,2,0,2,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,1,1,1,2
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,22,32,22,32,54
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,37,6,37,6,43
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,319,10,319,10,329
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,9,2,9,2,11
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,24,3,24,3,27
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,19,1,19,1,20
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,6,5,6,5,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,14,14,14,14,28
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,9,0,9,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,255,10,255,10,265
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,15,0,15,0,15
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,3,1,3,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,64,4,64,4,68
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,3,5,3,5,8
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,6,10,6,10,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,10,2,10,2,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,13,6,13,6,19
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,4,1,4,5
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,4,2,4,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,5,0,5,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,2,1,2,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,2,1,2,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,4,2,4,2,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,143,4,143,4,147
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,8,2,8,10
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,0,2,0,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,3,0,3,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,4,0,4,0,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,5,2,5,2,7
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,21,0,21,0,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,15,0,15,0,15
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,3,1,3,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,38,4,38,4,42
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,66,0,66,0,66
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,11,3,11,3,14
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,3,0,3,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,6,2,6,2,8
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,143,1,143,1,144
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,6,0,6,0,6
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,12,7,12,7,19
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,6,18,6,18,24
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,10,16,10,16,26
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,3,1,3,4
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,3,0,3,0,3
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,44,40,44,40,84
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,1,12,1,12,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,19,0,19,0,19
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2013-02-01,23,5,23,5,28
