,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS,ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,2,1,2,1,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,5,1,5,1,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,12,1,12,1,13
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,1,4,1,4,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,0,11,0,11,11
TORO TORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,4,0,4,0,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,20,1,20,1,21
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,2,1,2,1,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,2,1,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,26,0,26,0,26
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,12,0,12,0,12
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-01-01,1,6,1,6,7
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,0,4,0,4
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,5,4,5,9
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
AYATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,2,2,2,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,6,4,6,10
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,2,0,2,2
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,3,0,3,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,6,0,6,0,6
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,9,0,9,0,9
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,11,3,11,3,14
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,3,0,3,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,14,21,14,21,35
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,1,3,1,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,11,0,11,0,11
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,184,5,184,5,189
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,3,1,3,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,92,29,92,29,121
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,17,1,17,1,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,2,0,2,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,18,3,18,3,21
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,5,1,5,1,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,9,0,9,0,9
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,55,0,55,0,55
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,2,4,2,6
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,2,0,2,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,3,1,3,4
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,7,0,7,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,7,0,7,0,7
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,4,1,4,5
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,11,0,11,0,11
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,1,4,1,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,1,2,1,3
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,9,0,9,0,9
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,7,1,7,1,8
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,11,0,11,0,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,7,2,7,2,9
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,1,3,1,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,11,3,11,3,14
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,0,3,0,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,20,1,20,1,21
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,6,1,6,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,1,3,1,4
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,8,0,8,0,8
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,7,1,7,1,8
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,0,4,0,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,1,0,1,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,6,3,6,9
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,8,0,8,0,8
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,192,26,192,26,218
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,2,1,2,3
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,4,4,4,4,8
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,18,4,18,4,22
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,8,8,8,8,16
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,38,5,38,5,43
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,3,2,3,5
TARACO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,23,0,23,0,23
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,2,0,2,0,2
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,19,2,19,2,21
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,23,4,23,4,27
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,5,3,5,3,8
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,27,0,27,0,27
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,12,0,12,0,12
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,18,2,18,2,20
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,3,1,3,1,4
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-02-01,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,7,3,7,3,10
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,71,4,71,4,75
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,1,0,1,0,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,5,0,5,5
APOLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,2,0,2,2
ARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,1,0,1,0,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,9,7,9,7,16
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,8,9,8,9,17
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,3,0,3,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,6,0,6,0,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,12,1,12,1,13
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,4,0,4,0,4
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,50,44,50,44,94
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,3,12,3,12,15
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,1,1,1,1,2
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,37,4,37,4,41
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,45,28,45,28,73
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,12,8,12,8,20
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,251,23,251,23,274
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,1,0,1,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,5,0,5,5
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2013-03-01,0,5,0,5,5
