,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,1,8,1,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,7,3,7,10
EL TORNO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,94,32,94,32,126
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,19,18,19,37
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,40,19,40,19,59
ESCOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,5,2,5,7
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,3,7,3,10
EXALTACION,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,20,2,20,22
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,9,0,9,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,33,5,33,5,38
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,9,1,9,10
GUANAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,4,15,4,19
GUAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,6,1,6,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,47,37,47,37,84
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,19,7,19,26
HUACARETA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,9,6,9,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,4,4,4,8
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,41,11,41,11,52
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,10,4,10,14
HUARINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,2,7,2,9
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,1,3,1,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,0,5,0,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,11,4,11,15
ICLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,2,5,2,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,1,7,1,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,10,6,10,16
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,9,2,9,11
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,19,13,19,13,32
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,0,18,0,18
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,44,29,44,29,73
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,158,21,158,21,179
LA PAZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1358,86,1358,86,1444
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,5,6,5,11
LAJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,14,2,14,2,16
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,7,3,7,10
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,1,3,1,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,47,40,47,40,87
LLICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,0,4,0,4
LORETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,20,0,20,20
LURIBAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,3,4,3,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,16,2,16,18
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,14,6,14,20
MAIRANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,20,7,20,7,27
MALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,13,8,13,21
MECAPACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,11,1,11,12
MINEROS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,27,5,27,5,32
MIZQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,33,31,33,31,64
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,2,4,2,6
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,1,3,1,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,37,9,37,9,46
MONTERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,221,3,221,3,224
MORO MORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,2,1,2,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,0,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,4,0,4,4
OCURI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,12,13,12,13,25
OKINAWA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,10,18,10,28
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,13,0,13,13
ORURO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,526,7,526,7,533
PADCAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,4,1,4,5
PADILLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,4,7,4,11
PAILON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,36,22,36,22,58
PALCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,6,5,6,11
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,36,8,36,8,44
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,5,3,5,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,16,4,16,4,20
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,10,0,10,10
PASORAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,1,4,1,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,38,2,38,2,40
PAZÑA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,4,8,4,12
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,3,0,3,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,12,3,12,15
POCONA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,22,9,22,31
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,4,1,4,5
POOPO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,10,1,10,1,11
PORCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,19,9,19,9,28
POROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,3,3,3,6
PORONGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,11,5,11,16
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,22,0,22,0,22
PORVENIR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,7,5,7,12
POTOSI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,361,16,361,16,377
PRESTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,19,1,19,20
PUCARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,1,2,1,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,25,26,25,26,51
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,10,15,10,15,25
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,6,7,6,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,3,6,3,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,4,3,4,7
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,27,15,27,42
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,6,18,6,24
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,24,33,24,33,57
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,67,10,67,10,77
PUNA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,14,18,14,18,32
PUNATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,7,3,7,3,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,174,5,174,5,179
QUIME,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,29,0,29,29
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,17,9,17,9,26
REYES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,0,6,0,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,82,63,82,63,145
ROBORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,0,6,0,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,28,0,28,0,28
SABAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,222,16,222,16,238
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,6,2,6,2,8
SACACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,10,15,10,25
SAIPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,13,0,13,13
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,8,8,8,8,16
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,14,3,14,17
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,12,17,12,17,29
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,10,5,10,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,13,9,13,22
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,64,21,64,21,85
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,0,15,0,15
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,26,18,26,18,44
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,33,14,33,14,47
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,119,24,119,24,143
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,2,4,2,6
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,24,0,24,0,24
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,9,2,9,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,20,0,20,0,20
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,18,4,18,4,22
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,75,33,75,33,108
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,13,2,13,15
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,0,4,0,4
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,10,32,10,32,42
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,21,18,21,18,39
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,10,0,10,0,10
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,13,5,13,5,18
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,21,24,21,24,45
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,3,3,3,3,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,2,0,2,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,0,9,0,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,1,16,1,16,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,21,0,21,0,21
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,27,1,27,1,28
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2769,111,2769,111,2880
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,1,5,1,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,9,24,9,24,33
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,4,4,4,8
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,5,0,5,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,5,0,5,0,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,1,4,1,5
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,4,6,4,6,10
SENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,2,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,27,4,27,4,31
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,15,12,15,12,27
SICAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2013-01-01,0,3,0,3,3
