,group,variable,month,DPT 4TA DOSIS,DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,8,0,8,0,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,41,11,41,11,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,25,10,25,10,35
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,4,5,4,5,9
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,0,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,4,4,4,4,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,12,0,12,0,12
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,10,2,10,12
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,10,0,10,0,10
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,1,9,1,9,10
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,11,0,11,0,11
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,8,0,8,0,8
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,3,2,3,2,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,21,0,21,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,409,17,409,17,426
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,7,1,7,1,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,7,0,7,0,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,142,5,142,5,147
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,3,3,3,3,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,1,2,1,2,3
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,12,0,12,0,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,166,10,166,10,176
TARVITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,10,5,10,5,15
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,3,0,3,0,3
TOLATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,0,2,0,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,6,0,6,0,6
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,5,3,5,3,8
TRIGAL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,42,31,42,31,73
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,9,0,9,0,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,0,1,0,1,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,26,0,26,0,26
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,7,1,7,1,8
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,51,10,51,10,61
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,7,0,7,0,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,19,0,19,0,19
VITICHI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,47,1,47,1,48
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,11,2,11,2,13
YOTALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,4,0,4,0,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,1,3,1,3,4
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-01-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,15,1,15,1,16
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,1,3,1,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,4,10,4,10,14
ARBIETO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,18,10,18,10,28
ARQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,26,13,26,13,39
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,0,3,0,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,7,0,7,0,7
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,16,0,16,0,16
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,5,0,5,0,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,2,0,2,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,1,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,21,31,21,31,52
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,38,6,38,6,44
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,290,0,290,0,290
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,25,3,25,3,28
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,19,1,19,1,20
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,5,6,5,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,14,14,14,14,28
CUEVO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,5,0,5,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,252,10,252,10,262
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,15,0,15,0,15
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,64,4,64,4,68
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,5,3,5,8
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,10,6,10,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,10,2,10,2,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,10,5,10,5,15
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,4,1,4,5
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,4,2,4,6
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,5,0,5,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,2,0,2,2
ICLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,3,1,3,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,2,1,2,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,4,2,4,2,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,132,4,132,4,136
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,8,2,8,10
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,4,0,4,0,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,5,2,5,2,7
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,21,0,21,0,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,15,0,15,0,15
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,3,0,3,3
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,38,4,38,4,42
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,66,0,66,0,66
MORO MORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,11,3,11,3,14
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,3,0,3,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,2,6,2,8
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,143,1,143,1,144
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,0,6,0,6
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,12,7,12,7,19
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,18,6,18,24
PAZÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,6,15,6,15,21
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,3,1,3,4
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,0,3,0,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,51,1,51,1,52
PRESTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,2,1,2,3
PUCARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,1,1,1,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,19,0,19,0,19
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,23,5,23,5,28
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,21,0,21,0,21
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,40,9,40,9,49
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,18,0,18,0,18
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,12,1,12,1,13
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,11,0,11,0,11
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,63,10,63,10,73
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,2,2,2,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,4,1,4,5
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,2,3,2,3,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,37,1,37,1,38
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,27,0,27,0,27
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,7,3,7,10
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,8,0,8,0,8
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,8,1,8,9
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,11,3,11,3,14
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,1,7,1,7,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,17,8,17,8,25
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,14,1,14,1,15
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,3,22,3,22,25
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,25,0,25,0,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,374,44,374,44,418
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,7,0,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2013-02-01,9,4,9,4,13
