municipality,group,variable,month,Número de Muestras hemáticas tomadas,TOTAL
SOPACHUY,malaria,numero de muestras hematicas tomadas,2007-02-01,9,9
SUCRE,malaria,numero de muestras hematicas tomadas,2007-02-01,2,2
TEOPONTE,malaria,numero de muestras hematicas tomadas,2007-02-01,44,44
TIRAQUE (CBBA),malaria,numero de muestras hematicas tomadas,2007-02-01,24,24
TOMINA,malaria,numero de muestras hematicas tomadas,2007-02-01,1,1
TORO TORO,malaria,numero de muestras hematicas tomadas,2007-02-01,5,5
TOTORA(CBBA),malaria,numero de muestras hematicas tomadas,2007-02-01,3,3
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2007-02-01,6,6
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2007-02-01,225,225
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2007-02-01,129,129
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2007-02-01,477,477
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2007-02-01,5,5
YACUIBA,malaria,numero de muestras hematicas tomadas,2007-02-01,112,112
AIQUILE,malaria,numero de muestras hematicas tomadas,2007-03-01,7,7
APOLO,malaria,numero de muestras hematicas tomadas,2007-03-01,49,49
AZURDUY,malaria,numero de muestras hematicas tomadas,2007-03-01,11,11
BAURES,malaria,numero de muestras hematicas tomadas,2007-03-01,123,123
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2007-03-01,97,97
BERMEJO,malaria,numero de muestras hematicas tomadas,2007-03-01,295,295
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2007-03-01,5,5
CABEZAS,malaria,numero de muestras hematicas tomadas,2007-03-01,41,41
CAMARGO,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
CAMIRI,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
CARANAVI,malaria,numero de muestras hematicas tomadas,2007-03-01,72,72
CARAPARI,malaria,numero de muestras hematicas tomadas,2007-03-01,680,680
COBIJA,malaria,numero de muestras hematicas tomadas,2007-03-01,231,231
COLOMI,malaria,numero de muestras hematicas tomadas,2007-03-01,4,4
CONCEPCION,malaria,numero de muestras hematicas tomadas,2007-03-01,23,23
COTOCA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
CULPINA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2007-03-01,190,190
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-03-01,284,284
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2007-03-01,201,201
EXALTACION,malaria,numero de muestras hematicas tomadas,2007-03-01,4,4
FILADELFIA,malaria,numero de muestras hematicas tomadas,2007-03-01,42,42
GUANAY,malaria,numero de muestras hematicas tomadas,2007-03-01,85,85
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2007-03-01,2183,2183
HUACARETA,malaria,numero de muestras hematicas tomadas,2007-03-01,44,44
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2007-03-01,128,128
IRUPANA (VILLA DE LANZA),malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
IXIAMAS,malaria,numero de muestras hematicas tomadas,2007-03-01,10,10
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2007-03-01,137,137
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2007-03-01,27,27
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2007-03-01,2,2
MACHARETI,malaria,numero de muestras hematicas tomadas,2007-03-01,5,5
MAGDALENA,malaria,numero de muestras hematicas tomadas,2007-03-01,73,73
MAIRANA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
MAPIRI,malaria,numero de muestras hematicas tomadas,2007-03-01,98,98
MIZQUE,malaria,numero de muestras hematicas tomadas,2007-03-01,6,6
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2007-03-01,243,243
MOROCHATA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2007-03-01,150,150
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2007-03-01,200,200
OMEREQUE,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
PADCAYA,malaria,numero de muestras hematicas tomadas,2007-03-01,29,29
PADILLA,malaria,numero de muestras hematicas tomadas,2007-03-01,4,4
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2007-03-01,47,47
PAMPA GRANDE,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
POCONA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2007-03-01,26,26
PORONGO,malaria,numero de muestras hematicas tomadas,2007-03-01,74,74
PORVENIR,malaria,numero de muestras hematicas tomadas,2007-03-01,242,242
PRESTO,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2007-03-01,113,113
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2007-03-01,385,385
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
REYES,malaria,numero de muestras hematicas tomadas,2007-03-01,30,30
RIBERALTA,malaria,numero de muestras hematicas tomadas,2007-03-01,4524,4524
SAN BORJA,malaria,numero de muestras hematicas tomadas,2007-03-01,10,10
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-03-01,39,39
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2007-03-01,325,325
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2007-03-01,2,2
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2007-03-01,30,30
SAN RAFAEL,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
SANTA ANA,malaria,numero de muestras hematicas tomadas,2007-03-01,3,3
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2007-03-01,6,6
SENA,malaria,numero de muestras hematicas tomadas,2007-03-01,544,544
SOPACHUY,malaria,numero de muestras hematicas tomadas,2007-03-01,4,4
TARVITA,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
TEOPONTE,malaria,numero de muestras hematicas tomadas,2007-03-01,39,39
TIRAQUE (CBBA),malaria,numero de muestras hematicas tomadas,2007-03-01,2,2
TOMINA,malaria,numero de muestras hematicas tomadas,2007-03-01,4,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2007-03-01,75,75
TOTORA(CBBA),malaria,numero de muestras hematicas tomadas,2007-03-01,12,12
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2007-03-01,1,1
VILA VILA,malaria,numero de muestras hematicas tomadas,2007-03-01,3,3
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2007-03-01,9,9
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2007-03-01,70,70
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2007-03-01,14,14
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2007-03-01,37,37
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2007-03-01,132,132
YACUIBA,malaria,numero de muestras hematicas tomadas,2007-03-01,116,116
ACACIO,malaria,numero de muestras hematicas tomadas,2007-04-01,21,21
AIQUILE,malaria,numero de muestras hematicas tomadas,2007-04-01,40,40
ALCALA,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
APOLO,malaria,numero de muestras hematicas tomadas,2007-04-01,35,35
AZURDUY,malaria,numero de muestras hematicas tomadas,2007-04-01,11,11
BAURES,malaria,numero de muestras hematicas tomadas,2007-04-01,152,152
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2007-04-01,79,79
BERMEJO,malaria,numero de muestras hematicas tomadas,2007-04-01,174,174
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
CARANAVI,malaria,numero de muestras hematicas tomadas,2007-04-01,30,30
CARAPARI,malaria,numero de muestras hematicas tomadas,2007-04-01,847,847
COBIJA,malaria,numero de muestras hematicas tomadas,2007-04-01,260,260
COCHABAMBA,malaria,numero de muestras hematicas tomadas,2007-04-01,25,25
COLOMI,malaria,numero de muestras hematicas tomadas,2007-04-01,2,2
CULPINA,malaria,numero de muestras hematicas tomadas,2007-04-01,12,12
EL TORNO,malaria,numero de muestras hematicas tomadas,2007-04-01,63,63
EL VILLAR,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-04-01,183,183
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2007-04-01,132,132
FILADELFIA,malaria,numero de muestras hematicas tomadas,2007-04-01,63,63
GUANAY,malaria,numero de muestras hematicas tomadas,2007-04-01,54,54
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2007-04-01,2188,2188
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
HUACARETA,malaria,numero de muestras hematicas tomadas,2007-04-01,22,22
HUARACAJE,malaria,numero de muestras hematicas tomadas,2007-04-01,21,21
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2007-04-01,49,49
IXIAMAS,malaria,numero de muestras hematicas tomadas,2007-04-01,9,9
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2007-04-01,26,26
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2007-04-01,6,6
LA PAZ,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
MAGDALENA,malaria,numero de muestras hematicas tomadas,2007-04-01,189,189
MAPIRI,malaria,numero de muestras hematicas tomadas,2007-04-01,65,65
MIZQUE,malaria,numero de muestras hematicas tomadas,2007-04-01,4,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2007-04-01,56,56
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2007-04-01,77,77
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2007-04-01,128,128
OCURI,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
OMEREQUE,malaria,numero de muestras hematicas tomadas,2007-04-01,13,13
PADCAYA,malaria,numero de muestras hematicas tomadas,2007-04-01,200,200
PADILLA,malaria,numero de muestras hematicas tomadas,2007-04-01,7,7
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2007-04-01,30,30
PAMPA GRANDE,malaria,numero de muestras hematicas tomadas,2007-04-01,2,2
POROMA,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
PORONGO,malaria,numero de muestras hematicas tomadas,2007-04-01,47,47
PORVENIR,malaria,numero de muestras hematicas tomadas,2007-04-01,169,169
PRESTO,malaria,numero de muestras hematicas tomadas,2007-04-01,4,4
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2007-04-01,45,45
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2007-04-01,241,241
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
PUNA,malaria,numero de muestras hematicas tomadas,2007-04-01,4,4
RAVELO,malaria,numero de muestras hematicas tomadas,2007-04-01,32,32
REYES,malaria,numero de muestras hematicas tomadas,2007-04-01,10,10
RIBERALTA,malaria,numero de muestras hematicas tomadas,2007-04-01,3990,3990
SAIPINA,malaria,numero de muestras hematicas tomadas,2007-04-01,66,66
SAMAIPATA,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
SAN BORJA,malaria,numero de muestras hematicas tomadas,2007-04-01,3,3
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2007-04-01,7,7
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-04-01,82,82
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2007-04-01,13,13
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2007-04-01,348,348
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2007-04-01,11,11
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-04-01,1,1
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2007-04-01,226,226
SANTA ANA,malaria,numero de muestras hematicas tomadas,2007-04-01,3,3
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2007-04-01,6,6
SENA,malaria,numero de muestras hematicas tomadas,2007-04-01,320,320
SOPACHUY,malaria,numero de muestras hematicas tomadas,2007-04-01,6,6
SUCRE,malaria,numero de muestras hematicas tomadas,2007-04-01,2,2
TARVITA,malaria,numero de muestras hematicas tomadas,2007-04-01,3,3
TEOPONTE,malaria,numero de muestras hematicas tomadas,2007-04-01,77,77
TORO TORO,malaria,numero de muestras hematicas tomadas,2007-04-01,16,16
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2007-04-01,235,235
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2007-04-01,24,24
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2007-04-01,52,52
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2007-04-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2007-04-01,43,43
YACUIBA,malaria,numero de muestras hematicas tomadas,2007-04-01,143,143
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2007-04-01,8,8
ACACIO,malaria,numero de muestras hematicas tomadas,2007-05-01,38,38
AIQUILE,malaria,numero de muestras hematicas tomadas,2007-05-01,6,6
APOLO,malaria,numero de muestras hematicas tomadas,2007-05-01,37,37
AZURDUY,malaria,numero de muestras hematicas tomadas,2007-05-01,10,10
BAURES,malaria,numero de muestras hematicas tomadas,2007-05-01,123,123
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2007-05-01,123,123
BERMEJO,malaria,numero de muestras hematicas tomadas,2007-05-01,50,50
CABEZAS,malaria,numero de muestras hematicas tomadas,2007-05-01,2,2
CAMIRI,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
CARANAVI,malaria,numero de muestras hematicas tomadas,2007-05-01,36,36
CARAPARI,malaria,numero de muestras hematicas tomadas,2007-05-01,875,875
CARMEN RIVERO TORREZ,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
COBIJA,malaria,numero de muestras hematicas tomadas,2007-05-01,165,165
COCHABAMBA,malaria,numero de muestras hematicas tomadas,2007-05-01,23,23
CULPINA,malaria,numero de muestras hematicas tomadas,2007-05-01,8,8
EL TORNO,malaria,numero de muestras hematicas tomadas,2007-05-01,49,49
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-05-01,444,444
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2007-05-01,172,172
FILADELFIA,malaria,numero de muestras hematicas tomadas,2007-05-01,51,51
GUANAY,malaria,numero de muestras hematicas tomadas,2007-05-01,46,46
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2007-05-01,1820,1820
HUACARETA,malaria,numero de muestras hematicas tomadas,2007-05-01,32,32
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2007-05-01,35,35
IXIAMAS,malaria,numero de muestras hematicas tomadas,2007-05-01,15,15
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2007-05-01,27,27
LA PAZ,malaria,numero de muestras hematicas tomadas,2007-05-01,70,70
MACHARETI,malaria,numero de muestras hematicas tomadas,2007-05-01,3,3
MAGDALENA,malaria,numero de muestras hematicas tomadas,2007-05-01,110,110
MAPIRI,malaria,numero de muestras hematicas tomadas,2007-05-01,154,154
MIZQUE,malaria,numero de muestras hematicas tomadas,2007-05-01,23,23
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2007-05-01,66,66
MOROCHATA,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2007-05-01,201,201
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2007-05-01,236,236
PADCAYA,malaria,numero de muestras hematicas tomadas,2007-05-01,34,34
PADILLA,malaria,numero de muestras hematicas tomadas,2007-05-01,4,4
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2007-05-01,11,11
PAMPA GRANDE,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2007-05-01,45,45
PORONGO,malaria,numero de muestras hematicas tomadas,2007-05-01,12,12
PORVENIR,malaria,numero de muestras hematicas tomadas,2007-05-01,115,115
PRESTO,malaria,numero de muestras hematicas tomadas,2007-05-01,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2007-05-01,77,77
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2007-05-01,510,510
PUNA,malaria,numero de muestras hematicas tomadas,2007-05-01,2,2
REYES,malaria,numero de muestras hematicas tomadas,2007-05-01,4,4
RIBERALTA,malaria,numero de muestras hematicas tomadas,2007-05-01,3562,3562
SAIPINA,malaria,numero de muestras hematicas tomadas,2007-05-01,31,31
SAN BORJA,malaria,numero de muestras hematicas tomadas,2007-05-01,2,2
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2007-05-01,4,4
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2007-05-01,16,16
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2007-05-01,2,2
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2007-05-01,309,309
