municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-03-01,4,4
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2007-03-01,7,7
OMEREQUE,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-03-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2007-03-01,4,4
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-03-01,5,5
POCONA,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2007-03-01,26,26
PORONGO,malaria,tratamientos iniciados por sospecha,2007-03-01,2,2
PORVENIR,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
PRESTO,malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
REYES,malaria,tratamientos iniciados por sospecha,2007-03-01,14,14
SAN PEDRO(PND),malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-03-01,5,5
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-03-01,2,2
TOMINA,malaria,tratamientos iniciados por sospecha,2007-03-01,4,4
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-03-01,24,24
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-03-01,12,12
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-03-01,6,6
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-03-01,37,37
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados por sospecha,2007-03-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-03-01,9,9
ACACIO,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
AIQUILE,malaria,tratamientos iniciados por sospecha,2007-04-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-04-01,9,9
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-04-01,13,13
CAMIRI,malaria,tratamientos iniciados por sospecha,2007-04-01,2,2
COLOMI,malaria,tratamientos iniciados por sospecha,2007-04-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2007-04-01,12,12
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-04-01,11,11
GUANAY,malaria,tratamientos iniciados por sospecha,2007-04-01,13,13
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-04-01,10,10
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-04-01,10,10
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-04-01,7,7
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-04-01,15,15
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-04-01,36,36
OMEREQUE,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2007-04-01,4,4
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-04-01,7,7
POROMA,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2007-04-01,12,12
PRESTO,malaria,tratamientos iniciados por sospecha,2007-04-01,4,4
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2007-04-01,3,3
SAMAIPATA,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-04-01,18,18
SAN JOAQUIN,malaria,tratamientos iniciados por sospecha,2007-04-01,4,4
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-04-01,6,6
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
SANTA ANA,malaria,tratamientos iniciados por sospecha,2007-04-01,6,6
SUCRE,malaria,tratamientos iniciados por sospecha,2007-04-01,2,2
TARABUCO,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
TARVITA,malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-04-01,10,10
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-04-01,13,13
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-04-01,5,5
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-04-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados por sospecha,2007-04-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-04-01,150,150
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-05-01,7,7
CULPINA,malaria,tratamientos iniciados por sospecha,2007-05-01,8,8
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-05-01,7,7
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2007-05-01,11,11
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-05-01,12,12
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-05-01,17,17
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
LA PAZ,malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
MACHARETI,malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-05-01,28,28
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-05-01,5,5
POROMA,malaria,tratamientos iniciados por sospecha,2007-05-01,24,24
PORONGO,malaria,tratamientos iniciados por sospecha,2007-05-01,6,6
PRESTO,malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
PUNA,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
REYES,malaria,tratamientos iniciados por sospecha,2007-05-01,8,8
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
SUCRE,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-05-01,7,7
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
TOMINA,malaria,tratamientos iniciados por sospecha,2007-05-01,2,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-05-01,4,4
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-05-01,3,3
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-05-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados por sospecha,2007-05-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-05-01,11,11
AIQUILE,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
ANZALDO,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
CARANAVI,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2007-06-01,11,11
CULPINA,malaria,tratamientos iniciados por sospecha,2007-06-01,12,12
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
GUANAY,malaria,tratamientos iniciados por sospecha,2007-06-01,9,9
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-06-01,7,7
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-06-01,14,14
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-06-01,3,3
PADILLA,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2007-06-01,5,5
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2007-06-01,4,4
POROMA,malaria,tratamientos iniciados por sospecha,2007-06-01,3,3
PRESTO,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
REYES,malaria,tratamientos iniciados por sospecha,2007-06-01,10,10
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-06-01,2,2
TOMINA,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-06-01,4,4
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-06-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-06-01,25,25
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-06-01,4,4
AIQUILE,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
ALCALA,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
ANZALDO,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
CULPINA,malaria,tratamientos iniciados por sospecha,2007-07-01,3,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-07-01,9,9
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
GUANAY,malaria,tratamientos iniciados por sospecha,2007-07-01,9,9
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-07-01,5,5
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
HUACAYA (VILLA DE HUACAYA),malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
MAGDALENA,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-07-01,21,21
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-07-01,2,2
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
POCONA,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2007-07-01,16,16
PORONGO,malaria,tratamientos iniciados por sospecha,2007-07-01,3,3
REYES,malaria,tratamientos iniciados por sospecha,2007-07-01,12,12
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-07-01,4,4
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-07-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-07-01,2,2
SAN RAFAEL,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-07-01,5,5
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
TOMINA,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-07-01,3,3
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
VILA VILA,malaria,tratamientos iniciados por sospecha,2007-07-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-07-01,10,10
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-07-01,5,5
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-08-01,5,5
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2007-08-01,6,6
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
EL VILLAR,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2007-08-01,21,21
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-08-01,4,4
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-08-01,4,4
HUACAYA (VILLA DE HUACAYA),malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
INCAHUASI,malaria,tratamientos iniciados por sospecha,2007-08-01,5,5
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-08-01,3,3
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-08-01,12,12
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
MAGDALENA,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-08-01,18,18
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
OMEREQUE,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
PASORAPA,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2007-08-01,99,99
PORONGO,malaria,tratamientos iniciados por sospecha,2007-08-01,4,4
PORTACHUELO,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
PUERTO GONZALO MORENO,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2007-08-01,5,5
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-08-01,7,7
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-08-01,20,20
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-08-01,3,3
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-08-01,3,3
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
VILA VILA,malaria,tratamientos iniciados por sospecha,2007-08-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-08-01,2,2
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-08-01,10,10
APOLO,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-09-01,5,5
GUANAY,malaria,tratamientos iniciados por sospecha,2007-09-01,4,4
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-09-01,3,3
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-09-01,5,5
ICLA,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
INCAHUASI,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-09-01,12,12
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
MAGDALENA,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2007-09-01,4,4
PUERTO GONZALO MORENO,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-09-01,7,7
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2007-09-01,4,4
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-09-01,8,8
SAN PEDRO,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-09-01,15,15
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-09-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-09-01,4,4
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-09-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-09-01,30,30
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-09-01,11,11
APOLO,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-10-01,2,2
CABEZAS,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-10-01,2,2
FILADELFIA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-10-01,2,2
INCAHUASI,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
INGAVI (HUMAITA),malaria,tratamientos iniciados por sospecha,2007-10-01,5,5
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-10-01,9,9
LA PAZ,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2007-10-01,7,7
MAGDALENA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-10-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-10-01,18,18
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-10-01,5,5
PADILLA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2007-10-01,6,6
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2007-10-01,3,3
PRESTO,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
SAN BORJA,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-10-01,4,4
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-10-01,8,8
SUCRE,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-10-01,7,7
TORO TORO,malaria,tratamientos iniciados por sospecha,2007-10-01,2,2
TOTORA(CBBA),malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2007-10-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2007-10-01,16,16
YACUIBA,malaria,tratamientos iniciados por sospecha,2007-10-01,12,12
ALCALA,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2007-11-01,3,3
BERMEJO,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-11-01,10,10
CARANAVI,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
CARAPARI,malaria,tratamientos iniciados por sospecha,2007-11-01,3,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2007-11-01,11,11
GUANAY,malaria,tratamientos iniciados por sospecha,2007-11-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2007-11-01,5,5
INCAHUASI,malaria,tratamientos iniciados por sospecha,2007-11-01,5,5
IXIAMAS,malaria,tratamientos iniciados por sospecha,2007-11-01,8,8
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2007-11-01,3,3
MAPIRI,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2007-11-01,3,3
PORONGO,malaria,tratamientos iniciados por sospecha,2007-11-01,14,14
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2007-11-01,11,11
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2007-11-01,4,4
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2007-11-01,1,1
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2007-11-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2007-11-01,5,5
