,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,0,1,0,0,0,1,1
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,0,0,2,0,2,0,2
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,1,0,0,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-02-01,1,1,0,0,1,1,2
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,1,0,1,0,1
CAMARGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,1,1,0,1,1,2
MORO MORO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,1,0,0,0,1,0,1
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,0,1,0,1,1
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,1,0,0,0,1,0,1
QUIRUSILLAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,1,0,2,0,3,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,0,0,0,0,0
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,0,1,0,1,1
TACOBAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,0,1,0,1,1
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,2,0,0,0,2,0,2
TORO TORO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-03-01,0,0,1,0,1,0,1
CAMARGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,0,0,0,1,0,1,1
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,0,2,0,0,0,2,2
MACHARETI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,1,0,0,0,1,0,1
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,1,1,0,0,1,1,2
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,2,0,0,0,2,0,2
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-04-01,0,1,0,0,0,1,1
"CAIZA ""D""",chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,1,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,2,0,0,0,2,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,1,0,0,0,1,1
QUIRUSILLAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,1,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,2,0,0,0,2,0,2
SOPACHUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,0,0,2,3,2,3,5
VITICHI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-05-01,2,3,0,0,2,3,5
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,1,4,0,0,1,4,5
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,2,0,0,0,2,0,2
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,2,0,0,0,2,2
PADCAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,0,1,0,1,1
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,1,0,0,0,1,1
PUNA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,1,1,1,1,2
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,0,0,0,0,0
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,1,0,0,0,1,1
TORO TORO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,1,0,1,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,1,0,1,0,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,1,0,0,0,1,0,1
VITICHI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-06-01,0,0,3,6,3,6,9
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,1,0,0,0,1,0,1
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,1,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,0,0,0,2,0,2,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,1,1,0,0,1,1,2
MORO MORO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,0,0,1,0,1,0,1
OMEREQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,1,0,0,0,1,0,1
TARATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-07-01,0,1,0,0,0,1,1
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,0,4,0,4,4
"CAIZA ""D""",chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,1,0,1,0,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,1,0,1,0,2,0,2
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,2,0,2,0,2
IXIAMAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,2,0,0,0,2,0,2
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,1,0,0,0,1,1
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,1,1,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,1,0,1,0,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,0,1,0,1,1
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,0,0,1,0,1,1
VILLA CHARCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,0,6,0,2,0,8,8
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-08-01,1,0,0,0,1,0,1
BETANZOS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,0,0,1,0,1,0,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,1,0,1,0,2,0,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,2,0,0,0,2,0,2
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,0,0,0,1,0,1,1
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,1,0,0,0,1,0,1
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,11,10,0,1,11,11,22
SAN BORJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,0,0,0,1,0,1,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,1,1,0,0,1,1,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-09-01,2,4,0,0,2,4,6
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,1,0,0,0,1,0,1
COROICO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,2,1,0,0,2,1,3
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,1,1,0,0,1,1,2
OMEREQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,0,1,0,0,0,1,1
QUILLACOLLO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,4,2,0,0,4,2,6
SAN LUCAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,0,1,0,0,0,1,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,3,0,0,0,3,0,3
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,1,1,0,0,1,1,2
VILLAZON,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-10-01,1,0,0,0,1,0,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,1,1,2,1,3,4
OMEREQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,0,1,0,1,0,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,1,1,0,0,1,1,2
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-11-01,0,0,2,0,2,0,2
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,0,1,0,0,0,1,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,0,0,0,1,0,1,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,1,0,0,0,1,0,1
VILLAZON,chagas,tratamientos 1 ano a menores de 5 anos de edad,2010-12-01,0,0,1,0,1,0,1
