,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,0,0,1,0,2,4,5,13,0,0,0,0,0,0,25
PUERTO SUAREZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,1,0,1,0,0,0,0,4,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,4,2,0,0,0,0,2,1,0,0,0,0,0,0,9
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-02-01,1,0,0,1,0,0,3,6,1,1,0,0,0,0,13
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,1,0,1,1,0,1,0,12,0,0,0,0,0,0,16
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,0,0,0,0,0,0,2,3,1,0,0,0,0,0,6
VILLA SERRANO,atencion odontologica,trat. de fracturas dentoalveolares,2021-03-01,56,56,2,10,4,4,8,72,10,8,0,0,0,0,230
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,1,0,3,2,0,0,0,8,0,0,0,0,0,0,14
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,3,9,3,4,4,0,6,10,0,2,0,0,0,0,41
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,0,0,0,2,0,0,8,17,1,2,0,0,0,0,30
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,6,3,3,0,0,0,0,0,4,0,0,0,0,0,16
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,1,0,0,2,0,0,4,12,0,4,0,0,0,0,23
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2021-04-01,0,0,4,2,0,0,1,2,0,0,0,0,0,0,9
ASCENCION DE GUARAYOS,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
CAPINOTA,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COTAGAITA,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,2,2,2,0,0,3,14,15,3,1,0,0,0,0,42
MONTEAGUDO,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,2,0,0,1,8,18,0,0,0,0,0,0,29
POOPO,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,1,0,0,1,2,2,1,1,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,7,0,0,0,0,0,0,2,0,0,0,0,9
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,0,0,0,0,1,9,0,0,0,0,0,0,10
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
URIONDO (A. CONCEPCION),atencion odontologica,trat. de fracturas dentoalveolares,2021-05-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
CHALLAPATA,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,21,19,10,28,0,0,0,0,0,0,0,0,0,0,78
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,0,1,0,0,2,0,11,1,0,0,0,0,0,15
PORONGO,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,2,2,2,2,2,2,0,0,0,0,0,0,0,0,12
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,6,2,0,0,0,3,2,0,0,0,0,0,0,13
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,0,0,1,1,1,5,3,1,0,0,0,0,0,12
WARNES,atencion odontologica,trat. de fracturas dentoalveolares,2021-06-01,0,0,0,3,5,0,12,10,13,0,0,0,0,0,43
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,0,0,2,6,16,0,0,0,0,0,0,24
PADILLA,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5
PORCO,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,1,0,4,0,7,0,0,0,0,0,0,12
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,2,1,0,0,2,1,7,7,6,0,0,0,0,0,26
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
UNCIA,atencion odontologica,trat. de fracturas dentoalveolares,2021-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,1,0,1,2,0,0,1,2,1,0,0,0,0,0,8
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,3,2,1,2,3,2,24,39,1,2,0,0,0,0,79
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,0,1,0,0,0,6,14,1,0,0,0,0,0,22
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,3,0,3,0,0,0,10,6,2,0,0,0,0,0,24
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,1,0,0,0,0,16,12,4,2,0,0,0,0,35
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
UYUNI,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,0,0,4,0,0,4,6,5,2,0,0,0,0,21
VILLA MONTES,atencion odontologica,trat. de fracturas dentoalveolares,2021-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,0,0,0,0,0,6,32,1,1,0,0,0,0,40
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,0,0,0,0,0,9,11,1,0,0,0,0,0,21
PATACAMAYA,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PORCO,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,1,0,0,4,0,9,0,23,0,0,0,0,0,0,37
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,1,3,13,0,0,0,4,17,3,6,0,0,0,0,47
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,2,3,1,1,0,8,18,0,4,0,0,0,0,37
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2021-09-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-10-01,1,0,4,4,0,1,15,20,0,0,0,0,0,0,45
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-10-01,0,0,0,0,0,0,12,13,2,0,0,0,0,0,27
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-10-01,0,0,0,0,0,0,5,13,5,6,0,0,0,0,29
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-10-01,1,2,0,0,1,1,18,22,0,0,0,0,0,0,45
CAMARGO,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,2,14,6,0,1,19,10,2,1,0,0,0,0,55
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,0,0,0,0,0,8,12,1,0,0,0,0,0,21
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,0,2,2,0,0,4,5,0,0,0,0,0,0,13
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-11-01,0,0,0,1,2,0,5,9,1,0,0,0,0,0,18
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,0,2,6,0,0,0,4,1,0,0,0,0,0,13
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,1,1,1,6,0,0,0,0,0,0,0,0,0,9
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,3,1,3,10,4,0,12,17,5,3,0,0,0,0,58
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,0,0,0,0,1,2,7,1,0,0,0,0,0,11
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,0,1,1,0,1,1,3,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,0,3,3,0,0,2,4,0,0,0,0,0,0,12
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2021-12-01,0,0,1,1,0,0,7,10,0,0,0,0,0,0,19
