,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
ARANI,atencion odontologica,primera consulta,2021-01-01,8,5,9,11,6,10,11,31,0,5,0,0,0,0,96
ARBIETO,atencion odontologica,primera consulta,2021-01-01,23,22,46,42,12,21,20,61,8,7,0,2,0,2,266
ARQUE,atencion odontologica,primera consulta,2021-01-01,7,5,15,16,10,16,24,37,6,11,0,11,0,1,159
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2021-01-01,30,44,37,33,2,13,4,49,3,3,0,14,0,2,234
ATOCHA,atencion odontologica,primera consulta,2021-01-01,14,13,34,49,17,25,66,75,6,4,0,5,0,0,308
AUCAPATA,atencion odontologica,primera consulta,2021-01-01,1,1,0,4,5,5,12,16,0,0,0,1,0,0,45
AYATA,atencion odontologica,primera consulta,2021-01-01,9,18,16,14,11,22,28,50,12,19,0,5,0,3,207
AYO AYO,atencion odontologica,primera consulta,2021-01-01,3,3,4,7,12,11,3,14,6,3,0,0,0,0,66
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2021-01-01,10,12,24,24,6,16,16,45,6,7,0,6,0,5,177
AZURDUY,atencion odontologica,primera consulta,2021-01-01,2,2,8,5,7,9,8,52,2,3,0,14,0,0,112
BATALLAS,atencion odontologica,primera consulta,2021-01-01,3,3,5,9,6,5,9,28,6,11,0,3,0,10,98
BAURES,atencion odontologica,primera consulta,2021-01-01,1,0,0,0,1,1,3,5,0,1,0,2,0,0,14
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2021-01-01,1,3,1,0,0,1,2,4,1,0,0,0,0,0,13
BELEN DE URMIRI,atencion odontologica,primera consulta,2021-01-01,4,7,2,12,0,2,11,11,4,1,0,3,0,1,58
BELLA FLOR,atencion odontologica,primera consulta,2021-01-01,0,0,0,1,0,5,0,6,0,0,0,5,0,0,17
BERMEJO,atencion odontologica,primera consulta,2021-01-01,4,5,13,11,5,8,26,50,6,2,0,1,0,0,131
BETANZOS,atencion odontologica,primera consulta,2021-01-01,35,37,46,59,21,46,43,129,20,20,0,26,0,4,486
BOLIVAR,atencion odontologica,primera consulta,2021-01-01,1,5,6,7,7,9,11,13,4,6,0,0,0,1,70
BOLPEBRA,atencion odontologica,primera consulta,2021-01-01,0,0,1,2,0,3,0,1,0,0,0,0,0,1,8
BOYUIBE,atencion odontologica,primera consulta,2021-01-01,1,2,8,4,2,7,6,19,2,4,0,0,0,0,55
BUENA VISTA,atencion odontologica,primera consulta,2021-01-01,2,2,8,22,9,13,5,13,5,3,0,0,0,0,82
CABEZAS,atencion odontologica,primera consulta,2021-01-01,28,27,31,42,16,23,18,69,13,10,0,12,0,6,295
CAIROMA,atencion odontologica,primera consulta,2021-01-01,2,0,5,3,2,6,1,9,2,1,0,1,0,1,33
"CAIZA ""D""",atencion odontologica,primera consulta,2021-01-01,1,2,12,8,4,16,19,49,10,11,0,6,0,4,142
CAJUATA,atencion odontologica,primera consulta,2021-01-01,2,1,4,2,2,2,5,6,1,0,0,1,0,0,26
CALACOTO,atencion odontologica,primera consulta,2021-01-01,1,0,1,3,0,4,3,7,5,4,0,4,0,1,33
CALAMARCA,atencion odontologica,primera consulta,2021-01-01,7,1,12,19,19,15,20,35,5,2,0,4,0,0,139
CAMARGO,atencion odontologica,primera consulta,2021-01-01,7,8,5,8,2,5,10,22,1,4,0,9,0,0,81
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2021-01-01,0,0,8,9,4,9,7,27,1,2,0,2,0,0,69
CAMIRI,atencion odontologica,primera consulta,2021-01-01,31,32,21,27,7,31,21,73,17,7,0,31,0,4,302
CAPINOTA,atencion odontologica,primera consulta,2021-01-01,13,14,36,39,13,14,15,41,6,8,0,2,0,1,202
CAQUIAVIRI,atencion odontologica,primera consulta,2021-01-01,1,10,6,10,5,10,7,22,6,2,0,2,0,1,82
CARACOLLO,atencion odontologica,primera consulta,2021-01-01,12,13,26,28,13,15,19,72,3,3,0,13,0,1,218
CARANAVI,atencion odontologica,primera consulta,2021-01-01,26,20,42,42,19,33,33,108,11,3,0,21,0,8,366
CARAPARI,atencion odontologica,primera consulta,2021-01-01,9,3,35,51,23,37,63,119,4,3,0,1,0,1,349
CARIPUYO,atencion odontologica,primera consulta,2021-01-01,3,1,3,4,1,3,4,13,2,3,0,4,0,4,45
CATACORA,atencion odontologica,primera consulta,2021-01-01,2,2,7,6,3,5,3,9,0,1,0,1,0,0,39
CHACARILLA,atencion odontologica,primera consulta,2021-01-01,1,1,4,3,0,2,2,6,5,4,0,0,0,2,30
CHALLAPATA,atencion odontologica,primera consulta,2021-01-01,51,54,92,80,42,70,54,192,51,47,0,74,0,7,814
CHAQUI,atencion odontologica,primera consulta,2021-01-01,9,6,12,10,7,11,3,30,9,10,0,6,0,2,115
CHARAGUA,atencion odontologica,primera consulta,2021-01-01,25,23,16,9,17,14,23,48,7,6,0,7,0,2,197
CHARAÑA,atencion odontologica,primera consulta,2021-01-01,1,0,0,1,2,4,4,5,1,1,0,0,0,0,19
CHAYANTA,atencion odontologica,primera consulta,2021-01-01,4,2,9,9,5,5,20,25,3,11,0,1,0,0,94
CHIMORE,atencion odontologica,primera consulta,2021-01-01,10,16,27,33,15,29,24,50,3,2,0,1,0,1,211
CHIPAYA,atencion odontologica,primera consulta,2021-01-01,3,4,5,3,2,0,2,7,3,2,0,3,0,0,34
CHOQUE COTA,atencion odontologica,primera consulta,2021-01-01,0,0,1,0,0,0,0,2,2,1,0,0,0,0,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2021-01-01,0,0,1,2,2,3,2,3,0,0,0,1,0,0,14
CHUMA,atencion odontologica,primera consulta,2021-01-01,7,13,22,24,15,27,59,74,13,16,0,8,0,1,279
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2021-01-01,2,3,7,5,3,10,8,26,2,6,0,0,0,0,72
CKOCHAS,atencion odontologica,primera consulta,2021-01-01,22,17,8,8,3,11,19,36,9,4,0,5,0,2,144
CLIZA,atencion odontologica,primera consulta,2021-01-01,8,12,37,35,13,21,18,64,20,12,0,2,0,2,244
COBIJA,atencion odontologica,primera consulta,2021-01-01,15,12,30,24,16,35,39,87,6,4,0,26,0,8,302
COCAPATA,atencion odontologica,primera consulta,2021-01-01,33,38,40,32,14,41,39,91,53,53,0,26,0,14,474
COCHABAMBA,atencion odontologica,primera consulta,2021-01-01,153,167,280,314,112,173,335,664,93,66,0,96,0,20,2473
COIPASA,atencion odontologica,primera consulta,2021-01-01,0,0,4,6,2,1,1,4,3,0,0,3,0,0,24
COLCAPIRHUA,atencion odontologica,primera consulta,2021-01-01,18,26,15,28,7,22,24,53,6,7,0,5,0,2,213
"COLCHA ""K""",atencion odontologica,primera consulta,2021-01-01,4,1,7,4,2,3,4,12,1,0,0,4,0,0,42
COLLANA,atencion odontologica,primera consulta,2021-01-01,0,1,4,1,7,5,5,10,3,0,0,2,0,0,38
COLOMI,atencion odontologica,primera consulta,2021-01-01,28,29,36,47,17,35,26,46,3,5,0,6,0,7,285
COLPA BELGICA,atencion odontologica,primera consulta,2021-01-01,2,3,6,15,2,3,9,21,0,0,0,1,0,0,62
COLQUECHACA,atencion odontologica,primera consulta,2021-01-01,24,15,51,68,19,52,59,134,23,29,0,25,0,13,512
COLQUENCHA,atencion odontologica,primera consulta,2021-01-01,9,0,17,20,42,26,24,46,3,2,0,9,0,1,199
COLQUIRI,atencion odontologica,primera consulta,2021-01-01,19,9,38,20,21,22,32,38,11,14,0,3,0,2,229
COMANCHE,atencion odontologica,primera consulta,2021-01-01,1,0,2,3,2,4,2,11,3,1,0,0,0,0,29
COMARAPA,atencion odontologica,primera consulta,2021-01-01,2,1,7,12,5,12,8,14,1,2,0,0,0,0,64
COMBAYA,atencion odontologica,primera consulta,2021-01-01,1,0,2,1,3,0,3,0,2,1,0,0,0,0,13
COPACABANA,atencion odontologica,primera consulta,2021-01-01,0,6,7,6,2,6,3,10,2,2,0,1,0,2,47
CORIPATA,atencion odontologica,primera consulta,2021-01-01,3,2,3,3,3,4,8,6,0,0,0,0,0,0,32
CORO CORO,atencion odontologica,primera consulta,2021-01-01,0,2,9,13,0,6,3,6,0,1,0,1,0,1,42
COROICO,atencion odontologica,primera consulta,2021-01-01,2,2,39,37,26,23,38,71,4,4,0,4,0,2,252
CORQUE,atencion odontologica,primera consulta,2021-01-01,1,3,7,13,0,8,11,25,13,18,0,8,0,0,107
COTAGAITA,atencion odontologica,primera consulta,2021-01-01,20,18,34,39,28,45,53,123,21,16,0,13,0,5,415
COTOCA,atencion odontologica,primera consulta,2021-01-01,12,16,26,27,5,9,15,51,3,5,0,2,0,0,171
CRUZ DE MACHACAMARCA,atencion odontologica,primera consulta,2021-01-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4
CUATRO CAÑADAS,atencion odontologica,primera consulta,2021-01-01,6,12,23,16,10,12,7,43,4,4,0,11,0,0,148
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2021-01-01,6,8,7,8,0,5,7,13,2,0,0,2,0,1,59
CUEVO,atencion odontologica,primera consulta,2021-01-01,3,3,9,4,5,17,13,46,4,2,0,3,0,1,110
CULPINA,atencion odontologica,primera consulta,2021-01-01,7,9,18,20,7,31,22,69,9,11,0,11,0,1,215
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2021-01-01,3,4,17,22,11,13,8,14,10,7,0,2,0,0,111
CURVA,atencion odontologica,primera consulta,2021-01-01,5,3,2,3,1,8,2,8,2,2,0,0,0,3,39
DESAGUADERO,atencion odontologica,primera consulta,2021-01-01,0,2,3,2,2,1,3,3,1,0,0,1,0,1,19
EL ALTO,atencion odontologica,primera consulta,2021-01-01,169,139,247,273,147,174,182,572,56,46,0,138,0,13,2156
EL CHORO,atencion odontologica,primera consulta,2021-01-01,3,4,11,13,0,3,6,10,0,2,0,2,0,0,54
EL PUENTE(STC),atencion odontologica,primera consulta,2021-01-01,7,11,20,17,7,12,16,39,2,2,0,2,0,0,135
EL PUENTE(TJA),atencion odontologica,primera consulta,2021-01-01,4,4,15,20,4,21,20,64,9,11,0,2,0,0,174
EL TORNO,atencion odontologica,primera consulta,2021-01-01,125,113,36,27,33,49,53,129,30,17,0,35,0,14,661
EL VILLAR,atencion odontologica,primera consulta,2021-01-01,1,0,1,2,1,4,3,17,1,0,0,8,0,0,38
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2021-01-01,11,6,20,27,16,27,27,74,9,4,0,5,0,0,226
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2021-01-01,18,21,31,32,11,30,23,57,6,1,0,5,0,5,240
ESMERALDA,atencion odontologica,primera consulta,2021-01-01,0,1,1,0,0,0,3,3,3,4,0,0,0,0,15
EUCALIPTUS,atencion odontologica,primera consulta,2021-01-01,0,3,9,5,3,5,7,21,2,1,0,4,0,0,60
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2021-01-01,1,2,5,3,2,3,3,14,5,0,0,1,0,0,39
FILADELFIA,atencion odontologica,primera consulta,2021-01-01,3,8,18,18,2,6,10,6,1,0,0,0,0,0,72
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2021-01-01,0,2,4,1,2,2,2,10,1,0,0,0,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2021-01-01,8,9,9,13,11,12,20,18,9,4,0,8,0,5,126
GUANAY,atencion odontologica,primera consulta,2021-01-01,1,1,6,2,1,3,7,10,1,1,0,0,0,2,35
GUAQUI,atencion odontologica,primera consulta,2021-01-01,6,4,7,14,17,6,16,51,26,21,0,6,0,2,176
GUAYARAMERIN,atencion odontologica,primera consulta,2021-01-01,9,11,34,36,11,29,28,95,3,2,0,32,0,1,291
GUTIERREZ,atencion odontologica,primera consulta,2021-01-01,5,5,9,6,6,7,20,5,0,0,0,0,0,1,64
HUACARETA,atencion odontologica,primera consulta,2021-01-01,5,1,9,3,0,4,3,9,0,0,0,1,0,3,38
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2021-01-01,4,4,4,18,1,0,3,16,0,0,0,2,0,0,52
HUACHACALLA,atencion odontologica,primera consulta,2021-01-01,2,3,3,5,27,3,7,4,3,3,0,1,0,0,61
HUANUNI,atencion odontologica,primera consulta,2021-01-01,15,13,54,76,34,51,53,84,10,14,0,14,0,0,418
HUARACAJE,atencion odontologica,primera consulta,2021-01-01,1,0,1,1,0,0,1,3,0,0,0,0,0,0,7
HUARINA,atencion odontologica,primera consulta,2021-01-01,0,3,4,0,2,1,3,2,1,2,0,0,0,0,18
HUATAJATA,atencion odontologica,primera consulta,2021-01-01,1,1,4,8,3,4,3,12,0,1,0,1,0,0,38
HUAYLLAMARCA,atencion odontologica,primera consulta,2021-01-01,4,2,4,6,2,4,6,9,13,4,0,0,0,1,55
HUMANATA,atencion odontologica,primera consulta,2021-01-01,1,3,8,5,0,7,9,10,3,3,0,1,0,0,50
ICHOCA,atencion odontologica,primera consulta,2021-01-01,4,4,2,2,4,2,19,20,12,3,0,0,0,0,72
ICLA,atencion odontologica,primera consulta,2021-01-01,29,36,7,20,4,8,7,31,8,4,0,8,0,1,163
INCAHUASI,atencion odontologica,primera consulta,2021-01-01,4,5,12,12,12,14,23,39,2,2,0,7,0,0,132
INQUISIVI,atencion odontologica,primera consulta,2021-01-01,7,4,13,20,9,7,13,40,6,7,0,3,0,3,132
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2021-01-01,26,19,31,33,16,21,33,62,9,10,0,5,0,4,269
IXIAMAS,atencion odontologica,primera consulta,2021-01-01,4,2,21,17,10,11,18,40,2,1,0,0,0,0,126
JESUS DE MACHACA,atencion odontologica,primera consulta,2021-01-01,7,6,9,13,12,14,13,27,7,6,0,3,0,1,118
LA ASUNTA,atencion odontologica,primera consulta,2021-01-01,23,28,70,66,34,69,91,164,8,9,0,19,0,3,584
LA GUARDIA,atencion odontologica,primera consulta,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,primera consulta,2021-01-01,198,194,264,302,91,153,490,738,120,96,0,61,0,9,2716
LA RIVERA,atencion odontologica,primera consulta,2021-01-01,2,1,5,4,1,1,1,4,1,0,0,0,0,0,20
LAGUNILLAS,atencion odontologica,primera consulta,2021-01-01,0,1,2,3,1,6,8,34,5,1,0,6,0,1,68
LAJA,atencion odontologica,primera consulta,2021-01-01,9,10,8,12,8,20,10,37,5,6,0,9,0,2,136
LAS CARRERAS,atencion odontologica,primera consulta,2021-01-01,3,0,8,10,3,5,16,36,1,2,0,1,0,0,85
LICOMA PAMPA,atencion odontologica,primera consulta,2021-01-01,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4
LLALLAGUA,atencion odontologica,primera consulta,2021-01-01,19,23,24,49,21,30,21,86,7,7,0,12,0,1,300
LORETO,atencion odontologica,primera consulta,2021-01-01,1,0,1,2,1,0,3,3,2,1,0,1,0,0,15
LURIBAY,atencion odontologica,primera consulta,2021-01-01,2,1,1,1,1,0,3,7,2,0,0,0,0,0,18
MACHACAMARCA,atencion odontologica,primera consulta,2021-01-01,13,16,8,9,2,10,10,19,2,4,0,1,0,0,94
MACHARETI,atencion odontologica,primera consulta,2021-01-01,0,0,0,3,0,1,1,6,1,0,0,3,0,0,15
MAGDALENA,atencion odontologica,primera consulta,2021-01-01,0,0,1,2,2,3,6,5,1,1,0,0,0,0,21
MALLA,atencion odontologica,primera consulta,2021-01-01,0,2,1,2,4,2,2,10,0,0,0,1,0,0,24
MAPIRI,atencion odontologica,primera consulta,2021-01-01,4,6,9,14,4,8,16,21,3,0,0,5,0,0,90
MECAPACA,atencion odontologica,primera consulta,2021-01-01,7,7,15,19,8,13,11,32,7,1,0,0,0,0,120
MINEROS,atencion odontologica,primera consulta,2021-01-01,1,3,3,2,0,7,5,28,5,0,0,30,0,1,85
MIZQUE,atencion odontologica,primera consulta,2021-01-01,12,4,16,44,7,19,14,46,7,1,0,5,0,1,176
MOCOMOCO,atencion odontologica,primera consulta,2021-01-01,1,5,12,22,11,26,40,56,16,11,0,2,0,0,202
MOJINETE,atencion odontologica,primera consulta,2021-01-01,0,0,1,1,2,3,2,7,1,1,0,1,0,0,19
MOJOCOYA,atencion odontologica,primera consulta,2021-01-01,6,10,11,13,2,8,13,37,6,5,0,4,0,0,115
MONTEAGUDO,atencion odontologica,primera consulta,2021-01-01,10,8,7,24,5,19,30,41,1,3,0,1,0,1,150
MONTERO,atencion odontologica,primera consulta,2021-01-01,107,123,102,126,28,77,79,334,35,27,0,99,0,8,1145
MORO MORO,atencion odontologica,primera consulta,2021-01-01,3,1,4,3,0,2,2,16,2,2,0,0,0,0,35
MOROCHATA,atencion odontologica,primera consulta,2021-01-01,2,4,6,9,6,4,6,15,2,0,0,0,0,0,54
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2021-01-01,5,1,3,7,1,3,1,6,0,0,0,0,0,0,27
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2021-01-01,3,0,5,1,2,1,1,4,1,1,0,1,0,0,20
OCURI,atencion odontologica,primera consulta,2021-01-01,15,15,27,41,8,18,6,28,35,30,0,5,0,3,231
OKINAWA,atencion odontologica,primera consulta,2021-01-01,0,1,1,0,0,4,0,7,0,0,0,0,0,0,13
OMEREQUE,atencion odontologica,primera consulta,2021-01-01,2,1,8,8,1,7,6,9,2,0,0,1,0,2,47
ORURO,atencion odontologica,primera consulta,2021-01-01,158,175,368,468,163,329,422,1041,101,78,0,254,0,58,3615
PADCAYA,atencion odontologica,primera consulta,2021-01-01,15,5,14,15,12,19,17,55,0,1,0,1,0,0,154
PADILLA,atencion odontologica,primera consulta,2021-01-01,1,0,11,9,13,16,20,35,13,2,0,22,0,1,143
PAILON,atencion odontologica,primera consulta,2021-01-01,10,11,13,10,7,12,13,48,4,6,0,1,0,3,138
PALCA,atencion odontologica,primera consulta,2021-01-01,7,18,31,38,19,29,58,80,16,10,0,2,0,1,309
PALOS BLANCOS,atencion odontologica,primera consulta,2021-01-01,11,2,14,24,8,19,18,39,4,3,0,4,0,1,147
PAMPA AULLAGAS,atencion odontologica,primera consulta,2021-01-01,0,0,0,2,1,1,0,4,1,1,0,0,0,0,10
PAMPA GRANDE,atencion odontologica,primera consulta,2021-01-01,6,4,9,10,3,16,9,36,8,7,0,0,0,0,108
PAPEL PAMPA,atencion odontologica,primera consulta,2021-01-01,1,4,4,5,3,3,14,30,28,23,0,5,0,0,120
PASORAPA,atencion odontologica,primera consulta,2021-01-01,4,5,15,15,6,11,15,37,4,6,0,2,0,2,122
PATACAMAYA,atencion odontologica,primera consulta,2021-01-01,19,21,34,39,22,21,8,39,1,2,0,5,0,1,212
PAZÑA,atencion odontologica,primera consulta,2021-01-01,4,8,24,19,14,17,9,36,1,3,0,4,0,0,139
PELECHUCO,atencion odontologica,primera consulta,2021-01-01,19,13,12,12,1,9,16,42,9,5,0,5,0,3,146
POCOATA,atencion odontologica,primera consulta,2021-01-01,12,10,11,21,16,15,23,53,8,10,0,14,0,5,198
POCONA,atencion odontologica,primera consulta,2021-01-01,0,0,4,2,1,5,3,18,6,2,0,1,0,0,42
POJO (CBBA),atencion odontologica,primera consulta,2021-01-01,3,5,10,15,7,22,8,26,1,2,0,0,0,2,101
POOPO,atencion odontologica,primera consulta,2021-01-01,5,8,8,16,3,7,18,36,15,17,0,9,0,0,142
PORCO,atencion odontologica,primera consulta,2021-01-01,7,2,10,15,3,14,6,46,5,6,0,23,0,3,140
POROMA,atencion odontologica,primera consulta,2021-01-01,29,19,9,20,3,8,17,43,3,3,0,4,0,4,162
PORONGO,atencion odontologica,primera consulta,2021-01-01,16,9,11,14,6,14,7,21,7,11,0,8,0,3,127
PORTACHUELO,atencion odontologica,primera consulta,2021-01-01,1,0,3,2,0,0,2,2,3,0,0,1,0,0,14
PORVENIR,atencion odontologica,primera consulta,2021-01-01,3,1,11,10,2,4,6,15,1,0,0,0,0,1,54
POTOSI,atencion odontologica,primera consulta,2021-01-01,87,88,131,180,48,103,120,365,30,35,0,103,0,27,1317
PRESTO,atencion odontologica,primera consulta,2021-01-01,2,2,10,4,5,10,17,35,4,2,0,14,0,3,108
PUCARA,atencion odontologica,primera consulta,2021-01-01,7,12,2,8,2,3,7,25,3,5,0,3,0,2,79
PUCARANI,atencion odontologica,primera consulta,2021-01-01,35,35,42,57,40,69,41,164,23,16,0,24,0,8,554
PUERTO ACOSTA,atencion odontologica,primera consulta,2021-01-01,0,1,8,6,3,13,10,19,11,11,0,1,0,1,84
PUERTO CARABUCO,atencion odontologica,primera consulta,2021-01-01,1,4,11,7,12,4,17,22,6,4,0,0,0,0,88
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2021-01-01,3,5,7,10,5,3,5,7,0,0,0,2,0,0,47
PUERTO PEREZ,atencion odontologica,primera consulta,2021-01-01,0,0,0,1,1,2,3,6,0,0,0,0,0,0,13
PUERTO QUIJARRO,atencion odontologica,primera consulta,2021-01-01,6,10,5,7,1,2,2,6,2,0,0,1,0,0,42
PUERTO RICO,atencion odontologica,primera consulta,2021-01-01,1,1,17,10,6,9,24,48,0,0,0,5,0,0,121
PUERTO SUAREZ,atencion odontologica,primera consulta,2021-01-01,2,4,9,4,0,1,4,8,0,1,0,0,0,0,33
PUERTO VILLARROEL,atencion odontologica,primera consulta,2021-01-01,13,7,23,28,11,15,19,53,3,1,0,6,0,5,184
PUNA,atencion odontologica,primera consulta,2021-01-01,5,5,12,17,12,17,21,49,17,15,0,8,0,3,181
PUNATA,atencion odontologica,primera consulta,2021-01-01,11,12,24,48,8,32,23,83,7,6,0,7,0,0,261
QUIABAYA,atencion odontologica,primera consulta,2021-01-01,6,3,10,2,6,10,12,15,2,1,0,0,0,3,70
QUILLACOLLO,atencion odontologica,primera consulta,2021-01-01,52,64,77,88,29,41,62,154,12,12,0,8,0,2,601
QUIME,atencion odontologica,primera consulta,2021-01-01,5,6,7,10,2,7,1,16,0,0,0,3,0,0,57
QUIRUSILLAS,atencion odontologica,primera consulta,2021-01-01,0,0,1,1,1,0,1,3,0,0,0,0,0,0,7
RAVELO,atencion odontologica,primera consulta,2021-01-01,14,16,10,8,5,14,16,48,26,32,0,7,0,7,203
REYES,atencion odontologica,primera consulta,2021-01-01,1,2,7,7,2,6,4,15,0,0,0,0,0,0,44
RIBERALTA,atencion odontologica,primera consulta,2021-01-01,55,64,86,85,68,118,70,215,28,18,0,107,0,11,925
ROBORE,atencion odontologica,primera consulta,2021-01-01,1,2,9,5,2,6,12,19,3,3,0,0,0,0,62
RURRENABAQUE,atencion odontologica,primera consulta,2021-01-01,10,10,12,26,8,11,22,27,10,3,0,5,0,0,144
SABAYA,atencion odontologica,primera consulta,2021-01-01,3,7,14,12,9,6,19,27,9,8,0,4,0,0,118
SACABA,atencion odontologica,primera consulta,2021-01-01,22,32,63,93,21,33,46,152,22,31,0,4,0,3,522
SACABAMBA,atencion odontologica,primera consulta,2021-01-01,1,2,6,4,1,3,3,10,2,7,0,1,0,0,40
SACACA,atencion odontologica,primera consulta,2021-01-01,7,2,11,10,9,14,17,41,12,16,0,4,0,0,143
SAIPINA,atencion odontologica,primera consulta,2021-01-01,3,2,8,18,3,6,13,38,7,2,0,1,0,1,102
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2021-01-01,6,10,17,24,4,22,17,44,13,14,0,6,0,3,180
SAMAIPATA,atencion odontologica,primera consulta,2021-01-01,6,4,4,0,0,0,3,8,0,0,0,1,0,3,29
SAN ANDRES,atencion odontologica,primera consulta,2021-01-01,2,4,4,6,12,10,22,20,2,3,0,0,0,1,86
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2021-01-01,5,3,3,2,2,3,10,16,6,10,0,0,0,1,61
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2021-01-01,1,0,2,2,7,2,8,17,0,2,0,0,0,0,41
SAN BENITO,atencion odontologica,primera consulta,2021-01-01,3,2,3,7,4,5,3,12,3,1,0,1,0,1,45
SAN BORJA,atencion odontologica,primera consulta,2021-01-01,7,11,35,51,15,29,28,83,6,0,0,8,0,0,273
SAN BUENA VENTURA,atencion odontologica,primera consulta,2021-01-01,1,3,14,17,6,14,13,31,1,3,0,4,0,2,109
SAN CARLOS,atencion odontologica,primera consulta,2021-01-01,6,4,10,19,9,14,10,28,2,4,0,4,0,3,113
SAN IGNACIO,atencion odontologica,primera consulta,2021-01-01,2,3,35,42,12,26,16,55,2,1,0,3,0,1,198
